日期,最高气温,最低气温,天气,风向,风力,平均气温,温差
2019-09-01,33,21,多云,东北风,1级,27.0,12
2019-09-02,28,24,多云,西北风,2级,26.0,4
2019-09-03,31,24,晴,东北风,1级,27.5,7
2019-09-04,32,21,晴,南风,微风,26.5,11
2019-09-05,33,21,晴,东南风,1级,27.0,12
2019-09-06,33,21,晴,西北风,2级,27.0,12
2019-09-07,33,21,晴,东北风,1级,27.0,12
2019-09-08,36,24,晴,东北风,2级,30.0,12
2019-09-09,34,23,多云,东北风,2级,28.5,11
2019-09-10,29,21,阴,东北风,2级,25.0,8
2019-09-11,19,18,阴,东北风,1级,18.5,1
2019-09-12,19,19,阴,南风,微风,19.0,0
2019-09-13,27,19,阴,北风,微风,23.0,8
2019-09-14,24,17,阴,西南风,1级,20.5,7
2019-09-15,19,15,阴,西南风,2级,17.0,4
2019-09-16,25,19,多云,东南风,1级,22.0,6
2019-09-17,21,18,阴,西南风,2级,19.5,3
2019-09-18,27,18,多云,东北风,1级,22.5,9
2019-09-19,22,18,阴,西南风,2级,20.0,4
2019-09-20,28,16,多云,东北风,2级,22.0,12
2019-09-21,29,16,晴,西北风,1级,22.5,13
2019-09-22,29,17,晴,西北风,2级,23.0,12
2019-09-23,31,18,多云,北风,微风,24.5,13
2019-09-24,31,19,多云,北风,微风,25.0,12
2019-09-25,32,21,阴,南风,微风,26.5,11
2019-09-26,31,18,晴,北风,微风,24.5,13
2019-09-27,30,18,多云,北风,微风,24.0,12
2019-09-28,31,19,多云,西北风,1级,25.0,12
2019-09-29,31,18,多云,北风,微风,24.5,13
2019-09-30,31,20,晴,东北风,2级,25.5,11
2019-08-01,36,28,阴,东北风,1级,32.0,8
2019-08-02,30,24,阴,东南风,2级,27.0,6
2019-08-03,32,24,阴,东北风,2级,28.0,8
2019-08-04,32,24,小雨,东北风,2级,28.0,8
2019-08-05,33,25,阴,东北风,2级,29.0,8
2019-08-06,30,24,小雨,西南风,2级,27.0,6
2019-08-07,34,24,小雨,东北风,2级,29.0,10
2019-08-08,33,24,阴,东南风,1级,28.5,9
2019-08-09,34,25,阴,西南风,2级,29.5,9
2019-08-10,31,21,阴,东北风,2级,26.0,10
2019-08-11,27,24,多云,东南风,1级,25.5,3
2019-08-12,30,24,阴,东北风,3级,27.0,6
2019-08-13,33,24,多云,东北风,2级,28.5,9
2019-08-14,33,23,小雨,东北风,1级,28.0,10
2019-08-15,35,24,晴,西北风,1级,29.5,11
2019-08-16,34,23,晴,东北风,3级,28.5,11
2019-08-17,33,22,多云,东北风,2级,27.5,11
2019-08-18,34,24,晴,东北风,2级,29.0,10
2019-08-19,34,25,多云,东北风,2级,29.5,9
2019-08-20,34,23,阴,西北风,1级,28.5,11
2019-08-21,27,23,小雨,西北风,2级,25.0,4
2019-08-22,33,24,阴,东南风,2级,28.5,9
2019-08-23,33,24,多云,东北风,2级,28.5,9
2019-08-24,33,23,多云,东北风,3级,28.0,10
2019-08-25,27,23,阴,东北风,3级,25.0,4
