日期,最高气温,最低气温,天气,风向,风力,平均气温,温差
2019-09-01,24,15,阴,南风,微风,19.5,9
2019-09-02,27,15,多云,东北风,1级,21.0,12
2019-09-03,24,19,多云,西北风,1级,21.5,5
2019-09-04,22,17,阴,西南风,2级,19.5,5
2019-09-05,27,17,阴,东北风,微风,22.0,10
2019-09-06,30,19,多云,东南风,微风,24.5,11
2019-09-07,31,20,阴,东北风,1级,25.5,11
2019-09-08,30,18,多云,南风,微风,24.0,12
2019-09-09,24,18,阴,西南风,3级,21.0,6
2019-09-10,20,17,阴,东北风,2级,18.5,3
2019-09-11,19,18,阴,东南风,2级,18.5,1
2019-09-12,19,16,阴,西南风,3级,17.5,3
2019-09-13,14,11,阴,西南风,2级,12.5,3
2019-09-14,13,11,阴,西南风,1级,12.0,2
2019-09-15,18,11,阴,南风,微风,14.5,7
2019-09-16,20,13,阴,南风,微风,16.5,7
2019-09-17,17,15,阴,西北风,2级,16.0,2
2019-09-18,18,13,小雨,西南风,2级,15.5,5
2019-09-19,16,12,阴,西南风,1级,14.0,4
2019-09-20,25,10,阴,东南风,1级,17.5,15
2019-09-21,25,11,晴,东北风,微风,18.0,14
2019-09-22,25,12,晴,东北风,1级,18.5,13
2019-09-23,25,12,多云,南风,微风,18.5,13
2019-09-24,26,13,阴,东北风,1级,19.5,13
2019-09-25,26,12,晴,东南风,2级,19.0,14
2019-09-26,26,12,晴,北风,微风,19.0,14
2019-09-27,26,13,晴,东北风,微风,19.5,13
2019-09-28,27,13,晴,东北风,1级,20.0,14
2019-09-29,28,13,晴,东北风,微风,20.5,15
2019-09-30,28,15,晴,东北风,微风,21.5,13
2019-08-01,33,22,多云,东北风,2级,27.5,11
2019-08-02,26,19,阴,西北风,2级,22.5,7
2019-08-03,27,20,阴,东南风,2级,23.5,7
2019-08-04,31,22,多云,南风,微风,26.5,9
2019-08-05,29,20,阴,东南风,1级,24.5,9
2019-08-06,26,20,小雨,东南风,3级,23.0,6
2019-08-07,30,21,多云,东北风,微风,25.5,9
2019-08-08,29,20,阴,南风,微风,24.5,9
2019-08-09,30,20,小雨,东北风,微风,25.0,10
2019-08-10,36,20,晴,东北风,1级,28.0,16
2019-08-11,33,21,晴,西北风,1级,27.0,12
2019-08-12,34,20,晴,东北风,1级,27.0,14
2019-08-13,36,20,晴,西北风,5级,28.0,16
2019-08-14,35,21,晴,西北风,2级,28.0,14
2019-08-15,37,22,晴,东北风,微风,29.5,15
2019-08-16,38,20,晴,东北风,1级,29.0,18
2019-08-17,30,20,多云,东南风,1级,25.0,10
2019-08-18,32,22,多云,东南风,2级,27.0,10
2019-08-19,30,21,阴,西北风,1级,25.5,9
2019-08-20,25,19,阴,西北风,4级,22.0,6
2019-08-21,25,20,阴,西北风,2级,22.5,5
2019-08-22,23,20,小雨,西南风,1级,21.5,3
2019-08-23,24,20,小雨,西北风,1级,22.0,4
2019-08-24,31,21,多云,北风,微风,26.0,10
2019-08-25,26,21,阴,东南风,1级,23.5,5
2019-08-26,22,19,中雨,西北风,3级,20.5,3
