日期,最高气温,最低气温,天气,风向,风力,平均气温,温差
2019-09-01,26,14,阴,西南风,2级,20.0,12
2019-09-02,23,13,晴,东南风,1级,18.0,10
2019-09-03,26,16,晴,西南风,2级,21.0,10
2019-09-04,28,19,晴,东南风,2级,23.5,9
2019-09-05,29,18,多云,东南风,3级,23.5,11
2019-09-06,27,17,阴,西南风,1级,22.0,10
2019-09-07,27,20,阴,东南风,3级,23.5,7
2019-09-08,25,15,阴,西南风,3级,20.0,10
2019-09-09,21,11,多云,西风,3级,16.0,10
2019-09-10,20,10,多云,西北风,3级,15.0,10
2019-09-11,20,9,多云,西南风,1级,14.5,11
2019-09-12,23,13,晴,西南风,2级,18.0,10
2019-09-13,23,13,阴,西南风,3级,18.0,10
2019-09-14,22,11,晴,西南风,2级,16.5,11
2019-09-15,23,9,晴,东南风,3级,16.0,14
2019-09-16,17,7,晴,西南风,2级,12.0,10
2019-09-17,20,7,多云,西南风,3级,13.5,13
2019-09-18,12,6,多云,西风,3级,9.0,6
2019-09-19,15,5,多云,西南风,1级,10.0,10
2019-09-20,19,9,多云,东南风,2级,14.0,10
2019-09-21,14,6,阴,西南风,1级,10.0,8
2019-09-22,21,8,晴,西南风,2级,14.5,13
2019-09-23,23,8,晴,东北风,3级,15.5,15
2019-09-24,17,5,多云,西南风,2级,11.0,12
2019-09-25,20,8,多云,西南风,1级,14.0,12
2019-09-26,20,11,晴,西南风,2级,15.5,9
2019-09-27,27,13,晴,西南风,3级,20.0,14
2019-09-28,27,12,多云,东南风,2级,19.5,15
2019-09-29,18,7,阴,西南风,1级,12.5,11
2019-09-30,21,13,多云,东南风,2级,17.0,8
2019-08-01,29,19,多云,西北风,2级,24.0,10
2019-08-02,29,19,晴,西南风,2级,24.0,10
2019-08-03,29,20,阴,西南风,2级,24.5,9
2019-08-04,30,22,阴,西南风,2级,26.0,8
2019-08-05,32,23,晴,东南风,1级,27.5,9
2019-08-06,23,20,小雨,东北风,1级,21.5,3
2019-08-07,21,17,小雨,西北风,2级,19.0,4
2019-08-08,23,15,小雨,东北风,1级,19.0,8
2019-08-09,17,15,中雨,东北风,1级,16.0,2
2019-08-10,19,17,小雨,东北风,2级,18.0,2
2019-08-11,19,16,小雨,东北风,1级,17.5,3
2019-08-12,21,15,小雨,东北风,1级,18.0,6
2019-08-13,25,19,多云,东南风,1级,22.0,6
2019-08-14,23,19,中雨,东北风,1级,21.0,4
2019-08-15,19,19,中雨,东南风,1级,19.0,0
2019-08-16,19,18,大雨,东北风,1级,18.5,1
2019-08-17,24,16,小雨,西南风,2级,20.0,8
2019-08-18,23,15,小雨,东南风,4级,19.0,8
2019-08-19,24,16,多云,西南风,2级,20.0,8
2019-08-20,24,17,阴,东北风,1级,20.5,7
2019-08-21,22,16,中雨,西南风,2级,19.0,6
2019-08-22,24,16,小雨,西北风,1级,20.0,8
2019-08-23,19,14,小雨,东风,1级,16.5,5
2019-08-24,21,13,阴,西南风,1级,17.0,8
2019-08-25,22,16,阴,西风,1级,19.0,6
2019-08-26,25,16,晴,西南风,1级,20.5,9
2019-08-27,22,17,小雨,西南风,1级,19.5,5
2019-08-28,23,16,小雨,东北风,1级,19.5,7
2019-08-29,23,16,小雨,东北风,1级,19.5,7
2019-08-30,18,15,阴,东北风,1级,16.5,3
2019-08-31,23,13,阴,西南风,2级,18.0,10
2019-07-01,20,13,中雨,东北风,1级,16.5,7
2019-07-02,26,16,阴,西北风,微风,21.0,10
2019-07-03,24,16,小雨,西南风,1级,20.0,8
2019-07-04,25,17,阴,南风,1级,21.0,8
2019-07-05,27,20,阴,西南风,2级,23.5,7
2019-07-06,27,19,阴,东北风,1级,23.0,8
2019-07-07,29,20,多云,西南风,微风,24.5,9
2019-07-08,31,21,多云,东南风,1级,26.0,10
2019-07-09,31,20,阴,西南风,1级,25.5,11
2019-07-10,31,17,阴,西南风,2级,24.0,14
2019-07-11,27,17,多云,东南风,2级,22.0,10
2019-07-12,27,18,阴,西北风,1级,22.5,9
2019-07-13,28,17,阴,东南风,2级,22.5,11
2019-07-14,27,18,阴,东北风,2级,22.5,9
2019-07-15,26,19,阴,东南风,2级,22.5,7
2019-07-16,27,20,阴,西南风,3级,23.5,7
2019-07-17,26,20,小雨,东南风,3级,23.0,6
2019-07-18,27,20,小雨,西南风,1级,23.5,7
2019-07-19,30,20,多云,西南风,2级,25.0,10
2019-07-20,32,22,多云,南风,2级,27.0,10
2019-07-21,30,20,阴,东南风,3级,25.0,10
2019-07-22,22,19,中雨,东南风,1级,20.5,3
2019-07-23,30,21,多云,西南风,1级,25.5,9
2019-07-24,27,20,小雨,西北风,1级,23.5,7
2019-07-25,24,19,阴,西南风,1级,21.5,5
2019-07-26,20,18,中雨,西南风,2级,19.0,2
2019-07-27,28,19,阴,西北风,1级,23.5,9
2019-07-28,29,22,大雨,东北风,5级,25.5,7
2019-07-29,29,20,阴,东南风,2级,24.5,9
2019-07-30,24,21,中雨,东北风,1级,22.5,3
2019-07-31,32,21,多云,东南风,3级,26.5,11
2019-06-01,21,12,多云,西南风,2级,16.5,9
2019-06-02,25,10,阴,西北风,1级,17.5,15
2019-06-03,20,11,多云,西风,1级,15.5,9
2019-06-04,24,11,多云,西南风,2级,17.5,13
2019-06-05,26,14,多云,西南风,2级,20.0,12
2019-06-06,21,13,阴,西南风,1级,17.0,8
2019-06-07,24,12,多云,东南风,1级,18.0,12
2019-06-08,27,15,晴,西南风,1级,21.0,12
2019-06-09,26,14,阴,东北风,2级,20.0,12
