日期,最高气温,最低气温,天气,风向,风力,平均气温,温差
2019-09-01,28,22,阴,西北风,1级,25.0,6
2019-09-02,25,22,阴,西南风,1级,23.5,3
2019-09-03,32,22,多云,西北风,3级,27.0,10
2019-09-04,33,22,晴,西北风,4级,27.5,11
2019-09-05,34,23,多云,西北风,2级,28.5,11
2019-09-06,34,24,多云,西北风,2级,29.0,10
2019-09-07,35,24,晴,西北风,3级,29.5,11
2019-09-08,37,26,晴,西北风,3级,31.5,11
2019-09-09,38,26,多云,东北风,2级,32.0,12
2019-09-10,37,26,多云,西北风,2级,31.5,11
2019-09-11,34,27,晴,东北风,3级,30.5,7
2019-09-12,38,27,晴,东南风,2级,32.5,11
2019-09-13,39,26,晴,东北风,2级,32.5,13
2019-09-14,30,25,晴,西北风,4级,27.5,5
2019-09-15,31,22,多云,西北风,3级,26.5,9
2019-09-16,27,23,多云,西北风,2级,25.0,4
2019-09-17,28,21,多云,西北风,4级,24.5,7
2019-09-18,25,21,多云,西北风,3级,23.0,4
2019-09-19,29,20,阴,西北风,2级,24.5,9
2019-09-20,29,20,多云,西北风,3级,24.5,9
2019-09-21,29,19,晴,西北风,4级,24.0,10
2019-09-22,29,18,晴,西北风,3级,23.5,11
2019-09-23,32,18,晴,西北风,2级,25.0,14
2019-09-24,32,18,多云,西北风,2级,25.0,14
2019-09-25,31,20,多云,西北风,2级,25.5,11
2019-09-26,30,19,阴,东南风,2级,24.5,11
2019-09-27,33,19,多云,西北风,2级,26.0,14
2019-09-28,34,19,晴,西北风,2级,26.5,15
2019-09-29,35,19,晴,东北风,3级,27.0,16
2019-09-30,35,19,晴,东北风,1级,27.0,16
2019-08-01,37,29,多云,东南风,3级,33.0,8
2019-08-02,35,29,阴,东北风,3级,32.0,6
2019-08-03,37,29,阴,东北风,3级,33.0,8
2019-08-04,37,29,晴,东北风,3级,33.0,8
2019-08-05,36,29,多云,西北风,3级,32.5,7
2019-08-06,37,29,阴,西北风,1级,33.0,8
2019-08-07,35,28,阴,东北风,2级,31.5,7
2019-08-08,35,29,多云,西北风,3级,32.0,6
2019-08-09,35,29,多云,西北风,2级,32.0,6
2019-08-10,34,29,阴,西北风,3级,31.5,5
2019-08-11,36,28,晴,东南风,2级,32.0,8
2019-08-12,37,29,晴,西北风,2级,33.0,8
2019-08-13,33,28,阴,东北风,1级,30.5,5
2019-08-14,34,29,阴,东北风,2级,31.5,5
2019-08-15,34,29,晴,东南风,2级,31.5,5
2019-08-16,37,28,晴,东南风,2级,32.5,9
2019-08-17,38,29,晴,东南风,1级,33.5,9
2019-08-18,38,29,晴,东北风,2级,33.5,9
2019-08-19,38,29,晴,东北风,3级,33.5,9
2019-08-20,37,27,晴,西北风,2级,32.0,10
2019-08-21,36,27,多云,东南风,4级,31.5,9
2019-08-22,35,26,晴,西北风,2级,30.5,9
2019-08-23,34,27,阴,东北风,2级,30.5,7
2019-08-24,35,28,阴,西北风,2级,31.5,7
2019-08-25,35,26,多云,东北风,2级,30.5,9
2019-08-26,34,27,阴,西北风,1级,30.5,7
2019-08-27,35,26,多云,东南风,2级,30.5,9
2019-08-28,33,25,多云,西北风,4级,29.0,8
2019-08-29,30,25,阴,东北风,2级,27.5,5
2019-08-30,33,24,阴,西北风,3级,28.5,9
2019-08-31,32,24,阴,西北风,4级,28.0,8
2019-07-01,33,26,多云,西北风,3级,29.5,7
2019-07-02,34,27,阴,西北风,3级,30.5,7
2019-07-03,34,26,多云,东北风,4级,30.0,8
2019-07-04,29,26,阴,西北风,2级,27.5,3
2019-07-05,27,25,阴,东南风,3级,26.0,2
2019-07-06,34,26,多云,西南风,2级,30.0,8
2019-07-07,29,25,大雨,东南风,3级,27.0,4
2019-07-08,24,22,阴,西北风,3级,23.0,2
2019-07-09,25,22,阴,西北风,2级,23.5,3
2019-07-10,30,24,阴,东南风,2级,27.0,6
2019-07-11,33,24,多云,东风,2级,28.5,9
2019-07-12,27,23,阴,西北风,3级,25.0,4
2019-07-13,27,23,阴,北风,微风,25.0,4
2019-07-14,32,24,阴,东南风,2级,28.0,8
2019-07-15,31,25,多云,东南风,2级,28.0,6
2019-07-16,35,27,阴,东北风,2级,31.0,8
2019-07-17,37,28,阴,东南风,2级,32.5,9
2019-07-18,33,28,阴,西北风,2级,30.5,5
2019-07-19,32,26,多云,西北风,3级,29.0,6
2019-07-20,35,27,多云,西北风,2级,31.0,8
2019-07-21,33,28,多云,东南风,2级,30.5,5
2019-07-22,36,28,晴,东南风,4级,32.0,8
2019-07-23,35,28,多云,东南风,3级,31.5,7
2019-07-24,36,28,晴,东南风,2级,32.0,8
2019-07-25,37,29,多云,东南风,3级,33.0,8
2019-07-26,37,30,晴,东南风,2级,33.5,7
2019-07-27,37,30,阴,东南风,3级,33.5,7
2019-07-28,38,30,晴,东南风,4级,34.0,8
2019-07-29,37,29,晴,东南风,3级,33.0,8
2019-07-30,37,29,多云,西南风,2级,33.0,8
2019-07-31,38,29,晴,东北风,2级,33.5,9
2019-06-01,22,20,阴,东南风,2级,21.0,2
2019-06-02,30,22,多云,东南风,1级,26.0,8
2019-06-03,34,24,多云,东南风,2级,29.0,10
2019-06-04,35,26,晴,东南风,3级,30.5,9
2019-06-05,31,26,阴,东南风,4级,28.5,5
2019-06-06,27,23,阴,西南风,2级,25.0,4
2019-06-07,29,24,阴,东南风,3级,26.5,5
2019-06-08,29,24,阴,东南风,2级,26.5,5
2019-06-09,30,25,阴,北风,微风,27.5,5
2019-06-10,32,24,阴,西北风,2级,28.0,8
2019-06-11,32,22,阴,东南风,2级,27.0,10
2019-06-12,27,22,小雨,东北风,2级,24.5,5
2019-06-13,24,20,阴,东北风,1级,22.0,4
2019-06-14,32,21,晴,西北风,3级,26.5,11
2019-06-15,33,24,多云,东南风,2级,28.5,9
2019-06-16,26,23,阴,东北风,4级,24.5,3
2019-06-17,26,23,小雨,西北风,3级,24.5,3
2019-06-18,27,24,阴,西北风,3级,25.5,3
2019-06-19,35,27,阴,东南风,3级,31.0,8
2019-06-20,36,27,多云,东南风,3级,31.5,9
2019-06-21,32,24,阴,西北风,3级,28.0,8
2019-06-22,24,23,阴,西北风,3级,23.5,1
2019-06-23,25,22,阴,北风,微风,23.5,3
2019-06-24,29,24,阴,东南风,2级,26.5,5
2019-06-25,31,24,阴,南风,微风,27.5,7
2019-06-26,33,25,多云,南风,微风,29.0,8
2019-06-27,34,27,阵雨,东南风,2级,30.5,7
2019-06-28,36,26,阴,西南风,2级,31.0,10
2019-06-29,25,23,阴,北风,微风,24.0,2
2019-06-30,31,26,阴,西北风,3级,28.5,5
2019-05-01,26,16,阴,西北风,3级,21.0,10
2019-05-02,24,14,阴,东北风,2级,19.0,10
2019-05-03,29,19,多云,东北风,2级,24.0,10
2019-05-04,27,19,阴,东南风,2级,23.0,8
2019-05-05,21,17,阴,东北风,4级,19.0,4
2019-05-06,20,17,阴,西北风,3级,18.5,3
2019-05-07,16,14,阴,西北风,2级,15.0,2
2019-05-08,21,14,阴,北风,微风,17.5,7
2019-05-09,25,17,多云,西北风,2级,21.0,8
2019-05-10,28,18,多云,西北风,1级,23.0,10
2019-05-11,31,19,多云,南风,2级,25.0,12
2019-05-12,26,19,阴,北风,3级,22.5,7
2019-05-13,20,17,阴,西北风,3级,18.5,3
2019-05-14,23,20,阴,西北风,2级,21.5,3
2019-05-15,19,17,阴,西北风,2级,18.0,2
2019-05-16,19,18,阴,西北风,2级,18.5,1
2019-05-17,24,20,阴,西北风,2级,22.0,4
2019-05-18,29,22,多云,西北风,2级,25.5,7
2019-05-19,24,18,阴,西北风,4级,21.0,6
2019-05-20,22,18,阴,西北风,2级,20.0,4
2019-05-21,22,18,阴,西北风,2级,20.0,4
2019-05-22,29,18,多云,西南风,1级,23.5,11
2019-05-23,31,21,晴,东南风,3级,26.0,10
2019-05-24,32,25,晴,东南风,3级,28.5,7
2019-05-25,29,25,阴,东南风,4级,27.0,4
2019-05-26,30,23,阴,东南风,2级,26.5,7
2019-05-27,31,23,阴,东北风,1级,27.0,8
2019-05-28,27,19,多云,西北风,4级,23.0,8
2019-05-29,25,19,多云,西北风,2级,22.0,6
2019-05-30,20,19,阴,西北风,2级,19.5,1
2019-05-31,26,21,多云,东南风,2级,23.5,5
2019-04-01,21,12,阴,东南风,4级,16.5,9
2019-04-02,14,12,阴,东北风,2级,13.0,2
2019-04-03,13,12,阴,北风,微风,12.5,1
2019-04-04,16,11,阴,西南风,2级,13.5,5
2019-04-05,24,14,多云,东南风,2级,19.0,10
2019-04-06,29,17,多云,东南风,3级,23.0,12
2019-04-07,32,20,晴,东南风,3级,26.0,12
2019-04-08,32,22,多云,东南风,5级,27.0,10
2019-04-09,31,11,多云,西北风,4级,21.0,20
2019-04-10,10,9,阴,西北风,3级,9.5,1
2019-04-11,13,9,阴,北风,微风,11.0,4
2019-04-12,19,14,阴,东南风,3级,16.5,5
2019-04-13,18,16,阴,南风,微风,17.0,2
2019-04-14,18,12,阴,西北风,2级,15.0,6
2019-04-15,21,13,阴,西北风,3级,17.0,8
2019-04-16,24,13,阴,东南风,2级,18.5,11
2019-04-17,26,18,晴,东南风,3级,22.0,8
2019-04-18,27,20,阴,东南风,3级,23.5,7
2019-04-19,30,21,阴,东南风,3级,25.5,9
2019-04-20,25,19,阴,西北风,2级,22.0,6
2019-04-21,19,17,阴,西北风,3级,18.0,2
2019-04-22,21,19,阴,西北风,2级,20.0,2
2019-04-23,25,20,阴,西南风,1级,22.5,5
2019-04-24,29,21,阴,西南风,1级,25.0,8
2019-04-25,31,22,阴,东北风,2级,26.5,9
2019-04-26,29,19,多云,东北风,3级,24.0,10
2019-04-27,17,15,阴,西北风,2级,16.0,2
2019-04-28,14,12,阴,西北风,2级,13.0,2
2019-04-29,13,12,阴,西北风,2级,12.5,1
2019-04-30,19,14,多云,东北风,1级,16.5,5
2019-03-01,8,6,阴,西北风,2级,7.0,2
2019-03-02,8,5,阴,西北风,3级,6.5,3
2019-03-03,14,4,多云,东南风,2级,9.0,10
2019-03-04,18,4,阴,东北风,3级,11.0,14
2019-03-05,11,7,阴,西北风,3级,9.0,4
2019-03-06,13,8,阴,西北风,微风,10.5,5
2019-03-07,15,9,阴,西南风,2级,12.0,6
2019-03-08,9,7,阴,西北风,3级,8.0,2
2019-03-09,11,6,阴,西南风,2级,8.5,5
2019-03-10,19,6,多云,西北风,2级,12.5,13
2019-03-11,21,8,晴,西北风,2级,14.5,13
2019-03-12,24,10,多云,西北风,2级,17.0,14
2019-03-13,19,12,阴,西北风,4级,15.5,7
2019-03-14,16,11,多云,西北风,2级,13.5,5
2019-03-15,19,12,多云,西南风,2级,15.5,7
2019-03-16,14,10,阴,东南风,2级,12.0,4
2019-03-17,13,8,阴,东北风,1级,10.5,5
2019-03-18,21,12,阴,东南风,1级,16.5,9
2019-03-19,25,19,阴,东南风,4级,22.0,6
2019-03-20,33,18,多云,东南风,微风,25.5,15
2019-03-21,20,9,阴,西北风,5级,14.5,11
2019-03-22,8,7,阴,西北风,4级,7.5,1
2019-03-23,11,7,阴,西北风,1级,9.0,4
2019-03-24,11,6,阴,西南风,1级,8.5,5
2019-03-25,18,8,阴,东北风,2级,13.0,10
2019-03-26,16,12,阴,东南风,2级,14.0,4
2019-03-27,24,16,阴,东北风,3级,20.0,8
2019-03-28,21,14,阴,西北风,2级,17.5,7
2019-03-29,21,12,阴,东北风,1级,16.5,9
2019-03-30,23,11,阴,西北风,3级,17.0,12
2019-03-31,13,9,阴,南风,微风,11.0,4
2019-02-01,9,3,多云,东南风,3级,6.0,6
2019-02-02,17,10,阴,西北风,3级,13.5,7
2019-02-03,11,7,阴,西北风,3级,9.0,4
2019-02-04,10,7,阴,西北风,2级,8.5,3
2019-02-05,11,8,阴,东南风,3级,9.5,3
2019-02-06,23,10,多云,西北风,3级,16.5,13
2019-02-07,9,4,阴,西北风,4级,6.5,5
2019-02-08,2,1,雨夹雪,西北风,4级,1.5,1
2019-02-09,1,0,雨夹雪,西北风,3级,0.5,1
2019-02-10,0,0,雨夹雪,西北风,2级,0.0,0
2019-02-11,1,1,阴,北风,微风,1.0,0
2019-02-12,3,3,阴,西北风,3级,3.0,0
2019-02-13,3,3,雨夹雪,西北风,3级,3.0,0
2019-02-14,4,3,阴,西北风,3级,3.5,1
2019-02-15,3,2,阴,西北风,3级,2.5,1
2019-02-16,3,3,阴,西北风,3级,3.0,0
2019-02-17,2,2,阴,北风,微风,2.0,0
2019-02-18,1,1,阴,西北风,2级,1.0,0
2019-02-19,3,2,阴,西北风,2级,2.5,1
2019-02-20,3,2,阴,西北风,3级,2.5,1
2019-02-21,4,3,阴,西北风,3级,3.5,1
