日期,最高气温,最低气温,天气,风向,风力,平均气温,温差
2019-09-01,10,8,阴,东北风,1级,9.0,2
2019-09-02,11,8,阴,西北风,1级,9.5,3
2019-09-03,11,8,小雨,西北风,2级,9.5,3
2019-09-04,12,9,阴,北风,3级,10.5,3
2019-09-05,13,13,阴,东北风,1级,13.0,0
2019-09-06,15,10,雾,西南风,2级,12.5,5
2019-09-07,12,10,阴,东南风,1级,11.0,2
2019-09-08,12,10,阴,东南风,1级,11.0,2
2019-09-09,14,10,阴,东北风,2级,12.0,4
2019-09-10,13,10,阴,东北风,3级,11.5,3
2019-09-11,16,12,雾,东北风,1级,14.0,4
2019-09-12,18,13,雾,西北风,1级,15.5,5
2019-09-13,12,7,阴,东北风,2级,9.5,5
2019-09-14,11,7,阴,西南风,2级,9.0,4
2019-09-15,8,8,阴,西南风,1级,8.0,0
2019-09-16,8,6,阴,东北风,1级,7.0,2
2019-09-17,7,5,阴,西南风,1级,6.0,2
2019-09-18,10,5,阴,西南风,1级,7.5,5
2019-09-19,8,4,阴,东南风,2级,6.0,4
2019-09-20,3,2,阴,西南风,3级,2.5,1
2019-09-21,10,4,阴,西南风,2级,7.0,6
2019-09-22,8,4,雾,西风,2级,6.0,4
2019-09-23,9,2,雾,东北风,1级,5.5,7
2019-09-24,4,3,阴,西南风,1级,3.5,1
2019-09-25,9,2,雾,东南风,1级,5.5,7
2019-09-26,10,4,雾,西北风,2级,7.0,6
2019-09-27,12,4,阴,西南风,2级,8.0,8
2019-09-28,14,6,雾,西北风,2级,10.0,8
2019-09-29,12,7,阴,西北风,2级,9.5,5
2019-09-30,10,7,阴,西北风,1级,8.5,3
2019-08-01,14,9,大雨,东北风,1级,11.5,5
2019-08-02,16,10,小雨,西北风,2级,13.0,6
2019-08-03,13,10,中雨,东南风,1级,11.5,3
2019-08-04,16,13,雾,东北风,1级,14.5,3
2019-08-05,14,10,雾,东北风,2级,12.0,4
2019-08-06,13,9,小雨,东南风,1级,11.0,4
2019-08-07,18,9,多云,东南风,1级,13.5,9
2019-08-08,15,9,雾,西北风,1级,12.0,6
2019-08-09,13,9,大雨,西南风,1级,11.0,4
2019-08-10,18,10,晴,西南风,2级,14.0,8
2019-08-11,20,11,晴,东南风,1级,15.5,9
2019-08-12,19,11,雾,西南风,1级,15.0,8
2019-08-13,15,10,小雨,西南风,2级,12.5,5
2019-08-14,17,13,小雨,东南风,1级,15.0,4
2019-08-15,18,10,晴,东南风,1级,14.0,8
2019-08-16,20,11,晴,西南风,1级,15.5,9
2019-08-17,16,11,雾,西南风,2级,13.5,5
2019-08-18,15,15,小雨,西北风,2级,15.0,0
2019-08-19,17,12,小雨,东北风,2级,14.5,5
2019-08-20,19,11,雾,东北风,1级,15.0,8
2019-08-21,15,11,小雨,西北风,1级,13.0,4
2019-08-22,14,9,大雨,西南风,1级,11.5,5
2019-08-23,13,10,小雨,西南风,3级,11.5,3
2019-08-24,15,14,阴,西南风,1级,14.5,1
2019-08-25,16,11,小雨,西北风,2级,13.5,5
2019-08-26,16,11,小雨,西北风,2级,13.5,5
2019-08-27,14,9,小雨,东南风,1级,11.5,5
2019-08-28,15,9,雾,西南风,4级,12.0,6
2019-08-29,10,7,雾,东南风,1级,8.5,3
2019-08-30,10,5,阴,西北风,2级,7.5,5
2019-08-31,8,6,阴,东南风,1级,7.0,2
