日期,最高气温,最低气温,天气,风向,风力,平均气温,温差
2019-09-01,31,20,多云,东南风,2级,25.5,11
2019-09-02,32,19,晴,西南风,1级,25.5,13
2019-09-03,32,20,多云,东北风,3级,26.0,12
2019-09-04,32,21,多云,东南风,2级,26.5,11
2019-09-05,34,22,多云,东北风,3级,28.0,12
2019-09-06,33,22,晴,西南风,3级,27.5,11
2019-09-07,32,23,多云,西北风,2级,27.5,9
2019-09-08,32,24,阴,东南风,2级,28.0,8
2019-09-09,26,24,阴,东北风,2级,25.0,2
2019-09-10,31,23,阴,南风,2级,27.0,8
2019-09-11,34,23,阴,东南风,2级,28.5,11
2019-09-12,37,24,多云,东北风,3级,30.5,13
2019-09-13,36,22,多云,东北风,2级,29.0,14
2019-09-14,28,21,阴,东北风,3级,24.5,7
2019-09-15,29,21,多云,东风,3级,25.0,8
2019-09-16,23,20,阴,东北风,3级,21.5,3
2019-09-17,25,18,阴,东北风,3级,21.5,7
2019-09-18,18,17,小雨,东北风,3级,17.5,1
2019-09-19,24,19,多云,东南风,1级,21.5,5
2019-09-20,22,16,阴,东南风,2级,19.0,6
2019-09-21,30,16,多云,东南风,3级,23.0,14
2019-09-22,29,16,晴,东南风,3级,22.5,13
2019-09-23,31,18,多云,东南风,2级,24.5,13
2019-09-24,29,19,阴,西南风,2级,24.0,10
2019-09-25,26,17,阴,东南风,2级,21.5,9
2019-09-26,31,16,晴,西南风,2级,23.5,15
2019-09-27,32,16,晴,东北风,3级,24.0,16
2019-09-28,33,17,晴,西南风,2级,25.0,16
2019-09-29,34,17,晴,东北风,1级,25.5,17
2019-09-30,34,19,晴,东北风,2级,26.5,15
2019-08-01,36,23,多云,东南风,1级,29.5,13
2019-08-02,36,24,阴,西北风,1级,30.0,12
2019-08-03,32,23,小雨,西南风,2级,27.5,9
2019-08-04,33,24,小雨,东南风,2级,28.5,9
2019-08-05,36,24,阴,西南风,2级,30.0,12
2019-08-06,34,24,阴,西南风,3级,29.0,10
2019-08-07,28,25,阴,东北风,3级,26.5,3
2019-08-08,34,24,多云,东北风,2级,29.0,10
2019-08-09,38,24,多云,东北风,4级,31.0,14
2019-08-10,38,23,多云,东南风,2级,30.5,15
2019-08-11,38,23,晴,东北风,2级,30.5,15
2019-08-12,39,23,阴,东北风,3级,31.0,16
2019-08-13,38,23,多云,东北风,3级,30.5,15
2019-08-14,38,24,晴,东南风,2级,31.0,14
2019-08-15,39,23,晴,西南风,1级,31.0,16
2019-08-16,41,24,晴,西南风,1级,32.5,17
2019-08-17,41,24,多云,东南风,3级,32.5,17
2019-08-18,33,24,小雨,东北风,3级,28.5,9
2019-08-19,37,24,多云,东北风,2级,30.5,13
2019-08-20,37,25,多云,东北风,3级,31.0,12
2019-08-21,35,25,阴,东北风,4级,30.0,10
2019-08-22,36,24,多云,东北风,2级,30.0,12
2019-08-23,35,24,多云,东北风,3级,29.5,11
2019-08-24,37,24,多云,东北风,3级,30.5,13
2019-08-25,37,23,晴,东北风,1级,30.0,14
2019-08-26,37,25,多云,东北风,4级,31.0,12
2019-08-27,31,24,阴,东北风,3级,27.5,7
2019-08-28,26,23,小雨,东北风,1级,24.5,3
2019-08-29,36,21,多云,东南风,2级,28.5,15
2019-08-30,34,21,多云,东北风,3级,27.5,13
2019-08-31,29,20,阴,西北风,4级,24.5,9
2019-07-01,32,21,多云,东北风,3级,26.5,11
2019-07-02,34,21,多云,东北风,2级,27.5,13
2019-07-03,34,22,多云,东北风,3级,28.0,12
2019-07-04,24,19,小雨,东南风,2级,21.5,5
2019-07-05,30,20,晴,西北风,2级,25.0,10
2019-07-06,32,22,阴,西北风,2级,27.0,10
2019-07-07,30,22,小雨,东北风,3级,26.0,8
2019-07-08,24,19,中雨,东北风,1级,21.5,5
2019-07-09,29,19,阴,西南风,2级,24.0,10
2019-07-10,32,20,多云,东北风,2级,26.0,12
2019-07-11,28,21,阴,西南风,1级,24.5,7
2019-07-12,24,20,小雨,西南风,1级,22.0,4
2019-07-13,32,21,多云,西南风,3级,26.5,11
2019-07-14,34,22,多云,东南风,3级,28.0,12
2019-07-15,33,23,阴,东北风,2级,28.0,10
2019-07-16,30,23,阴,东南风,3级,26.5,7
2019-07-17,31,24,小雨,东南风,2级,27.5,7
2019-07-18,34,24,阴,东北风,4级,29.0,10
2019-07-19,33,23,阴,东北风,2级,28.0,10
2019-07-20,36,24,阴,东南风,2级,30.0,12
2019-07-21,35,25,阴,东北风,2级,30.0,10
2019-07-22,38,25,阴,东北风,1级,31.5,13
2019-07-23,36,26,阴,东北风,2级,31.0,10
2019-07-24,36,25,阴,西南风,1级,30.5,11
2019-07-25,39,24,阴,东南风,1级,31.5,15
2019-07-26,38,25,多云,东南风,2级,31.5,13
2019-07-27,39,25,多云,西北风,3级,32.0,14
2019-07-28,41,26,多云,东北风,3级,33.5,15
2019-07-29,40,27,多云,东南风,2级,33.5,13
