日期,最高气温,最低气温,天气,风向,风力,平均气温,温差
2019-09-01,31,21,阴,东南风,2级,26.0,10
2019-09-02,33,23,晴,东南风,2级,28.0,10
2019-09-03,33,21,多云,西南风,2级,27.0,12
2019-09-04,32,23,晴,东南风,1级,27.5,9
2019-09-05,29,18,阴,东南风,3级,23.5,11
2019-09-06,28,19,阴,西南风,3级,23.5,9
2019-09-07,24,16,多云,西南风,2级,20.0,8
2019-09-08,27,15,多云,东南风,1级,21.0,12
2019-09-09,29,18,多云,东北风,1级,23.5,11
2019-09-10,30,14,阴,西风,6级,22.0,16
2019-09-11,22,11,阴,东北风,1级,16.5,11
2019-09-12,22,13,晴,东北风,1级,17.5,9
2019-09-13,25,12,多云,西北风,1级,18.5,13
2019-09-14,26,12,晴,西北风,1级,19.0,14
2019-09-15,27,14,晴,东南风,2级,20.5,13
2019-09-16,28,15,多云,东北风,2级,21.5,13
2019-09-17,26,17,多云,东南风,2级,21.5,9
2019-09-18,28,12,多云,东南风,2级,20.0,16
2019-09-19,27,13,晴,西南风,3级,20.0,14
2019-09-20,27,13,阴,东南风,2级,20.0,14
2019-09-21,29,15,多云,东南风,2级,22.0,14
2019-09-22,29,15,晴,西北风,4级,22.0,14
2019-09-23,30,15,晴,西南风,2级,22.5,15
2019-09-24,29,14,晴,西南风,3级,21.5,15
2019-09-25,30,16,晴,西北风,3级,23.0,14
2019-09-26,31,15,晴,西风,2级,23.0,16
2019-09-27,32,15,晴,东南风,1级,23.5,17
2019-09-28,32,15,晴,西南风,2级,23.5,17
2019-09-29,31,16,晴,东南风,2级,23.5,15
2019-09-30,31,14,晴,东北风,3级,22.5,17
2019-08-01,33,24,多云,东北风,4级,28.5,9
2019-08-02,34,22,多云,东南风,2级,28.0,12
2019-08-03,36,26,多云,东北风,1级,31.0,10
2019-08-04,35,27,阴,西南风,2级,31.0,8
2019-08-05,28,25,阴,东南风,3级,26.5,3
2019-08-06,32,23,多云,东南风,2级,27.5,9
2019-08-07,33,21,多云,西北风,1级,27.0,12
2019-08-08,34,25,晴,东南风,2级,29.5,9
2019-08-09,36,25,晴,东南风,2级,30.5,11
2019-08-10,35,26,多云,东北风,4级,30.5,9
2019-08-11,31,20,多云,西北风,1级,25.5,11
2019-08-12,32,23,晴,西南风,2级,27.5,9
2019-08-13,35,20,晴,东风,2级,27.5,15
2019-08-14,37,25,晴,西北风,1级,31.0,12
2019-08-15,37,27,阴,东南风,2级,32.0,10
2019-08-16,34,22,多云,东北风,4级,28.0,12
2019-08-17,31,26,阴,东北风,3级,28.5,5
2019-08-18,28,23,阴,东北风,4级,25.5,5
2019-08-19,29,21,多云,东风,1级,25.0,8
2019-08-20,27,22,阴,西北风,3级,24.5,5
2019-08-21,22,20,多云,东南风,2级,21.0,2
2019-08-22,27,20,多云,西北风,2级,23.5,7
2019-08-23,30,19,晴,西南风,1级,24.5,11
2019-08-24,31,21,晴,西北风,1级,26.0,10
2019-08-25,31,22,多云,东北风,2级,26.5,9
2019-08-26,30,20,多云,东南风,2级,25.0,10
2019-08-27,32,20,晴,东南风,2级,26.0,12
2019-08-28,32,22,晴,东南风,2级,27.0,10
2019-08-29,33,20,多云,西南风,3级,26.5,13
2019-08-30,35,24,晴,西南风,2级,29.5,11
2019-08-31,30,25,阴,西北风,3级,27.5,5
2019-07-01,35,21,多云,东南风,2级,28.0,14
2019-07-02,35,25,阴,西北风,4级,30.0,10
2019-07-03,36,20,晴,东南风,2级,28.0,16
2019-07-04,34,20,多云,东北风,2级,27.0,14
2019-07-05,30,20,小雨,东南风,2级,25.0,10
2019-07-06,31,19,多云,东南风,5级,25.0,12
2019-07-07,33,19,多云,东南风,2级,26.0,14
2019-07-08,34,22,多云,西北风,3级,28.0,12
2019-07-09,30,25,阴,东北风,3级,27.5,5
2019-07-10,34,22,晴,东北风,2级,28.0,12
2019-07-11,31,18,小雨,东南风,1级,24.5,13
2019-07-12,32,21,晴,西北风,1级,26.5,11
2019-07-13,33,23,晴,西南风,4级,28.0,10
2019-07-14,29,25,阴,西南风,3级,27.0,4
2019-07-15,30,21,小雨,东北风,3级,25.5,9
2019-07-16,31,21,阴,东南风,3级,26.0,10
2019-07-17,32,23,晴,东南风,2级,27.5,9
2019-07-18,34,23,多云,东南风,2级,28.5,11
2019-07-19,33,24,阴,东北风,2级,28.5,9
2019-07-20,30,23,阴,东北风,4级,26.5,7
2019-07-21,32,19,多云,东南风,3级,25.5,13
2019-07-22,30,22,多云,东南风,2级,26.0,8
2019-07-23,32,24,阴,西北风,3级,28.0,8
2019-07-24,35,26,晴,西南风,3级,30.5,9
2019-07-25,31,23,阴,东北风,4级,27.0,8
2019-07-26,29,20,多云,东南风,2级,24.5,9
2019-07-27,30,22,多云,西北风,3级,26.0,8
2019-07-28,32,23,多云,东南风,2级,27.5,9
2019-07-29,34,24,晴,东南风,2级,29.0,10
2019-07-30,35,26,晴,东南风,2级,30.5,9
2019-07-31,32,25,阴,东南风,3级,28.5,7
2019-06-01,32,23,多云,西北风,3级,27.5,9
2019-06-02,32,26,阴,东南风,2级,29.0,6
