日期,最高气温,最低气温,天气,风向,风力,平均气温,温差
2019-09-01,21,9,阴,西南风,3级,15.0,12
2019-09-02,18,9,阴,东南风,4级,13.5,9
2019-09-03,17,9,小雨,东南风,5级,13.0,8
2019-09-04,19,7,阴,东南风,3级,13.0,12
2019-09-05,19,9,多云,东南风,4级,14.0,10
2019-09-06,17,9,阴,东南风,4级,13.0,8
2019-09-07,17,9,阴,东南风,4级,13.0,8
2019-09-08,19,10,阴,东南风,4级,14.5,9
2019-09-09,18,9,阴,东南风,3级,13.5,9
2019-09-10,20,8,阴,东南风,4级,14.0,12
2019-09-11,21,11,阴,东南风,5级,16.0,10
2019-09-12,19,10,多云,东南风,5级,14.5,9
2019-09-13,19,9,多云,西南风,3级,14.0,10
2019-09-14,17,8,阴,西南风,2级,12.5,9
2019-09-15,18,8,阴,西南风,3级,13.0,10
2019-09-16,18,8,阴,西南风,4级,13.0,10
2019-09-17,17,8,阴,东南风,5级,12.5,9
2019-09-18,20,4,多云,东南风,3级,12.0,16
2019-09-19,14,6,阴,东南风,3级,10.0,8
2019-09-20,16,5,阴,东南风,2级,10.5,11
2019-09-21,15,6,多云,东南风,4级,10.5,9
2019-09-22,16,5,阴,东南风,3级,10.5,11
2019-09-23,11,6,阴,东北风,2级,8.5,5
2019-09-24,14,2,阴,东南风,4级,8.0,12
2019-09-25,16,0,晴,东南风,5级,8.0,16
2019-09-26,17,1,晴,西南风,3级,9.0,16
2019-09-27,15,4,多云,东南风,5级,9.5,11
2019-09-28,11,3,阴,东南风,3级,7.0,8
2019-09-29,14,5,阴,东南风,4级,9.5,9
2019-09-30,14,7,阴,东南风,5级,10.5,7
2019-08-01,16,11,小雨,西南风,2级,13.5,5
2019-08-02,13,12,小雨,东南风,4级,12.5,1
2019-08-03,17,11,中雨,东南风,4级,14.0,6
2019-08-04,18,10,阴,东南风,4级,14.0,8
2019-08-05,18,10,阴,东南风,7级,14.0,8
2019-08-06,17,10,小雨,东南风,5级,13.5,7
2019-08-07,19,8,阴,东南风,3级,13.5,11
2019-08-08,18,9,小雨,东南风,4级,13.5,9
2019-08-09,18,7,小雨,东南风,5级,12.5,11
2019-08-10,20,9,小雨,东南风,4级,14.5,11
2019-08-11,16,9,中雨,西南风,3级,12.5,7
2019-08-12,20,9,多云,东南风,5级,14.5,11
2019-08-13,18,11,小雨,东南风,4级,14.5,7
2019-08-14,20,9,阴,东南风,4级,14.5,11
2019-08-15,22,10,阴,东南风,3级,16.0,12
2019-08-16,22,9,阴,东南风,4级,15.5,13
2019-08-17,21,8,多云,东南风,3级,14.5,13
2019-08-18,22,9,多云,东南风,3级,15.5,13
2019-08-19,21,9,多云,西南风,2级,15.0,12
2019-08-20,22,9,阴,东南风,4级,15.5,13
2019-08-21,22,9,多云,东南风,4级,15.5,13
2019-08-22,22,8,多云,东南风,3级,15.0,14
2019-08-23,22,9,多云,东南风,4级,15.5,13
2019-08-24,17,8,小雨,东南风,3级,12.5,9
2019-08-25,20,7,多云,东南风,4级,13.5,13
2019-08-26,20,9,多云,东南风,2级,14.5,11
2019-08-27,22,9,多云,东南风,3级,15.5,13
2019-08-28,22,10,晴,东南风,5级,16.0,12
2019-08-29,20,9,阴,东南风,3级,14.5,11
2019-08-30,21,10,阴,东南风,5级,15.5,11
2019-08-31,21,10,阴,东南风,5级,15.5,11
2019-07-01,26,12,阴,东南风,4级,19.0,14
2019-07-02,25,12,多云,东南风,4级,18.5,13
2019-07-03,22,12,小雨,东南风,5级,17.0,10
2019-07-04,21,10,小雨,东南风,4级,15.5,11
2019-07-05,20,12,小雨,东南风,4级,16.0,8
2019-07-06,23,13,阴,东南风,4级,18.0,10
2019-07-07,21,11,小雨,东南风,4级,16.0,10
2019-07-08,19,11,小雨,东南风,2级,15.0,8
2019-07-09,18,10,小雨,东南风,5级,14.0,8
2019-07-10,20,11,小雨,东南风,3级,15.5,9
2019-07-11,21,11,小雨,西南风,3级,16.0,10
2019-07-12,20,11,阴,西南风,2级,15.5,9
2019-07-13,18,10,小雨,东南风,3级,14.0,8
2019-07-14,19,11,小雨,东南风,4级,15.0,8
2019-07-15,19,11,多云,东南风,3级,15.0,8
2019-07-16,21,10,多云,东南风,4级,15.5,11
2019-07-17,20,9,阴,东南风,5级,14.5,11
2019-07-18,21,6,阴,东南风,5级,13.5,15
2019-07-19,19,11,小雨,东南风,4级,15.0,8
2019-07-20,21,11,阴,东南风,4级,16.0,10
2019-07-21,17,11,小雨,西北风,3级,14.0,6
2019-07-22,19,12,小雨,东南风,4级,15.5,7
2019-07-23,18,12,小雨,东南风,4级,15.0,6
2019-07-24,20,9,多云,东南风,3级,14.5,11
2019-07-25,21,10,阴,东南风,4级,15.5,11
2019-07-26,18,12,阴,东南风,4级,15.0,6
2019-07-27,20,9,阴,东南风,4级,14.5,11
2019-07-28,17,9,小雨,东南风,5级,13.0,8
2019-07-29,21,12,阴,东南风,5级,16.5,9
2019-07-30,16,11,中雨,东南风,5级,13.5,5
2019-07-31,19,10,小雨,东南风,4级,14.5,9
2019-06-01,19,5,多云,西南风,2级,12.0,14
2019-06-02,20,5,阴,东南风,5级,12.5,15
2019-06-03,19,7,阴,东南风,6级,13.0,12
2019-06-04,21,7,阴,东南风,3级,14.0,14
2019-06-05,23,5,多云,东南风,5级,14.0,18
2019-06-06,25,9,晴,东南风,4级,17.0,16
2019-06-07,23,8,阴,西南风,4级,15.5,15
2019-06-08,23,8,阴,东南风,4级,15.5,15
2019-06-09,23,8,多云,西南风,4级,15.5,15
2019-06-10,21,8,阴,西南风,4级,14.5,13
2019-06-11,21,8,多云,东南风,3级,14.5,13
2019-06-12,25,9,晴,东南风,5级,17.0,16
2019-06-13,25,10,多云,东南风,5级,17.5,15
2019-06-14,26,11,晴,东南风,4级,18.5,15
2019-06-15,24,10,多云,东南风,5级,17.0,14
2019-06-16,26,10,晴,东南风,4级,18.0,16
2019-06-17,25,9,多云,西南风,4级,17.0,16
2019-06-18,22,10,阴,东南风,4级,16.0,12
2019-06-19,23,9,多云,东南风,4级,16.0,14
2019-06-20,24,10,多云,东南风,5级,17.0,14
2019-06-21,19,11,多云,东南风,5级,15.0,8
2019-06-22,22,10,多云,东南风,4级,16.0,12
2019-06-23,24,10,晴,东南风,4级,17.0,14
2019-06-24,26,11,阴,东南风,5级,18.5,15
2019-06-25,27,11,多云,西南风,3级,19.0,16
2019-06-26,29,13,晴,西南风,3级,21.0,16
2019-06-27,26,12,多云,西南风,3级,19.0,14
2019-06-28,26,11,阴,东南风,5级,18.5,15
2019-06-29,25,11,阴,东南风,5级,18.0,14
2019-06-30,26,10,多云,东南风,4级,18.0,16
2019-05-01,19,2,多云,西南风,3级,10.5,17
2019-05-02,19,4,晴,西南风,3级,11.5,15
2019-05-03,20,6,多云,东南风,5级,13.0,14
2019-05-04,20,6,阴,东南风,4级,13.0,14
2019-05-05,21,6,多云,西南风,4级,13.5,15
2019-05-06,18,7,晴,西南风,4级,12.5,11
2019-05-07,20,7,晴,西南风,4级,13.5,13
2019-05-08,20,5,晴,西南风,4级,12.5,15
2019-05-09,20,5,晴,西南风,4级,12.5,15
2019-05-10,21,6,多云,西南风,4级,13.5,15
2019-05-11,19,5,多云,西北风,1级,12.0,14
2019-05-12,18,4,多云,东南风,3级,11.0,14
2019-05-13,18,5,多云,西南风,2级,11.5,13
2019-05-14,18,5,多云,西南风,4级,11.5,13
2019-05-15,19,3,阴,西南风,4级,11.0,16
2019-05-16,18,5,多云,西南风,4级,11.5,13
2019-05-17,20,5,多云,西南风,4级,12.5,15
2019-05-18,21,5,多云,西南风,3级,13.0,16
2019-05-19,19,5,阴,西南风,3级,12.0,14
2019-05-20,19,6,多云,西南风,4级,12.5,13
2019-05-21,21,5,多云,西南风,3级,13.0,16
2019-05-22,20,6,多云,西南风,5级,13.0,14
2019-05-23,16,6,多云,西南风,3级,11.0,10
2019-05-24,18,5,多云,东南风,3级,11.5,13
2019-05-25,21,5,多云,西南风,5级,13.0,16
2019-05-26,21,6,多云,西南风,4级,13.5,15
2019-05-27,21,6,晴,西南风,4级,13.5,15
2019-05-28,20,7,多云,东南风,4级,13.5,13
2019-05-29,18,7,多云,西南风,4级,12.5,11
2019-05-30,20,5,多云,东南风,3级,12.5,15
2019-05-31,17,4,多云,东南风,4级,10.5,13
2019-04-01,11,-2,阴,西南风,4级,4.5,13
2019-04-02,10,0,多云,西北风,2级,5.0,10
2019-04-03,11,-4,多云,东南风,4级,3.5,15
