日期,最高气温,最低气温,天气,风向,风力,平均气温,温差
2019-09-01,20,12,阴,西北风,2级,16.0,8
2019-09-02,28,16,多云,东南风,2级,22.0,12
2019-09-03,27,18,多云,西北风,2级,22.5,9
2019-09-04,23,18,阴,东南风,1级,20.5,5
2019-09-05,29,18,多云,东南风,1级,23.5,11
2019-09-06,33,19,多云,东南风,2级,26.0,14
2019-09-07,27,21,多云,西南风,1级,24.0,6
2019-09-08,27,22,阴,西北风,1级,24.5,5
2019-09-09,27,21,阴,西北风,2级,24.0,6
2019-09-10,21,19,阴,西北风,1级,20.0,2
2019-09-11,25,17,阴,西北风,2级,21.0,8
2019-09-12,32,19,阴,西北风,3级,25.5,13
2019-09-13,21,16,阴,西北风,2级,18.5,5
2019-09-14,18,16,阴,西北风,3级,17.0,2
2019-09-15,16,15,阴,西北风,2级,15.5,1
2019-09-16,16,15,阴,东南风,2级,15.5,1
2019-09-17,17,15,阴,东南风,2级,16.0,2
2019-09-18,19,15,小雨,东南风,3级,17.0,4
2019-09-19,16,14,阴,西北风,1级,15.0,2
2019-09-20,19,12,雾,西北风,1级,15.5,7
2019-09-21,27,12,多云,东北风,1级,19.5,15
2019-09-22,28,12,晴,东南风,1级,20.0,16
2019-09-23,27,15,阴,西北风,2级,21.0,12
2019-09-24,20,15,阴,西北风,2级,17.5,5
2019-09-25,27,12,雾,东南风,1级,19.5,15
2019-09-26,29,13,晴,东南风,3级,21.0,16
2019-09-27,28,13,多云,东南风,2级,20.5,15
2019-09-28,29,14,晴,东南风,2级,21.5,15
2019-09-29,29,15,晴,东南风,1级,22.0,14
2019-09-30,31,16,多云,东南风,2级,23.5,15
2019-08-01,25,20,中雨,东南风,1级,22.5,5
2019-08-02,30,22,阴,东南风,2级,26.0,8
2019-08-03,29,21,小雨,东南风,2级,25.0,8
2019-08-04,32,22,阴,东南风,2级,27.0,10
2019-08-05,32,22,阴,东南风,2级,27.0,10
2019-08-06,25,21,中雨,西北风,2级,23.0,4
2019-08-07,30,22,小雨,东南风,2级,26.0,8
2019-08-08,33,22,阴,东南风,4级,27.5,11
2019-08-09,25,20,中雨,东南风,1级,22.5,5
2019-08-10,32,18,晴,西北风,2级,25.0,14
2019-08-11,34,20,晴,东南风,1级,27.0,14
2019-08-12,34,18,晴,东南风,2级,26.0,16
2019-08-13,35,19,晴,东南风,2级,27.0,16
2019-08-14,32,19,多云,东南风,微风,25.5,13
2019-08-15,35,18,晴,东南风,2级,26.5,17
2019-08-16,35,21,晴,东南风,2级,28.0,14
2019-08-17,34,21,多云,东南风,3级,27.5,13
2019-08-18,34,22,多云,西北风,1级,28.0,12
2019-08-19,34,22,多云,西北风,微风,28.0,12
2019-08-20,34,23,阴,西北风,2级,28.5,11
2019-08-21,26,22,小雨,西南风,1级,24.0,4
2019-08-22,30,22,小雨,东南风,3级,26.0,8
2019-08-23,34,22,阴,东南风,微风,28.0,12
2019-08-24,33,22,多云,东南风,1级,27.5,11
2019-08-25,35,21,多云,东南风,2级,28.0,14
2019-08-26,34,22,多云,西北风,微风,28.0,12
2019-08-27,24,21,阴,西南风,1级,22.5,3
2019-08-28,26,18,小雨,西北风,2级,22.0,8
2019-08-29,34,17,晴,东南风,2级,25.5,17
2019-08-30,31,18,多云,东南风,2级,24.5,13
2019-08-31,31,18,阴,西北风,3级,24.5,13
2019-07-01,33,19,多云,东南风,2级,26.0,14
2019-07-02,33,20,阴,东南风,2级,26.5,13
2019-07-03,33,20,阴,西北风,2级,26.5,13
2019-07-04,22,18,小雨,南风,2级,20.0,4
2019-07-05,31,18,晴,西北风,2级,24.5,13
2019-07-06,31,19,阴,东南风,1级,25.0,12
2019-07-07,32,19,阴,东南风,2级,25.5,13
2019-07-08,21,17,大雨,东北风,1级,19.0,4
2019-07-09,27,17,多云,东南风,2级,22.0,10
2019-07-10,31,18,多云,东南风,微风,24.5,13
2019-07-11,28,20,阴,西北风,1级,24.0,8
2019-07-12,26,17,小雨,东南风,3级,21.5,9
2019-07-13,32,18,多云,东南风,2级,25.0,14
2019-07-14,33,19,多云,东南风,2级,26.0,14
2019-07-15,32,21,阴,西北风,1级,26.5,11
2019-07-16,25,20,阴,西北风,2级,22.5,5
2019-07-17,24,21,小雨,西北风,3级,22.5,3
2019-07-18,26,21,小雨,东南风,2级,23.5,5
2019-07-19,30,20,阴,东南风,2级,25.0,10
2019-07-20,32,22,阴,西南风,1级,27.0,10
2019-07-21,35,22,阴,东南风,3级,28.5,13
2019-07-22,34,22,阴,西北风,1级,28.0,12
2019-07-23,27,22,小雨,西北风,微风,24.5,5
2019-07-24,32,22,雾,西北风,2级,27.0,10
2019-07-25,33,21,小雨,东南风,1级,27.0,12
2019-07-26,35,20,阴,西北风,1级,27.5,15
2019-07-27,35,24,多云,东南风,2级,29.5,11
2019-07-28,38,25,阴,东北风,1级,31.5,13
2019-07-29,33,23,阴,西北风,2级,28.0,10
2019-07-30,29,22,小雨,东南风,1级,25.5,7
2019-07-31,34,22,阴,西南风,2级,28.0,12
2019-06-01,30,14,阴,东南风,2级,22.0,16
2019-06-02,34,16,晴,东南风,2级,25.0,18
2019-06-03,34,15,晴,东南风,2级,24.5,19
2019-06-04,36,19,晴,东南风,3级,27.5,17
2019-06-05,20,18,阴,西北风,2级,19.0,2
2019-06-06,27,15,多云,东南风,2级,21.0,12
2019-06-07,32,19,晴,东南风,1级,25.5,13
2019-06-08,30,19,阴,东南风,2级,24.5,11
2019-06-09,29,18,阴,西北风,2级,23.5,11
2019-06-10,33,19,多云,东南风,2级,26.0,14
2019-06-11,22,17,阴,东南风,4级,19.5,5
2019-06-12,25,16,多云,东南风,2级,20.5,9
2019-06-13,31,17,晴,东南风,2级,24.0,14
2019-06-14,29,19,晴,东南风,2级,24.0,10
2019-06-15,25,19,小雨,东南风,2级,22.0,6
2019-06-16,26,19,阴,东南风,2级,22.5,7
2019-06-17,22,18,小雨,东南风,1级,20.0,4
2019-06-18,30,20,阴,西北风,2级,25.0,10
2019-06-19,27,21,阴,西北风,3级,24.0,6
2019-06-20,26,20,小雨,东南风,2级,23.0,6
2019-06-21,24,19,阴,东南风,2级,21.5,5
2019-06-22,22,19,小雨,东南风,2级,20.5,3
2019-06-23,30,19,阴,东南风,1级,24.5,11
2019-06-24,27,19,阴,西南风,1级,23.0,8
2019-06-25,32,20,多云,西南风,1级,26.0,12
2019-06-26,31,21,小雨,西北风,1级,26.0,10
2019-06-27,25,21,小雨,西北风,3级,23.0,4
2019-06-28,20,18,中雨,西北风,2级,19.0,2
2019-06-29,25,19,阴,西南风,1级,22.0,6
2019-06-30,30,18,雾,西北风,1级,24.0,12
2019-05-01,27,15,多云,东南风,3级,21.0,12
2019-05-02,22,12,阴,东南风,2级,17.0,10
2019-05-03,25,13,阴,西北风,2级,19.0,12
2019-05-04,28,16,阴,东南风,2级,22.0,12
2019-05-05,22,11,阴,东南风,2级,16.5,11
2019-05-06,14,10,阴,东南风,2级,12.0,4
2019-05-07,11,9,阴,西北风,2级,10.0,2
2019-05-08,19,11,阴,西北风,1级,15.0,8
2019-05-09,25,11,阴,东南风,1级,18.0,14
2019-05-10,29,13,阴,东南风,2级,21.0,16
2019-05-11,28,15,阴,东南风,2级,21.5,13
2019-05-12,27,13,阴,东南风,2级,20.0,14
2019-05-13,22,13,阴,东南风,2级,17.5,9
2019-05-14,19,13,阴,西北风,1级,16.0,6
2019-05-15,23,14,阴,西南风,1级,18.5,9
2019-05-16,18,15,阴,西北风,1级,16.5,3
2019-05-17,29,17,多云,东南风,1级,23.0,12
2019-05-18,23,17,阴,西北风,2级,20.0,6
2019-05-19,22,13,阴,西北风,微风,17.5,9
2019-05-20,19,12,阴,东南风,2级,15.5,7
2019-05-21,26,12,多云,东南风,2级,19.0,14
2019-05-22,32,13,多云,东南风,2级,22.5,19
2019-05-23,33,14,晴,西北风,2级,23.5,19
2019-05-24,31,15,阴,东南风,3级,23.0,16
2019-05-25,27,13,阴,东南风,2级,20.0,14
2019-05-26,34,16,晴,东南风,2级,25.0,18
2019-05-27,25,14,多云,西北风,3级,19.5,11
2019-05-28,16,12,阴,东南风,1级,14.0,4
2019-05-29,23,15,阴,西北风,2级,19.0,8
2019-05-30,26,13,阴,西北风,2级,19.5,13
2019-05-31,24,15,阴,东南风,1级,19.5,9
2019-04-01,25,9,多云,西北风,2级,17.0,16
2019-04-02,13,9,阴,东南风,1级,11.0,4
2019-04-03,15,8,雾,东北风,1级,11.5,7
2019-04-04,22,7,雾,东南风,2级,14.5,15
2019-04-05,28,7,多云,东南风,3级,17.5,21
2019-04-06,30,9,晴,东南风,2级,19.5,21
2019-04-07,32,10,晴,东南风,2级,21.0,22
2019-04-08,30,15,阴,西南风,2级,22.5,15
2019-04-09,22,10,阴,东南风,3级,16.0,12
2019-04-10,12,6,阴,西北风,3级,9.0,6
2019-04-11,22,9,晴,东南风,2级,15.5,13
2019-04-12,17,12,多云,西北风,1级,14.5,5
2019-04-13,22,11,阴,西北风,2级,16.5,11
2019-04-14,21,9,阴,东南风,2级,15.0,12
2019-04-15,22,9,阴,西北风,2级,15.5,13
2019-04-16,28,10,晴,西北风,2级,19.0,18
2019-04-17,26,12,多云,东南风,2级,19.0,14
2019-04-18,32,14,多云,东南风,2级,23.0,18
2019-04-19,28,13,阴,东南风,3级,20.5,15
2019-04-20,14,12,阴,北风,微风,13.0,2
2019-04-21,22,14,雾,东南风,4级,18.0,8
2019-04-22,21,12,阴,东南风,3级,16.5,9
2019-04-23,27,14,阴,西北风,2级,20.5,13
2019-04-24,32,16,晴,东北风,微风,24.0,16
2019-04-25,34,15,晴,东南风,4级,24.5,19
2019-04-26,19,9,阴,东南风,5级,14.0,10
2019-04-27,14,10,阴,东南风,2级,12.0,4
2019-04-28,12,8,阴,东南风,3级,10.0,4
2019-04-29,21,11,阴,西北风,3级,16.0,10
2019-04-30,24,10,阴,东南风,2级,17.0,14
2019-03-01,6,2,阴,东南风,3级,4.0,4
2019-03-02,8,0,阴,西北风,微风,4.0,8
2019-03-03,15,2,晴,东南风,2级,8.5,13
2019-03-04,11,2,阴,东南风,2级,6.5,9
2019-03-05,12,3,阴,西风,2级,7.5,9
2019-03-06,16,5,阴,东南风,2级,10.5,11
2019-03-07,12,1,阴,东南风,2级,6.5,11
2019-03-08,11,4,阴,东南风,2级,7.5,7
2019-03-09,18,1,阴,东南风,2级,9.5,17
2019-03-10,21,2,多云,西北风,3级,11.5,19
2019-03-11,18,2,多云,东南风,3级,10.0,16
2019-03-12,24,9,晴,东南风,2级,16.5,15
2019-03-13,8,2,阴,东南风,2级,5.0,6
2019-03-14,16,3,多云,西北风,2级,9.5,13
2019-03-15,20,5,阴,东北风,1级,12.5,15
2019-03-16,20,7,阴,东南风,2级,13.5,13
2019-03-17,19,3,阴,西北风,3级,11.0,16
2019-03-18,24,7,晴,东南风,3级,15.5,17
2019-03-19,20,10,阴,西北风,3级,15.0,10
2019-03-20,25,7,多云,东南风,3级,16.0,18
