日期,最高气温,最低气温,天气,风向,风力,平均气温,温差
2019-09-01,30,18,多云,东南风,1级,24.0,12
2019-09-02,29,17,多云,东南风,1级,23.0,12
2019-09-03,30,18,多云,南风,微风,24.0,12
2019-09-04,27,20,阴,西北风,2级,23.5,7
2019-09-05,30,19,晴,南风,2级,24.5,11
2019-09-06,30,21,多云,东北风,2级,25.5,9
2019-09-07,27,19,阴,西北风,微风,23.0,8
2019-09-08,33,20,晴,东北风,1级,26.5,13
2019-09-09,32,20,晴,东南风,2级,26.0,12
2019-09-10,31,19,多云,东北风,3级,25.0,12
2019-09-11,28,19,阴,东南风,1级,23.5,9
2019-09-12,28,20,多云,东北风,1级,24.0,8
2019-09-13,28,20,阴,西北风,3级,24.0,8
2019-09-14,28,19,多云,东北风,2级,23.5,9
2019-09-15,26,20,阴,西北风,微风,23.0,6
2019-09-16,29,16,多云,东北风,4级,22.5,13
2019-09-17,27,16,多云,西北风,微风,21.5,11
2019-09-18,26,11,晴,东北风,3级,18.5,15
2019-09-19,25,16,阴,北风,1级,20.5,9
2019-09-20,25,17,阴,东北风,1级,21.0,8
2019-09-21,28,17,多云,东北风,3级,22.5,11
2019-09-22,26,13,晴,西南风,微风,19.5,13
2019-09-23,26,12,晴,东南风,微风,19.0,14
2019-09-24,30,14,晴,东北风,1级,22.0,16
2019-09-25,28,15,阴,东北风,1级,21.5,13
2019-09-26,28,15,多云,东南风,1级,21.5,13
2019-09-27,29,15,晴,东北风,1级,22.0,14
2019-09-28,29,16,晴,东南风,1级,22.5,13
2019-09-29,30,17,晴,东南风,2级,23.5,13
2019-09-30,30,16,晴,东南风,2级,23.0,14
2019-08-01,32,25,小雨,东南风,2级,28.5,7
2019-08-02,27,23,小雨,东南风,微风,25.0,4
2019-08-03,31,24,阴,东南风,2级,27.5,7
2019-08-04,32,25,阴,东南风,2级,28.5,7
2019-08-05,32,24,阴,东南风,2级,28.0,8
2019-08-06,33,23,阴,东南风,2级,28.0,10
2019-08-07,31,24,阴,东南风,2级,27.5,7
2019-08-08,31,25,小雨,东南风,2级,28.0,6
2019-08-09,32,25,阴,东南风,3级,28.5,7
2019-08-10,30,24,小雨,东南风,2级,27.0,6
2019-08-11,26,24,暴雨,东北风,4级,25.0,2
2019-08-12,25,23,阴,西南风,4级,24.0,2
2019-08-13,26,23,阴,西南风,2级,24.5,3
2019-08-14,25,23,阴,西北风,2级,24.0,2
2019-08-15,27,19,阴,西北风,2级,23.0,8
2019-08-16,27,19,小雨,西北风,2级,23.0,8
2019-08-17,29,17,晴,北风,微风,23.0,12
2019-08-18,31,18,晴,东南风,2级,24.5,13
2019-08-19,31,19,晴,东南风,2级,25.0,12
2019-08-20,30,20,小雨,东南风,3级,25.0,10
2019-08-21,28,18,阴,北风,微风,23.0,10
2019-08-22,30,18,多云,西北风,2级,24.0,12
2019-08-23,30,21,阴,东北风,1级,25.5,9
2019-08-24,30,20,阴,东北风,2级,25.0,10
2019-08-25,30,21,多云,东南风,2级,25.5,9
2019-08-26,28,21,阴,东北风,2级,24.5,7
2019-08-27,29,20,阴,西北风,1级,24.5,9
2019-08-28,31,19,多云,东北风,1级,25.0,12
2019-08-29,26,16,晴,西北风,1级,21.0,10
2019-08-30,28,16,晴,西北风,1级,22.0,12
2019-08-31,30,18,晴,西南风,1级,24.0,12
2019-07-01,32,19,晴,东北风,2级,25.5,13
2019-07-02,34,21,晴,东南风,3级,27.5,13
2019-07-03,34,20,多云,东南风,2级,27.0,14
2019-07-04,33,23,阴,东南风,2级,28.0,10
2019-07-05,34,23,晴,东南风,4级,28.5,11
2019-07-06,30,21,阴,东北风,1级,25.5,9
2019-07-07,25,19,雷阵雨,东北风,1级,22.0,6
2019-07-08,29,20,多云,东北风,2级,24.5,9
2019-07-09,28,20,阴,东南风,1级,24.0,8
2019-07-10,28,20,小雨,东南风,1级,24.0,8
2019-07-11,30,21,阴,东北风,3级,25.5,9
2019-07-12,30,21,多云,西南风,3级,25.5,9
2019-07-13,31,22,多云,东北风,1级,26.5,9
2019-07-14,30,22,多云,西北风,2级,26.0,8
2019-07-15,33,22,晴,东北风,3级,27.5,11
2019-07-16,31,22,阴,东南风,3级,26.5,9
2019-07-17,27,22,阴,东南风,2级,24.5,5
2019-07-18,31,24,多云,东南风,3级,27.5,7
2019-07-19,31,23,多云,东南风,1级,27.0,8
2019-07-20,33,25,多云,东北风,1级,29.0,8
2019-07-21,36,25,晴,东北风,2级,30.5,11
2019-07-22,37,25,多云,东南风,2级,31.0,12
2019-07-23,33,26,阴,东南风,2级,29.5,7
2019-07-24,35,26,多云,东南风,2级,30.5,9
2019-07-25,33,26,阴,东南风,3级,29.5,7
2019-07-26,36,25,多云,东南风,2级,30.5,11
2019-07-27,32,26,阴,东南风,3级,29.0,6
2019-07-28,33,27,多云,东南风,3级,30.0,6
2019-07-29,32,26,暴雨,东南风,3级,29.0,6
2019-07-30,31,25,小雨,东南风,2级,28.0,6
2019-07-31,34,26,阴,东南风,2级,30.0,8
2019-06-01,30,19,阴,东南风,3级,24.5,11
2019-06-02,31,20,多云,东南风,2级,25.5,11
2019-06-03,31,19,多云,西南风,5级,25.0,12
2019-06-04,33,20,阴,东南风,2级,26.5,13
2019-06-05,29,19,阴,东南风,3级,24.0,10
2019-06-06,22,16,阴,东北风,3级,19.0,6
2019-06-07,29,19,晴,西南风,3级,24.0,10
2019-06-08,26,18,阴,东南风,1级,22.0,8
2019-06-09,27,15,多云,东北风,2级,21.0,12
2019-06-10,27,15,多云,东北风,2级,21.0,12
2019-06-11,29,16,晴,东南风,2级,22.5,13
2019-06-12,29,17,晴,东南风,3级,23.0,12
2019-06-13,28,17,阴,东南风,3级,22.5,11
2019-06-14,30,17,小雨,东南风,3级,23.5,13
2019-06-15,31,18,晴,东北风,3级,24.5,13
2019-06-16,27,19,阴,东南风,3级,23.0,8
2019-06-17,32,21,多云,东南风,2级,26.5,11
2019-06-18,32,21,多云,东南风,4级,26.5,11
2019-06-19,31,20,小雨,东南风,2级,25.5,11
2019-06-20,28,21,阴,东北风,3级,24.5,7
2019-06-21,29,18,阴,东北风,3级,23.5,11
2019-06-22,31,18,晴,东北风,2级,24.5,13
2019-06-23,32,19,晴,东南风,2级,25.5,13
2019-06-24,32,19,多云,东南风,3级,25.5,13
2019-06-25,27,19,晴,东南风,2级,23.0,8
2019-06-26,30,19,多云,东南风,3级,24.5,11
