日期,最高气温,最低气温,天气,风向,风力,平均气温,温差
2019-09-01,27,21,多云,东北风,2级,24.0,6
2019-09-02,32,22,多云,西北风,2级,27.0,10
2019-09-03,29,21,多云,东北风,3级,25.0,8
2019-09-04,27,23,阴,西北风,2级,25.0,4
2019-09-05,30,24,阴,西北风,2级,27.0,6
2019-09-06,25,24,阴,东南风,1级,24.5,1
2019-09-07,28,23,阴,东北风,3级,25.5,5
2019-09-08,27,22,阴,东北风,3级,24.5,5
2019-09-09,28,24,阴,东北风,2级,26.0,4
2019-09-10,31,24,阴,东北风,2级,27.5,7
2019-09-11,33,25,阴,西北风,2级,29.0,8
2019-09-12,36,24,多云,东北风,1级,30.0,12
2019-09-13,31,18,阴,西北风,3级,24.5,13
2019-09-14,20,19,阴,西北风,1级,19.5,1
2019-09-15,19,18,阴,东南风,2级,18.5,1
2019-09-16,21,19,阴,东北风,1级,20.0,2
2019-09-17,19,18,阴,西北风,2级,18.5,1
2019-09-18,21,18,小雨,东北风,2级,19.5,3
2019-09-19,19,17,阴,东北风,2级,18.0,2
2019-09-20,24,16,阴,西南风,2级,20.0,8
2019-09-21,26,16,多云,西北风,2级,21.0,10
2019-09-22,28,17,晴,西南风,1级,22.5,11
2019-09-23,27,19,阴,北风,2级,23.0,8
2019-09-24,22,17,阴,西南风,2级,19.5,5
2019-09-25,24,16,阴,西南风,1级,20.0,8
2019-09-26,26,18,晴,西北风,1级,22.0,8
2019-09-27,28,19,多云,西北风,1级,23.5,9
2019-09-28,30,19,晴,东北风,2级,24.5,11
2019-09-29,32,20,多云,西北风,2级,26.0,12
2019-09-30,32,21,多云,东北风,2级,26.5,11
2019-08-01,34,24,阴,西北风,2级,29.0,10
2019-08-02,34,25,阴,西北风,3级,29.5,9
2019-08-03,30,24,阴,东北风,2级,27.0,6
2019-08-04,31,24,阴,西北风,1级,27.5,7
2019-08-05,31,25,阴,西北风,3级,28.0,6
2019-08-06,27,22,小雨,西南风,2级,24.5,5
2019-08-07,29,24,中雨,东南风,1级,26.5,5
2019-08-08,34,24,阴,西北风,2级,29.0,10
2019-08-09,30,24,中雨,西南风,1级,27.0,6
2019-08-10,34,24,雾,西南风,2级,29.0,10
2019-08-11,36,24,晴,西南风,1级,30.0,12
2019-08-12,36,25,晴,西南风,1级,30.5,11
2019-08-13,36,26,晴,东北风,2级,31.0,10
2019-08-14,31,23,多云,西南风,3级,27.0,8
2019-08-15,36,23,晴,西南风,2级,29.5,13
2019-08-16,38,24,晴,东北风,2级,31.0,14
2019-08-17,38,26,晴,东北风,1级,32.0,12
2019-08-18,37,26,多云,北风,1级,31.5,11
2019-08-19,37,25,多云,东北风,2级,31.0,12
2019-08-20,38,26,阴,东北风,2级,32.0,12
2019-08-21,37,25,阴,西南风,3级,31.0,12
2019-08-22,38,24,多云,东北风,3级,31.0,14
2019-08-23,37,25,晴,东北风,1级,31.0,12
2019-08-24,38,26,多云,东北风,1级,32.0,12
2019-08-25,39,27,多云,东北风,微风,33.0,12
2019-08-26,40,26,多云,东北风,2级,33.0,14
2019-08-27,34,23,多云,西北风,2级,28.5,11
2019-08-28,25,23,阴,东北风,3级,24.0,2
2019-08-29,31,21,阴,东南风,2级,26.0,10
2019-08-30,34,20,阴,西南风,2级,27.0,14
2019-08-31,22,19,阴,西北风,1级,20.5,3
2019-07-01,33,23,晴,西南风,1级,28.0,10
2019-07-02,34,24,多云,西北风,2级,29.0,10
2019-07-03,33,23,晴,东北风,2级,28.0,10
2019-07-04,21,20,中雨,东南风,1级,20.5,1
2019-07-05,30,22,阴,东北风,1级,26.0,8
2019-07-06,27,22,阴,西南风,1级,24.5,5
2019-07-07,28,22,阵雨,西北风,2级,25.0,6
2019-07-08,22,21,小雨,东南风,1级,21.5,1
2019-07-09,30,21,多云,西南风,2级,25.5,9
2019-07-10,31,23,多云,东北风,2级,27.0,8
2019-07-11,31,21,阴,西南风,2级,26.0,10
2019-07-12,31,23,小雨,西南风,2级,27.0,8
2019-07-13,31,23,多云,西南风,2级,27.0,8
