日期,最高气温,最低气温,天气,风向,风力,平均气温,温差
2019-09-01,22,14,多云,东南风,2级,18.0,8
2019-09-02,22,12,多云,东南风,2级,17.0,10
2019-09-03,23,13,多云,东南风,2级,18.0,10
2019-09-04,18,15,阴,西南风,2级,16.5,3
2019-09-05,21,16,阴,东南风,2级,18.5,5
2019-09-06,24,17,多云,东南风,3级,20.5,7
2019-09-07,26,18,多云,东南风,2级,22.0,8
2019-09-08,27,17,晴,东南风,2级,22.0,10
2019-09-09,20,15,阴,西北风,2级,17.5,5
2019-09-10,17,15,阴,东南风,3级,16.0,2
2019-09-11,16,16,阴,西南风,3级,16.0,0
2019-09-12,16,11,阴,西北风,3级,13.5,5
2019-09-13,11,9,阴,东南风,2级,10.0,2
2019-09-14,10,8,阴,东北风,2级,9.0,2
2019-09-15,15,10,阴,西南风,2级,12.5,5
2019-09-16,19,11,阴,西南风,2级,15.0,8
2019-09-17,17,12,阴,西南风,2级,14.5,5
2019-09-18,16,10,多云,东南风,3级,13.0,6
2019-09-19,13,10,阴,西南风,1级,11.5,3
2019-09-20,20,11,多云,西北风,2级,15.5,9
2019-09-21,19,10,晴,东南风,1级,14.5,9
2019-09-22,19,11,晴,东南风,1级,15.0,8
2019-09-23,21,10,多云,西南风,1级,15.5,11
2019-09-24,21,10,多云,东南风,1级,15.5,11
2019-09-25,21,11,多云,东南风,3级,16.0,10
2019-09-26,21,11,多云,东南风,3级,16.0,10
2019-09-27,21,12,多云,东南风,2级,16.5,9
2019-09-28,22,13,晴,东南风,3级,17.5,9
2019-09-29,22,14,晴,东南风,3级,18.0,8
2019-09-30,23,15,晴,东南风,3级,19.0,8
2019-08-01,28,19,多云,东南风,3级,23.5,9
2019-08-02,24,17,阴,东南风,2级,20.5,7
2019-08-03,24,17,中雨,西南风,1级,20.5,7
2019-08-04,26,18,多云,东南风,2级,22.0,8
2019-08-05,25,19,阴,西南风,3级,22.0,6
2019-08-06,26,19,晴,东南风,3级,22.5,7
2019-08-07,27,18,晴,东南风,3级,22.5,9
2019-08-08,23,17,阴,西北风,2级,20.0,6
2019-08-09,28,16,多云,东北风,3级,22.0,12
2019-08-10,30,17,晴,东北风,3级,23.5,13
2019-08-11,27,16,晴,东北风,2级,21.5,11
2019-08-12,27,17,晴,东南风,1级,22.0,10
2019-08-13,28,18,晴,西北风,3级,23.0,10
2019-08-14,28,17,晴,西南风,1级,22.5,11
2019-08-15,31,17,晴,东南风,1级,24.0,14
2019-08-16,27,17,晴,东南风,1级,22.0,10
2019-08-17,26,17,阴,东南风,2级,21.5,9
2019-08-18,28,20,多云,东南风,2级,24.0,8
2019-08-19,25,19,阴,东南风,2级,22.0,6
2019-08-20,16,16,小雨,西北风,2级,16.0,0
2019-08-21,17,16,小雨,西北风,1级,16.5,1
2019-08-22,16,16,小雨,东北风,2级,16.0,0
2019-08-23,19,16,小雨,西南风,1级,17.5,3
2019-08-24,19,18,小雨,东南风,1级,18.5,1
2019-08-25,23,18,阴,东北风,2级,20.5,5
2019-08-26,19,15,暴雨,东北风,2级,17.0,4
2019-08-27,23,15,多云,西南风,1级,19.0,8
2019-08-28,23,15,阴,西南风,1级,19.0,8
2019-08-29,26,16,晴,东北风,2级,21.0,10
2019-08-30,23,14,阴,东北风,1级,18.5,9
2019-08-31,21,15,阴,西南风,2级,18.0,6
2019-07-01,28,18,多云,西南风,2级,23.0,10
2019-07-02,27,18,阴,南风,微风,22.5,9
2019-07-03,28,18,多云,西南风,2级,23.0,10
2019-07-04,27,18,多云,东南风,2级,22.5,9
2019-07-05,31,17,多云,西北风,3级,24.0,14
2019-07-06,26,16,晴,东南风,2级,21.0,10
2019-07-07,30,17,晴,东南风,3级,23.5,13
2019-07-08,17,13,中雨,东南风,3级,15.0,4
2019-07-09,18,14,阴,西北风,2级,16.0,4
2019-07-10,23,17,多云,东南风,3级,20.0,6
2019-07-11,26,17,多云,西南风,2级,21.5,9
2019-07-12,26,17,阴,东南风,2级,21.5,9
2019-07-13,28,18,晴,西南风,2级,23.0,10
2019-07-14,28,21,晴,东南风,1级,24.5,7
2019-07-15,25,19,阴,东南风,2级,22.0,6
