日期,最高气温,最低气温,天气,风向,风力,平均气温,温差
2019-09-01,25,19,阴,东北风,2级,22.0,6
2019-09-02,26,20,阴,东南风,2级,23.0,6
2019-09-03,26,20,多云,东北风,2级,23.0,6
2019-09-04,27,21,晴,东北风,1级,24.0,6
2019-09-05,27,20,阴,东北风,1级,23.5,7
2019-09-06,29,20,阴,西北风,2级,24.5,9
2019-09-07,31,19,晴,北风,微风,25.0,12
2019-09-08,32,20,晴,东北风,1级,26.0,12
2019-09-09,31,21,晴,东北风,3级,26.0,10
2019-09-10,32,23,晴,东北风,2级,27.5,9
2019-09-11,32,23,阴,东北风,3级,27.5,9
2019-09-12,33,23,阴,东北风,3级,28.0,10
2019-09-13,35,24,多云,西北风,2级,29.5,11
2019-09-14,24,23,阴,东北风,2级,23.5,1
2019-09-15,26,21,阴,东北风,2级,23.5,5
2019-09-16,24,20,晴,东北风,2级,22.0,4
2019-09-17,26,22,多云,西北风,2级,24.0,4
2019-09-18,30,17,多云,东北风,3级,23.5,13
2019-09-19,28,17,晴,东北风,3级,22.5,11
2019-09-20,27,17,多云,东北风,2级,22.0,10
2019-09-21,27,18,多云,东北风,2级,22.5,9
2019-09-22,29,15,晴,西北风,2级,22.0,14
2019-09-23,27,16,晴,西北风,2级,21.5,11
2019-09-24,30,19,多云,北风,1级,24.5,11
2019-09-25,30,18,阴,西北风,1级,24.0,12
2019-09-26,28,17,阴,东北风,1级,22.5,11
2019-09-27,28,17,阴,西南风,1级,22.5,11
2019-09-28,30,15,多云,西北风,1级,22.5,15
2019-09-29,30,17,晴,东南风,1级,23.5,13
2019-09-30,30,17,晴,东风,3级,23.5,13
2019-08-01,38,26,小雨,东南风,3级,32.0,12
2019-08-02,35,26,小雨,东北风,3级,30.5,9
2019-08-03,34,24,多云,西北风,2级,29.0,10
2019-08-04,33,25,阴,东北风,3级,29.0,8
2019-08-05,34,26,小雨,西南风,1级,30.0,8
2019-08-06,34,26,阴,东北风,2级,30.0,8
2019-08-07,35,25,阴,西北风,3级,30.0,10
2019-08-08,35,25,多云,东北风,2级,30.0,10
2019-08-09,34,27,多云,东北风,4级,30.5,7
2019-08-10,28,25,大雨,西北风,5级,26.5,3
2019-08-11,28,24,阴,西南风,3级,26.0,4
2019-08-12,29,23,多云,西南风,1级,26.0,6
2019-08-13,35,24,晴,东北风,2级,29.5,11
2019-08-14,32,24,多云,西北风,2级,28.0,8
2019-08-15,32,24,晴,东北风,1级,28.0,8
2019-08-16,36,26,晴,东南风,2级,31.0,10
2019-08-17,33,24,多云,东北风,2级,28.5,9
2019-08-18,33,23,多云,东北风,3级,28.0,10
2019-08-19,33,22,多云,东北风,2级,27.5,11
2019-08-20,34,23,多云,西北风,1级,28.5,11
2019-08-21,33,24,多云,东北风,2级,28.5,9
2019-08-22,32,24,阴,东北风,1级,28.0,8
2019-08-23,34,23,多云,东北风,2级,28.5,11
2019-08-24,34,25,多云,东北风,3级,29.5,9
2019-08-25,33,26,阴,东北风,3级,29.5,7
2019-08-26,34,26,阴,东北风,3级,30.0,8
2019-08-27,32,24,阴,西北风,3级,28.0,8
2019-08-28,26,23,中雨,西南风,1级,24.5,3
2019-08-29,32,21,多云,西南风,1级,26.5,11
2019-08-30,31,21,多云,北风,2级,26.0,10
2019-08-31,29,21,阴,东北风,2级,25.0,8
2019-07-01,32,23,多云,东北风,3级,27.5,9
2019-07-02,32,23,多云,东南风,1级,27.5,9
2019-07-03,29,24,阴,东北风,2级,26.5,5
2019-07-04,30,22,阴,东南风,1级,26.0,8
2019-07-05,34,24,晴,东南风,2级,29.0,10
2019-07-06,34,24,多云,西北风,3级,29.0,10
2019-07-07,32,22,多云,东北风,2级,27.0,10
2019-07-08,29,21,阴,东北风,3级,25.0,8
2019-07-09,24,21,阴,东南风,1级,22.5,3
2019-07-10,30,21,多云,东北风,微风,25.5,9
2019-07-11,31,23,晴,东北风,1级,27.0,8
2019-07-12,28,21,小雨,东南风,1级,24.5,7
2019-07-13,28,21,阴,西南风,1级,24.5,7
2019-07-14,31,22,多云,东北风,微风,26.5,9
2019-07-15,32,23,多云,东北风,2级,27.5,9
2019-07-16,32,24,阴,东北风,2级,28.0,8
2019-07-17,33,25,阴,东北风,3级,29.0,8
2019-07-18,29,24,阴,东北风,2级,26.5,5
2019-07-19,31,25,小雨,北风,1级,28.0,6
2019-07-20,34,26,多云,东北风,1级,30.0,8
2019-07-21,36,27,晴,东南风,2级,31.5,9
2019-07-22,37,28,多云,东南风,2级,32.5,9
2019-07-23,37,27,多云,西北风,1级,32.0,10
2019-07-24,36,27,多云,东南风,2级,31.5,9
2019-07-25,37,27,多云,西南风,1级,32.0,10
2019-07-26,37,28,多云,西南风,3级,32.5,9
2019-07-27,37,29,多云,东南风,3级,33.0,8
2019-07-28,38,29,多云,东南风,3级,33.5,9
2019-07-29,38,29,阴,东南风,4级,33.5,9
2019-07-30,37,28,多云,东北风,1级,32.5,9
2019-07-31,37,28,阴,东北风,微风,32.5,9
2019-06-01,28,20,阴,东南风,2级,24.0,8
2019-06-02,31,20,阴,东南风,2级,25.5,11
2019-06-03,33,23,晴,东南风,2级,28.0,10
2019-06-04,35,24,晴,东南风,2级,29.5,11
2019-06-05,35,24,阴,东南风,4级,29.5,11
2019-06-06,26,22,阴,西北风,1级,24.0,4
2019-06-07,29,21,多云,东南风,1级,25.0,8
2019-06-08,31,22,多云,东南风,2级,26.5,9
2019-06-09,33,23,阴,东南风,1级,28.0,10
2019-06-10,30,20,多云,东北风,3级,25.0,10
2019-06-11,30,21,多云,东北风,1级,25.5,9
2019-06-12,29,20,多云,东南风,2级,24.5,9
2019-06-13,26,17,阴,东南风,2级,21.5,9
2019-06-14,29,19,阴,西南风,1级,24.0,10
2019-06-15,33,22,阴,西南风,2级,27.5,11
2019-06-16,32,25,阴,东南风,2级,28.5,7
2019-06-17,28,21,雷阵雨,东南风,3级,24.5,7
2019-06-18,24,22,小雨,东南风,1级,23.0,2
2019-06-19,26,22,小雨,东南风,1级,24.0,4
2019-06-20,24,21,大雨,东北风,2级,22.5,3
2019-06-21,26,21,阴,东北风,1级,23.5,5
2019-06-22,27,19,阴,东南风,1级,23.0,8
2019-06-23,29,19,晴,东北风,2级,24.0,10
2019-06-24,29,19,多云,东北风,2级,24.0,10
2019-06-25,29,21,多云,东南风,2级,25.0,8
2019-06-26,30,21,多云,东南风,2级,25.5,9
2019-06-27,30,24,多云,东南风,2级,27.0,6
