日期,最高气温,最低气温,天气,风向,风力,平均气温,温差
2019-09-01,28,18,晴,西南风,4级,23.0,10
2019-09-02,29,17,晴,西南风,2级,23.0,12
2019-09-03,30,16,晴,东南风,1级,23.0,14
2019-09-04,30,19,晴,西北风,1级,24.5,11
2019-09-05,27,19,阴,东北风,1级,23.0,8
2019-09-06,25,19,阴,东北风,1级,22.0,6
2019-09-07,25,19,阴,西北风,4级,22.0,6
2019-09-08,29,13,晴,西北风,2级,21.0,16
2019-09-09,26,14,阴,西北风,1级,20.0,12
2019-09-10,23,10,阴,北风,1级,16.5,13
2019-09-11,24,11,晴,东北风,2级,17.5,13
2019-09-12,23,18,阴,东南风,2级,20.5,5
2019-09-13,18,13,阴,西南风,1级,15.5,5
2019-09-14,25,10,晴,西南风,1级,17.5,15
2019-09-15,26,10,晴,西南风,2级,18.0,16
2019-09-16,19,6,晴,西北风,1级,12.5,13
2019-09-17,23,6,多云,西北风,2级,14.5,17
2019-09-18,18,4,晴,西南风,2级,11.0,14
2019-09-19,23,10,阴,东南风,2级,16.5,13
2019-09-20,24,9,阴,南风,微风,16.5,15
2019-09-21,23,8,晴,西北风,1级,15.5,15
2019-09-22,24,8,晴,东北风,1级,16.0,16
2019-09-23,26,10,晴,西南风,2级,18.0,16
2019-09-24,24,9,晴,西南风,1级,16.5,15
2019-09-25,27,13,晴,西南风,3级,20.0,14
2019-09-26,29,14,晴,西南风,2级,21.5,15
2019-09-27,26,14,晴,东南风,2级,20.0,12
2019-09-28,26,13,多云,西南风,4级,19.5,13
2019-09-29,24,13,晴,西北风,1级,18.5,11
2019-09-30,28,18,多云,西南风,4级,23.0,10
2019-08-01,32,23,多云,西南风,2级,27.5,9
2019-08-02,30,22,阴,东南风,2级,26.0,8
2019-08-03,23,20,大雨,西北风,2级,21.5,3
2019-08-04,28,21,阴,东南风,1级,24.5,7
2019-08-05,30,23,多云,西南风,2级,26.5,7
2019-08-06,27,23,小雨,东南风,2级,25.0,4
2019-08-07,27,22,阴,西北风,2级,24.5,5
2019-08-08,27,20,阴,北风,微风,23.5,7
2019-08-09,29,23,阴,东南风,2级,26.0,6
2019-08-10,27,23,暴雨,东北风,1级,25.0,4
2019-08-11,23,21,小雨,西北风,2级,22.0,2
2019-08-12,25,21,阴,东北风,4级,23.0,4
2019-08-13,26,21,阴,东北风,3级,23.5,5
2019-08-14,22,20,中雨,西北风,2级,21.0,2
2019-08-15,28,19,阴,东北风,2级,23.5,9
2019-08-16,27,19,阴,西北风,3级,23.0,8
2019-08-17,22,18,小雨,西南风,2级,20.0,4
2019-08-18,26,16,阴,西南风,2级,21.0,10
2019-08-19,29,17,晴,东南风,1级,23.0,12
2019-08-20,25,20,阴,西南风,3级,22.5,5
2019-08-21,27,18,晴,西南风,3级,22.5,9
2019-08-22,26,17,晴,西南风,2级,21.5,9
2019-08-23,25,15,多云,西北风,1级,20.0,10
2019-08-24,27,16,多云,南风,微风,21.5,11
2019-08-25,27,19,阴,东南风,1级,23.0,8
2019-08-26,27,17,多云,西北风,3级,22.0,10
2019-08-27,27,17,晴,西北风,1级,22.0,10
2019-08-28,23,14,多云,东南风,2级,18.5,9
