日期,最高气温,最低气温,天气,风向,风力,平均气温,温差
2019-09-01,19,7,阴,西南风,3级,13.0,12
2019-09-02,18,7,阴,西南风,4级,12.5,11
2019-09-03,15,5,小雨,西南风,3级,10.0,10
2019-09-04,13,7,阴,东南风,4级,10.0,6
2019-09-05,19,7,阴,西南风,2级,13.0,12
2019-09-06,18,7,阴,西南风,4级,12.5,11
2019-09-07,16,7,阴,西南风,4级,11.5,9
2019-09-08,19,7,阴,西南风,4级,13.0,12
2019-09-09,18,8,阴,东北风,2级,13.0,10
2019-09-10,20,7,阴,西南风,4级,13.5,13
2019-09-11,19,5,阴,西南风,4级,12.0,14
2019-09-12,17,8,阴,西南风,3级,12.5,9
2019-09-13,18,7,阴,西南风,4级,12.5,11
2019-09-14,18,7,阴,西南风,4级,12.5,11
2019-09-15,20,8,阴,西南风,4级,14.0,12
2019-09-16,18,7,阴,西南风,5级,12.5,11
2019-09-17,15,4,阴,西南风,4级,9.5,11
2019-09-18,15,5,多云,东南风,3级,10.0,10
2019-09-19,15,3,阴,西南风,2级,9.0,12
2019-09-20,6,4,阴,西南风,2级,5.0,2
2019-09-21,14,2,阴,东北风,2级,8.0,12
2019-09-22,13,8,阴,西南风,3级,10.5,5
2019-09-23,12,3,阴,西南风,2级,7.5,9
2019-09-24,12,1,阴,东北风,3级,6.5,11
2019-09-25,14,-1,多云,东北风,3级,6.5,15
2019-09-26,16,0,阴,西北风,2级,8.0,16
2019-09-27,14,2,阴,东南风,1级,8.0,12
2019-09-28,9,0,阴,西南风,3级,4.5,9
2019-09-29,11,3,阴,西南风,3级,7.0,8
2019-09-30,13,3,阴,西南风,4级,8.0,10
2019-08-01,16,6,阴,西南风,3级,11.0,10
2019-08-02,14,9,阴,东北风,2级,11.5,5
2019-08-03,18,11,阴,东南风,2级,14.5,7
2019-08-04,15,11,阴,西南风,1级,13.0,4
2019-08-05,13,9,阴,西南风,4级,11.0,4
2019-08-06,16,8,阴,西南风,4级,12.0,8
2019-08-07,19,7,阴,西南风,3级,13.0,12
2019-08-08,16,6,阴,西北风,2级,11.0,10
2019-08-09,18,5,阴,西南风,3级,11.5,13
2019-08-10,16,6,阴,西南风,4级,11.0,10
2019-08-11,15,6,阴,西南风,3级,10.5,9
2019-08-12,17,9,阴,西南风,4级,13.0,8
2019-08-13,17,6,阴,西南风,1级,11.5,11
2019-08-14,16,7,阴,东北风,2级,11.5,9
2019-08-15,20,9,阴,东南风,3级,14.5,11
2019-08-16,19,8,阴,东南风,2级,13.5,11
2019-08-17,19,7,阴,西南风,4级,13.0,12
2019-08-18,19,5,阴,西南风,3级,12.0,14
2019-08-19,20,7,多云,西南风,4级,13.5,13
2019-08-20,20,6,阴,西南风,5级,13.0,14
2019-08-21,19,4,阴,西南风,5级,11.5,15
2019-08-22,20,7,阴,西南风,2级,13.5,13
2019-08-23,21,5,阴,西南风,4级,13.0,16
2019-08-24,16,6,阴,东北风,2级,11.0,10
2019-08-25,17,4,多云,西南风,4级,10.5,13
2019-08-26,20,6,阴,西南风,4级,13.0,14
2019-08-27,20,4,阴,东南风,4级,12.0,16
2019-08-28,21,9,阴,西南风,4级,15.0,12
2019-08-29,20,6,阴,西南风,4级,13.0,14
2019-08-30,20,7,阴,西南风,1级,13.5,13
2019-08-31,19,7,阴,东南风,3级,13.0,12
2019-07-01,20,7,阴,西南风,4级,13.5,13
2019-07-02,20,7,阴,西南风,3级,13.5,13
2019-07-03,18,10,阵雨,西南风,5级,14.0,8
2019-07-04,20,9,阴,西南风,2级,14.5,11
2019-07-05,20,10,阴,西南风,4级,15.0,10
2019-07-06,18,9,阴,西南风,5级,13.5,9
2019-07-07,15,11,小雨,东南风,3级,13.0,4
2019-07-08,16,8,阴,西南风,3级,12.0,8
2019-07-09,17,9,阴,西南风,3级,13.0,8
2019-07-10,18,10,阴,东南风,3级,14.0,8
2019-07-11,16,10,阴,西南风,3级,13.0,6
2019-07-12,16,10,阴,西南风,4级,13.0,6
2019-07-13,17,9,阴,西南风,3级,13.0,8
2019-07-14,15,8,阴,西南风,2级,11.5,7
2019-07-15,17,8,阴,西南风,4级,12.5,9
2019-07-16,18,6,阴,西南风,6级,12.0,12
2019-07-17,17,8,阴,西南风,4级,12.5,9
2019-07-18,20,3,多云,西南风,4级,11.5,17
2019-07-19,17,6,阴,西南风,2级,11.5,11
2019-07-20,19,9,阴,西南风,4级,14.0,10
2019-07-21,14,9,阴,西南风,3级,11.5,5
2019-07-22,18,10,阴,西南风,2级,14.0,8
2019-07-23,15,9,阴,西南风,3级,12.0,6
2019-07-24,15,7,阴,东南风,3级,11.0,8
2019-07-25,14,7,阴,北风,2级,10.5,7
2019-07-26,14,8,阴,西北风,2级,11.0,6
2019-07-27,18,5,阴,西南风,4级,11.5,13
2019-07-28,19,6,阴,西南风,4级,12.5,13
2019-07-29,21,9,阴,东北风,3级,15.0,12
2019-07-30,14,9,阴,西南风,4级,11.5,5
2019-07-31,15,7,阴,西南风,4级,11.0,8
2019-06-01,16,-2,多云,西南风,4级,7.0,18
2019-06-02,16,2,阴,东南风,3级,9.0,14
2019-06-03,14,1,多云,西南风,4级,7.5,13
2019-06-04,17,4,晴,西南风,3级,10.5,13
2019-06-05,18,3,阴,西南风,4级,10.5,15
2019-06-06,19,2,多云,西南风,3级,10.5,17
2019-06-07,17,5,阴,西南风,5级,11.0,12
2019-06-08,17,6,阴,西南风,5级,11.5,11
2019-06-09,17,6,多云,西南风,5级,11.5,11
2019-06-10,17,2,阴,西南风,4级,9.5,15
2019-06-11,14,1,多云,西南风,2级,7.5,13
2019-06-12,17,7,多云,西南风,5级,12.0,10
2019-06-13,19,7,阴,西南风,6级,13.0,12
2019-06-14,21,6,阴,西南风,4级,13.5,15
2019-06-15,17,7,阴,西南风,4级,12.0,10
2019-06-16,21,4,阴,西南风,6级,12.5,17
2019-06-17,17,8,阵雨,西南风,4级,12.5,9
2019-06-18,13,6,阴,西南风,5级,9.5,7
2019-06-19,16,6,阴,西南风,5级,11.0,10
2019-06-20,16,5,阴,西南风,4级,10.5,11
