日期,最高气温,最低气温,天气,风向,风力,平均气温,温差
2019-09-01,26,14,多云,东南风,2级,20.0,12
2019-09-02,24,11,多云,西北风,1级,17.5,13
2019-09-03,27,15,晴,西北风,2级,21.0,12
2019-09-04,29,14,晴,西北风,1级,21.5,15
2019-09-05,29,17,多云,东北风,1级,23.0,12
2019-09-06,28,17,阴,西南风,1级,22.5,11
2019-09-07,23,19,阴,东北风,3级,21.0,4
2019-09-08,26,12,阴,西南风,2级,19.0,14
2019-09-09,23,9,多云,西北风,1级,16.0,14
2019-09-10,20,7,多云,西北风,1级,13.5,13
2019-09-11,22,7,晴,西南风,2级,14.5,15
2019-09-12,23,10,阴,东南风,2级,16.5,13
2019-09-13,22,9,阴,西南风,3级,15.5,13
2019-09-14,21,7,多云,西北风,微风,14.0,14
2019-09-15,23,8,多云,西南风,2级,15.5,15
2019-09-16,17,4,晴,西南风,微风,10.5,13
2019-09-17,21,5,阴,西北风,4级,13.0,16
2019-09-18,13,4,多云,西南风,2级,8.5,9
2019-09-19,15,2,多云,西南风,1级,8.5,13
2019-09-20,20,7,多云,西北风,3级,13.5,13
2019-09-21,18,2,多云,西南风,1级,10.0,16
2019-09-22,21,4,晴,西北风,1级,12.5,17
2019-09-23,23,3,晴,西南风,2级,13.0,20
2019-09-24,19,2,晴,南风,微风,10.5,17
2019-09-25,23,9,晴,西北风,1级,16.0,14
2019-09-26,24,9,晴,西北风,1级,16.5,15
2019-09-27,27,12,晴,西北风,2级,19.5,15
2019-09-28,26,13,晴,西南风,3级,19.5,13
2019-09-29,22,5,晴,东北风,2级,13.5,17
2019-09-30,25,14,晴,西南风,2级,19.5,11
2019-08-01,29,19,多云,西南风,2级,24.0,10
2019-08-02,28,20,多云,西南风,1级,24.0,8
2019-08-03,27,20,阴,东南风,1级,23.5,7
2019-08-04,28,18,多云,西南风,2级,23.0,10
2019-08-05,30,21,阴,西南风,微风,25.5,9
2019-08-06,27,21,小雨,东北风,2级,24.0,6
2019-08-07,22,19,阴,东北风,4级,20.5,3
2019-08-08,20,20,小雨,东北风,3级,20.0,0
2019-08-09,22,17,阴,南风,微风,19.5,5
2019-08-10,21,19,大雨,东北风,3级,20.0,2
2019-08-11,22,17,中雨,西南风,1级,19.5,5
2019-08-12,23,17,小雨,东北风,2级,20.0,6
2019-08-13,27,20,阴,东风,2级,23.5,7
2019-08-14,24,19,中雨,东北风,1级,21.5,5
2019-08-15,21,19,中雨,东北风,3级,20.0,2
2019-08-16,19,17,中雨,东北风,2级,18.0,2
2019-08-17,22,16,小雨,西南风,3级,19.0,6
2019-08-18,22,15,小雨,东北风,1级,18.5,7
2019-08-19,24,13,阴,西北风,1级,18.5,11
2019-08-20,24,18,阴,东北风,2级,21.0,6
2019-08-21,23,16,中雨,西南风,1级,19.5,7
2019-08-22,25,15,小雨,东南风,2级,20.0,10
2019-08-23,22,15,小雨,东北风,2级,18.5,7
2019-08-24,22,13,小雨,西南风,1级,17.5,9
2019-08-25,24,14,多云,北风,微风,19.0,10
2019-08-26,26,17,阴,南风,微风,21.5,9
