日期,最高气温,最低气温,天气,风向,风力,平均气温,温差
2019-09-01,29,14,多云,东南风,3级,21.5,15
2019-09-02,31,14,晴,东南风,3级,22.5,17
2019-09-03,31,14,晴,东北风,1级,22.5,17
2019-09-04,31,15,晴,东南风,3级,23.0,16
2019-09-05,30,16,晴,东南风,2级,23.0,14
2019-09-06,32,16,晴,东南风,2级,24.0,16
2019-09-07,32,16,晴,西北风,2级,24.0,16
2019-09-08,31,17,晴,东北风,2级,24.0,14
2019-09-09,23,15,阴,西北风,1级,19.0,8
2019-09-10,18,13,阴,东南风,1级,15.5,5
2019-09-11,19,12,阴,东南风,4级,15.5,7
2019-09-12,21,15,阴,东南风,2级,18.0,6
2019-09-13,21,10,阴,西北风,1级,15.5,11
2019-09-14,24,12,晴,东北风,2级,18.0,12
2019-09-15,24,8,阴,东北风,5级,16.0,16
2019-09-16,24,11,晴,东南风,3级,17.5,13
2019-09-17,26,7,阴,西北风,3级,16.5,19
2019-09-18,22,10,晴,东北风,1级,16.0,12
2019-09-19,23,14,阴,西北风,1级,18.5,9
2019-09-20,26,11,阴,东南风,1级,18.5,15
2019-09-21,26,11,阴,东北风,微风,18.5,15
2019-09-22,26,10,晴,东南风,微风,18.0,16
2019-09-23,28,10,晴,东北风,2级,19.0,18
2019-09-24,29,12,晴,西北风,1级,20.5,17
2019-09-25,28,11,晴,东北风,2级,19.5,17
2019-09-26,26,11,晴,东南风,4级,18.5,15
2019-09-27,25,10,晴,东南风,4级,17.5,15
2019-09-28,26,13,多云,东南风,3级,19.5,13
2019-09-29,27,12,晴,东南风,3级,19.5,15
2019-09-30,28,13,晴,东南风,3级,20.5,15
2019-08-01,32,19,晴,东南风,3级,25.5,13
2019-08-02,30,18,阴,东南风,3级,24.0,12
2019-08-03,30,19,阴,东南风,3级,24.5,11
2019-08-04,26,19,阴,东南风,3级,22.5,7
2019-08-05,29,19,阴,东南风,2级,24.0,10
2019-08-06,29,19,多云,东南风,2级,24.0,10
2019-08-07,27,17,多云,西北风,2级,22.0,10
2019-08-08,30,20,多云,东南风,2级,25.0,10
2019-08-09,24,19,中雨,东南风,2级,21.5,5
2019-08-10,27,19,阴,东北风,3级,23.0,8
2019-08-11,27,18,阴,东南风,2级,22.5,9
2019-08-12,29,19,多云,东南风,微风,24.0,10
2019-08-13,28,17,多云,东北风,2级,22.5,11
2019-08-14,31,18,多云,东北风,3级,24.5,13
2019-08-15,29,14,多云,西北风,8级,21.5,15
2019-08-16,24,13,多云,西北风,3级,18.5,11
2019-08-17,26,13,小雨,东北风,2级,19.5,13
2019-08-18,28,16,晴,东南风,3级,22.0,12
2019-08-19,29,19,阴,东南风,3级,24.0,10
2019-08-20,25,14,中雨,西北风,1级,19.5,11
2019-08-21,25,14,晴,西北风,2级,19.5,11
2019-08-22,26,14,晴,西北风,1级,20.0,12
2019-08-23,26,15,多云,东北风,3级,20.5,11
2019-08-24,29,14,晴,东南风,3级,21.5,15
2019-08-25,29,16,晴,东南风,3级,22.5,13
2019-08-26,23,13,阴,东北风,2级,18.0,10
2019-08-27,27,13,晴,西北风,3级,20.0,14
2019-08-28,24,12,多云,西北风,5级,18.0,12
2019-08-29,23,12,多云,西北风,3级,17.5,11
2019-08-30,26,12,晴,东北风,1级,19.0,14
2019-08-31,27,13,晴,东南风,2级,20.0,14
2019-07-01,28,16,多云,东北风,1级,22.0,12
2019-07-02,29,15,阴,东北风,2级,22.0,14
2019-07-03,33,21,晴,东北风,3级,27.0,12
2019-07-04,33,20,阴,西北风,3级,26.5,13
2019-07-05,21,15,中雨,西北风,5级,18.0,6
2019-07-06,24,14,阴,西南风,1级,19.0,10
2019-07-07,25,16,多云,东南风,3级,20.5,9
2019-07-08,26,17,多云,东南风,3级,21.5,9
2019-07-09,26,18,阴,东南风,2级,22.0,8
2019-07-10,26,17,阴,东南风,2级,21.5,9
2019-07-11,29,17,晴,东北风,微风,23.0,12
2019-07-12,31,18,多云,东南风,2级,24.5,13
2019-07-13,29,18,阴,东南风,1级,23.5,11
2019-07-14,32,19,多云,东北风,3级,25.5,13
2019-07-15,33,20,多云,东南风,3级,26.5,13
2019-07-16,25,18,阴,东南风,2级,21.5,7
2019-07-17,22,19,中雨,东南风,2级,20.5,3
2019-07-18,29,21,阴,东南风,2级,25.0,8
2019-07-19,29,20,阴,东南风,2级,24.5,9
2019-07-20,29,20,阴,东北风,1级,24.5,9
2019-07-21,34,22,多云,东北风,3级,28.0,12
2019-07-22,28,19,小雨,东南风,3级,23.5,9
2019-07-23,30,19,晴,东北风,2级,24.5,11
2019-07-24,29,20,小雨,东北风,2级,24.5,9
2019-07-25,32,20,多云,西北风,3级,26.0,12
2019-07-26,34,23,晴,东南风,4级,28.5,11
2019-07-27,34,22,多云,东南风,5级,28.0,12
2019-07-28,34,22,多云,东南风,3级,28.0,12
2019-07-29,24,16,小雨,东北风,2级,20.0,8
2019-07-30,30,17,小雨,东北风,2级,23.5,13
2019-07-31,31,18,晴,东北风,3级,24.5,13
2019-06-01,25,14,多云,东南风,3级,19.5,11
2019-06-02,28,13,阴,东北风,3级,20.5,15
2019-06-03,27,15,晴,东北风,2级,21.0,12
2019-06-04,29,15,阴,东南风,4级,22.0,14
2019-06-05,27,14,多云,东南风,2级,20.5,13
2019-06-06,28,15,晴,东南风,5级,21.5,13
2019-06-07,29,14,多云,西北风,3级,21.5,15
2019-06-08,28,14,晴,西北风,6级,21.0,14
2019-06-09,27,14,晴,西北风,2级,20.5,13
2019-06-10,30,15,晴,东北风,2级,22.5,15
2019-06-11,33,19,多云,东南风,4级,26.0,14
2019-06-12,30,16,雷阵雨,西北风,2级,23.0,14
2019-06-13,30,15,多云,东南风,2级,22.5,15
2019-06-14,31,15,晴,东北风,2级,23.0,16
2019-06-15,30,17,阴,西南风,3级,23.5,13
2019-06-16,22,15,小雨,东南风,3级,18.5,7
2019-06-17,28,18,雷阵雨,东南风,3级,23.0,10
2019-06-18,30,17,多云,东北风,3级,23.5,13
