日期,最高气温,最低气温,天气,风向,风力,平均气温,温差
2019-09-01,30,19,多云,西南风,2级,24.5,11
2019-09-02,30,18,多云,东北风,1级,24.0,12
2019-09-03,30,17,多云,东南风,1级,23.5,13
2019-09-04,29,18,多云,北风,微风,23.5,11
2019-09-05,31,18,多云,东北风,1级,24.5,13
2019-09-06,31,18,晴,东北风,2级,24.5,13
2019-09-07,30,20,晴,西南风,1级,25.0,10
2019-09-08,34,20,晴,东南风,1级,27.0,14
2019-09-09,32,20,晴,东北风,3级,26.0,12
2019-09-10,27,20,阴,东北风,2级,23.5,7
2019-09-11,24,19,阴,东北风,1级,21.5,5
2019-09-12,22,21,阴,西北风,1级,21.5,1
2019-09-13,24,19,阴,东南风,1级,21.5,5
2019-09-14,27,18,多云,东南风,微风,22.5,9
2019-09-15,27,17,阴,西南风,2级,22.0,10
2019-09-16,26,16,多云,东北风,3级,21.0,10
2019-09-17,26,15,阴,西南风,1级,20.5,11
2019-09-18,24,11,晴,东北风,3级,17.5,13
2019-09-19,23,16,阴,西南风,1级,19.5,7
2019-09-20,25,16,阴,东南风,微风,20.5,9
2019-09-21,27,15,多云,东北风,1级,21.0,12
2019-09-22,26,12,晴,北风,微风,19.0,14
2019-09-23,28,16,晴,东南风,1级,22.0,12
2019-09-24,31,16,晴,东北风,2级,23.5,15
2019-09-25,29,12,雾,东北风,2级,20.5,17
2019-09-26,29,17,晴,东北风,1级,23.0,12
2019-09-27,30,17,多云,北风,微风,23.5,13
2019-09-28,30,18,晴,西南风,1级,24.0,12
2019-09-29,31,19,晴,西北风,1级,25.0,12
2019-09-30,31,17,晴,东南风,2级,24.0,14
2019-08-01,33,24,阴,西南风,2级,28.5,9
2019-08-02,27,22,小雨,西北风,1级,24.5,5
2019-08-03,31,22,阴,东南风,1级,26.5,9
2019-08-04,33,24,多云,东南风,2级,28.5,9
2019-08-05,31,24,小雨,东南风,1级,27.5,7
2019-08-06,32,25,小雨,东北风,1级,28.5,7
2019-08-07,26,23,大雨,西南风,微风,24.5,3
2019-08-08,32,24,阴,东北风,3级,28.0,8
2019-08-09,33,23,多云,东北风,2级,28.0,10
2019-08-10,29,22,暴雨,东北风,2级,25.5,7
2019-08-11,23,23,大暴雨,西北风,4级,23.0,0
2019-08-12,22,21,大雨,西北风,3级,21.5,1
2019-08-13,23,21,小雨,西北风,1级,22.0,2
2019-08-14,28,20,阴,东北风,2级,24.0,8
2019-08-15,31,21,晴,西南风,1级,26.0,10
2019-08-16,26,19,中雨,东南风,1级,22.5,7
2019-08-17,30,17,晴,西北风,1级,23.5,13
2019-08-18,32,19,晴,东南风,1级,25.5,13
2019-08-19,32,19,晴,东南风,1级,25.5,13
2019-08-20,32,20,多云,西南风,2级,26.0,12
2019-08-21,30,19,阴,西北风,2级,24.5,11
2019-08-22,30,20,多云,西北风,1级,25.0,10
2019-08-23,31,20,多云,西南风,微风,25.5,11
2019-08-24,29,20,阴,东北风,2级,24.5,9
2019-08-25,29,20,多云,西北风,2级,24.5,9
2019-08-26,27,21,阴,西南风,1级,24.0,6
2019-08-27,29,20,阴,西南风,1级,24.5,9
2019-08-28,32,18,晴,西南风,1级,25.0,14
2019-08-29,28,16,晴,北风,微风,22.0,12
2019-08-30,29,16,晴,东北风,2级,22.5,13
2019-08-31,31,19,晴,东南风,2级,25.0,12
2019-07-01,34,21,晴,东北风,3级,27.5,13
2019-07-02,38,22,晴,西南风,3级,30.0,16
2019-07-03,37,24,多云,东北风,2级,30.5,13
2019-07-04,36,27,晴,东南风,2级,31.5,9
2019-07-05,38,21,晴,西南风,3级,29.5,17
2019-07-06,27,18,暴雨,西北风,1级,22.5,9
2019-07-07,25,18,雷阵雨,东北风,3级,21.5,7
2019-07-08,29,19,阴,东北风,2级,24.0,10
2019-07-09,29,20,阴,东北风,2级,24.5,9
2019-07-10,25,20,小雨,东北风,1级,22.5,5
2019-07-11,28,20,多云,西南风,微风,24.0,8
2019-07-12,31,21,多云,东南风,1级,26.0,10
2019-07-13,33,23,多云,东北风,1级,28.0,10
2019-07-14,29,23,小雨,东南风,1级,26.0,6
2019-07-15,33,22,多云,东北风,2级,27.5,11
2019-07-16,34,23,阴,东北风,3级,28.5,11
2019-07-17,31,21,大雨,东北风,1级,26.0,10
2019-07-18,32,23,晴,东北风,2级,27.5,9
2019-07-19,33,23,多云,东北风,3级,28.0,10
2019-07-20,34,24,多云,东北风,3级,29.0,10
2019-07-21,36,27,晴,东北风,1级,31.5,9
2019-07-22,37,28,多云,西南风,2级,32.5,9
2019-07-23,33,25,小雨,东南风,2级,29.0,8
2019-07-24,36,27,晴,东北风,2级,31.5,9
2019-07-25,33,25,阴,东南风,2级,29.0,8
2019-07-26,37,26,晴,东南风,2级,31.5,11
2019-07-27,36,26,阴,西南风,2级,31.0,10
2019-07-28,36,26,阴,西南风,1级,31.0,10
2019-07-29,35,26,暴雨,西北风,3级,30.5,9
2019-07-30,30,25,阴,西南风,1级,27.5,5
2019-07-31,34,25,阴,西南风,2级,29.5,9
2019-06-01,31,23,阴,西南风,2级,27.0,8
2019-06-02,36,25,多云,西南风,3级,30.5,11
2019-06-03,36,22,多云,东北风,2级,29.0,14
2019-06-04,36,25,阴,东南风,2级,30.5,11
2019-06-05,30,19,阴,东北风,4级,24.5,11
2019-06-06,25,16,阴,东北风,3级,20.5,9
2019-06-07,32,23,晴,西北风,微风,27.5,9
2019-06-08,34,19,阴,西南风,4级,26.5,15
2019-06-09,30,16,晴,东北风,2级,23.0,14
2019-06-10,32,17,晴,东北风,4级,24.5,15
2019-06-11,34,21,晴,东南风,3级,27.5,13
2019-06-12,36,22,晴,西南风,3级,29.0,14
2019-06-13,35,22,多云,东南风,3级,28.5,13
2019-06-14,34,19,多云,西南风,1级,26.5,15
2019-06-15,33,22,晴,东北风,4级,27.5,11
2019-06-16,31,20,多云,东北风,3级,25.5,11
2019-06-17,36,22,多云,东北风,2级,29.0,14
2019-06-18,37,25,晴,东北风,1级,31.0,12
2019-06-19,35,25,阴,西南风,3级,30.0,10
2019-06-20,33,25,阴,西风,3级,29.0,8
2019-06-21,31,21,多云,东北风,2级,26.0,10
2019-06-22,32,19,多云,东北风,2级,25.5,13
2019-06-23,34,20,多云,东北风,3级,27.0,14
2019-06-24,36,24,多云,东南风,3级,30.0,12
2019-06-25,34,21,多云,东南风,2级,27.5,13
2019-06-26,33,22,晴,东南风,3级,27.5,11
2019-06-27,35,24,多云,东北风,1级,29.5,11
2019-06-28,27,21,小雨,西南风,1级,24.0,6
2019-06-29,36,22,晴,东北风,3级,29.0,14
2019-06-30,34,19,多云,东北风,3级,26.5,15
2019-05-01,26,11,晴,西南风,微风,18.5,15
2019-05-02,28,14,晴,东南风,微风,21.0,14
2019-05-03,28,15,晴,东南风,1级,21.5,13
2019-05-04,27,11,阴,西南风,2级,19.0,16
2019-05-05,25,6,扬沙,东北风,2级,15.5,19
2019-05-06,21,9,晴,北风,微风,15.0,12
2019-05-07,26,14,晴,西北风,1级,20.0,12
2019-05-08,24,12,阴,西南风,3级,18.0,12
2019-05-09,27,17,晴,南风,微风,22.0,10
2019-05-10,27,15,阴,西北风,1级,21.0,12
2019-05-11,28,16,多云,西北风,1级,22.0,12
2019-05-12,31,12,多云,东北风,1级,21.5,19
2019-05-13,23,11,扬沙,北风,微风,17.0,12
2019-05-14,28,19,晴,西南风,1级,23.5,9
2019-05-15,29,17,多云,西南风,4级,23.0,12
2019-05-16,31,19,晴,西南风,4级,25.0,12
2019-05-17,28,15,阴,东南风,2级,21.5,13
2019-05-18,28,17,晴,南风,3级,22.5,11
2019-05-19,26,13,晴,西北风,3级,19.5,13
2019-05-20,24,15,晴,西南风,1级,19.5,9
2019-05-21,29,16,晴,西南风,1级,22.5,13
2019-05-22,34,22,晴,东南风,1级,28.0,12
2019-05-23,38,25,晴,西北风,2级,31.5,13
2019-05-24,34,24,阴,西北风,1级,29.0,10
2019-05-25,34,22,阴,西南风,2级,28.0,12
2019-05-26,31,16,阴,西北风,3级,23.5,15
2019-05-27,24,18,晴,西南风,1级,21.0,6
2019-05-28,29,16,阴,西南风,2级,22.5,13
2019-05-29,33,18,晴,西南风,1级,25.5,15
2019-05-30,28,17,阴,东北风,1级,22.5,11
2019-05-31,29,17,晴,东南风,微风,23.0,12
2019-04-01,16,4,晴,东南风,3级,10.0,12
2019-04-02,18,3,晴,东北风,3级,10.5,15
2019-04-03,21,10,晴,南风,微风,15.5,11
2019-04-04,24,11,晴,西南风,3级,17.5,13
2019-04-05,25,16,晴,西南风,4级,20.5,9
2019-04-06,18,9,阴,东北风,2级,13.5,9
2019-04-07,23,10,多云,东北风,1级,16.5,13
2019-04-08,17,4,阴,东北风,3级,10.5,13
2019-04-09,6,2,阴,东北风,3级,4.0,4
2019-04-10,14,6,多云,北风,微风,10.0,8
2019-04-11,12,3,阴,南风,微风,7.5,9
2019-04-12,19,12,多云,西南风,3级,15.5,7
2019-04-13,21,8,阴,东北风,3级,14.5,13
2019-04-14,20,7,晴,西南风,微风,13.5,13
2019-04-15,24,13,多云,西南风,2级,18.5,11
2019-04-16,24,11,阴,西南风,1级,17.5,13
2019-04-17,27,16,晴,西南风,3级,21.5,11
2019-04-18,21,10,晴,东南风,4级,15.5,11
2019-04-19,19,11,多云,东北风,1级,15.0,8
2019-04-20,23,12,多云,东北风,2级,17.5,11
2019-04-21,19,11,阴,东北风,1级,15.0,8
2019-04-22,27,15,多云,西南风,1级,21.0,12
2019-04-23,23,14,多云,东北风,1级,18.5,9
2019-04-24,23,6,阴,东南风,4级,14.5,17
2019-04-25,11,5,阴,西南风,微风,8.0,6
2019-04-26,16,5,阴,西南风,1级,10.5,11
2019-04-27,15,6,阴,东南风,2级,10.5,9
2019-04-28,18,9,阴,东北风,1级,13.5,9
2019-04-29,23,12,晴,西北风,1级,17.5,11
2019-04-30,23,9,多云,西北风,2级,16.0,14
2019-03-01,15,3,多云,东南风,1级,9.0,12
2019-03-02,15,3,多云,东北风,1级,9.0,12
2019-03-03,13,1,多云,西南风,1级,7.0,12
2019-03-04,18,1,晴,西南风,2级,9.5,17
2019-03-05,16,2,多云,东北风,2级,9.0,14
2019-03-06,12,-2,晴,东北风,1级,5.0,14
2019-03-07,12,-1,晴,南风,微风,5.5,13
2019-03-08,16,4,多云,西南风,3级,10.0,12
2019-03-09,15,2,多云,东北风,2级,8.5,13
2019-03-10,16,3,多云,西北风,1级,9.5,13
2019-03-11,16,2,晴,西南风,1级,9.0,14
2019-03-12,10,0,晴,西北风,2级,5.0,10
2019-03-13,15,3,晴,西北风,2级,9.0,12
2019-03-14,16,4,晴,东北风,2级,10.0,12
2019-03-15,13,4,晴,东北风,3级,8.5,9
2019-03-16,21,4,晴,东南风,2级,12.5,17
2019-03-17,21,12,晴,西南风,3级,16.5,9
2019-03-18,21,14,阴,西南风,3级,17.5,7
2019-03-19,23,11,多云,东南风,2级,17.0,12
2019-03-20,15,5,阴,北风,微风,10.0,10
2019-03-21,11,0,晴,东北风,1级,5.5,11
2019-03-22,14,4,晴,西南风,1级,9.0,10
2019-03-23,11,0,晴,西北风,1级,5.5,11
2019-03-24,19,9,晴,西南风,1级,14.0,10
2019-03-25,22,9,多云,东南风,1级,15.5,13
2019-03-26,26,11,晴,西南风,3级,18.5,15
2019-03-27,22,6,阴,东南风,3级,14.0,16
2019-03-28,12,2,阴,西北风,3级,7.0,10
2019-03-29,13,2,阴,东南风,1级,7.5,11
2019-03-30,11,-1,晴,东北风,1级,5.0,12
2019-03-31,15,4,晴,东南风,2级,9.5,11
2019-02-01,9,-2,晴,西南风,5级,3.5,11
2019-02-02,9,-1,阴,西北风,1级,4.0,10
2019-02-03,7,-4,阴,西南风,微风,1.5,11
2019-02-04,12,2,多云,西南风,3级,7.0,10
2019-02-05,14,-2,多云,东北风,3级,6.0,16
2019-02-06,1,-5,阴,东北风,2级,-2.0,6
2019-02-07,-1,-8,小雪,东北风,3级,-4.5,7
2019-02-08,-1,-8,阴,东北风,1级,-4.5,7
2019-02-09,0,-8,阴,东北风,3级,-4.0,8
2019-02-10,1,-8,阴,东南风,1级,-3.5,9
2019-02-11,5,-6,晴,东北风,2级,-0.5,11
2019-02-12,5,-2,阴,东北风,3级,1.5,7
2019-02-13,0,-3,阴,东北风,3级,-1.5,3
2019-02-14,-1,-3,阴,南风,微风,-2.0,2
2019-02-15,2,-8,多云,西北风,1级,-3.0,10
2019-02-16,2,-6,晴,西北风,1级,-2.0,8
2019-02-17,5,-4,阴,北风,1级,0.5,9
2019-02-18,3,-2,阴,西北风,微风,0.5,5
2019-02-19,4,-5,雾,西北风,1级,-0.5,9
2019-02-20,7,-5,雾,北风,微风,1.0,12
2019-02-21,9,-2,多云,东南风,微风,3.5,11
2019-02-22,10,-2,多云,北风,微风,4.0,12
2019-02-23,12,-2,晴,西北风,1级,5.0,14
2019-02-24,15,1,多云,西北风,1级,8.0,14
2019-02-25,13,1,多云,西南风,1级,7.0,12
2019-02-26,10,3,阴,西南风,1级,6.5,7
2019-02-27,10,1,多云,东北风,微风,5.5,9
2019-02-28,14,2,多云,东北风,1级,8.0,12
2019-01-01,1,-9,多云,西北风,1级,-4.0,10
2019-01-02,3,-7,多云,东南风,微风,-2.0,10
2019-01-03,6,-6,多云,西北风,1级,0.0,12
2019-01-04,4,-6,多云,东北风,1级,-1.0,10
2019-01-05,3,-8,阴,东北风,2级,-2.5,11
2019-01-06,4,-6,晴,东南风,微风,-1.0,10
2019-01-07,4,-7,多云,西北风,1级,-1.5,11
2019-01-08,1,-7,多云,东北风,1级,-3.0,8
2019-01-09,1,-5,阴,东北风,微风,-2.0,6
2019-01-10,5,-4,多云,西南风,2级,0.5,9
2019-01-11,2,-4,多云,西南风,1级,-1.0,6
2019-01-12,6,-4,雾,东南风,1级,1.0,10
2019-01-13,3,-7,雾,西北风,微风,-2.0,10
2019-01-14,7,-6,阴,东北风,微风,0.5,13
2019-01-15,-2,-10,多云,东北风,1级,-6.0,8
2019-01-16,3,-7,多云,东南风,2级,-2.0,10
2019-01-17,7,-5,晴,西南风,2级,1.0,12
2019-01-18,9,-3,多云,东南风,微风,3.0,12
2019-01-19,6,-7,阴,东北风,2级,-0.5,13
2019-01-20,4,-5,晴,西南风,1级,-0.5,9
2019-01-21,9,-5,晴,西南风,1级,2.0,14
2019-01-22,12,-4,晴,东南风,2级,4.0,16
2019-01-23,12,-4,晴,东北风,1级,4.0,16
2019-01-24,14,-3,晴,东北风,2级,5.5,17
2019-01-25,4,-8,阴,东北风,2级,-2.0,12
2019-01-26,5,-6,晴,西南风,1级,-0.5,11
2019-01-27,9,-5,多云,东北风,2级,2.0,14
2019-01-28,6,-3,晴,东北风,微风,1.5,9
2019-01-29,10,-1,多云,西南风,2级,4.5,11
2019-01-30,6,-3,阴,东北风,4级,1.5,9
2019-01-31,2,-5,阴,西南风,3级,-1.5,7
2018-12-01,13,4,阴,东北风,2级,8.5,9
2018-12-02,11,6,小雨,西南风,1级,8.5,5
2018-12-03,10,0,小雨,东北风,3级,5.0,10
2018-12-04,8,-2,多云,东北风,2级,3.0,10
2018-12-05,5,-4,雨夹雪,东南风,2级,0.5,9
2018-12-06,3,-8,多云,西北风,3级,-2.5,11
2018-12-07,-3,-10,晴,东北风,2级,-6.5,7
2018-12-08,-2,-10,晴,东北风,1级,-6.0,8
2018-12-09,1,-8,多云,东南风,1级,-3.5,9
2018-12-10,3,-4,阴,东北风,1级,-0.5,7
2018-12-11,1,-10,多云,西北风,3级,-4.5,11
2018-12-12,3,-7,晴,西南风,2级,-2.0,10
2018-12-13,4,-8,晴,东北风,2级,-2.0,12
2018-12-14,5,-8,晴,东南风,2级,-1.5,13
2018-12-15,8,-3,多云,西南风,2级,2.5,11
2018-12-16,7,-4,晴,西南风,2级,1.5,11
2018-12-17,9,-2,晴,西南风,2级,3.5,11
2018-12-18,10,-2,晴,东南风,2级,4.0,12
2018-12-19,9,-4,晴,东北风,2级,2.5,13
2018-12-20,11,0,多云,东南风,2级,5.5,11
2018-12-21,9,-4,阴,东北风,1级,2.5,13
2018-12-22,9,-5,雾,西北风,2级,2.0,14
2018-12-23,3,-9,阴,东北风,2级,-3.0,12
2018-12-24,6,-1,晴,西南风,2级,2.5,7
2018-12-25,5,-5,阴,东南风,2级,0.0,10
2018-12-26,1,-7,多云,东北风,2级,-3.0,8
2018-12-27,-3,-12,阴,西北风,3级,-7.5,9
2018-12-28,-5,-11,晴,西北风,微风,-8.0,6
2018-12-29,-1,-11,晴,西南风,1级,-6.0,10
2018-12-30,0,-11,晴,东北风,1级,-5.5,11
2018-12-31,0,-10,阴,东北风,1级,-5.0,10
2018-11-01,19,5,晴,东南风,1级,12.0,14
2018-11-02,20,6,晴,西南风,1级,13.0,14
2018-11-03,20,9,晴,东北风,1级,14.5,11
2018-11-04,19,9,多云,西风,3级,14.0,10
2018-11-05,12,7,小雨,东风,1级,9.5,5
2018-11-06,12,3,小雨,东北风,1级,7.5,9
2018-11-07,13,5,多云,西南风,1级,9.0,8
2018-11-08,9,1,小雨,西南风,2级,5.0,8
2018-11-09,16,1,晴,东北风,1级,8.5,15
2018-11-10,16,5,多云,东北风,2级,10.5,11
2018-11-11,14,2,阴,东北风,1级,8.0,12
2018-11-12,15,3,晴,东北风,1级,9.0,12
2018-11-13,17,5,晴,东南风,2级,11.0,12
2018-11-14,17,7,晴,东南风,1级,12.0,10
2018-11-15,12,5,小雨,西北风,2级,8.5,7
2018-11-16,11,-1,多云,东北风,2级,5.0,12
2018-11-17,10,1,多云,西北风,1级,5.5,9
2018-11-18,12,-2,多云,西南风,2级,5.0,14
2018-11-19,14,2,晴,西南风,3级,8.0,12
2018-11-20,15,4,晴,东北风,2级,9.5,11
2018-11-21,10,-3,多云,东北风,2级,3.5,13
2018-11-22,11,1,晴,西南风,2级,6.0,10
2018-11-23,13,-2,多云,西南风,2级,5.5,15
2018-11-24,12,1,晴,东南风,2级,6.5,11
2018-11-25,15,4,多云,东南风,2级,9.5,11
2018-11-26,17,3,晴,西南风,3级,10.0,14
2018-11-27,12,0,多云,东北风,2级,6.0,12
2018-11-28,16,4,多云,西北风,1级,10.0,12
2018-11-29,11,0,多云,东北风,3级,5.5,11
2018-11-30,14,5,多云,西南风,2级,9.5,9
2018-10-01,23,11,晴,西南风,微风,17.0,12
2018-10-02,26,10,晴,东南风,1级,18.0,16
2018-10-03,27,10,晴,东南风,1级,18.5,17
2018-10-04,28,11,晴,东风,1级,19.5,17
2018-10-05,26,11,晴,东风,1级,18.5,15
2018-10-06,24,11,晴,东风,1级,17.5,13
2018-10-07,23,9,多云,南风,1级,16.0,14
2018-10-08,24,10,多云,南风,1级,17.0,14
2018-10-09,17,5,阴,南风,微风,11.0,12
2018-10-10,17,4,晴,西北风,1级,10.5,13
2018-10-11,18,4,晴,西北风,1级,11.0,14
2018-10-12,21,9,晴,南风,2级,15.0,12
2018-10-14,22,9,晴,西南风,1级,15.5,13
2018-10-15,22,10,多云,南风,1级,16.0,12
2018-10-16,20,11,阵雨,西北风,1级,15.5,9
2018-10-17,18,5,晴,东风,1级,11.5,13
2018-10-18,18,3,晴,北风,1级,10.5,15
2018-10-19,18,5,晴,东风,2级,11.5,13
2018-10-20,19,9,晴,南风,1级,14.0,10
2018-10-21,20,10,多云,东南风,微风,15.0,10
2018-10-22,23,7,多云,南风,1级,15.0,16
2018-10-23,19,7,晴,南风,1级,13.0,12
2018-10-24,24,7,多云,东南风,1级,15.5,17
2018-10-25,19,7,小雨,西风,1级,13.0,12
2018-10-26,15,2,晴,西北风,1级,8.5,13
2018-10-27,17,5,晴,南风,2级,11.0,12
2018-10-28,19,5,晴,东北风,2级,12.0,14
2018-10-29,16,1,晴,东风,1级,8.5,15
2018-10-30,17,1,晴,东南风,1级,9.0,16
2018-10-31,18,3,晴,东风,微风,10.5,15
2018-09-01,29,21,晴,东风,1级,25.0,8
2018-09-02,28,22,小雨,南风,2级,25.0,6
2018-09-03,32,18,多云,南风,2级,25.0,14
2018-09-04,29,17,晴,南风,3级,23.0,12
2018-09-05,31,20,晴,南风,2级,25.5,11
