日期,最高气温,最低气温,天气,风向,风力,平均气温,温差
2019-09-01,21,20,阴,东北风,微风,20.5,1
2019-09-02,23,22,阴,东北风,微风,22.5,1
2019-09-03,26,23,中雨,北风,微风,24.5,3
2019-09-04,26,24,阴,北风,微风,25.0,2
2019-09-05,31,26,阴,西北风,1级,28.5,5
2019-09-06,26,24,阴,西北风,2级,25.0,2
2019-09-07,31,22,多云,北风,微风,26.5,9
2019-09-08,30,23,多云,东北风,1级,26.5,7
2019-09-09,30,24,阴,西北风,1级,27.0,6
2019-09-10,33,25,阴,南风,微风,29.0,8
2019-09-11,31,25,阴,东北风,1级,28.0,6
2019-09-12,31,24,阴,东北风,1级,27.5,7
2019-09-13,31,25,多云,东北风,微风,28.0,6
2019-09-14,32,25,多云,东北风,1级,28.5,7
2019-09-15,28,23,阴,西南风,1级,25.5,5
2019-09-16,29,24,多云,南风,微风,26.5,5
2019-09-17,30,23,多云,南风,微风,26.5,7
2019-09-18,29,22,多云,东北风,2级,25.5,7
2019-09-19,27,21,多云,西北风,1级,24.0,6
2019-09-20,27,22,多云,北风,微风,24.5,5
2019-09-21,21,20,阴,西北风,1级,20.5,1
2019-09-22,22,19,阴,北风,微风,20.5,3
2019-09-23,27,18,多云,东南风,2级,22.5,9
2019-09-24,28,19,多云,西北风,微风,23.5,9
2019-09-25,28,20,多云,西南风,1级,24.0,8
2019-09-26,27,20,阴,北风,微风,23.5,7
2019-09-27,27,21,多云,西北风,微风,24.0,6
2019-09-28,28,21,多云,东北风,1级,24.5,7
2019-09-29,27,22,多云,东北风,1级,24.5,5
2019-09-30,27,23,阴,北风,微风,25.0,4
2019-08-01,35,28,多云,西南风,微风,31.5,7
2019-08-02,34,28,阴,东南风,1级,31.0,6
2019-08-03,33,27,小雨,西北风,微风,30.0,6
2019-08-04,29,26,小雨,东南风,1级,27.5,3
2019-08-05,33,27,多云,东北风,1级,30.0,6
2019-08-06,34,27,阴,东北风,2级,30.5,7
2019-08-07,34,27,多云,东北风,微风,30.5,7
2019-08-08,34,28,小雨,东北风,2级,31.0,6
2019-08-09,31,25,小雨,东北风,3级,28.0,6
2019-08-10,28,26,暴雨,西北风,3级,27.0,2
2019-08-11,32,27,小雨,南风,微风,29.5,5
2019-08-12,34,27,阴,西南风,微风,30.5,7
2019-08-13,32,27,暴雨,东北风,微风,29.5,5
2019-08-14,34,27,晴,东北风,2级,30.5,7
2019-08-15,33,26,阴,西北风,2级,29.5,7
2019-08-16,34,27,多云,东南风,2级,30.5,7
2019-08-17,36,26,多云,北风,微风,31.0,10
2019-08-18,33,26,阴,南风,微风,29.5,7
2019-08-19,31,25,多云,东北风,1级,28.0,6
2019-08-20,31,25,多云,北风,微风,28.0,6
2019-08-21,33,26,多云,西北风,微风,29.5,7
2019-08-22,32,26,多云,东北风,微风,29.0,6
2019-08-23,31,26,小雨,西北风,微风,28.5,5
2019-08-24,31,27,阴,东北风,1级,29.0,4
2019-08-25,34,27,小雨,东北风,微风,30.5,7
2019-08-26,35,28,阴,西南风,1级,31.5,7
2019-08-27,37,26,阴,西北风,1级,31.5,11
2019-08-28,32,23,阴,东南风,2级,27.5,9
2019-08-29,21,20,中雨,西北风,1级,20.5,1
2019-08-30,30,23,多云,北风,微风,26.5,7
2019-08-31,29,21,阴,东北风,1级,25.0,8
2019-07-01,25,23,大雨,东北风,微风,24.0,2
2019-07-02,26,22,阴,东北风,1级,24.0,4
2019-07-03,27,23,阴,东北风,1级,25.0,4
2019-07-04,27,23,阴,东南风,1级,25.0,4
2019-07-05,29,23,阴,西北风,微风,26.0,6
2019-07-06,31,24,多云,东北风,2级,27.5,7
2019-07-07,33,24,多云,西北风,微风,28.5,9
2019-07-08,30,23,阴,东北风,3级,26.5,7
2019-07-09,23,22,暴雨,东北风,微风,22.5,1
2019-07-10,24,22,小雨,北风,微风,23.0,2
2019-07-11,28,23,阴,南风,微风,25.5,5
2019-07-12,27,22,小雨,东南风,1级,24.5,5
2019-07-13,22,21,大雨,南风,微风,21.5,1
