日期,最高气温,最低气温,天气,风向,风力,平均气温,温差
2019-09-01,28,14,晴,西南风,2级,21.0,14
2019-09-02,29,14,晴,西南风,1级,21.5,15
2019-09-03,29,14,晴,东南风,3级,21.5,15
2019-09-04,29,14,晴,西南风,1级,21.5,15
2019-09-05,31,15,晴,西南风,1级,23.0,16
2019-09-06,31,14,晴,西南风,3级,22.5,17
2019-09-07,30,16,晴,西南风,2级,23.0,14
2019-09-08,31,17,晴,东北风,1级,24.0,14
2019-09-09,26,16,阴,东北风,3级,21.0,10
2019-09-10,21,13,阴,东北风,2级,17.0,8
2019-09-11,18,13,阴,东北风,1级,15.5,5
2019-09-12,22,15,阴,西北风,1级,18.5,7
2019-09-13,20,10,阴,西北风,2级,15.0,10
2019-09-14,23,12,晴,西南风,2级,17.5,11
2019-09-15,23,10,阴,西南风,1级,16.5,13
2019-09-16,24,11,晴,西北风,1级,17.5,13
2019-09-17,26,9,阴,东北风,3级,17.5,17
2019-09-18,21,12,多云,西北风,1级,16.5,9
2019-09-19,19,12,阴,西北风,2级,15.5,7
2019-09-20,17,11,阴,西北风,2级,14.0,6
2019-09-21,24,9,晴,西北风,2级,16.5,15
2019-09-22,24,11,晴,西南风,1级,17.5,13
2019-09-23,24,10,晴,西北风,2级,17.0,14
2019-09-24,27,10,晴,西风,2级,18.5,17
2019-09-25,27,10,晴,东南风,2级,18.5,17
2019-09-26,25,11,晴,西南风,2级,18.0,14
2019-09-27,24,10,多云,西南风,1级,17.0,14
2019-09-28,26,11,晴,西南风,2级,18.5,15
2019-09-29,27,12,晴,西南风,2级,19.5,15
2019-09-30,27,13,晴,西南风,2级,20.0,14
2019-08-01,31,17,晴,东南风,2级,24.0,14
2019-08-02,30,18,晴,西南风,4级,24.0,12
2019-08-03,27,17,阴,西北风,1级,22.0,10
2019-08-04,22,17,中雨,西南风,2级,19.5,5
2019-08-05,28,18,多云,西北风,2级,23.0,10
2019-08-06,29,17,多云,西北风,2级,23.0,12
2019-08-07,29,18,多云,东北风,3级,23.5,11
2019-08-08,29,19,阴,东南风,2级,24.0,10
2019-08-09,24,17,小雨,西北风,2级,20.5,7
2019-08-10,28,16,多云,西北风,1级,22.0,12
2019-08-11,26,17,晴,西北风,3级,21.5,9
2019-08-12,27,15,晴,西北风,3级,21.0,12
2019-08-13,28,17,晴,西北风,2级,22.5,11
2019-08-14,29,17,多云,西南风,2级,23.0,12
2019-08-15,33,13,阴,西北风,6级,23.0,20
2019-08-16,24,12,晴,西北风,2级,18.0,12
2019-08-17,26,15,晴,西北风,1级,20.5,11
2019-08-18,28,16,多云,西南风,2级,22.0,12
2019-08-19,30,18,阴,东南风,3级,24.0,12
2019-08-20,27,14,小雨,西北风,1级,20.5,13
2019-08-21,24,15,晴,东南风,1级,19.5,9
2019-08-22,23,17,多云,西南风,1级,20.0,6
2019-08-23,25,16,阴,西北风,2级,20.5,9
2019-08-24,26,14,阴,西南风,4级,20.0,12
2019-08-25,28,17,晴,西北风,1级,22.5,11
2019-08-26,22,13,阴,西北风,2级,17.5,9
2019-08-27,26,12,晴,西北风,2级,19.0,14
2019-08-28,24,13,晴,西北风,2级,18.5,11
2019-08-29,24,12,晴,西北风,3级,18.0,12
2019-08-30,25,12,晴,北风,微风,18.5,13
2019-08-31,27,14,晴,西北风,2级,20.5,13
2019-07-01,28,19,多云,东北风,3级,23.5,9
2019-07-02,28,16,阴,西南风,2级,22.0,12
2019-07-03,31,18,晴,西北风,1级,24.5,13
2019-07-04,32,20,阴,西北风,1级,26.0,12
2019-07-05,27,12,小雨,西北风,5级,19.5,15
2019-07-06,23,13,多云,东北风,2级,18.0,10
2019-07-07,27,16,多云,东北风,3级,21.5,11
2019-07-08,26,17,阴,东南风,3级,21.5,9
2019-07-09,25,16,小雨,西北风,2级,20.5,9
2019-07-10,25,15,阴,东北风,1级,20.0,10
2019-07-11,25,16,阴,西南风,3级,20.5,9
2019-07-12,31,18,多云,西北风,2级,24.5,13
2019-07-13,30,18,中雨,西北风,2级,24.0,12
2019-07-14,31,19,多云,东北风,2级,25.0,12
2019-07-15,31,19,阴,西北风,2级,25.0,12
2019-07-16,20,17,小雨,东北风,1级,18.5,3
2019-07-17,26,19,中雨,西北风,1级,22.5,7
2019-07-18,29,20,阴,东北风,1级,24.5,9
2019-07-19,27,20,阴,西南风,2级,23.5,7
2019-07-20,28,20,阴,西南风,1级,24.0,8
2019-07-21,32,22,阴,东南风,2级,27.0,10
2019-07-22,22,17,中雨,北风,微风,19.5,5
2019-07-23,31,19,晴,西风,2级,25.0,12
2019-07-24,30,17,多云,西南风,2级,23.5,13
2019-07-25,32,21,晴,西南风,3级,26.5,11
2019-07-26,35,20,晴,东南风,3级,27.5,15
2019-07-27,33,20,多云,西北风,1级,26.5,13
2019-07-28,31,20,多云,东北风,4级,25.5,11
2019-07-29,24,19,小雨,西南风,2级,21.5,5
2019-07-30,31,16,晴,西北风,1级,23.5,15
2019-07-31,31,18,晴,西北风,1级,24.5,13
2019-06-01,27,15,多云,西南风,1级,21.0,12
2019-06-02,31,15,多云,西北风,4级,23.0,16
2019-06-03,30,16,晴,西北风,1级,23.0,14
2019-06-04,33,16,多云,西北风,2级,24.5,17
2019-06-05,25,14,阴,西南风,3级,19.5,11
2019-06-06,29,16,晴,西北风,4级,22.5,13
2019-06-07,31,14,阴,西北风,3级,22.5,17
2019-06-08,30,13,晴,西北风,3级,21.5,17
2019-06-09,27,16,晴,东北风,1级,21.5,11
2019-06-10,29,16,晴,东北风,1级,22.5,13
2019-06-11,32,19,阴,西南风,2级,25.5,13
2019-06-12,24,16,中雨,东南风,1级,20.0,8
2019-06-13,26,15,阴,东南风,2级,20.5,11
2019-06-14,30,17,晴,东南风,1级,23.5,13
2019-06-15,30,16,阴,西南风,3级,23.0,14
2019-06-16,27,16,多云,西南风,3级,21.5,11
2019-06-17,31,17,小雨,西南风,1级,24.0,14
2019-06-18,32,18,多云,东北风,2级,25.0,14
2019-06-19,32,19,阴,西南风,2级,25.5,13
2019-06-20,30,19,阴,西北风,1级,24.5,11
2019-06-21,31,19,多云,西南风,4级,25.0,12
2019-06-22,30,20,阴,西北风,3级,25.0,10
2019-06-23,29,19,小雨,西北风,1级,24.0,10
2019-06-24,29,19,阴,西北风,3级,24.0,10
2019-06-25,31,20,多云,东南风,3级,25.5,11
2019-06-26,31,19,阴,西北风,1级,25.0,12
2019-06-27,21,18,小雨,东北风,3级,19.5,3
2019-06-28,27,15,晴,西南风,2级,21.0,12
2019-06-29,23,14,晴,东北风,4级,18.5,9
2019-06-30,25,13,多云,西北风,1级,19.0,12
2019-05-01,20,6,多云,东北风,1级,13.0,14
2019-05-02,23,9,晴,东南风,1级,16.0,14
2019-05-03,23,10,阴,西南风,1级,16.5,13
2019-05-04,22,7,阴,西北风,1级,14.5,15
2019-05-05,16,4,扬沙,东北风,2级,10.0,12
2019-05-06,18,8,多云,西北风,1级,13.0,10
2019-05-07,21,11,多云,西南风,1级,16.0,10
2019-05-08,16,6,阴,东南风,3级,11.0,10
2019-05-09,23,9,多云,西南风,1级,16.0,14
2019-05-10,22,11,阴,东南风,3级,16.5,11
2019-05-11,23,10,阴,西南风,3级,16.5,13
2019-05-12,12,3,扬沙,西北风,2级,7.5,9
2019-05-13,22,9,晴,西北风,2级,15.5,13
2019-05-14,25,11,阴,西南风,2级,18.0,14
2019-05-15,25,11,阴,西北风,2级,18.0,14
2019-05-16,29,13,多云,西南风,3级,21.0,16
2019-05-17,29,15,晴,西南风,3级,22.0,14
2019-05-18,27,8,阴,西北风,2级,17.5,19
2019-05-19,13,5,扬沙,西北风,4级,9.0,8
2019-05-20,20,8,晴,西南风,3级,14.0,12
2019-05-21,26,11,晴,西北风,2级,18.5,15
2019-05-22,31,17,晴,西北风,2级,24.0,14
2019-05-23,33,18,晴,西南风,2级,25.5,15
2019-05-24,32,16,阴,西南风,2级,24.0,16
2019-05-25,33,15,多云,东北风,2级,24.0,18
2019-05-26,23,9,阴,西北风,5级,16.0,14
2019-05-27,21,12,晴,东南风,1级,16.5,9
2019-05-28,27,13,晴,西南风,2级,20.0,14
2019-05-29,29,14,晴,西北风,2级,21.5,15
2019-05-30,23,12,多云,东北风,3级,17.5,11
2019-05-31,25,14,晴,西南风,2级,19.5,11
2019-04-01,17,0,多云,西南风,2级,8.5,17
2019-04-02,15,1,晴,东北风,3级,8.0,14
2019-04-03,19,4,晴,西北风,2级,11.5,15
2019-04-04,23,8,晴,北风,2级,15.5,15
2019-04-05,25,5,阴,西北风,3级,15.0,20
2019-04-06,18,2,阴,东南风,2级,10.0,16
2019-04-07,22,4,多云,东北风,3级,13.0,18
2019-04-08,19,3,阴,东南风,2级,11.0,16
2019-04-09,3,0,雨夹雪,东北风,1级,1.5,3
2019-04-10,11,1,阴,东南风,2级,6.0,10
2019-04-11,10,2,阴,西北风,2级,6.0,8
2019-04-12,17,3,阴,西南风,2级,10.0,14
2019-04-13,13,0,阴,北风,4级,6.5,13
2019-04-14,18,2,晴,西北风,2级,10.0,16
2019-04-15,20,6,阴,西北风,2级,13.0,14
2019-04-16,23,11,晴,西南风,4级,17.0,12
2019-04-17,29,8,多云,西北风,2级,18.5,21
2019-04-18,24,7,多云,东南风,3级,15.5,17
2019-04-19,14,8,阴,东北风,1级,11.0,6
2019-04-20,19,8,阴,西南风,2级,13.5,11
2019-04-21,24,11,晴,西南风,3级,17.5,13
2019-04-22,26,12,阴,西南风,4级,19.0,14
2019-04-23,28,14,晴,西南风,1级,21.0,14
2019-04-24,19,3,阴,北风,4级,11.0,16
2019-04-25,12,4,阴,东北风,2级,8.0,8
2019-04-26,14,4,阴,东北风,3级,9.0,10
2019-04-27,9,4,阴,西南风,3级,6.5,5
2019-04-28,19,9,晴,西北风,4级,14.0,10
2019-04-29,22,7,多云,西北风,3级,14.5,15
2019-04-30,17,6,晴,西北风,2级,11.5,11
2019-03-01,11,-3,多云,西北风,1级,4.0,14
2019-03-02,12,1,多云,西北风,2级,6.5,11
2019-03-03,13,-1,多云,西北风,2级,6.0,14
2019-03-04,13,-2,多云,西北风,2级,5.5,15
2019-03-05,9,-5,晴,东北风,3级,2.0,14
2019-03-06,5,-6,晴,西北风,2级,-0.5,11
2019-03-07,9,-4,晴,西北风,1级,2.5,13
2019-03-08,12,1,阴,西南风,2级,6.5,11
2019-03-09,8,0,雨夹雪,西北风,2级,4.0,8
2019-03-10,7,-4,阴,西北风,3级,1.5,11
2019-03-11,9,-8,晴,西北风,4级,0.5,17
2019-03-12,5,-5,晴,西北风,3级,0.0,10
2019-03-13,10,-1,晴,西北风,3级,4.5,11
2019-03-14,9,-3,阴,西北风,5级,3.0,12
2019-03-15,14,0,多云,西北风,5级,7.0,14
2019-03-16,14,0,晴,东北风,2级,7.0,14
2019-03-17,16,1,多云,西南风,1级,8.5,15
2019-03-18,18,2,阴,西北风,1级,10.0,16
2019-03-19,18,5,阴,西南风,3级,11.5,13
2019-03-20,10,-5,阴,西北风,4级,2.5,15
2019-03-21,5,-5,晴,西南风,2级,0.0,10
2019-03-22,7,-7,多云,西北风,4级,0.0,14
2019-03-23,6,-4,晴,西北风,1级,1.0,10
2019-03-24,14,-2,晴,西北风,2级,6.0,16
2019-03-25,15,0,晴,西北风,2级,7.5,15
2019-03-26,19,3,多云,西北风,4级,11.0,16
2019-03-27,17,2,多云,东北风,4级,9.5,15
2019-03-28,8,0,阴,东北风,1级,4.0,8
2019-03-29,7,-4,多云,西北风,3级,1.5,11
2019-03-30,5,-5,多云,西北风,2级,0.0,10
2019-03-31,11,-2,多云,西北风,3级,4.5,13
2019-02-01,3,-5,晴,西南风,1级,-1.0,8
2019-02-02,5,-9,阴,西南风,2级,-2.0,14
2019-02-03,0,-9,多云,西南风,2级,-4.5,9
2019-02-04,6,-5,晴,西南风,3级,0.5,11
2019-02-05,7,-5,晴,西南风,2级,1.0,12
2019-02-06,5,-17,晴,东北风,5级,-6.0,22
2019-02-07,-8,-11,阴,东北风,2级,-9.5,3
2019-02-08,0,-15,多云,东北风,3级,-7.5,15
2019-02-09,-9,-11,阴,东北风,1级,-10.0,2
2019-02-10,-1,-10,阴,西南风,2级,-5.5,9
2019-02-11,-1,-8,阴,东北风,3级,-4.5,7
2019-02-12,1,-11,阴,东北风,4级,-5.0,12
2019-02-13,-3,-8,阴,东北风,3级,-5.5,5
2019-02-14,-1,-14,阴,西南风,3级,-7.5,13
2019-02-15,-6,-16,晴,西北风,3级,-11.0,10
2019-02-16,-5,-14,晴,东北风,1级,-9.5,9
2019-02-17,-1,-10,阴,西南风,1级,-5.5,9
2019-02-18,-3,-7,阴,东北风,1级,-5.0,4
2019-02-19,1,-12,雾,西南风,1级,-5.5,13
2019-02-20,5,-9,多云,西南风,1级,-2.0,14
2019-02-21,8,-7,多云,西北风,1级,0.5,15
2019-02-22,7,-7,阴,西北风,1级,0.0,14
2019-02-23,9,-4,晴,西北风,1级,2.5,13
2019-02-24,10,-4,多云,东北风,3级,3.0,14
2019-02-25,8,-4,阴,东北风,2级,2.0,12
2019-02-26,8,-2,阴,西南风,2级,3.0,10
2019-02-27,7,-4,晴,西北风,1级,1.5,11
2019-02-28,10,-4,多云,西北风,2级,3.0,14
2019-01-01,-7,-12,多云,西北风,1级,-9.5,5
2019-01-02,-4,-13,多云,西南风,1级,-8.5,9
2019-01-03,-2,-15,多云,西南风,1级,-8.5,13
2019-01-04,-4,-13,多云,东北风,1级,-8.5,9
2019-01-05,-5,-11,阴,东南风,1级,-8.0,6
2019-01-06,-1,-12,阴,东北风,1级,-6.5,11
2019-01-07,-2,-15,阴,西北风,3级,-8.5,13
2019-01-08,-5,-15,晴,西北风,2级,-10.0,10
2019-01-09,-4,-11,多云,西南风,1级,-7.5,7
2019-01-10,0,-10,多云,西北风,1级,-5.0,10
2019-01-11,0,-12,多云,西北风,2级,-6.0,12
2019-01-12,3,-12,多云,东南风,1级,-4.5,15
2019-01-13,3,-13,多云,西南风,1级,-5.0,16
2019-01-14,3,-15,多云,西北风,4级,-6.0,18
2019-01-15,-8,-17,晴,西南风,3级,-12.5,9
2019-01-16,-2,-14,晴,西北风,2级,-8.0,12
2019-01-17,0,-11,多云,西南风,1级,-5.5,11
2019-01-18,2,-11,阴,东北风,3级,-4.5,13
2019-01-19,-1,-13,阴,西北风,3级,-7.0,12
2019-01-20,-2,-13,晴,西南风,3级,-7.5,11
2019-01-21,0,-10,晴,西南风,3级,-5.0,10
2019-01-22,7,-9,晴,西南风,3级,-1.0,16
2019-01-23,6,-9,多云,西北风,1级,-1.5,15
2019-01-24,4,-13,阴,西北风,4级,-4.5,17
2019-01-25,0,-13,晴,北风,2级,-6.5,13
2019-01-26,0,-9,多云,东北风,1级,-4.5,9
2019-01-27,2,-12,多云,西南风,2级,-5.0,14
2019-01-28,1,-8,阴,西北风,2级,-3.5,9
2019-01-29,7,-10,阴,西北风,3级,-1.5,17
2019-01-30,-1,-16,阴,东北风,3级,-8.5,15
2019-01-31,-4,-12,阴,西南风,3级,-8.0,8
2018-12-01,6,-4,多云,西南风,2级,1.0,10
2018-12-02,7,-7,多云,西北风,3级,0.0,14
2018-12-03,1,-10,多云,西南风,3级,-4.5,11
2018-12-04,-4,-10,晴,东南风,2级,-7.0,6
2018-12-05,0,-13,多云,西北风,3级,-6.5,13
2018-12-06,-6,-17,晴,西北风,4级,-11.5,11
2018-12-07,-11,-21,晴,西北风,3级,-16.0,10
2018-12-08,-8,-19,晴,西南风,1级,-13.5,11
2018-12-09,-5,-14,多云,西南风,微风,-9.5,9
2018-12-10,-2,-14,多云,西北风,3级,-8.0,12
2018-12-11,-7,-16,晴,西南风,2级,-11.5,9
2018-12-12,0,-13,晴,西南风,2级,-6.5,13
2018-12-13,-1,-10,晴,东南风,微风,-5.5,9
2018-12-14,1,-11,晴,西南风,2级,-5.0,12
2018-12-15,3,-9,多云,西南风,3级,-3.0,12
2018-12-16,2,-8,晴,西北风,3级,-3.0,10
2018-12-17,2,-6,晴,西南风,3级,-2.0,8
2018-12-18,4,-5,晴,西南风,3级,-0.5,9
2018-12-19,5,-8,晴,东南风,1级,-1.5,13
2018-12-20,0,-6,阴,西南风,3级,-3.0,6
2018-12-21,1,-9,多云,西南风,2级,-4.0,10
2018-12-22,0,-16,阴,西北风,3级,-8.0,16
2018-12-23,-5,-15,晴,西南风,2级,-10.0,10
2018-12-24,-1,-11,晴,西南风,2级,-6.0,10
2018-12-25,-2,-14,晴,西南风,微风,-8.0,12
2018-12-26,-5,-18,多云,西北风,4级,-11.5,13
2018-12-27,-13,-19,阴,东北风,2级,-16.0,6
2018-12-28,-12,-20,多云,西南风,2级,-16.0,8
2018-12-29,-8,-17,晴,西南风,2级,-12.5,9
2018-12-30,-6,-13,多云,东北风,1级,-9.5,7
2018-12-31,-7,-16,阴,西北风,1级,-11.5,9
2018-11-01,14,2,晴,北风,2级,8.0,12
2018-11-02,15,2,晴,南风,2级,8.5,13
2018-11-03,16,3,晴,东北风,2级,9.5,13
2018-11-04,7,-1,阴,东北风,2级,3.0,8
2018-11-05,8,-3,阴,北风,2级,2.5,11
2018-11-06,7,-3,阴,南风,1级,2.0,10
2018-11-07,9,-3,晴,西北风,1级,3.0,12
2018-11-08,11,1,晴,西南风,3级,6.0,10
2018-11-09,9,-2,晴,东南风,1级,3.5,11
2018-11-10,9,-1,阴,西南风,2级,4.0,10
2018-11-11,11,-2,晴,西南风,2级,4.5,13
2018-11-12,12,-1,晴,东南风,1级,5.5,13
2018-11-13,13,0,多云,西南风,2级,6.5,13
2018-11-14,10,-1,阴,东北风,2级,4.5,11
2018-11-15,7,-6,晴,东北风,3级,0.5,13
2018-11-16,4,-8,多云,西南风,1级,-2.0,12
2018-11-17,5,-5,晴,西南风,3级,0.0,10
2018-11-18,4,-6,晴,西南风,2级,-1.0,10
2018-11-19,9,-3,晴,西南风,2级,3.0,12
2018-11-20,6,-6,多云,西北风,3级,0.0,12
2018-11-21,2,-8,晴,西南风,3级,-3.0,10
2018-11-22,4,-5,晴,西南风,2级,-0.5,9
2018-11-23,8,-4,晴,西北风,2级,2.0,12
2018-11-24,9,-5,晴,西南风,2级,2.0,14
2018-11-25,10,-2,晴,西南风,2级,4.0,12
2018-11-26,8,-4,晴,西南风,3级,2.0,12
2018-11-27,4,-5,晴,东南风,1级,-0.5,9
2018-11-28,7,-6,晴,西北风,1级,0.5,13
2018-11-29,8,-4,晴,西南风,2级,2.0,12
2018-11-30,9,-4,晴,西北风,2级,2.5,13
2018-10-01,19,6,晴,西北风,2级,12.5,13
2018-10-02,20,4,晴,南风,2级,12.0,16
2018-10-03,21,6,晴,东南风,1级,13.5,15
2018-10-04,21,7,晴,西南风,1级,14.0,14
2018-10-05,21,4,小雨,西北风,3级,12.5,17
2018-10-06,16,0,晴,西风,2级,8.0,16
2018-10-07,15,1,晴,西风,1级,8.0,14
2018-10-08,15,0,多云,东风,3级,7.5,15
2018-10-09,12,-1,晴,西风,1级,5.5,13
2018-10-10,12,-3,多云,东北风,3级,4.5,15
2018-10-11,13,0,晴,东风,1级,6.5,13
2018-10-12,16,2,晴,东北风,1级,9.0,14
2018-10-13,17,2,多云,东南风,2级,9.5,15
2018-10-14,15,7,小雨,东北风,微风,11.0,8
2018-10-15,13,5,小雨,北风,2级,9.0,8
2018-10-16,16,3,晴,西风,1级,9.5,13
2018-10-17,15,3,晴,东北风,2级,9.0,12
2018-10-18,12,4,小雨,东南风,微风,8.0,8
2018-10-19,14,2,多云,西风,1级,8.0,12
2018-10-20,13,5,小雨,西南风,2级,9.0,8
2018-10-21,16,4,晴,西风,2级,10.0,12
2018-10-22,12,0,晴,西风,2级,6.0,12
2018-10-23,15,-1,晴,北风,1级,7.0,16
2018-10-24,17,3,晴,西风,1级,10.0,14
2018-10-25,10,-1,晴,西北风,3级,4.5,11
2018-10-26,12,0,晴,西南风,2级,6.0,12
2018-10-27,11,0,晴,西北风,2级,5.5,11
2018-10-28,13,0,晴,西北风,2级,6.5,13
2018-10-29,12,0,多云,东北风,2级,6.0,12
2018-10-30,11,2,晴,西北风,1级,6.5,9
2018-10-31,14,2,晴,西南风,1级,8.0,12
2018-09-01,22,15,中雨,西南风,2级,18.5,7
2018-09-02,25,14,多云,西风,2级,19.5,11
2018-09-03,24,12,多云,西南风,2级,18.0,12
2018-09-04,24,13,晴,南风,3级,18.5,11
2018-09-05,24,12,晴,西南风,2级,18.0,12
2018-09-06,19,11,多云,西风,4级,15.0,8
2018-09-10,22,12,小雨,西风,1级,17.0,10
2018-09-11,21,12,小雨,东南风,1级,16.5,9
2018-09-12,24,12,雷阵雨,南风,2级,18.0,12
2018-09-13,24,14,小雨,东南风,2级,19.0,10
2018-09-14,24,11,多云,南风,2级,17.5,13
2018-09-16,20,8,晴,西风,1级,14.0,12
2018-09-17,19,11,小雨,西南风,2级,15.0,8
2018-09-18,18,11,小雨,东南风,2级,14.5,7
2018-09-19,21,11,多云,东南风,1级,16.0,10
2018-09-20,20,7,多云,西风,2级,13.5,13
2018-09-21,18,5,晴,西风,3级,11.5,13
2018-09-22,18,5,晴,西北风,2级,11.5,13
2018-09-23,20,6,晴,东北风,1级,13.0,14
2018-09-24,20,7,晴,东风,2级,13.5,13
2018-09-25,17,8,多云,东南风,1级,12.5,9
2018-09-26,19,10,多云,西南风,2级,14.5,9
2018-09-27,17,5,小雨,西南风,2级,11.0,12
2018-09-28,19,3,晴,南风,2级,11.0,16
2018-09-29,16,3,晴,西北风,2级,9.5,13
2018-09-30,15,5,阵雨,西风,3级,10.0,10
2018-08-01,33,21,晴,东南风,3级,27.0,12
2018-08-02,32,20,晴,东南风,2级,26.0,12
2018-08-03,33,22,晴,西南风,2级,27.5,11
