日期,最高气温,最低气温,天气,风向,风力,平均气温,温差
2019-09-01,27,19,阴,西北风,1级,23.0,8
2019-09-02,27,19,阴,西北风,1级,23.0,8
2019-09-03,27,19,小雨,西北风,1级,23.0,8
2019-09-04,28,20,多云,南风,微风,24.0,8
2019-09-05,27,20,阴,西北风,1级,23.5,7
2019-09-06,27,20,多云,西南风,1级,23.5,7
2019-09-07,28,20,阴,西南风,1级,24.0,8
2019-09-08,27,20,阴,西南风,1级,23.5,7
2019-09-09,26,20,阴,西南风,2级,23.0,6
2019-09-10,23,20,阴,西南风,2级,21.5,3
2019-09-11,23,19,阴,东南风,2级,21.0,4
2019-09-12,27,19,阴,西南风,微风,23.0,8
2019-09-13,29,19,阴,东北风,1级,24.0,10
2019-09-14,30,18,晴,东南风,1级,24.0,12
2019-09-15,29,16,多云,西南风,微风,22.5,13
2019-09-16,29,17,多云,西北风,1级,23.0,12
2019-09-17,30,19,多云,西北风,1级,24.5,11
2019-09-18,29,18,阵雨,南风,微风,23.5,11
2019-09-19,27,19,阴,东南风,1级,23.0,8
2019-09-20,27,19,阴,南风,微风,23.0,8
2019-09-21,23,17,阴,东北风,1级,20.0,6
2019-09-22,25,15,多云,西北风,2级,20.0,10
2019-09-23,25,16,多云,东北风,2级,20.5,9
2019-09-24,25,15,多云,西南风,1级,20.0,10
2019-09-25,23,17,多云,西北风,2级,20.0,6
2019-09-26,20,16,阴,北风,微风,18.0,4
2019-09-27,23,16,多云,西北风,1级,19.5,7
2019-09-28,25,15,多云,西北风,1级,20.0,10
2019-09-29,27,16,晴,西南风,1级,21.5,11
2019-09-30,27,17,多云,北风,微风,22.0,10
2019-08-01,28,19,阴,东南风,1级,23.5,9
2019-08-02,29,21,小雨,西南风,1级,25.0,8
2019-08-03,30,20,阴,西南风,1级,25.0,10
2019-08-04,27,19,小雨,东北风,1级,23.0,8
2019-08-05,25,20,小雨,北风,微风,22.5,5
2019-08-06,28,19,阴,东南风,2级,23.5,9
2019-08-07,29,20,阴,西南风,1级,24.5,9
2019-08-08,27,20,小雨,东南风,1级,23.5,7
2019-08-09,29,19,小雨,南风,微风,24.0,10
2019-08-10,27,20,阴,西北风,1级,23.5,7
2019-08-11,29,20,小雨,西南风,1级,24.5,9
2019-08-12,29,20,阴,东南风,2级,24.5,9
2019-08-13,26,20,小雨,西南风,1级,23.0,6
2019-08-14,30,20,阴,东南风,3级,25.0,10
2019-08-15,28,20,小雨,北风,微风,24.0,8
2019-08-16,28,19,阴,西南风,2级,23.5,9
2019-08-17,29,20,阴,西南风,2级,24.5,9
2019-08-18,27,20,阴,西南风,1级,23.5,7
2019-08-19,30,20,阴,东南风,1级,25.0,10
2019-08-20,29,20,小雨,东南风,2级,24.5,9
2019-08-21,28,20,阴,西南风,1级,24.0,8
2019-08-22,28,19,阴,西南风,1级,23.5,9
2019-08-23,25,19,小雨,北风,微风,22.0,6
2019-08-24,25,19,小雨,西北风,1级,22.0,6
2019-08-25,30,19,中雨,西北风,1级,24.5,11
2019-08-26,30,19,阴,西南风,1级,24.5,11
2019-08-27,24,19,小雨,北风,微风,21.5,5
2019-08-28,26,19,阴,西北风,1级,22.5,7
2019-08-29,31,19,多云,西南风,2级,25.0,12
2019-08-30,30,19,多云,东北风,1级,24.5,11
2019-08-31,27,20,阴,东南风,2级,23.5,7
2019-07-01,26,19,大雨,西北风,1级,22.5,7
2019-07-02,27,20,阴,西南风,1级,23.5,7
2019-07-03,30,21,中雨,东南风,1级,25.5,9
2019-07-04,29,20,小雨,西南风,2级,24.5,9
2019-07-05,24,20,大雨,西南风,1级,22.0,4
2019-07-06,26,20,小雨,西南风,2级,23.0,6
2019-07-07,28,20,阵雨,西南风,2级,24.0,8
2019-07-08,27,20,小雨,东南风,1级,23.5,7
2019-07-09,27,20,阴,西南风,2级,23.5,7
2019-07-10,25,20,阴,西南风,2级,22.5,5
2019-07-11,27,20,阴,西南风,2级,23.5,7
2019-07-12,27,20,阴,东南风,2级,23.5,7
2019-07-13,26,20,阴,西南风,2级,23.0,6
2019-07-14,28,20,阴,西南风,2级,24.0,8
2019-07-15,26,20,大雨,西南风,2级,23.0,6
2019-07-16,26,20,小雨,东南风,2级,23.0,6
2019-07-17,27,20,小雨,西北风,1级,23.5,7
2019-07-18,31,20,多云,东南风,2级,25.5,11
2019-07-19,30,20,阴,西南风,2级,25.0,10
2019-07-20,27,21,小雨,西南风,1级,24.0,6
2019-07-21,28,21,阴,西南风,1级,24.5,7
2019-07-22,25,20,阴,西南风,2级,22.5,5
2019-07-23,23,19,小雨,西南风,1级,21.0,4
2019-07-24,24,20,小雨,西南风,1级,22.0,4
2019-07-25,23,20,大雨,东南风,1级,21.5,3
2019-07-26,24,19,小雨,西南风,1级,21.5,5
2019-07-27,26,19,阴,西北风,2级,22.5,7
2019-07-28,29,20,阴,东南风,2级,24.5,9
2019-07-29,28,20,小雨,西南风,2级,24.0,8
2019-07-30,24,20,小雨,西南风,1级,22.0,4
2019-07-31,26,20,小雨,北风,微风,23.0,6
2019-06-01,31,19,阴,西南风,3级,25.0,12
2019-06-02,24,18,阴,西南风,2级,21.0,6
2019-06-03,29,19,阴,东南风,2级,24.0,10
2019-06-04,30,19,阴,西南风,1级,24.5,11
2019-06-05,28,19,多云,东南风,2级,23.5,9
2019-06-06,28,20,阴,西北风,1级,24.0,8
2019-06-07,27,20,阴,西南风,1级,23.5,7
2019-06-08,29,20,阴,西南风,1级,24.5,9
2019-06-09,30,20,阴,东南风,2级,25.0,10
2019-06-10,29,20,阴,西北风,1级,24.5,9
2019-06-11,30,20,阴,西南风,3级,25.0,10
2019-06-12,28,21,小雨,西南风,1级,24.5,7
2019-06-13,30,20,阴,东南风,2级,25.0,10
2019-06-14,25,20,中雨,西南风,1级,22.5,5
2019-06-15,27,20,阴,西南风,1级,23.5,7
2019-06-16,27,20,阴,西南风,1级,23.5,7
2019-06-17,29,21,阵雨,西北风,1级,25.0,8
2019-06-18,29,21,小雨,西南风,1级,25.0,8
2019-06-19,28,20,阴,东南风,1级,24.0,8
2019-06-20,29,20,阴,东南风,2级,24.5,9
2019-06-21,27,20,多云,西南风,2级,23.5,7
2019-06-22,30,21,多云,西南风,2级,25.5,9
2019-06-23,30,20,多云,东南风,2级,25.0,10
2019-06-24,31,21,阴,北风,微风,26.0,10
2019-06-25,27,20,阴,北风,微风,23.5,7
2019-06-26,27,20,中雨,西南风,1级,23.5,7
2019-06-27,28,20,阵雨,西南风,2级,24.0,8
2019-06-28,30,21,阴,西北风,1级,25.5,9
2019-06-29,27,20,阴,西南风,1级,23.5,7
2019-06-30,27,20,阴,西南风,1级,23.5,7
2019-05-01,30,18,多云,西北风,2级,24.0,12
2019-05-02,31,19,多云,西南风,1级,25.0,12
2019-05-03,32,20,晴,西南风,2级,26.0,12
2019-05-04,30,20,阴,西北风,1级,25.0,10
2019-05-05,32,17,阴,西南风,3级,24.5,15
2019-05-06,32,17,多云,西南风,3级,24.5,15
2019-05-07,32,18,多云,西南风,2级,25.0,14
2019-05-08,32,17,多云,西北风,2级,24.5,15
2019-05-09,33,18,多云,西南风,1级,25.5,15
2019-05-10,33,18,多云,西南风,1级,25.5,15
2019-05-11,34,19,多云,西北风,1级,26.5,15
2019-05-12,34,19,多云,西北风,2级,26.5,15
2019-05-13,34,20,阴,西北风,微风,27.0,14
2019-05-14,33,20,多云,西南风,2级,26.5,13
2019-05-15,33,18,多云,西南风,3级,25.5,15
2019-05-16,32,18,多云,西南风,2级,25.0,14
2019-05-17,32,18,多云,西南风,2级,25.0,14
2019-05-18,33,18,多云,西南风,3级,25.5,15
2019-05-19,34,17,晴,西南风,3级,25.5,17
2019-05-20,36,19,晴,东南风,2级,27.5,17
2019-05-21,34,18,多云,西南风,1级,26.0,16
2019-05-22,33,19,多云,西北风,1级,26.0,14
2019-05-23,32,19,阴,东南风,2级,25.5,13
2019-05-24,31,19,阴,西南风,2级,25.0,12
2019-05-25,31,19,多云,西南风,2级,25.0,12
2019-05-26,31,19,阴,西北风,3级,25.0,12
2019-05-27,32,19,多云,东南风,1级,25.5,13
2019-05-28,34,21,多云,东南风,2级,27.5,13
2019-05-29,31,20,阴,东南风,2级,25.5,11
2019-05-30,28,19,阴,西南风,2级,23.5,9
2019-05-31,26,19,阴,西南风,2级,22.5,7
2019-04-01,29,16,多云,西北风,1级,22.5,13
2019-04-02,29,15,阴,西北风,微风,22.0,14
2019-04-03,27,14,阴,西北风,2级,20.5,13
2019-04-04,28,14,晴,西南风,1级,21.0,14
2019-04-05,29,15,多云,西南风,2级,22.0,14
2019-04-06,29,15,多云,西北风,1级,22.0,14
2019-04-07,27,13,多云,西南风,1级,20.0,14
2019-04-08,28,13,多云,西北风,2级,20.5,15
2019-04-09,29,14,阴,西北风,1级,21.5,15
2019-04-10,30,13,晴,西北风,2级,21.5,17
2019-04-11,28,13,多云,西南风,1级,20.5,15
2019-04-12,31,13,晴,西南风,3级,22.0,18
2019-04-13,31,15,多云,西南风,2级,23.0,16
2019-04-14,32,16,多云,东南风,1级,24.0,16
2019-04-15,31,15,多云,西南风,2级,23.0,16
2019-04-16,31,14,多云,西北风,3级,22.5,17
2019-04-17,31,15,晴,西南风,1级,23.0,16
2019-04-18,32,15,晴,西北风,3级,23.5,17
2019-04-19,31,15,晴,西北风,3级,23.0,16
2019-04-20,32,15,晴,西北风,1级,23.5,17
2019-04-21,31,14,多云,西北风,2级,22.5,17
2019-04-22,32,14,多云,西南风,2级,23.0,18
2019-04-23,30,17,多云,西南风,3级,23.5,13
2019-04-24,30,16,多云,西南风,2级,23.0,14
2019-04-25,32,15,多云,西南风,微风,23.5,17
2019-04-26,31,18,多云,西南风,2级,24.5,13
2019-04-27,29,19,多云,西南风,1级,24.0,10
2019-04-28,29,18,阴,西北风,1级,23.5,11
2019-04-29,21,18,阴,西南风,1级,19.5,3
2019-04-30,31,17,多云,西北风,1级,24.0,14
2019-03-01,25,10,晴,西南风,2级,17.5,15
2019-03-02,25,8,多云,西北风,1级,16.5,17
2019-03-03,26,12,晴,西北风,2级,19.0,14
2019-03-04,25,11,晴,西南风,3级,18.0,14
2019-03-05,24,14,多云,西北风,1级,19.0,10
2019-03-06,19,13,阴,西北风,1级,16.0,6
2019-03-07,23,13,阴,西南风,2级,18.0,10
2019-03-08,18,14,阴,西南风,1级,16.0,4
2019-03-09,21,10,晴,西北风,1级,15.5,11
2019-03-10,23,10,多云,西南风,1级,16.5,13
2019-03-11,24,10,阴,西南风,2级,17.0,14
2019-03-12,26,10,晴,西南风,2级,18.0,16
2019-03-13,26,10,晴,西南风,2级,18.0,16
2019-03-14,27,13,晴,西南风,1级,20.0,14
