日期,最高气温,最低气温,天气,风向,风力,平均气温,温差
2019-09-01,25,18,阴,东北风,3级,21.5,7
2019-09-02,27,18,阴,东北风,2级,22.5,9
2019-09-03,26,18,多云,东南风,1级,22.0,8
2019-09-04,31,18,多云,东南风,3级,24.5,13
2019-09-05,31,20,多云,东北风,1级,25.5,11
2019-09-06,31,21,多云,东北风,微风,26.0,10
2019-09-07,28,21,阴,西南风,2级,24.5,7
2019-09-08,26,21,阴,西南风,1级,23.5,5
2019-09-09,25,21,阴,西北风,微风,23.0,4
2019-09-10,28,21,阴,西北风,1级,24.5,7
2019-09-11,26,21,阴,西南风,2级,23.5,5
2019-09-12,30,20,阴,西南风,2级,25.0,10
2019-09-13,31,19,阴,西南风,2级,25.0,12
2019-09-14,32,19,晴,西南风,2级,25.5,13
2019-09-15,31,19,阴,东南风,1级,25.0,12
2019-09-16,27,20,阴,东南风,微风,23.5,7
2019-09-17,30,18,阴,东南风,1级,24.0,12
2019-09-18,25,17,多云,东北风,3级,21.0,8
2019-09-19,25,18,阴,西北风,微风,21.5,7
2019-09-20,21,16,阴,东北风,5级,18.5,5
2019-09-21,23,15,多云,西北风,1级,19.0,8
2019-09-22,23,14,多云,东北风,微风,18.5,9
2019-09-23,26,13,多云,东北风,1级,19.5,13
2019-09-24,25,13,多云,西北风,1级,19.0,12
2019-09-25,25,15,阴,东北风,1级,20.0,10
2019-09-26,25,14,多云,西南风,2级,19.5,11
2019-09-27,27,13,晴,东南风,2级,20.0,14
2019-09-28,28,13,晴,东南风,2级,20.5,15
2019-09-29,29,14,晴,西南风,1级,21.5,15
2019-09-30,28,15,多云,东南风,1级,21.5,13
2019-08-01,31,21,多云,东北风,3级,26.0,10
2019-08-02,28,21,小雨,东北风,1级,24.5,7
2019-08-03,30,22,阴,南风,微风,26.0,8
2019-08-04,28,21,暴雨,南风,微风,24.5,7
2019-08-05,30,21,阴,东北风,1级,25.5,9
2019-08-06,30,21,多云,西南风,1级,25.5,9
2019-08-07,31,21,小雨,西南风,1级,26.0,10
2019-08-08,32,21,阴,西北风,1级,26.5,11
2019-08-09,30,21,多云,东北风,1级,25.5,9
2019-08-10,30,22,小雨,西南风,3级,26.0,8
2019-08-11,32,21,晴,东北风,1级,26.5,11
2019-08-12,34,20,晴,西南风,2级,27.0,14
2019-08-13,34,20,晴,西南风,2级,27.0,14
2019-08-14,31,21,多云,西南风,1级,26.0,10
2019-08-15,33,22,晴,东北风,1级,27.5,11
2019-08-16,34,21,晴,西南风,1级,27.5,13
2019-08-17,33,22,多云,东南风,2级,27.5,11
2019-08-18,32,22,晴,东南风,2级,27.0,10
2019-08-19,33,21,阴,东南风,2级,27.0,12
2019-08-20,33,21,多云,东南风,2级,27.0,12
2019-08-21,32,22,阴,西南风,2级,27.0,10
2019-08-22,27,21,小雨,西北风,微风,24.0,6
2019-08-23,29,19,多云,西北风,1级,24.0,10
2019-08-24,33,20,阴,东北风,1级,26.5,13
2019-08-25,32,21,晴,东北风,2级,26.5,11
