日期,最高气温,最低气温,天气,风向,风力,平均气温,温差
2019-09-01,25,20,阴,西北风,1级,22.5,5
2019-09-02,25,19,阴,东北风,2级,22.0,6
2019-09-03,23,19,小雨,东北风,2级,21.0,4
2019-09-04,21,20,阴,东北风,1级,20.5,1
2019-09-05,26,21,阴,东南风,1级,23.5,5
2019-09-06,25,21,阴,东北风,微风,23.0,4
2019-09-07,26,21,阴,东北风,2级,23.5,5
2019-09-08,28,21,阴,东北风,1级,24.5,7
2019-09-09,27,21,阴,东北风,1级,24.0,6
2019-09-10,25,21,阴,东北风,2级,23.0,4
2019-09-11,26,22,阴,东北风,2级,24.0,4
2019-09-12,28,19,阴,东北风,2级,23.5,9
2019-09-13,19,16,阴,东北风,2级,17.5,3
2019-09-14,22,17,阴,西北风,1级,19.5,5
2019-09-15,21,17,阴,西北风,1级,19.0,4
2019-09-16,25,17,阴,东北风,2级,21.0,8
2019-09-17,22,18,阴,西北风,1级,20.0,4
2019-09-18,25,17,多云,东北风,3级,21.0,8
2019-09-19,20,17,阴,西北风,1级,18.5,3
2019-09-20,25,19,阴,西南风,1级,22.0,6
2019-09-21,28,18,阴,西北风,1级,23.0,10
2019-09-22,30,18,多云,西北风,1级,24.0,12
2019-09-23,21,16,阴,东北风,2级,18.5,5
2019-09-24,20,15,阴,西南风,2级,17.5,5
2019-09-25,27,16,多云,东南风,1级,21.5,11
2019-09-26,24,17,多云,西北风,1级,20.5,7
2019-09-27,27,18,多云,西北风,微风,22.5,9
2019-09-28,29,19,多云,东南风,微风,24.0,10
2019-09-29,25,19,阴,西北风,1级,22.0,6
2019-09-30,27,19,阴,西北风,1级,23.0,8
2019-08-01,31,22,阴,东南风,2级,26.5,9
2019-08-02,29,23,阴,东北风,2级,26.0,6
2019-08-03,31,23,阴,西北风,3级,27.0,8
2019-08-04,30,22,阴,东南风,2级,26.0,8
2019-08-05,27,21,阴,东北风,3级,24.0,6
2019-08-06,28,21,阴,西北风,1级,24.5,7
2019-08-07,33,23,晴,西南风,1级,28.0,10
2019-08-08,32,23,阴,东北风,1级,27.5,9
2019-08-09,34,22,阴,北风,微风,28.0,12
2019-08-10,37,23,晴,东南风,微风,30.0,14
2019-08-11,37,23,晴,西北风,1级,30.0,14
2019-08-12,37,24,晴,西南风,微风,30.5,13
2019-08-13,33,24,多云,东北风,1级,28.5,9
2019-08-14,36,22,多云,西南风,2级,29.0,14
2019-08-15,38,23,晴,西南风,微风,30.5,15
2019-08-16,38,23,晴,南风,微风,30.5,15
2019-08-17,38,25,多云,西北风,1级,31.5,13
2019-08-18,33,23,阴,西北风,2级,28.0,10
2019-08-19,26,23,阴,西北风,1级,24.5,3
2019-08-20,30,24,阴,西北风,1级,27.0,6
2019-08-21,29,22,阴,西北风,微风,25.5,7
2019-08-22,33,23,阴,东北风,2级,28.0,10
2019-08-23,35,24,多云,北风,微风,29.5,11
2019-08-24,35,24,晴,东北风,1级,29.5,11
2019-08-25,33,25,多云,北风,1级,29.0,8
2019-08-26,35,23,阴,东北风,1级,29.0,12
2019-08-27,31,23,阴,南风,微风,27.0,8
