日期,最高气温,最低气温,天气,风向,风力,平均气温,温差
2019-09-01,28,21,多云,西南风,3级,24.5,7
2019-09-02,28,21,多云,东北风,1级,24.5,7
2019-09-03,27,22,多云,东北风,3级,24.5,5
2019-09-04,27,21,阴,西南风,4级,24.0,6
2019-09-05,27,21,多云,西南风,2级,24.0,6
2019-09-06,27,22,阴,东北风,2级,24.5,5
2019-09-07,24,21,阴,西北风,6级,22.5,3
2019-09-08,29,20,晴,西南风,2级,24.5,9
2019-09-09,30,22,晴,东北风,4级,26.0,8
2019-09-10,27,21,多云,东北风,4级,24.0,6
2019-09-11,26,21,多云,西北风,3级,23.5,5
2019-09-12,26,20,多云,东北风,1级,23.0,6
2019-09-13,26,20,多云,西北风,4级,23.0,6
2019-09-14,26,21,多云,西北风,4级,23.5,5
2019-09-15,26,20,多云,西北风,5级,23.0,6
2019-09-16,27,19,多云,东北风,4级,23.0,8
2019-09-17,26,19,多云,西北风,2级,22.5,7
2019-09-18,20,18,多云,东北风,6级,19.0,2
2019-09-19,24,17,晴,西北风,2级,20.5,7
2019-09-20,24,20,阴,东北风,5级,22.0,4
2019-09-21,26,20,多云,东北风,4级,23.0,6
2019-09-22,23,19,多云,东北风,5级,21.0,4
2019-09-23,24,17,晴,西北风,5级,20.5,7
2019-09-24,29,18,晴,西南风,3级,23.5,11
2019-09-25,27,17,阴,西南风,3级,22.0,10
2019-09-26,27,18,多云,东北风,3级,22.5,9
2019-09-27,26,17,多云,西南风,3级,21.5,9
2019-09-28,28,18,晴,西南风,4级,23.0,10
2019-09-29,29,19,多云,西南风,2级,24.0,10
2019-09-30,30,18,晴,西南风,3级,24.0,12
2019-08-01,31,26,阴,东南风,4级,28.5,5
2019-08-02,32,26,阴,东南风,4级,29.0,6
2019-08-03,33,25,多云,西南风,5级,29.0,8
2019-08-04,30,25,晴,东南风,2级,27.5,5
2019-08-05,34,25,多云,东南风,3级,29.5,9
2019-08-06,31,25,多云,东北风,1级,28.0,6
2019-08-07,33,26,晴,西南风,4级,29.5,7
2019-08-08,28,24,小雨,东南风,3级,26.0,4
2019-08-09,30,26,中雨,西南风,3级,28.0,4
2019-08-10,29,25,小雨,东北风,4级,27.0,4
2019-08-11,25,25,中雨,东南风,7级,25.0,0
2019-08-12,26,24,小雨,东南风,6级,25.0,2
2019-08-13,25,23,小雨,西南风,4级,24.0,2
2019-08-14,26,23,阴,西北风,4级,24.5,3
2019-08-15,24,23,小雨,西北风,6级,23.5,1
2019-08-16,30,23,多云,西北风,3级,26.5,7
2019-08-17,29,21,晴,西北风,4级,25.0,8
2019-08-18,31,21,多云,西南风,3级,26.0,10
2019-08-19,30,21,晴,西北风,3级,25.5,9
2019-08-20,28,22,阴,西南风,3级,25.0,6
2019-08-21,28,22,阴,西南风,3级,25.0,6
2019-08-22,29,22,多云,西北风,2级,25.5,7
2019-08-23,31,22,多云,西南风,2级,26.5,9
2019-08-24,27,21,阴,西北风,3级,24.0,6
2019-08-25,29,21,多云,西南风,2级,25.0,8
2019-08-26,29,22,阴,西南风,2级,25.5,7
2019-08-27,28,22,阴,西南风,2级,25.0,6
2019-08-28,32,22,多云,西南风,5级,27.0,10
2019-08-29,25,22,阴,西北风,4级,23.5,3
2019-08-30,27,21,多云,西北风,4级,24.0,6
2019-08-31,28,19,晴,西南风,2级,23.5,9
2019-07-01,30,20,多云,西北风,1级,25.0,10
2019-07-02,29,21,晴,西南风,4级,25.0,8
2019-07-03,29,21,雷阵雨,西南风,4级,25.0,8
2019-07-04,32,23,晴,西南风,4级,27.5,9
2019-07-05,31,22,晴,西南风,5级,26.5,9
2019-07-06,31,21,多云,东南风,3级,26.0,10
2019-07-07,25,21,雷阵雨,东北风,4级,23.0,4
2019-07-08,28,20,多云,东北风,3级,24.0,8
2019-07-09,27,21,阴,东北风,3级,24.0,6
2019-07-10,25,20,阴,东北风,4级,22.5,5
2019-07-11,26,21,多云,西南风,3级,23.5,5
2019-07-12,27,22,多云,西南风,3级,24.5,5
2019-07-13,28,23,多云,东南风,2级,25.5,5
2019-07-14,28,22,多云,东北风,1级,25.0,6
2019-07-15,28,22,多云,东北风,2级,25.0,6
2019-07-16,27,23,阴,西南风,4级,25.0,4
2019-07-17,28,22,阴,西南风,3级,25.0,6
2019-07-18,27,22,多云,东南风,3级,24.5,5
2019-07-19,27,23,多云,东北风,2级,25.0,4
2019-07-20,30,24,晴,西北风,5级,27.0,6
2019-07-21,33,25,多云,西南风,1级,29.0,8
2019-07-22,34,26,晴,西南风,4级,30.0,8
2019-07-23,32,25,阴,东南风,4级,28.5,7
2019-07-24,31,25,多云,西南风,4级,28.0,6
2019-07-25,31,25,雾,西南风,3级,28.0,6
2019-07-26,32,25,多云,西南风,4级,28.5,7
2019-07-27,30,26,多云,东南风,3级,28.0,4
2019-07-28,32,26,阴,西南风,4级,29.0,6
2019-07-29,34,26,多云,西南风,5级,30.0,8
2019-07-30,34,26,阴,西北风,1级,30.0,8
2019-07-31,33,26,阴,西南风,4级,29.5,7
2019-06-01,28,19,阴,西南风,5级,23.5,9
2019-06-02,27,20,多云,西南风,5级,23.5,7
2019-06-03,27,20,多云,西南风,6级,23.5,7
2019-06-04,26,19,晴,西南风,4级,22.5,7
2019-06-05,26,18,阴,西南风,5级,22.0,8
2019-06-06,19,17,阴,东北风,4级,18.0,2
2019-06-07,24,19,晴,西北风,3级,21.5,5
2019-06-08,25,17,阴,西南风,6级,21.0,8
2019-06-09,24,16,阴,西南风,4级,20.0,8
2019-06-10,20,16,阴,东北风,2级,18.0,4
2019-06-11,21,16,多云,西南风,3级,18.5,5
2019-06-12,26,18,晴,西南风,5级,22.0,8
2019-06-13,25,18,阴,西南风,4级,21.5,7
2019-06-14,23,18,阴,西南风,4级,20.5,5
2019-06-15,25,18,晴,西北风,5级,21.5,7
2019-06-16,23,17,阴,西南风,2级,20.0,6
2019-06-17,28,20,多云,西南风,5级,24.0,8
2019-06-18,29,20,多云,西南风,5级,24.5,9
2019-06-19,24,21,阴,西南风,5级,22.5,3
2019-06-20,28,20,阴,西南风,4级,24.0,8
2019-06-21,24,19,多云,西北风,4级,21.5,5
2019-06-22,26,18,晴,西北风,3级,22.0,8
2019-06-23,27,20,晴,西南风,3级,23.5,7
2019-06-24,31,20,晴,西南风,4级,25.5,11
2019-06-25,29,20,多云,东南风,3级,24.5,9
2019-06-26,28,19,多云,东北风,2级,23.5,9
2019-06-27,27,21,多云,西南风,4级,24.0,6
2019-06-28,27,22,多云,西南风,3级,24.5,5
2019-06-29,27,22,多云,西南风,4级,24.5,5
2019-06-30,26,20,阴,西北风,2级,23.0,6
2019-05-01,20,9,晴,西北风,6级,14.5,11
2019-05-02,25,15,晴,西北风,5级,20.0,10
2019-05-03,26,16,晴,西南风,3级,21.0,10
2019-05-04,27,11,阴,西南风,4级,19.0,16
2019-05-05,25,8,阴,西北风,4级,16.5,17
2019-05-06,17,12,晴,西北风,4级,14.5,5
2019-05-07,24,16,晴,西南风,4级,20.0,8
2019-05-08,25,15,阴,西南风,5级,20.0,10
2019-05-09,24,15,多云,西南风,4级,19.5,9
2019-05-10,23,14,阴,西南风,4级,18.5,9
2019-05-11,24,14,多云,西南风,5级,19.0,10
2019-05-12,25,13,多云,西南风,5级,19.0,12
2019-05-13,19,11,阴,东南风,1级,15.0,8
2019-05-14,20,15,晴,东南风,4级,17.5,5
2019-05-15,25,15,阴,西南风,5级,20.0,10
2019-05-16,26,16,多云,西南风,5级,21.0,10
2019-05-17,23,15,阴,西南风,2级,19.0,8
2019-05-18,22,15,多云,东南风,3级,18.5,7
2019-05-19,23,14,阴,西北风,4级,18.5,9
2019-05-20,19,15,晴,西北风,6级,17.0,4
2019-05-21,25,17,晴,西南风,4级,21.0,8
2019-05-22,30,20,晴,西北风,1级,25.0,10
2019-05-23,34,22,晴,东南风,4级,28.0,12
2019-05-24,32,20,晴,西南风,4级,26.0,12
2019-05-25,25,19,多云,西南风,5级,22.0,6
2019-05-26,22,15,阴,西南风,6级,18.5,7
2019-05-27,18,15,阴,西北风,7级,16.5,3
2019-05-28,27,18,晴,西南风,2级,22.5,9
2019-05-29,29,21,多云,西南风,4级,25.0,8
2019-05-30,27,16,阴,西南风,5级,21.5,11
2019-05-31,26,17,晴,西南风,2级,21.5,9
2019-04-01,10,2,阴,西北风,3级,6.0,8
2019-04-02,12,3,多云,西南风,3级,7.5,9
2019-04-03,11,6,晴,西南风,4级,8.5,5
2019-04-04,20,7,晴,西南风,6级,13.5,13
2019-04-05,14,7,扬沙,东南风,3级,10.5,7
2019-04-06,13,6,阴,东北风,3级,9.5,7
2019-04-07,11,5,阴,东北风,2级,8.0,6
2019-04-08,11,6,阴,西北风,1级,8.5,5
2019-04-09,7,5,阴,东北风,6级,6.0,2
2019-04-10,13,5,晴,西北风,5级,9.0,8
2019-04-11,14,6,多云,西南风,3级,10.0,8
2019-04-12,15,8,晴,西南风,4级,11.5,7
2019-04-13,19,7,多云,西南风,5级,13.0,12
2019-04-14,14,8,多云,西北风,4级,11.0,6
2019-04-15,24,10,晴,西南风,6级,17.0,14
2019-04-16,17,11,阴,西南风,3级,14.0,6
2019-04-17,17,10,多云,西南风,6级,13.5,7
2019-04-18,15,8,多云,西北风,4级,11.5,7
2019-04-19,12,6,阴,西北风,2级,9.0,6
2019-04-20,19,9,多云,东南风,3级,14.0,10
2019-04-21,13,7,雾,东北风,1级,10.0,6
2019-04-22,22,12,多云,西南风,4级,17.0,10
2019-04-23,17,10,阴,东南风,3级,13.5,7
2019-04-24,18,8,多云,西北风,5级,13.0,10
