日期,最高气温,最低气温,天气,风向,风力,平均气温,温差
2019-09-01,21,20,阴,东北风,微风,20.5,1
2019-09-02,22,20,阴,东北风,1级,21.0,2
2019-09-03,25,21,阵雨,西北风,2级,23.0,4
2019-09-04,24,22,阴,东北风,1级,23.0,2
2019-09-05,28,22,阴,东北风,2级,25.0,6
2019-09-06,29,23,阴,西北风,4级,26.0,6
2019-09-07,30,22,阴,北风,微风,26.0,8
2019-09-08,31,21,晴,东北风,2级,26.0,10
2019-09-09,31,21,多云,东北风,2级,26.0,10
2019-09-10,31,24,阴,东北风,2级,27.5,7
2019-09-11,31,24,阴,东北风,3级,27.5,7
2019-09-12,31,24,阴,东北风,3级,27.5,7
2019-09-13,32,24,多云,东南风,2级,28.0,8
2019-09-14,31,24,多云,东北风,3级,27.5,7
2019-09-15,29,21,阴,东北风,1级,25.0,8
2019-09-16,29,21,晴,东北风,4级,25.0,8
2019-09-17,29,21,多云,东北风,3级,25.0,8
2019-09-18,29,19,多云,东北风,4级,24.0,10
2019-09-19,26,18,晴,东北风,3级,22.0,8
2019-09-20,26,18,多云,东北风,3级,22.0,8
2019-09-21,25,20,多云,东北风,4级,22.5,5
2019-09-22,26,18,多云,西北风,2级,22.0,8
2019-09-23,27,16,晴,西北风,1级,21.5,11
2019-09-24,29,18,阴,东北风,微风,23.5,11
2019-09-25,29,19,阴,东北风,3级,24.0,10
2019-09-26,27,19,阴,东北风,2级,23.0,8
2019-09-27,27,20,阴,东北风,2级,23.5,7
2019-09-28,28,18,晴,东北风,2级,23.0,10
2019-09-29,28,18,晴,东北风,2级,23.0,10
2019-09-30,28,20,阴,东北风,2级,24.0,8
2019-08-01,36,28,阴,东南风,4级,32.0,8
2019-08-02,35,26,晴,东南风,3级,30.5,9
2019-08-03,34,26,阴,东南风,3级,30.0,8
2019-08-04,31,26,晴,东南风,2级,28.5,5
2019-08-05,34,27,阴,东南风,4级,30.5,7
2019-08-06,34,26,阴,东南风,3级,30.0,8
2019-08-07,34,26,多云,东南风,3级,30.0,8
2019-08-08,35,27,阴,东南风,3级,31.0,8
2019-08-09,33,26,阴,东北风,3级,29.5,7
2019-08-10,28,26,大雨,东北风,3级,27.0,2
2019-08-11,29,26,阴,西南风,4级,27.5,3
2019-08-12,31,25,多云,西南风,1级,28.0,6
2019-08-13,34,26,多云,东北风,2级,30.0,8
2019-08-14,34,26,多云,西北风,3级,30.0,8
2019-08-15,32,25,多云,东北风,1级,28.5,7
2019-08-16,34,25,晴,西南风,1级,29.5,9
2019-08-17,35,26,多云,东北风,3级,30.5,9
2019-08-18,30,24,阴,东北风,2级,27.0,6
2019-08-19,31,24,晴,东北风,3级,27.5,7
2019-08-20,31,24,多云,东北风,2级,27.5,7
2019-08-21,32,24,多云,东北风,3级,28.0,8
2019-08-22,32,24,多云,东北风,1级,28.0,8
2019-08-23,32,24,多云,东北风,2级,28.0,8
2019-08-24,32,26,多云,东北风,3级,29.0,6
2019-08-25,32,26,小雨,东北风,2级,29.0,6
2019-08-26,34,27,阴,东北风,2级,30.5,7
2019-08-27,33,23,中雨,东北风,2级,28.0,10
2019-08-28,25,22,小雨,西北风,2级,23.5,3
2019-08-29,26,20,阴,西南风,2级,23.0,6
2019-08-30,30,22,阴,东南风,2级,26.0,8
2019-08-31,30,22,阴,东南风,2级,26.0,8
2019-07-01,29,24,多云,东南风,1级,26.5,5
2019-07-02,30,23,阴,东南风,3级,26.5,7
2019-07-03,28,22,阴,东南风,2级,25.0,6
2019-07-04,30,24,阴,东南风,3级,27.0,6
2019-07-05,31,23,多云,东南风,1级,27.0,8
2019-07-06,32,24,多云,西南风,1级,28.0,8
2019-07-07,30,23,多云,西南风,1级,26.5,7
2019-07-08,28,22,阴,东北风,3级,25.0,6
2019-07-09,24,21,小雨,东北风,1级,22.5,3
2019-07-10,25,22,小雨,北风,微风,23.5,3
2019-07-11,29,22,多云,东南风,1级,25.5,7
2019-07-12,27,22,中雨,东北风,1级,24.5,5
2019-07-13,26,21,小雨,西北风,微风,23.5,5
2019-07-14,31,23,多云,东南风,2级,27.0,8
2019-07-15,32,23,多云,东北风,2级,27.5,9
2019-07-16,30,25,阴,东北风,3级,27.5,5
2019-07-17,32,26,小雨,西北风,2级,29.0,6
2019-07-18,33,26,阴,东北风,3级,29.5,7
2019-07-19,30,25,小雨,东北风,2级,27.5,5
2019-07-20,30,26,阴,东北风,1级,28.0,4
2019-07-21,34,26,阴,东北风,2级,30.0,8
2019-07-22,35,27,多云,东北风,2级,31.0,8
2019-07-23,36,29,多云,西南风,3级,32.5,7
2019-07-24,34,29,阴,西南风,2级,31.5,5
2019-07-25,36,29,阴,西南风,1级,32.5,7
2019-07-26,37,29,小雨,东北风,1级,33.0,8
2019-07-27,37,29,阴,东南风,3级,33.0,8
2019-07-28,37,29,多云,东南风,2级,33.0,8
2019-07-29,38,30,晴,西南风,2级,34.0,8
2019-07-30,37,29,多云,西南风,1级,33.0,8
2019-07-31,37,27,暴雨,东南风,微风,32.0,10
2019-06-01,27,18,阴,东南风,2级,22.5,9
2019-06-02,29,19,阴,东南风,3级,24.0,10
2019-06-03,31,22,晴,东南风,2级,26.5,9
2019-06-04,33,22,晴,东南风,2级,27.5,11
2019-06-05,34,24,阴,东南风,3级,29.0,10
2019-06-06,27,20,阴,西北风,4级,23.5,7
2019-06-07,28,19,多云,东南风,2级,23.5,9
2019-06-08,30,21,阴,东南风,3级,25.5,9
2019-06-09,32,22,多云,东南风,3级,27.0,10
2019-06-10,29,19,阴,东北风,3级,24.0,10
2019-06-11,28,19,多云,东北风,2级,23.5,9
2019-06-12,28,20,多云,东南风,2级,24.0,8
2019-06-13,24,17,小雨,东南风,1级,20.5,7
2019-06-14,28,19,多云,东北风,2级,23.5,9
2019-06-15,32,21,多云,西北风,1级,26.5,11
2019-06-16,31,24,阴,东南风,2级,27.5,7
2019-06-17,30,21,阴,东南风,1级,25.5,9
2019-06-18,25,21,小雨,西北风,1级,23.0,4
2019-06-19,26,22,阴,东北风,2级,24.0,4
2019-06-20,25,21,小雨,东南风,3级,23.0,4
2019-06-21,26,20,阴,东北风,3级,23.0,6
