日期,最高气温,最低气温,天气,风向,风力,平均气温,温差
2019-09-01,36,22,晴,西南风,1级,29.0,14
2019-09-02,36,22,晴,西南风,1级,29.0,14
2019-09-03,36,22,晴,西南风,1级,29.0,14
2019-09-04,36,22,晴,西南风,1级,29.0,14
2019-09-05,36,22,晴,西南风,1级,29.0,14
2019-09-06,36,22,晴,西南风,1级,29.0,14
2019-09-07,36,22,晴,西南风,1级,29.0,14
2019-09-08,36,22,晴,西南风,1级,29.0,14
2019-09-09,36,22,晴,西南风,1级,29.0,14
2019-09-10,36,22,晴,西南风,1级,29.0,14
2019-09-11,36,22,晴,西南风,1级,29.0,14
2019-09-12,36,22,晴,西南风,1级,29.0,14
2019-09-13,36,22,晴,西南风,1级,29.0,14
2019-09-14,36,22,晴,西南风,1级,29.0,14
2019-09-15,36,22,晴,西南风,1级,29.0,14
2019-09-16,36,22,晴,西南风,1级,29.0,14
2019-09-17,36,22,晴,西南风,1级,29.0,14
2019-09-18,36,22,晴,西南风,1级,29.0,14
2019-09-19,36,22,晴,西南风,1级,29.0,14
2019-09-20,36,22,晴,西南风,1级,29.0,14
2019-09-21,36,22,晴,西南风,1级,29.0,14
2019-09-22,36,22,晴,西南风,1级,29.0,14
2019-09-23,36,22,晴,西南风,1级,29.0,14
2019-09-24,36,22,晴,西南风,1级,29.0,14
2019-09-25,36,22,晴,西南风,1级,29.0,14
2019-09-26,36,22,晴,西南风,1级,29.0,14
2019-09-27,36,22,晴,西南风,1级,29.0,14
2019-09-28,36,22,晴,西南风,1级,29.0,14
2019-09-29,36,22,晴,西南风,1级,29.0,14
2019-09-30,36,22,晴,西南风,1级,29.0,14
2019-08-01,33,24,多云,西南风,3级,28.5,9
2019-08-02,29,22,阴,西南风,2级,25.5,7
2019-08-03,26,21,小雨,东北风,2级,23.5,5
2019-08-04,32,22,阴,西南风,1级,27.0,10
2019-08-05,31,22,多云,西南风,2级,26.5,9
2019-08-06,23,20,大雨,东南风,1级,21.5,3
2019-08-07,30,21,多云,西北风,1级,25.5,9
2019-08-08,29,21,多云,西北风,1级,25.0,8
2019-08-09,28,20,小雨,东南风,1级,24.0,8
2019-08-10,34,22,晴,西南风,1级,28.0,12
2019-08-11,34,20,晴,西南风,2级,27.0,14
2019-08-12,34,20,晴,西南风,2级,27.0,14
2019-08-13,35,18,晴,西南风,2级,26.5,17
2019-08-14,35,22,晴,西南风,2级,28.5,13
2019-08-15,37,23,晴,西南风,1级,30.0,14
2019-08-16,36,22,晴,西南风,1级,29.0,14
2019-08-17,36,22,晴,西南风,1级,29.0,14
2019-08-18,36,22,晴,西南风,1级,29.0,14
2019-08-19,36,22,晴,西南风,1级,29.0,14
2019-08-20,36,22,晴,西南风,1级,29.0,14
2019-08-21,36,22,晴,西南风,1级,29.0,14
2019-08-22,36,22,晴,西南风,1级,29.0,14
2019-08-23,36,22,晴,西南风,1级,29.0,14
2019-08-24,36,22,晴,西南风,1级,29.0,14
2019-08-25,36,22,晴,西南风,1级,29.0,14
2019-08-26,36,22,晴,西南风,1级,29.0,14
2019-08-27,36,22,晴,西南风,1级,29.0,14
2019-08-28,36,22,晴,西南风,1级,29.0,14
2019-08-29,36,22,晴,西南风,1级,29.0,14
2019-08-30,36,22,晴,西南风,1级,29.0,14
2019-08-31,36,22,晴,西南风,1级,29.0,14
2019-07-01,33,18,晴,西南风,2级,25.5,15
2019-07-02,30,21,阴,西南风,1级,25.5,9
2019-07-03,32,20,阴,西南风,1级,26.0,12
2019-07-04,32,18,阴,西南风,3级,25.0,14
2019-07-05,36,20,晴,西南风,2级,28.0,16
2019-07-06,32,17,晴,西南风,3级,24.5,15
2019-07-07,32,20,多云,西南风,2级,26.0,12
2019-07-08,21,17,小雨,西南风,2级,19.0,4
2019-07-09,27,18,小雨,东北风,2级,22.5,9
2019-07-10,30,18,晴,西南风,1级,24.0,12
2019-07-11,30,20,阴,西南风,2级,25.0,10
2019-07-12,29,19,阴,西南风,2级,24.0,10
2019-07-13,34,19,多云,西南风,1级,26.5,15
2019-07-14,35,21,多云,西南风,2级,28.0,14
