日期,最高气温,最低气温,天气,风向,风力,平均气温,温差
2019-09-01,35,27,阴,西南风,2级,31.0,8
2019-09-02,39,26,晴,西北风,5级,32.5,13
2019-09-03,38,26,多云,西北风,2级,32.0,12
2019-09-04,37,26,多云,西风,2级,31.5,11
2019-09-05,38,26,多云,西北风,3级,32.0,12
2019-09-06,36,21,多云,东北风,4级,28.5,15
2019-09-07,32,21,多云,西北风,3级,26.5,11
2019-09-08,34,22,晴,西北风,1级,28.0,12
2019-09-09,35,22,多云,东北风,2级,28.5,13
2019-09-10,33,25,多云,西北风,8级,29.0,8
2019-09-11,27,16,扬沙,西北风,3级,21.5,11
2019-09-12,28,15,多云,东北风,1级,21.5,13
2019-09-13,27,14,晴,西南风,1级,20.5,13
2019-09-14,30,14,晴,西北风,2级,22.0,16
2019-09-15,31,16,晴,西北风,1级,23.5,15
2019-09-16,31,19,多云,东北风,2级,25.0,12
2019-09-17,32,17,阴,西北风,5级,24.5,15
2019-09-18,32,22,晴,东南风,1级,27.0,10
2019-09-19,32,16,晴,西北风,2级,24.0,16
2019-09-20,33,19,阴,西南风,2级,26.0,14
2019-09-21,33,16,晴,西北风,2级,24.5,17
2019-09-22,33,18,晴,西北风,2级,25.5,15
2019-09-23,35,19,晴,东风,1级,27.0,16
2019-09-24,32,18,多云,西南风,2级,25.0,14
2019-09-25,36,19,多云,西北风,2级,27.5,17
2019-09-26,35,20,晴,西北风,2级,27.5,15
2019-09-27,34,19,晴,西北风,2级,26.5,15
2019-09-28,34,20,晴,西北风,2级,27.0,14
2019-09-29,33,20,多云,西南风,2级,26.5,13
2019-09-30,34,17,多云,西北风,5级,25.5,17
2019-08-01,40,29,晴,西北风,3级,34.5,11
2019-08-02,43,26,晴,西北风,1级,34.5,17
2019-08-03,41,27,晴,东北风,2级,34.0,14
2019-08-04,44,29,多云,西北风,3级,36.5,15
2019-08-05,42,31,阴,西南风,1级,36.5,11
2019-08-06,42,27,多云,东北风,3级,34.5,15
2019-08-07,40,26,晴,东南风,3级,33.0,14
2019-08-08,41,26,晴,东北风,1级,33.5,15
2019-08-09,44,26,晴,东北风,2级,35.0,18
2019-08-10,40,16,阴,西北风,9级,28.0,24
2019-08-11,38,25,扬沙,东北风,2级,31.5,13
2019-08-12,38,25,晴,西北风,1级,31.5,13
2019-08-13,41,24,晴,西北风,2级,32.5,17
2019-08-14,42,26,晴,西北风,1级,34.0,16
2019-08-15,41,29,多云,西北风,1级,35.0,12
2019-08-16,40,28,晴,西北风,6级,34.0,12
2019-08-17,38,27,晴,西北风,4级,32.5,11
2019-08-18,32,25,阴,西北风,7级,28.5,7
2019-08-19,36,23,多云,西北风,3级,29.5,13
2019-08-20,35,27,多云,西南风,2级,31.0,8
2019-08-21,36,23,多云,东南风,1级,29.5,13
2019-08-22,32,21,多云,西南风,1级,26.5,11
2019-08-23,37,22,晴,西北风,1级,29.5,15
2019-08-24,39,23,晴,西北风,5级,31.0,16
2019-08-25,38,24,多云,西北风,5级,31.0,14
2019-08-26,35,23,多云,东北风,2级,29.0,12
2019-08-27,38,24,晴,西北风,2级,31.0,14
2019-08-28,40,26,晴,东北风,1级,33.0,14
2019-08-29,40,26,多云,西北风,2级,33.0,14
2019-08-30,41,28,晴,西北风,2级,34.5,13
2019-08-31,39,29,阴,西南风,3级,34.0,10
2019-07-01,43,30,晴,西南风,2级,36.5,13
2019-07-02,41,29,多云,西南风,2级,35.0,12
2019-07-03,46,27,晴,西南风,5级,36.5,19
2019-07-04,42,29,多云,西南风,5级,35.5,13
2019-07-05,37,27,阴,西南风,5级,32.0,10
2019-07-06,39,25,晴,西南风,4级,32.0,14
2019-07-07,40,26,晴,西南风,3级,33.0,14
2019-07-08,41,26,多云,东北风,3级,33.5,15
2019-07-09,38,28,多云,西北风,4级,33.0,10
2019-07-10,42,30,晴,西北风,3级,36.0,12
2019-07-11,35,23,阴,东北风,3级,29.0,12
2019-07-12,41,26,晴,西南风,2级,33.5,15
2019-07-13,40,25,晴,西北风,2级,32.5,15
2019-07-14,38,25,多云,西北风,1级,31.5,13
2019-07-15,38,26,多云,东南风,1级,32.0,12
2019-07-16,39,27,阴,东北风,2级,33.0,12
2019-07-17,41,26,晴,东北风,2级,33.5,15
2019-07-18,39,28,晴,东南风,3级,33.5,11
2019-07-19,39,25,多云,西北风,4级,32.0,14
2019-07-20,40,26,阴,西北风,2级,33.0,14
2019-07-21,40,25,多云,西北风,4级,32.5,15
2019-07-22,39,25,阴,西南风,2级,32.0,14
2019-07-23,39,26,阴,东北风,3级,32.5,13
2019-07-24,40,28,晴,西北风,2级,34.0,12
2019-07-25,32,24,阴,西北风,4级,28.0,8
2019-07-26,37,26,晴,西北风,2级,31.5,11
2019-07-27,37,25,晴,西北风,6级,31.0,12
2019-07-28,39,24,晴,西北风,3级,31.5,15
2019-07-29,38,25,晴,东北风,2级,31.5,13
2019-07-30,40,25,多云,西北风,2级,32.5,15
2019-07-31,39,28,多云,东南风,1级,33.5,11
2019-06-01,40,26,多云,西南风,6级,33.0,14
