日期,最高气温,最低气温,天气,风向,风力,平均气温,温差
2019-09-01,28,15,晴,西南风,2级,21.5,13
2019-09-01,29,15,晴,西南风,3级,22.0,14
2019-09-02,29,15,晴,东北风,2级,22.0,14
2019-09-02,29,14,晴,西南风,3级,21.5,15
2019-09-03,30,16,晴,东北风,2级,23.0,14
2019-09-03,30,16,晴,西南风,3级,23.0,14
2019-09-04,30,18,阴,东北风,1级,24.0,12
2019-09-04,30,18,多云,西南风,1级,24.0,12
2019-09-05,27,18,阴,东北风,2级,22.5,9
2019-09-05,27,18,雷阵雨,西南风,3级,22.5,9
2019-09-06,26,19,阴,东北风,2级,22.5,7
2019-09-06,27,19,雷阵雨,东南风,2级,23.0,8
2019-09-07,22,19,阴,西北风,2级,20.5,3
2019-09-07,22,19,暴雨,东北风,3级,20.5,3
2019-09-08,27,15,阴,东北风,2级,21.0,12
2019-09-08,28,15,多云,西南风,3级,21.5,13
2019-09-09,28,15,多云,东北风,2级,21.5,13
2019-09-09,28,15,多云,东北风,2级,21.5,13
2019-09-10,21,10,阴,东北风,2级,15.5,11
2019-09-10,22,10,多云,西北风,2级,16.0,12
2019-09-11,24,11,晴,东北风,2级,17.5,13
2019-09-11,24,11,晴,东南风,3级,17.5,13
2019-09-12,23,15,阴,东南风,1级,19.0,8
2019-09-12,24,15,多云,东北风,2级,19.5,9
2019-09-13,20,13,阴,西南风,2级,16.5,7
2019-09-13,21,13,中雨,西南风,1级,17.0,8
2019-09-14,24,9,多云,东北风,2级,16.5,15
2019-09-14,24,9,多云,东北风,2级,16.5,15
2019-09-15,25,11,多云,东北风,1级,18.0,14
2019-09-15,26,14,多云,西南风,2级,20.0,12
2019-09-16,21,5,晴,东北风,2级,13.0,16
2019-09-16,20,6,晴,东北风,3级,13.0,14
2019-09-17,23,5,雾,东北风,4级,14.0,18
2019-09-17,24,5,多云,东南风,2级,14.5,19
2019-09-18,17,4,晴,东北风,2级,10.5,13
2019-09-18,17,4,晴,西北风,4级,10.5,13
2019-09-19,23,9,晴,东北风,2级,16.0,14
2019-09-19,23,8,晴,西南风,2级,15.5,15
2019-09-20,25,9,多云,东北风,1级,17.0,16
2019-09-20,26,7,晴,西南风,3级,16.5,19
2019-09-21,24,8,晴,东北风,2级,16.0,16
2019-09-21,24,8,晴,西北风,3级,16.0,16
2019-09-22,23,7,晴,东北风,2级,15.0,16
2019-09-22,23,7,晴,东北风,3级,15.0,16
2019-09-23,24,6,晴,东北风,2级,15.0,18
2019-09-23,24,5,晴,西南风,3级,14.5,19
2019-09-24,23,6,晴,东北风,2级,14.5,17
2019-09-24,25,6,晴,东北风,3级,15.5,19
2019-09-25,28,9,晴,东北风,2级,18.5,19
2019-09-25,27,9,晴,西南风,2级,18.0,18
2019-09-26,29,10,晴,东北风,2级,19.5,19
2019-09-26,28,9,多云,西南风,3级,18.5,19
2019-09-27,28,9,晴,东北风,2级,18.5,19
2019-09-27,28,10,晴,西南风,3级,19.0,18
2019-09-28,26,11,晴,西南风,2级,18.5,15
2019-09-28,28,11,晴,西南风,4级,19.5,17
2019-09-29,23,12,阴,东北风,2级,17.5,11
2019-09-29,26,12,多云,西北风,3级,19.0,14
2019-09-30,28,13,晴,东南风,1级,20.5,15
2019-09-30,29,14,晴,西南风,3级,21.5,15
2019-08-01,31,21,小雨,东北风,3级,26.0,10
2019-08-01,32,22,雷阵雨,东南风,2级,27.0,10
2019-08-02,30,21,大雨,东北风,2级,25.5,9
2019-08-02,30,21,雷阵雨,东北风,2级,25.5,9
2019-08-03,27,22,中雨,西南风,3级,24.5,5
2019-08-03,26,22,暴雨,西南风,3级,24.0,4
2019-08-04,28,20,阴,东北风,1级,24.0,8
2019-08-04,31,20,多云,东南风,3级,25.5,11
2019-08-05,30,22,阴,东北风,2级,26.0,8
2019-08-05,30,22,多云,东南风,2级,26.0,8
2019-08-06,31,23,阴,东北风,2级,27.0,8
2019-08-06,31,23,阵雨,西北风,1级,27.0,8
2019-08-07,31,22,阴,东南风,2级,26.5,9
2019-08-07,31,23,雷阵雨,东南风,2级,27.0,8
2019-08-08,26,21,小雨,东北风,1级,23.5,5
2019-08-08,27,22,雷阵雨,西南风,3级,24.5,5
2019-08-09,31,22,小雨,东北风,1级,26.5,9
2019-08-09,30,21,多云,东南风,2级,25.5,9
2019-08-10,30,22,阴,西南风,2级,26.0,8
2019-08-10,30,22,雷阵雨,东南风,3级,26.0,8
2019-08-11,22,21,大雨,东北风,2级,21.5,1
2019-08-11,26,21,雷阵雨,东北风,3级,23.5,5
2019-08-12,28,21,小雨,东北风,3级,24.5,7
2019-08-12,25,21,大雨,东南风,4级,23.0,4
2019-08-13,30,22,阴,东北风,1级,26.0,8
2019-08-13,30,22,中雨,东南风,2级,26.0,8
2019-08-14,24,21,小雨,西南风,3级,22.5,3
2019-08-14,25,21,暴雨,西北风,2级,23.0,4
2019-08-15,25,21,中雨,东北风,1级,23.0,4
2019-08-15,26,21,中雨,东北风,3级,23.5,5
2019-08-16,27,19,小雨,西北风,5级,23.0,8
2019-08-16,26,19,雷阵雨,西北风,3级,22.5,7
2019-08-17,23,16,小雨,西南风,2级,19.5,7
2019-08-17,24,16,中雨,西北风,4级,20.0,8
2019-08-18,26,17,阴,东北风,2级,21.5,9
2019-08-18,26,17,雷阵雨,西南风,3级,21.5,9
2019-08-19,29,16,多云,东北风,2级,22.5,13
2019-08-19,29,16,多云,西南风,2级,22.5,13
2019-08-20,26,20,阴,东南风,1级,23.0,6
2019-08-20,29,20,多云,西北风,微风,24.5,9
2019-08-21,26,16,小雨,东南风,1级,21.0,10
2019-08-21,27,17,多云,西北风,3级,22.0,10
2019-08-22,26,15,多云,北风,微风,20.5,11
2019-08-22,26,16,多云,西北风,4级,21.0,10
2019-08-23,24,15,多云,西北风,1级,19.5,9
2019-08-23,25,15,阵雨,西北风,3级,20.0,10
2019-08-24,26,14,多云,东北风,2级,20.0,12
2019-08-24,26,14,多云,东北风,2级,20.0,12
2019-08-25,29,18,多云,西南风,3级,23.5,11
2019-08-25,28,18,多云,东南风,3级,23.0,10
2019-08-26,28,18,阴,西南风,3级,23.0,10
2019-08-26,30,18,多云,西南风,4级,24.0,12
2019-08-27,27,16,阴,东北风,2级,21.5,11
2019-08-27,27,16,多云,东南风,2级,21.5,11
2019-08-28,26,14,多云,西北风,2级,20.0,12
2019-08-28,25,14,雷阵雨,西南风,2级,19.5,11
2019-08-29,20,14,小雨,西北风,1级,17.0,6
2019-08-29,22,14,雷阵雨,西北风,2级,18.0,8
2019-08-30,22,13,阴,东南风,微风,17.5,9
2019-08-30,22,13,雷阵雨,西南风,3级,17.5,9
2019-08-31,26,14,晴,东北风,1级,20.0,12
2019-08-31,27,13,晴,西南风,2级,20.0,14
2019-07-01,25,16,小雨,东北风,2级,20.5,9
2019-07-01,25,15,雷阵雨,西南风,2级,20.0,10
2019-07-02,30,16,多云,西南风,3级,23.0,14
2019-07-02,29,16,雷阵雨,西南风,4级,22.5,13
2019-07-03,31,17,多云,东北风,3级,24.0,14
2019-07-03,31,17,多云,西南风,4级,24.0,14
2019-07-04,33,19,晴,西南风,3级,26.0,14
2019-07-04,33,20,晴,西南风,3级,26.5,13
2019-07-05,31,19,阴,东南风,3级,25.0,12
2019-07-05,33,19,多云,西南风,4级,26.0,14
2019-07-06,33,19,晴,东北风,2级,26.0,14
2019-07-06,32,19,多云,西南风,4级,25.5,13
2019-07-07,31,19,雷阵雨,西北风,5级,25.0,12
2019-07-07,31,19,雷阵雨,东北风,3级,25.0,12
2019-07-08,30,16,多云,西南风,2级,23.0,14
2019-07-08,28,16,多云,东南风,1级,22.0,12
2019-07-09,31,19,多云,西北风,2级,25.0,12
2019-07-09,31,16,多云,东南风,2级,23.5,15
2019-07-10,32,20,阴,西北风,3级,26.0,12
2019-07-10,31,20,多云,西南风,3级,25.5,11
2019-07-11,28,19,阴,西北风,1级,23.5,9
