日期,最高气温,最低气温,天气,风向,风力,平均气温,温差
2019-09-01,22,12,阴,西南风,2级,17.0,10
2019-09-01,24,12,多云,西北风,3级,18.0,12
2019-09-02,15,11,阴,东南风,2级,13.0,4
2019-09-02,23,12,阵雨,东南风,3级,17.5,11
2019-09-03,20,10,小雨,西南风,2级,15.0,10
2019-09-03,20,10,小雨,东南风,3级,15.0,10
2019-09-04,17,11,阴,西北风,2级,14.0,6
2019-09-04,20,10,阵雨,东北风,2级,15.0,10
2019-09-05,21,12,多云,西北风,1级,16.5,9
2019-09-05,22,11,多云,西北风,1级,16.5,11
2019-09-06,22,11,阴,西北风,1级,16.5,11
2019-09-06,23,12,阴,西南风,2级,17.5,11
2019-09-07,18,11,阴,西北风,1级,14.5,7
2019-09-07,20,11,阵雨,东北风,2级,15.5,9
2019-09-08,21,12,阴,东南风,1级,16.5,9
2019-09-08,22,12,多云,西北风,3级,17.0,10
2019-09-09,21,12,阴,东北风,2级,16.5,9
2019-09-09,24,12,多云,东南风,2级,18.0,12
2019-09-10,21,12,阴,西南风,2级,16.5,9
2019-09-10,22,11,阴,东南风,2级,16.5,11
2019-09-11,21,14,阴,西南风,1级,17.5,7
2019-09-11,23,11,多云,西南风,2级,17.0,12
2019-09-12,15,12,阴,东南风,2级,13.5,3
2019-09-12,22,11,阵雨,东南风,2级,16.5,11
2019-09-13,21,11,阴,东南风,3级,16.0,10
2019-09-13,21,11,多云,西南风,4级,16.0,10
2019-09-14,19,11,阴,东南风,3级,15.0,8
2019-09-14,23,10,阴,东南风,1级,16.5,13
2019-09-15,18,12,阴,西南风,3级,15.0,6
2019-09-15,22,10,阴,西北风,3级,16.0,12
2019-09-16,17,11,阴,东北风,2级,14.0,6
2019-09-16,23,11,阵雨,东北风,3级,17.0,12
2019-09-17,20,11,阴,西北风,3级,15.5,9
2019-09-17,23,9,阵雨,西南风,2级,16.0,14
2019-09-18,22,8,多云,东南风,2级,15.0,14
2019-09-18,22,8,多云,西北风,3级,15.0,14
2019-09-19,18,9,阴,东北风,4级,13.5,9
2019-09-19,19,8,小雨,西南风,1级,13.5,11
2019-09-20,15,7,阴,东北风,2级,11.0,8
2019-09-20,20,9,阵雨,东北风,3级,14.5,11
2019-09-21,16,6,多云,西北风,2级,11.0,10
2019-09-21,16,8,多云,西南风,3级,12.0,8
2019-09-22,14,6,阴,西南风,2级,10.0,8
2019-09-22,19,7,小雨,西北风,2级,13.0,12
2019-09-23,12,7,阴,东南风,1级,9.5,5
2019-09-23,14,7,小雨,西北风,5级,10.5,7
