日期,最高气温,最低气温,天气,风向,风力,平均气温,温差
2019-09-01,28,14,晴,东南风,4级,21.0,14
2019-09-02,27,14,晴,东南风,4级,20.5,13
2019-09-03,26,15,晴,东南风,4级,20.5,11
2019-09-04,28,15,多云,东北风,4级,21.5,13
2019-09-05,27,16,晴,东北风,4级,21.5,11
2019-09-06,29,18,晴,东北风,4级,23.5,11
2019-09-07,29,16,多云,东北风,3级,22.5,13
2019-09-08,26,13,多云,西南风,2级,19.5,13
2019-09-09,22,12,阴,东北风,2级,17.0,10
2019-09-10,22,16,晴,东南风,4级,19.0,6
2019-09-11,26,16,阴,西北风,3级,21.0,10
2019-09-12,20,7,阴,西北风,5级,13.5,13
2019-09-13,20,10,晴,西北风,3级,15.0,10
2019-09-14,21,10,阴,西北风,3级,15.5,11
2019-09-15,25,11,多云,西北风,1级,18.0,14
2019-09-16,25,12,阴,东北风,2级,18.5,13
2019-09-17,26,11,阴,东北风,5级,18.5,15
2019-09-18,22,9,多云,东北风,3级,15.5,13
2019-09-19,18,9,阴,西北风,2级,13.5,9
2019-09-20,24,10,晴,东北风,3级,17.0,14
2019-09-21,24,10,晴,东北风,3级,17.0,14
2019-09-22,25,11,多云,东南风,3级,18.0,14
2019-09-23,25,12,晴,东北风,3级,18.5,13
2019-09-24,26,12,晴,东南风,3级,19.0,14
2019-09-25,26,10,晴,东南风,2级,18.0,16
2019-09-26,26,11,晴,东南风,3级,18.5,15
2019-09-27,25,13,晴,西北风,3级,19.0,12
2019-09-28,27,14,晴,东南风,3级,20.5,13
2019-09-29,28,15,晴,西北风,2级,21.5,13
2019-09-30,28,15,晴,西南风,2级,21.5,13
2019-08-01,31,19,晴,东北风,5级,25.0,12
2019-08-02,29,17,阴,东北风,3级,23.0,12
2019-08-03,25,16,多云,东北风,5级,20.5,9
2019-08-04,29,18,晴,东北风,3级,23.5,11
2019-08-05,33,21,晴,东北风,3级,27.0,12
2019-08-06,32,21,晴,东南风,4级,26.5,11
2019-08-07,32,20,晴,东南风,6级,26.0,12
2019-08-08,20,15,小雨,西北风,3级,17.5,5
2019-08-09,28,18,晴,西北风,5级,23.0,10
2019-08-10,26,16,晴,东南风,2级,21.0,10
2019-08-11,27,15,晴,东南风,2级,21.0,12
2019-08-12,29,18,晴,西北风,3级,23.5,11
2019-08-13,20,15,小雨,西南风,2级,17.5,5
2019-08-14,29,18,晴,西北风,3级,23.5,11
2019-08-15,32,16,晴,东北风,6级,24.0,16
2019-08-16,25,14,阴,东南风,3级,19.5,11
2019-08-17,28,18,晴,东北风,4级,23.0,10
2019-08-18,30,19,多云,东北风,5级,24.5,11
2019-08-19,29,13,多云,西南风,5级,21.0,16
2019-08-20,22,14,多云,西南风,1级,18.0,8
2019-08-21,24,14,多云,西南风,4级,19.0,10
2019-08-22,24,15,阴,东南风,2级,19.5,9
2019-08-23,20,15,阴,东南风,2级,17.5,5
2019-08-24,25,16,阴,东北风,3级,20.5,9
2019-08-25,29,18,多云,西北风,3级,23.5,11
2019-08-26,27,15,阴,东南风,2级,21.0,12
2019-08-27,24,14,阴,东北风,3级,19.0,10
2019-08-28,27,14,晴,东南风,4级,20.5,13
2019-08-29,27,13,晴,东北风,4级,20.0,14
2019-08-30,28,14,晴,东南风,2级,21.0,14
2019-08-31,30,14,多云,东南风,3级,22.0,16
2019-07-01,30,19,晴,东南风,3级,24.5,11
2019-07-02,30,21,小雨,东北风,3级,25.5,9
2019-07-03,32,22,晴,东南风,3级,27.0,10
2019-07-04,31,18,晴,西北风,6级,24.5,13
2019-07-05,25,14,晴,东南风,3级,19.5,11
2019-07-06,25,17,晴,东北风,4级,21.0,8
2019-07-07,26,15,多云,西南风,4级,20.5,11
2019-07-08,18,14,阴,东南风,2级,16.0,4
2019-07-09,21,16,阴,东北风,2级,18.5,5
2019-07-10,26,17,晴,东南风,4级,21.5,9
2019-07-11,29,19,晴,东南风,4级,24.0,10
2019-07-12,30,20,阴,东北风,4级,25.0,10
2019-07-13,29,21,阴,东南风,3级,25.0,8
2019-07-14,25,19,阴,东北风,3级,22.0,6
2019-07-15,24,17,阴,东北风,2级,20.5,7
2019-07-16,29,19,多云,东北风,3级,24.0,10
2019-07-17,30,20,阴,东南风,3级,25.0,10
2019-07-18,28,18,阴,东南风,3级,23.0,10
2019-07-19,25,19,阴,西北风,3级,22.0,6
2019-07-20,31,22,晴,西北风,2级,26.5,9
2019-07-21,28,17,小雨,西北风,6级,22.5,11
2019-07-22,26,18,多云,西北风,4级,22.0,8
2019-07-23,29,16,多云,西北风,5级,22.5,13
2019-07-24,27,19,阴,西北风,4级,23.0,8
2019-07-25,32,22,晴,西北风,2级,27.0,10
2019-07-26,34,20,晴,西北风,7级,27.0,14
2019-07-27,28,21,多云,西北风,4级,24.5,7
2019-07-28,23,14,大雨,西北风,5级,18.5,9
2019-07-29,27,17,晴,西北风,5级,22.0,10
2019-07-30,29,18,晴,西北风,3级,23.5,11
2019-07-31,29,18,晴,东南风,3级,23.5,11
2019-06-01,26,15,扬沙,西北风,5级,20.5,11
2019-06-02,27,17,晴,西北风,3级,22.0,10
2019-06-03,28,17,多云,西北风,5级,22.5,11
2019-06-04,26,16,阴,西北风,2级,21.0,10
2019-06-05,28,18,晴,西北风,4级,23.0,10
2019-06-06,30,19,晴,西北风,3级,24.5,11
2019-06-07,22,13,阴,西南风,2级,17.5,9
2019-06-08,27,18,晴,东南风,2级,22.5,9
2019-06-09,29,20,多云,东南风,4级,24.5,9
2019-06-10,28,21,阴,西北风,3级,24.5,7
2019-06-11,29,14,阴,西南风,4级,21.5,15
2019-06-12,26,17,晴,东南风,4级,21.5,9
2019-06-13,29,20,阴,东北风,5级,24.5,9
2019-06-14,27,13,阴,西北风,4级,20.0,14
2019-06-15,19,14,小雨,西北风,4级,16.5,5
2019-06-16,27,19,阴,西北风,4级,23.0,8
2019-06-17,31,20,晴,西北风,3级,25.5,11
2019-06-18,30,20,阴,东北风,3级,25.0,10
2019-06-19,22,16,阴,东北风,5级,19.0,6
2019-06-20,21,16,小雨,西南风,3级,18.5,5
2019-06-21,23,16,阴,东北风,4级,19.5,7
2019-06-22,22,18,阴,西北风,微风,20.0,4
2019-06-23,26,17,阴,西北风,2级,21.5,9
2019-06-24,27,18,晴,西北风,4级,22.5,9
2019-06-25,31,24,多云,西北风,4级,27.5,7
2019-06-26,16,13,中雨,西南风,4级,14.5,3
2019-06-27,20,12,阵雨,西北风,5级,16.0,8
2019-06-28,26,15,晴,西北风,4级,20.5,11
2019-06-29,23,15,晴,东南风,1级,19.0,8
2019-06-30,27,17,多云,西北风,2级,22.0,10
2019-05-01,20,10,晴,东北风,4级,15.0,10
2019-05-02,22,12,晴,东北风,3级,17.0,10
2019-05-03,22,13,阴,西北风,3级,17.5,9
2019-05-04,24,14,阴,东北风,6级,19.0,10
2019-05-05,17,9,阴,东北风,6级,13.0,8
2019-05-06,15,8,阴,东北风,3级,11.5,7
2019-05-07,11,5,阴,西北风,3级,8.0,6
2019-05-08,10,5,阴,东南风,1级,7.5,5
2019-05-09,14,7,阴,西北风,4级,10.5,7
2019-05-10,17,9,多云,西南风,5级,13.0,8
2019-05-11,21,2,扬沙,西北风,7级,11.5,19
2019-05-12,8,3,晴,东南风,1级,5.5,5
2019-05-13,20,11,晴,西北风,3级,15.5,9
2019-05-14,23,12,阴,西北风,5级,17.5,11
2019-05-15,20,13,晴,西北风,2级,16.5,7
2019-05-16,25,16,多云,西北风,3级,20.5,9
2019-05-17,27,18,多云,西北风,5级,22.5,9
2019-05-18,17,3,扬沙,西北风,6级,10.0,14
2019-05-19,13,4,晴,东北风,2级,8.5,9
2019-05-20,19,10,晴,西北风,2级,14.5,9
2019-05-21,23,14,晴,西北风,2级,18.5,9
2019-05-22,27,18,晴,西南风,2级,22.5,9
2019-05-23,26,18,阴,西南风,3级,22.0,8
2019-05-24,29,16,晴,西北风,5级,22.5,13
2019-05-25,23,10,阴,西北风,6级,16.5,13
2019-05-26,14,8,扬沙,东北风,3级,11.0,6
2019-05-27,17,11,阴,东南风,4级,14.0,6
2019-05-28,22,12,晴,东北风,3级,17.0,10
2019-05-29,22,15,阴,西北风,2级,18.5,7
2019-05-30,22,13,多云,西北风,3级,17.5,9
2019-05-31,17,13,阴,西北风,4级,15.0,4
2019-04-01,18,5,晴,西北风,2级,11.5,13
2019-04-02,16,6,阴,东北风,3级,11.0,10
2019-04-03,17,7,阴,东北风,2级,12.0,10
2019-04-04,18,7,多云,西南风,3级,12.5,11
2019-04-05,21,9,扬沙,西北风,4级,15.0,12
2019-04-06,17,8,阴,西北风,4级,12.5,9
2019-04-07,19,10,阴,西北风,3级,14.5,9
2019-04-08,16,3,阴,西南风,3级,9.5,13
2019-04-09,11,4,阴,西北风,6级,7.5,7
2019-04-10,9,0,多云,东南风,2级,4.5,9
2019-04-11,12,4,晴,西北风,3级,8.0,8
2019-04-12,16,6,多云,西北风,3级,11.0,10
2019-04-13,12,1,阴,东南风,3级,6.5,11
2019-04-14,15,5,阴,东北风,3级,10.0,10
2019-04-15,20,12,晴,西北风,3级,16.0,8
2019-04-16,23,12,晴,西北风,2级,17.5,11
2019-04-17,26,15,晴,东北风,4级,20.5,11
2019-04-18,27,18,晴,东北风,3级,22.5,9
2019-04-19,21,11,阴,西南风,4级,16.0,10
2019-04-20,21,11,晴,西南风,2级,16.0,10
2019-04-21,29,17,晴,西北风,2级,23.0,12
2019-04-22,25,13,多云,西北风,4级,19.0,12
2019-04-23,27,14,多云,东北风,6级,20.5,13
2019-04-24,19,11,阴,东北风,2级,15.0,8
2019-04-25,23,12,晴,东北风,4级,17.5,11
2019-04-26,19,6,多云,东南风,3级,12.5,13
2019-04-27,16,10,多云,西北风,3级,13.0,6
2019-04-28,18,9,阴,西北风,4级,13.5,9
2019-04-29,16,4,阴,东北风,3级,10.0,12
2019-04-30,16,7,晴,东南风,4级,11.5,9
2019-03-01,6,-1,多云,东北风,3级,2.5,7
2019-03-02,7,0,多云,西北风,1级,3.5,7
2019-03-03,11,0,晴,东北风,4级,5.5,11
2019-03-04,10,0,多云,东南风,3级,5.0,10
2019-03-05,8,-2,晴,东北风,4级,3.0,10
2019-03-06,8,-2,多云,东北风,4级,3.0,10
2019-03-07,9,0,阴,东北风,3级,4.5,9
2019-03-08,8,0,多云,西北风,3级,4.0,8
2019-03-09,8,-3,晴,西北风,5级,2.5,11
2019-03-10,4,-3,晴,西北风,3级,0.5,7
2019-03-11,7,-4,阴,西北风,2级,1.5,11
2019-03-12,8,-3,晴,东北风,2级,2.5,11
2019-03-13,8,-1,阴,西北风,4级,3.5,9
2019-03-14,8,-2,晴,西北风,2级,3.0,10
2019-03-15,12,0,晴,东北风,2级,6.0,12
2019-03-16,11,2,晴,西北风,2级,6.5,9
2019-03-17,9,1,阴,西北风,2级,5.0,8
2019-03-18,14,5,晴,西北风,2级,9.5,9
2019-03-19,16,-1,阴,西北风,5级,7.5,17
2019-03-20,2,-7,阴,东北风,1级,-2.5,9
2019-03-21,5,-4,晴,东北风,3级,0.5,9
2019-03-22,6,-3,晴,东北风,1级,1.5,9
2019-03-23,9,0,多云,西北风,3级,4.5,9
2019-03-24,11,0,阴,西南风,2级,5.5,11
2019-03-25,12,2,晴,西北风,3级,7.0,10
2019-03-26,15,3,阴,西北风,4级,9.0,12
2019-03-27,14,2,阴,西北风,2级,8.0,12
2019-03-28,9,-1,阴,西北风,4级,4.0,10
2019-03-29,6,-4,晴,西北风,2级,1.0,10
2019-03-30,7,-2,晴,东北风,2级,2.5,9
2019-03-31,12,2,多云,东北风,3级,7.0,10
2019-02-01,5,-9,晴,西南风,3级,-2.0,14
2019-02-02,-2,-12,多云,西北风,5级,-7.0,10
2019-02-03,-3,-10,小雪,西南风,3级,-6.5,7
2019-02-04,3,-7,晴,西南风,3级,-2.0,10
2019-02-05,2,-7,晴,西南风,2级,-2.5,9
2019-02-06,0,-12,晴,东南风,5级,-6.0,12
2019-02-07,-8,-10,多云,东北风,2级,-9.0,2
2019-02-08,-5,-12,多云,东北风,1级,-8.5,7
2019-02-09,-5,-12,阴,东北风,3级,-8.5,7
2019-02-10,-2,-9,阴,东北风,2级,-5.5,7
2019-02-11,4,-7,晴,东北风,3级,-1.5,11
2019-02-12,3,-8,晴,东北风,5级,-2.5,11
2019-02-13,5,-8,多云,东北风,3级,-1.5,13
2019-02-14,-3,-13,晴,西北风,2级,-8.0,10
2019-02-15,-3,-10,晴,东北风,4级,-6.5,7
2019-02-16,-3,-10,多云,东北风,3级,-6.5,7
2019-02-17,-4,-10,阴,东北风,2级,-7.0,6
2019-02-18,-1,-11,阴,东北风,1级,-6.0,10
2019-02-19,5,-7,晴,东北风,3级,-1.0,12
2019-02-20,6,-4,多云,西北风,2级,1.0,10
2019-02-21,6,-3,阴,东北风,3级,1.5,9
2019-02-22,7,-3,多云,东南风,3级,2.0,10
2019-02-23,8,-2,晴,东北风,3级,3.0,10
2019-02-24,2,-3,多云,东南风,4级,-0.5,5
2019-02-25,3,-4,多云,东南风,3级,-0.5,7
2019-02-26,5,-3,晴,东南风,2级,1.0,8
2019-02-27,6,-3,晴,东北风,2级,1.5,9
2019-02-28,7,-2,多云,东北风,4级,2.5,9
2019-01-01,-4,-10,晴,东南风,1级,-7.0,6
2019-01-02,-1,-14,晴,东南风,2级,-7.5,13
2019-01-03,-5,-12,阴,东北风,3级,-8.5,7
2019-01-04,-5,-12,多云,北风,微风,-8.5,7
2019-01-05,0,-11,晴,东南风,1级,-5.5,11
2019-01-06,-4,-13,晴,东北风,3级,-8.5,9
2019-01-07,-5,-13,多云,东北风,3级,-9.0,8
2019-01-08,-5,-12,阴,东南风,3级,-8.5,7
2019-01-09,-4,-13,多云,西北风,2级,-8.5,9
2019-01-10,-4,-12,多云,东南风,1级,-8.0,8
2019-01-11,2,-9,晴,东南风,2级,-3.5,11
2019-01-12,0,-7,晴,东北风,2级,-3.5,7
2019-01-13,1,-10,晴,西北风,2级,-4.5,11
2019-01-14,-4,-13,多云,西北风,2级,-8.5,9
2019-01-15,-8,-14,阴,东南风,3级,-11.0,6
2019-01-16,-6,-12,阴,东北风,2级,-9.0,6
2019-01-17,1,-9,晴,西南风,2级,-4.0,10
2019-01-18,-4,-10,阴,东北风,1级,-7.0,6
2019-01-19,-4,-13,阴,东南风,2级,-8.5,9
2019-01-20,-5,-12,晴,西南风,3级,-8.5,7
2019-01-21,0,-14,晴,西北风,微风,-7.0,14
2019-01-22,3,-8,晴,西北风,1级,-2.5,11
2019-01-23,6,-10,晴,西北风,2级,-2.0,16
2019-01-24,-4,-12,阴,东南风,3级,-8.0,8
2019-01-25,-1,-10,晴,东南风,1级,-5.5,9
2019-01-26,0,-10,晴,西南风,3级,-5.0,10
2019-01-27,-1,-9,阴,西南风,2级,-5.0,8
2019-01-28,-2,-8,多云,西南风,4级,-5.0,6
2019-01-29,0,-10,阴,西北风,3级,-5.0,10
2019-01-30,-5,-15,小雪,东北风,2级,-10.0,10
2019-01-31,-8,-13,小雪,西南风,2级,-10.5,5
2018-12-01,10,-3,晴,西南风,2级,3.5,13
2018-12-02,0,-8,扬沙,西北风,1级,-4.0,8
2018-12-03,-3,-13,多云,西北风,3级,-8.0,10
2018-12-04,0,-9,晴,西北风,1级,-4.5,9
2018-12-05,-4,-16,小雪,西北风,3级,-10.0,12
2018-12-06,-9,-18,晴,东北风,2级,-13.5,9
2018-12-07,-11,-17,晴,东北风,2级,-14.0,6
2018-12-08,-8,-16,晴,东南风,1级,-12.0,8
2018-12-09,-6,-15,晴,西北风,2级,-10.5,9
2018-12-10,-8,-17,晴,西北风,3级,-12.5,9
2018-12-11,-7,-16,晴,东南风,2级,-11.5,9
2018-12-12,-2,-12,晴,东北风,1级,-7.0,10
2018-12-13,-1,-12,晴,东南风,2级,-6.5,11
2018-12-14,0,-10,多云,西南风,2级,-5.0,10
2018-12-15,-2,-9,晴,西北风,2级,-5.5,7
2018-12-16,0,-7,晴,西北风,1级,-3.5,7
2018-12-17,4,-6,晴,西北风,1级,-1.0,10
2018-12-18,3,-8,晴,西北风,2级,-2.5,11
2018-12-19,6,-7,晴,东南风,3级,-0.5,13
2018-12-20,-1,-10,阴,西南风,2级,-5.5,9
2018-12-21,-1,-10,多云,东北风,3级,-5.5,9
2018-12-22,-7,-15,阴,西北风,2级,-11.0,8
2018-12-23,-3,-12,晴,东南风,2级,-7.5,9
2018-12-24,0,-11,晴,西北风,2级,-5.5,11
2018-12-25,-2,-10,晴,东北风,2级,-6.0,8
2018-12-26,-1,-14,多云,东北风,3级,-7.5,13
2018-12-27,-14,-18,小雪,东北风,2级,-16.0,4
2018-12-28,-12,-17,阴,西北风,1级,-14.5,5
2018-12-29,-7,-16,阴,东南风,1级,-11.5,9
2018-12-30,-8,-16,阴,东北风,1级,-12.0,8
2018-12-31,-8,-14,晴,西北风,2级,-11.0,6
2018-11-01,16,2,晴,东南风,4级,9.0,14
2018-11-02,14,2,晴,南风,1级,8.0,12
2018-11-03,4,-1,雨夹雪,北风,2级,1.5,5
2018-11-04,4,-2,多云,东南风,1级,1.0,6
2018-11-05,5,-2,多云,东风,1级,1.5,7
2018-11-06,5,-3,多云,西南风,1级,1.0,8
2018-11-07,7,0,多云,东南风,2级,3.5,7
2018-11-08,7,0,晴,西北风,1级,3.5,7
2018-11-09,7,-1,晴,东北风,2级,3.0,8
2018-11-10,7,-2,晴,西南风,1级,2.5,9
2018-11-11,10,0,晴,东南风,2级,5.0,10
2018-11-12,13,2,晴,东南风,3级,7.5,11
2018-11-13,11,0,晴,东北风,2级,5.5,11
2018-11-14,2,-3,多云,东北风,3级,-0.5,5
2018-11-15,0,-7,晴,东南风,2级,-3.5,7
2018-11-16,1,-6,多云,西南风,1级,-2.5,7
2018-11-17,2,-6,晴,西北风,2级,-2.0,8
2018-11-18,4,-4,晴,西南风,2级,0.0,8
2018-11-19,5,-5,晴,西北风,1级,0.0,10
