日期,最高气温,最低气温,天气,风向,风力,平均气温,温差
2019-09-01,31,14,晴,东南风,微风,22.5,17
2019-09-02,31,12,阴,东南风,2级,21.5,19
2019-09-03,29,13,多云,东北风,1级,21.0,16
2019-09-04,28,12,多云,东南风,1级,20.0,16
2019-09-05,25,12,多云,西南风,1级,18.5,13
2019-09-06,20,8,阴,西南风,2级,14.0,12
2019-09-07,25,9,多云,东北风,2级,17.0,16
2019-09-08,26,11,多云,西北风,2级,18.5,15
2019-09-09,27,12,多云,东北风,1级,19.5,15
2019-09-10,18,6,阴,西北风,2级,12.0,12
2019-09-11,23,8,阴,南风,微风,15.5,15
2019-09-12,20,8,晴,南风,微风,14.0,12
2019-09-13,21,8,阴,北风,微风,14.5,13
2019-09-14,24,9,多云,南风,微风,16.5,15
2019-09-15,26,10,多云,西北风,1级,18.0,16
2019-09-16,20,7,阴,东南风,2级,13.5,13
2019-09-17,23,6,阴,西北风,3级,14.5,17
2019-09-18,24,6,晴,南风,微风,15.0,18
2019-09-19,25,8,晴,南风,微风,16.5,17
2019-09-20,26,8,晴,东北风,1级,17.0,18
2019-09-21,28,7,晴,南风,微风,17.5,21
2019-09-22,28,8,晴,东北风,微风,18.0,20
2019-09-23,29,8,晴,东北风,1级,18.5,21
2019-09-24,28,8,晴,南风,微风,18.0,20
2019-09-25,29,8,晴,东南风,1级,18.5,21
2019-09-26,30,8,晴,东北风,1级,19.0,22
2019-09-27,30,9,晴,东北风,1级,19.5,21
2019-09-28,30,10,晴,东北风,1级,20.0,20
2019-09-29,29,9,多云,南风,微风,19.0,20
2019-09-30,29,8,阴,东北风,1级,18.5,21
2019-08-01,29,18,小雨,东北风,3级,23.5,11
2019-08-02,33,17,多云,西南风,1级,25.0,16
2019-08-03,30,18,多云,南风,微风,24.0,12
2019-08-04,31,17,多云,东北风,1级,24.0,14
2019-08-05,32,17,多云,东北风,3级,24.5,15
2019-08-06,32,16,多云,西南风,1级,24.0,16
2019-08-07,32,17,多云,西南风,1级,24.5,15
2019-08-08,34,16,晴,东南风,1级,25.0,18
2019-08-09,35,17,多云,西风,2级,26.0,18
2019-08-10,23,12,小雨,东南风,2级,17.5,11
2019-08-11,30,13,晴,东南风,1级,21.5,17
2019-08-12,31,16,扬沙,南风,微风,23.5,15
2019-08-13,33,16,浮尘,西北风,1级,24.5,17
2019-08-14,32,18,阴,西北风,1级,25.0,14
2019-08-15,32,16,阴,北风,微风,24.0,16
2019-08-16,31,17,多云,东北风,1级,24.0,14
2019-08-17,24,14,阴,西北风,4级,19.0,10
2019-08-18,29,14,多云,东北风,3级,21.5,15
2019-08-19,21,11,小雨,西北风,1级,16.0,10
2019-08-20,22,12,阴,西南风,2级,17.0,10
2019-08-21,18,10,小雨,东北风,2级,14.0,8
2019-08-22,23,14,小雨,东南风,1级,18.5,9
2019-08-23,28,14,晴,东北风,1级,21.0,14
2019-08-24,27,17,多云,东南风,2级,22.0,10
2019-08-25,24,13,多云,南风,微风,18.5,11
2019-08-26,28,13,晴,东南风,1级,20.5,15
2019-08-27,30,16,多云,西南风,1级,23.0,14
2019-08-28,27,15,晴,北风,微风,21.0,12
