日期,最高气温,最低气温,天气,风向,风力,平均气温,温差
2019-09-01,27,16,晴,东南风,1级,21.5,11
2019-09-02,28,16,晴,西南风,1级,22.0,12
2019-09-03,31,19,晴,西北风,1级,25.0,12
2019-09-04,24,20,阴,东北风,4级,22.0,4
2019-09-05,26,20,阴,西南风,1级,23.0,6
2019-09-06,26,21,阴,西北风,1级,23.5,5
2019-09-07,21,20,阴,西南风,3级,20.5,1
2019-09-08,29,19,阴,西北风,1级,24.0,10
2019-09-09,30,19,阴,东北风,2级,24.5,11
2019-09-10,27,16,多云,东北风,4级,21.5,11
2019-09-11,26,16,多云,东北风,3级,21.0,10
2019-09-12,23,18,阴,东南风,3级,20.5,5
2019-09-13,22,18,阴,南风,微风,20.0,4
2019-09-14,26,15,多云,西北风,3级,20.5,11
2019-09-15,26,16,晴,西南风,2级,21.0,10
2019-09-16,27,12,晴,西北风,3级,19.5,15
2019-09-17,23,9,阴,东北风,1级,16.0,14
2019-09-18,20,10,晴,西北风,3级,15.0,10
2019-09-19,20,11,多云,西南风,1级,15.5,9
2019-09-20,21,12,阴,西北风,1级,16.5,9
2019-09-21,27,13,晴,东北风,2级,20.0,14
2019-09-22,25,12,晴,东北风,3级,18.5,13
2019-09-23,25,11,晴,西南风,1级,18.0,14
2019-09-24,26,13,晴,东南风,1级,19.5,13
2019-09-25,25,14,晴,西南风,1级,19.5,11
2019-09-26,26,15,多云,西北风,1级,20.5,11
2019-09-27,27,14,雾,西南风,1级,20.5,13
2019-09-28,25,16,多云,西南风,微风,20.5,9
2019-09-29,24,15,多云,西北风,1级,19.5,9
2019-09-30,26,16,阴,西南风,1级,21.0,10
2019-08-01,30,24,多云,西南风,3级,27.0,6
2019-08-02,27,23,暴雨,东北风,3级,25.0,4
2019-08-03,28,23,阴,东南风,2级,25.5,5
2019-08-04,28,23,阴,西北风,1级,25.5,5
2019-08-05,31,22,阴,西南风,2级,26.5,9
2019-08-06,34,24,晴,西南风,1级,29.0,10
2019-08-07,32,23,晴,西南风,1级,27.5,9
2019-08-08,29,22,小雨,西南风,2级,25.5,7
2019-08-09,30,24,多云,西南风,1级,27.0,6
2019-08-10,32,24,阴,东北风,3级,28.0,8
2019-08-11,31,24,阴,东南风,4级,27.5,7
2019-08-12,31,24,小雨,东北风,2级,27.5,7
2019-08-13,28,24,小雨,西南风,1级,26.0,4
2019-08-14,29,23,阴,西南风,1级,26.0,6
2019-08-15,26,22,小雨,西南风,1级,24.0,4
2019-08-16,30,19,多云,西南风,3级,24.5,11
2019-08-17,26,17,中雨,东南风,1级,21.5,9
2019-08-18,27,18,晴,西南风,2级,22.5,9
2019-08-19,29,19,晴,西北风,2级,24.0,10
2019-08-20,29,21,阴,西南风,2级,25.0,8
2019-08-21,28,19,多云,西南风,2级,23.5,9
2019-08-22,28,18,阴,西北风,2级,23.0,10
2019-08-23,29,17,晴,北风,2级,23.0,12
2019-08-24,28,17,阴,西北风,1级,22.5,11
2019-08-25,29,19,晴,东南风,2级,24.0,10
2019-08-26,27,20,阴,西南风,2级,23.5,7
2019-08-27,27,19,多云,东北风,1级,23.0,8
2019-08-28,28,17,多云,东北风,3级,22.5,11
2019-08-29,26,16,多云,东北风,2级,21.0,10
2019-08-30,26,15,多云,西北风,2级,20.5,11
2019-08-31,29,16,晴,西北风,2级,22.5,13
2019-07-01,25,16,小雨,西南风,1级,20.5,9
2019-07-02,27,18,晴,东南风,2级,22.5,9
2019-07-03,28,18,晴,西南风,2级,23.0,10
2019-07-04,25,20,晴,东南风,2级,22.5,5
2019-07-05,26,20,多云,南风,微风,23.0,6
2019-07-06,30,20,晴,西北风,1级,25.0,10
2019-07-07,28,18,雷阵雨,东南风,3级,23.0,10
2019-07-08,28,18,阴,西南风,1级,23.0,10
2019-07-09,28,19,多云,西北风,2级,23.5,9
2019-07-10,27,19,多云,西南风,2级,23.0,8
2019-07-11,28,19,多云,西南风,2级,23.5,9
2019-07-12,28,21,多云,西南风,2级,24.5,7
2019-07-13,28,20,多云,西北风,1级,24.0,8
2019-07-14,27,20,阴,西南风,1级,23.5,7
2019-07-15,27,20,小雨,东南风,1级,23.5,7
2019-07-16,29,20,阴,西南风,1级,24.5,9
2019-07-17,25,21,小雨,东南风,1级,23.0,4
2019-07-18,28,20,多云,西南风,2级,24.0,8
2019-07-19,32,23,晴,西北风,1级,27.5,9
2019-07-20,35,25,多云,东南风,2级,30.0,10
2019-07-21,27,23,中雨,西北风,1级,25.0,4
2019-07-22,28,22,多云,西南风,1级,25.0,6
2019-07-23,27,23,阴,西南风,3级,25.0,4
2019-07-24,28,24,阴,东南风,2级,26.0,4
2019-07-25,29,25,多云,西南风,1级,27.0,4
2019-07-26,29,24,阴,西南风,2级,26.5,5
2019-07-27,31,25,晴,东北风,1级,28.0,6
2019-07-28,29,25,阴,东南风,2级,27.0,4
2019-07-29,28,24,阴,西南风,3级,26.0,4
2019-07-30,28,24,中雨,西南风,2级,26.0,4
2019-07-31,30,24,多云,东南风,2级,27.0,6
2019-06-01,19,15,多云,东南风,1级,17.0,4
2019-06-02,21,16,多云,东南风,2级,18.5,5
2019-06-03,24,16,阴,东南风,2级,20.0,8
2019-06-04,22,16,阴,东南风,2级,19.0,6
2019-06-05,19,16,阴,东南风,1级,17.5,3
2019-06-06,21,17,阴,南风,微风,19.0,4
2019-06-07,26,17,晴,西南风,2级,21.5,9
2019-06-08,21,16,多云,西南风,1级,18.5,5
2019-06-09,18,15,阴,东北风,3级,16.5,3
2019-06-10,21,14,阴,西北风,1级,17.5,7
2019-06-11,23,14,多云,西南风,2级,18.5,9
2019-06-12,25,15,晴,西南风,1级,20.0,10
2019-06-13,19,16,小雨,西南风,1级,17.5,3
2019-06-14,21,15,大雨,东北风,1级,18.0,6
2019-06-15,24,13,晴,东北风,5级,18.5,11
2019-06-16,24,15,晴,西南风,2级,19.5,9
2019-06-17,26,16,多云,东南风,2级,21.0,10
2019-06-18,17,17,中雨,东北风,3级,17.0,0
2019-06-19,26,17,多云,西南风,3级,21.5,9
2019-06-20,23,17,阴,西南风,2级,20.0,6
2019-06-21,26,16,晴,东北风,2级,21.0,10
2019-06-22,29,17,晴,西北风,5级,23.0,12
2019-06-23,29,17,晴,西南风,2级,23.0,12
2019-06-24,26,17,晴,西南风,2级,21.5,9
2019-06-25,24,19,晴,西南风,2级,21.5,5
2019-06-26,26,17,多云,西南风,1级,21.5,9
2019-06-27,30,18,多云,西南风,2级,24.0,12
2019-06-28,26,19,阴,西南风,2级,22.5,7
2019-06-29,23,19,暴雨,西南风,3级,21.0,4
2019-06-30,27,16,多云,西北风,2级,21.5,11
2019-05-01,22,5,晴,西北风,4级,13.5,17
2019-05-02,23,7,晴,东南风,1级,15.0,16
2019-05-03,21,9,多云,西南风,2级,15.0,12
2019-05-04,20,9,阴,东南风,2级,14.5,11
2019-05-05,18,4,阴,北风,4级,11.0,14
2019-05-06,18,6,晴,西南风,2级,12.0,12
2019-05-07,18,8,晴,东南风,2级,13.0,10
2019-05-08,19,9,多云,西南风,4级,14.0,10
2019-05-09,20,9,晴,东南风,2级,14.5,11
2019-05-10,19,9,晴,东南风,1级,14.0,10
2019-05-11,24,9,多云,东南风,2级,16.5,15
2019-05-12,23,11,多云,东北风,3级,17.0,12
2019-05-13,16,8,阴,东南风,3级,12.0,8
2019-05-14,18,8,晴,西南风,2级,13.0,10
2019-05-15,20,12,阴,西南风,2级,16.0,8
2019-05-16,18,12,阴,东南风,2级,15.0,6
2019-05-17,22,12,阴,东南风,1级,17.0,10
2019-05-18,28,15,晴,西南风,3级,21.5,13
2019-05-19,19,11,阴,西南风,3级,15.0,8
2019-05-20,19,9,晴,东北风,1级,14.0,10
2019-05-21,25,11,晴,西南风,2级,18.0,14
2019-05-22,26,11,晴,东南风,2级,18.5,15
2019-05-23,24,13,晴,西南风,3级,18.5,11
2019-05-24,25,15,晴,西南风,2级,20.0,10
2019-05-25,25,16,阴,西南风,2级,20.5,9
2019-05-26,22,16,阴,西南风,4级,19.0,6
2019-05-27,19,9,阴,西北风,3级,14.0,10
2019-05-28,26,9,晴,西北风,2级,17.5,17
2019-05-29,28,12,晴,西南风,2级,20.0,16
2019-05-30,21,11,阴,东南风,1级,16.0,10
2019-05-31,21,13,多云,西南风,2级,17.0,8
2019-04-01,11,-3,晴,西北风,3级,4.0,14
2019-04-02,13,-4,阴,西北风,4级,4.5,17
2019-04-03,11,1,晴,东南风,2级,6.0,10
2019-04-04,13,4,晴,东南风,2级,8.5,9
2019-04-05,16,2,晴,北风,4级,9.0,14
2019-04-06,16,0,阴,西南风,1级,8.0,16
2019-04-07,16,2,晴,西北风,4级,9.0,14
2019-04-08,15,5,多云,西南风,2级,10.0,10
2019-04-09,12,4,阴,西南风,2级,8.0,8
2019-04-10,15,5,阴,东北风,1级,10.0,10
2019-04-11,15,2,多云,东南风,2级,8.5,13
2019-04-12,15,4,晴,东南风,2级,9.5,11
2019-04-13,11,6,多云,西南风,2级,8.5,5
