日期,最高气温,最低气温,天气,风向,风力,平均气温,温差
2019-09-01,29,19,阴,东南风,2级,24.0,10
2019-09-01,29,19,阵雨,东北风,3级,24.0,10
2019-09-02,23,18,阴,东南风,2级,20.5,5
2019-09-02,28,19,阵雨,东北风,2级,23.5,9
2019-09-03,27,19,阵雨,东南风,1级,23.0,8
2019-09-03,27,19,阵雨,西南风,1级,23.0,8
2019-09-04,28,20,多云,东南风,1级,24.0,8
2019-09-04,28,20,阵雨,西南风,1级,24.0,8
2019-09-05,25,18,阴,东南风,2级,21.5,7
2019-09-05,29,20,阵雨,东南风,3级,24.5,9
2019-09-06,29,21,阴,西南风,1级,25.0,8
2019-09-06,29,20,阵雨,东南风,2级,24.5,9
2019-09-07,32,21,阴,东南风,1级,26.5,11
2019-09-07,31,21,阵雨,东南风,2级,26.0,10
2019-09-08,28,21,阴,东北风,1级,24.5,7
2019-09-08,30,21,小雨,东北风,2级,25.5,9
2019-09-09,26,20,阴,西南风,1级,23.0,6
2019-09-09,28,21,小雨,东南风,2级,24.5,7
2019-09-10,32,21,阴,东南风,2级,26.5,11
2019-09-10,28,20,小雨,西南风,2级,24.0,8
2019-09-11,28,21,阴,西北风,1级,24.5,7
2019-09-11,25,20,阵雨,西南风,2级,22.5,5
2019-09-12,30,21,阴,东南风,2级,25.5,9
2019-09-12,29,20,多云,东北风,2级,24.5,9
2019-09-13,31,21,阴,东南风,2级,26.0,10
2019-09-13,29,20,小雨,东南风,2级,24.5,9
2019-09-14,28,21,阴,西南风,7级,24.5,7
2019-09-14,29,20,阵雨,东南风,3级,24.5,9
2019-09-15,28,19,阴,东南风,1级,23.5,9
2019-09-15,28,19,阵雨,西北风,2级,23.5,9
2019-09-16,31,21,阴,东南风,1级,26.0,10
2019-09-16,30,19,多云,东北风,2级,24.5,11
2019-09-17,32,20,多云,东南风,1级,26.0,12
2019-09-17,29,20,雷阵雨,西南风,2级,24.5,9
2019-09-18,30,20,多云,西南风,1级,25.0,10
2019-09-18,30,20,多云,东北风,2级,25.0,10
2019-09-19,32,20,多云,西北风,微风,26.0,12
2019-09-19,31,19,晴,东北风,3级,25.0,12
2019-09-20,24,17,阴,东南风,3级,20.5,7
2019-09-20,27,17,阵雨,东南风,5级,22.0,10
2019-09-21,21,15,阴,西南风,2级,18.0,6
2019-09-21,21,15,晴,西北风,3级,18.0,6
2019-09-22,27,16,阴,西南风,1级,21.5,11
2019-09-22,27,16,多云,东南风,2级,21.5,11
2019-09-23,27,17,阴,西北风,1级,22.0,10
2019-09-23,27,17,阴,东南风,2级,22.0,10
2019-09-24,21,16,阴,东南风,2级,18.5,5
2019-09-24,24,16,小雨,东北风,3级,20.0,8
2019-09-25,16,14,阴,西南风,1级,15.0,2
2019-09-25,19,14,小雨,东北风,3级,16.5,5
2019-09-26,24,16,阴,西南风,1级,20.0,8
2019-09-26,26,15,多云,东北风,1级,20.5,11
2019-09-27,27,15,晴,西北风,1级,21.0,12
2019-09-27,26,15,晴,东北风,2级,20.5,11
2019-09-28,27,17,多云,西北风,1级,22.0,10
2019-09-28,28,16,多云,西北风,1级,22.0,12
2019-09-29,29,18,多云,西南风,1级,23.5,11
2019-09-29,29,16,多云,东北风,3级,22.5,13
2019-09-30,30,18,多云,东南风,1级,24.0,12
2019-09-30,29,17,多云,东北风,1级,23.0,12
2019-08-01,30,20,小雨,东南风,1级,25.0,10
2019-08-01,31,20,阵雨,东南风,1级,25.5,11
2019-08-02,33,21,多云,西北风,1级,27.0,12
