日期,最高气温,最低气温,天气,风向,风力,平均气温,温差
2019-09-01,25,18,阴,东南风,2级,21.5,7
2019-09-02,25,18,阴,东南风,1级,21.5,7
2019-09-03,25,17,阵雨,南风,微风,21.0,8
2019-09-04,27,17,多云,西南风,1级,22.0,10
2019-09-05,29,20,阴,东南风,1级,24.5,9
2019-09-06,27,19,阴,东南风,2级,23.0,8
2019-09-07,28,20,阴,东南风,2级,24.0,8
2019-09-08,28,20,阴,东南风,1级,24.0,8
2019-09-09,23,20,阴,东南风,2级,21.5,3
2019-09-10,23,20,阴,东南风,1级,21.5,3
2019-09-11,25,18,阴,东南风,2级,21.5,7
2019-09-12,27,18,阴,东南风,2级,22.5,9
2019-09-13,29,17,多云,东南风,2级,23.0,12
2019-09-14,29,17,多云,东南风,2级,23.0,12
2019-09-15,30,18,多云,东南风,2级,24.0,12
2019-09-16,29,19,阴,东南风,2级,24.0,10
2019-09-17,29,18,多云,东南风,1级,23.5,11
2019-09-18,27,19,阵雨,南风,微风,23.0,8
2019-09-19,28,18,阴,东南风,2级,23.0,10
2019-09-20,27,16,阴,西北风,2级,21.5,11
2019-09-21,22,13,多云,西北风,1级,17.5,9
2019-09-22,24,12,晴,东北风,1级,18.0,12
2019-09-23,24,11,多云,东南风,1级,17.5,13
2019-09-24,24,12,多云,东南风,1级,18.0,12
2019-09-25,24,14,阴,北风,微风,19.0,10
2019-09-26,21,13,阴,东南风,2级,17.0,8
2019-09-27,27,13,晴,东北风,2级,20.0,14
2019-09-28,27,14,晴,东南风,2级,20.5,13
2019-09-29,28,15,晴,东南风,2级,21.5,13
2019-09-30,28,17,晴,东南风,2级,22.5,11
2019-08-01,30,20,多云,东北风,1级,25.0,10
2019-08-02,28,19,阴,西北风,2级,23.5,9
2019-08-03,25,19,小雨,西南风,1级,22.0,6
2019-08-04,26,19,小雨,南风,微风,22.5,7
2019-08-05,24,20,中雨,东南风,2级,22.0,4
2019-08-06,28,19,小雨,东南风,1级,23.5,9
2019-08-07,31,19,阴,南风,微风,25.0,12
2019-08-08,27,19,小雨,南风,微风,23.0,8
2019-08-09,29,20,小雨,东北风,1级,24.5,9
2019-08-10,28,19,小雨,东南风,2级,23.5,9
2019-08-11,32,19,多云,东南风,1级,25.5,13
2019-08-12,32,19,阴,东南风,2级,25.5,13
2019-08-13,31,20,小雨,东南风,1级,25.5,11
2019-08-14,30,19,阴,东南风,1级,24.5,11
2019-08-15,30,19,阴,东南风,2级,24.5,11
2019-08-16,31,20,多云,东南风,2级,25.5,11
2019-08-17,30,19,多云,东南风,2级,24.5,11
2019-08-18,31,20,多云,东南风,2级,25.5,11
2019-08-19,31,20,阴,东南风,2级,25.5,11
2019-08-20,30,19,小雨,东南风,2级,24.5,11
2019-08-21,29,18,阴,东南风,1级,23.5,11
2019-08-22,28,18,阴,东南风,2级,23.0,10
2019-08-23,27,18,多云,东南风,1级,22.5,9
2019-08-24,29,18,多云,东南风,2级,23.5,11
2019-08-25,30,19,多云,东南风,1级,24.5,11
2019-08-26,31,20,阴,东南风,2级,25.5,11
2019-08-27,22,19,中雨,北风,微风,20.5,3
2019-08-28,28,19,小雨,东南风,1级,23.5,9
2019-08-29,30,20,阴,东北风,1级,25.0,10
2019-08-30,25,17,阴,西北风,2级,21.0,8
2019-08-31,21,19,阴,南风,微风,20.0,2
2019-07-01,29,20,阴,东南风,1级,24.5,9
2019-07-02,28,20,阴,东南风,2级,24.0,8
2019-07-03,29,20,小雨,东北风,1级,24.5,9
2019-07-04,24,20,中雨,西南风,1级,22.0,4
2019-07-05,27,20,小雨,东南风,2级,23.5,7
2019-07-06,30,20,阴,东南风,1级,25.0,10
2019-07-07,28,20,阵雨,东南风,2级,24.0,8
2019-07-08,29,19,阴,西南风,3级,24.0,10
2019-07-09,23,19,中雨,东南风,1级,21.0,4
2019-07-10,21,20,中雨,东南风,1级,20.5,1
2019-07-11,27,20,阴,东南风,1级,23.5,7
2019-07-12,27,20,阴,西南风,2级,23.5,7
2019-07-13,27,20,阴,东北风,1级,23.5,7
2019-07-14,26,20,小雨,东北风,2级,23.0,6
2019-07-15,27,20,阴,东南风,2级,23.5,7
2019-07-16,28,20,小雨,东南风,2级,24.0,8
2019-07-17,31,20,阴,西南风,2级,25.5,11
2019-07-18,31,20,阴,东南风,2级,25.5,11
2019-07-19,30,20,阴,东南风,2级,25.0,10
2019-07-20,26,21,阴,东南风,2级,23.5,5
2019-07-21,30,20,阴,东南风,1级,25.0,10
2019-07-22,30,21,阴,东南风,2级,25.5,9
2019-07-23,28,20,中雨,东南风,1级,24.0,8
2019-07-24,25,20,中雨,北风,微风,22.5,5
2019-07-25,25,20,小雨,东北风,2级,22.5,5
2019-07-26,27,19,小雨,东南风,1级,23.0,8
2019-07-27,30,20,多云,东南风,2级,25.0,10
2019-07-28,30,19,阴,东南风,2级,24.5,11
2019-07-29,27,20,大雨,东南风,1级,23.5,7
2019-07-30,29,19,阴,西南风,1级,24.0,10
2019-07-31,26,19,小雨,西南风,微风,22.5,7
2019-06-01,19,17,阴,北风,微风,18.0,2
2019-06-02,28,18,多云,东南风,2级,23.0,10
2019-06-03,29,19,阴,东北风,1级,24.0,10
2019-06-04,29,20,阴,西南风,2级,24.5,9
2019-06-05,30,20,多云,东南风,2级,25.0,10
2019-06-06,29,20,阴,东南风,2级,24.5,9
2019-06-07,29,20,阴,东南风,2级,24.5,9
2019-06-08,31,20,阴,西南风,3级,25.5,11
2019-06-09,30,21,阴,东南风,2级,25.5,9
2019-06-10,33,20,阴,东南风,3级,26.5,13
2019-06-11,32,20,阴,东南风,2级,26.0,12
2019-06-12,29,20,中雨,东南风,1级,24.5,9
2019-06-13,30,20,小雨,东南风,2级,25.0,10
2019-06-14,29,20,大雨,东南风,1级,24.5,9
2019-06-15,30,21,阴,东南风,2级,25.5,9
2019-06-16,30,21,阴,西南风,1级,25.5,9
2019-06-17,29,21,阵雨,东南风,2级,25.0,8
2019-06-18,27,20,小雨,东南风,2级,23.5,7
2019-06-19,27,21,中雨,东南风,2级,24.0,6
2019-06-20,30,20,阴,东南风,2级,25.0,10
2019-06-21,30,20,多云,西南风,2级,25.0,10
2019-06-22,33,20,多云,东南风,2级,26.5,13
2019-06-23,30,20,中雨,东南风,2级,25.0,10
2019-06-24,24,20,小雨,东南风,1级,22.0,4
2019-06-25,29,20,阴,东南风,2级,24.5,9
2019-06-26,29,21,中雨,东南风,2级,25.0,8
2019-06-27,30,20,阵雨,东南风,1级,25.0,10
2019-06-28,31,20,阴,东南风,2级,25.5,11
2019-06-29,29,20,阴,东南风,1级,24.5,9
2019-06-30,25,19,小雨,西南风,1级,22.0,6
2019-05-01,26,16,阴,东南风,3级,21.0,10
2019-05-02,27,17,阴,东南风,3级,22.0,10
2019-05-03,26,18,阴,东南风,2级,22.0,8
2019-05-04,32,20,阴,东南风,2级,26.0,12
2019-05-05,32,20,阴,西南风,2级,26.0,12
2019-05-06,32,19,阴,东南风,3级,25.5,13
2019-05-07,31,19,阴,东南风,2级,25.0,12
2019-05-08,31,17,阴,东南风,3级,24.0,14
2019-05-09,29,16,阴,东南风,3级,22.5,13
2019-05-10,25,17,阴,东南风,2级,21.0,8
2019-05-11,28,19,阴,东南风,3级,23.5,9
2019-05-12,32,20,阴,东南风,2级,26.0,12
2019-05-13,30,20,阴,东南风,3级,25.0,10
2019-05-14,30,19,阴,东南风,3级,24.5,11
2019-05-15,32,20,阴,东南风,2级,26.0,12
2019-05-16,32,19,多云,西南风,1级,25.5,13
2019-05-17,33,20,多云,东南风,2级,26.5,13
2019-05-18,34,20,晴,西南风,2级,27.0,14
2019-05-19,35,21,晴,东南风,2级,28.0,14
2019-05-20,33,18,阴,东南风,2级,25.5,15
2019-05-21,27,18,阴,东南风,3级,22.5,9
2019-05-22,26,19,阴,东南风,3级,22.5,7
2019-05-23,27,19,阴,东南风,2级,23.0,8
2019-05-24,30,20,阴,东南风,2级,25.0,10
2019-05-25,31,20,多云,东南风,2级,25.5,11
2019-05-26,31,20,多云,东北风,2级,25.5,11
2019-05-27,26,19,阴,东南风,2级,22.5,7
2019-05-28,27,17,阴,东南风,1级,22.0,10
2019-05-29,21,18,阴,东南风,2级,19.5,3
2019-05-30,28,19,阴,东南风,2级,23.5,9
2019-05-31,19,17,阴,西南风,1级,18.0,2
2019-04-01,25,14,阴,东南风,3级,19.5,11
2019-04-02,25,15,阴,西北风,2级,20.0,10
2019-04-03,19,13,阴,东南风,1级,16.0,6
2019-04-04,28,15,阴,东北风,2级,21.5,13
2019-04-05,26,14,阴,东南风,2级,20.0,12
2019-04-06,27,14,阴,东南风,2级,20.5,13
2019-04-07,28,15,多云,西南风,3级,21.5,13
2019-04-08,26,15,阴,西南风,3级,20.5,11
2019-04-09,29,16,阴,西南风,2级,22.5,13
2019-04-10,29,16,多云,西南风,3级,22.5,13
2019-04-11,29,15,阴,西南风,2级,22.0,14
2019-04-12,29,17,阴,东南风,1级,23.0,12
2019-04-13,30,18,阴,东南风,2级,24.0,12
2019-04-14,30,16,阴,东南风,2级,23.0,14
2019-04-15,25,17,阴,东南风,2级,21.0,8
2019-04-16,27,17,阴,东南风,2级,22.0,10
2019-04-17,28,17,阴,东南风,1级,22.5,11
2019-04-18,32,15,多云,东南风,2级,23.5,17
2019-04-19,33,15,晴,西南风,2级,24.0,18
2019-04-20,33,16,晴,西南风,2级,24.5,17
2019-04-21,33,18,多云,西南风,2级,25.5,15
