日期,最高气温,最低气温,天气,风向,风力,平均气温,温差
2019-09-01,32,25,阴,东北风,2级,28.5,7
2019-09-02,28,24,阴,东北风,3级,26.0,4
2019-09-03,32,25,阵雨,东北风,4级,28.5,7
2019-09-04,30,24,阴,东南风,2级,27.0,6
2019-09-05,31,25,阴,东南风,2级,28.0,6
2019-09-06,33,25,多云,西北风,2级,29.0,8
2019-09-07,36,25,多云,东北风,1级,30.5,11
2019-09-08,35,26,阴,西南风,1级,30.5,9
2019-09-09,34,25,多云,东南风,2级,29.5,9
2019-09-10,34,25,阴,西北风,2级,29.5,9
2019-09-11,34,26,多云,东北风,2级,30.0,8
2019-09-12,35,26,晴,西北风,2级,30.5,9
2019-09-13,35,26,阴,西北风,2级,30.5,9
2019-09-14,33,25,多云,东南风,3级,29.0,8
2019-09-15,32,25,阴,东北风,1级,28.5,7
2019-09-16,32,25,阴,西北风,2级,28.5,7
2019-09-17,33,24,阴,东北风,6级,28.5,9
2019-09-18,33,23,多云,西北风,2级,28.0,10
2019-09-19,32,23,晴,西南风,1级,27.5,9
2019-09-20,32,22,晴,西北风,3级,27.0,10
2019-09-21,30,20,晴,西北风,2级,25.0,10
2019-09-22,30,21,多云,西北风,2级,25.5,9
2019-09-23,30,19,晴,西北风,2级,24.5,11
2019-09-24,31,20,多云,西北风,1级,25.5,11
2019-09-25,31,18,晴,西北风,2级,24.5,13
2019-09-26,32,19,晴,西北风,2级,25.5,13
2019-09-27,32,18,晴,西北风,1级,25.0,14
2019-09-28,32,20,多云,西北风,2级,26.0,12
2019-09-29,33,20,晴,西南风,1级,26.5,13
2019-09-30,34,20,晴,西北风,1级,27.0,14
2019-08-01,26,24,大暴雨,东南风,3级,25.0,2
2019-08-02,28,24,中雨,东北风,2级,26.0,4
2019-08-03,27,25,大雨,西北风,1级,26.0,2
2019-08-04,31,24,阴,西北风,2级,27.5,7
2019-08-05,34,25,多云,西南风,1级,29.5,9
2019-08-06,34,26,多云,西北风,2级,30.0,8
2019-08-07,35,25,多云,西北风,3级,30.0,10
2019-08-08,35,26,小雨,东南风,1级,30.5,9
2019-08-09,37,27,阴,东南风,1级,32.0,10
2019-08-10,36,26,阴,东北风,1级,31.0,10
2019-08-11,35,26,阴,西南风,1级,30.5,9
2019-08-12,36,27,阴,东南风,3级,31.5,9
2019-08-13,37,28,多云,东南风,2级,32.5,9
2019-08-14,36,26,多云,西南风,2级,31.0,10
2019-08-15,35,25,中雨,西北风,2级,30.0,10
