日期,最高气温,最低气温,天气,风向,风力,平均气温,温差
2019-09-01,26,17,小雨,东南风,2级,21.5,9
2019-09-02,30,17,晴,东北风,2级,23.5,13
2019-09-03,29,19,多云,东南风,3级,24.0,10
2019-09-04,24,18,小雨,西北风,2级,21.0,6
2019-09-05,29,20,多云,东北风,2级,24.5,9
2019-09-06,31,20,晴,东北风,3级,25.5,11
2019-09-07,31,20,晴,东北风,3级,25.5,11
2019-09-08,33,22,晴,东北风,3级,27.5,11
2019-09-09,28,19,阴,东北风,2级,23.5,9
2019-09-09,31,20,小雨,东北风,4级,25.5,11
2019-09-10,23,19,小雨,东北风,4级,21.0,4
2019-09-11,26,20,小雨,东风,4级,23.0,6
2019-09-12,31,15,小雨,东北风,4级,23.0,16
2019-09-13,20,13,小雨,西南风,4级,16.5,7
2019-09-14,21,16,大雨,东北风,2级,18.5,5
2019-09-15,16,13,小雨,西南风,2级,14.5,3
2019-09-16,21,14,阴,东北风,2级,17.5,7
2019-09-17,19,13,中雨,东北风,3级,16.0,6
2019-09-18,19,15,小雨,东南风,1级,17.0,4
2019-09-19,19,15,小雨,东北风,2级,17.0,4
2019-09-20,24,13,阴,西南风,2级,18.5,11
2019-09-21,24,10,晴,东南风,2级,17.0,14
2019-09-22,27,13,晴,西南风,2级,20.0,14
2019-09-23,26,12,多云,南风,2级,19.0,14
2019-09-24,26,11,阴,西南风,2级,18.5,15
2019-09-25,26,15,晴,东北风,2级,20.5,11
2019-09-26,26,15,晴,东北风,2级,20.5,11
2019-09-27,27,14,晴,东北风,2级,20.5,13
2019-09-28,27,15,晴,东北风,2级,21.0,12
2019-09-29,28,15,晴,东北风,2级,21.5,13
2019-09-30,31,16,晴,东北风,3级,23.5,15
2019-08-01,35,25,多云,东北风,3级,30.0,10
2019-08-01,37,24,多云,西南风,2级,30.5,13
2019-08-02,34,24,阴,东北风,4级,29.0,10
2019-08-03,29,21,大雨,东北风,3级,25.0,8
2019-08-04,34,22,多云,东北风,1级,28.0,12
2019-08-05,31,23,小雨,东南风,3级,27.0,8
2019-08-06,26,21,小雨,西北风,2级,23.5,5
2019-08-07,31,21,多云,东北风,2级,26.0,10
2019-08-08,32,23,阵雨,东北风,3级,27.5,9
2019-08-09,28,19,小雨,西南风,3级,23.5,9
2019-08-10,33,21,晴,西南风,3级,27.0,12
2019-08-11,34,22,晴,东南风,2级,28.0,12
2019-08-12,35,19,晴,西南风,3级,27.0,16
2019-08-13,35,23,晴,西南风,3级,29.0,12
2019-08-14,35,21,晴,西南风,3级,28.0,14
2019-08-15,36,23,晴,西南风,3级,29.5,13
2019-08-16,38,24,多云,东南风,2级,31.0,14
2019-08-17,35,23,多云,东北风,4级,29.0,12
2019-08-18,35,24,晴,东北风,3级,29.5,11
2019-08-19,35,24,阴,东北风,4级,29.5,11
2019-08-20,33,21,阵雨,西南风,3级,27.0,12
2019-08-21,28,21,多云,东南风,2级,24.5,7
2019-08-22,30,21,小雨,东北风,3级,25.5,9
2019-08-23,29,22,小雨,东北风,4级,25.5,7
2019-08-24,32,23,多云,东北风,3级,27.5,9
2019-08-25,32,23,多云,东北风,4级,27.5,9
2019-08-26,29,21,小雨,东北风,4级,25.0,8
2019-08-27,25,20,阴,西南风,2级,22.5,5
2019-08-28,28,19,多云,东南风,2级,23.5,9
2019-08-29,31,19,晴,东南风,1级,25.0,12
2019-08-30,29,18,多云,东北风,3级,23.5,11
2019-08-31,29,17,小雨,西北风,2级,23.0,12
2019-07-01,32,20,多云,西北风,1级,26.0,12
2019-07-02,35,21,阴,东南风,2级,28.0,14
2019-07-03,33,21,阴,东南风,3级,27.0,12
2019-07-04,34,22,多云,西南风,3级,28.0,12
2019-07-05,35,20,晴,西南风,3级,27.5,15
2019-07-06,35,20,多云,西南风,2级,27.5,15
2019-07-07,34,21,多云,东北风,3级,27.5,13
2019-07-08,24,18,小雨,东北风,3级,21.0,6
2019-07-09,28,19,多云,西南风,2级,23.5,9
2019-07-10,31,18,多云,西南风,3级,24.5,13
2019-07-11,32,20,多云,东北风,1级,26.0,12
2019-07-12,31,19,多云,西南风,3级,25.0,12
2019-07-13,36,21,晴,西南风,2级,28.5,15
2019-07-14,37,23,多云,东南风,2级,30.0,14
2019-07-15,36,25,多云,东北风,4级,30.5,11
2019-07-16,29,21,小雨,东北风,1级,25.0,8
2019-07-17,25,21,中雨,东北风,2级,23.0,4
2019-07-18,26,21,小雨,东北风,1级,23.5,5
2019-07-19,29,22,小雨,西南风,2级,25.5,7
2019-07-20,32,23,多云,西南风,2级,27.5,9
2019-07-21,35,25,多云,东北风,3级,30.0,10
2019-07-22,27,20,小雨,东南风,3级,23.5,7
2019-07-23,34,22,多云,西南风,3级,28.0,12
2019-07-24,34,24,多云,西南风,3级,29.0,10
2019-07-25,36,24,多云,东北风,1级,30.0,12
2019-07-26,37,25,晴,东北风,3级,31.0,12
2019-07-27,38,25,多云,西北风,1级,31.5,13
2019-07-28,40,26,小雨,东北风,3级,33.0,14
2019-07-29,30,22,阴,西南风,3级,26.0,8
2019-07-30,34,21,多云,西南风,2级,27.5,13
2019-07-31,36,23,晴,东南风,2级,29.5,13
2019-06-01,35,18,多云,西南风,4级,26.5,17
2019-06-02,37,18,多云,南风,3级,27.5,19
2019-06-03,38,19,多云,西南风,4级,28.5,19
2019-06-04,36,20,阴,东北风,2级,28.0,16
2019-06-05,23,18,中雨,西南风,2级,20.5,5
2019-06-06,32,17,多云,西南风,3级,24.5,15
2019-06-07,34,20,多云,西南风,1级,27.0,14
2019-06-08,34,18,阴,东北风,3级,26.0,16
2019-06-09,36,20,多云,西南风,3级,28.0,16
2019-06-10,35,22,多云,西北风,3级,28.5,13
2019-06-11,31,21,阴,东南风,3级,26.0,10
2019-06-12,33,19,多云,西南风,1级,26.0,14
2019-06-13,35,20,晴,西北风,4级,27.5,15
2019-06-14,35,21,多云,西北风,3级,28.0,14
2019-06-15,31,22,小雨,西南风,3级,26.5,9
2019-06-16,33,22,多云,西南风,2级,27.5,11
2019-06-17,32,22,阴,东风,2级,27.0,10
2019-06-18,33,23,多云,西北风,2级,28.0,10
2019-06-19,28,20,阴,东风,2级,24.0,8
2019-06-20,24,20,中雨,东北风,3级,22.0,4
2019-06-21,23,19,中雨,东北风,3级,21.0,4
2019-06-22,28,19,小雨,东北风,2级,23.5,9
2019-06-23,32,21,多云,东北风,2级,26.5,11
2019-06-24,27,19,阴,东北风,5级,23.0,8
2019-06-25,31,21,多云,西北风,2级,26.0,10
2019-06-26,32,21,多云,东南风,3级,26.5,11
2019-06-27,24,22,小雨,东北风,5级,23.0,2
2019-06-28,26,18,小雨,西南风,3级,22.0,8
2019-06-29,31,18,多云,西南风,2级,24.5,13
2019-06-30,31,16,多云,西南风,2级,23.5,15
2019-05-01,26,13,多云,东北风,4级,19.5,13
2019-05-02,24,16,多云,东北风,3级,20.0,8
2019-05-03,26,15,小雨,东北风,2级,20.5,11
2019-05-04,27,17,多云,西北风,3级,22.0,10
2019-05-05,20,14,小雨,东北风,3级,17.0,6
2019-05-06,17,10,小雨,东南风,5级,13.5,7
2019-05-07,14,9,小雨,东北风,4级,11.5,5
2019-05-08,22,10,雾,西南风,3级,16.0,12
2019-05-09,24,10,多云,西南风,2级,17.0,14
2019-05-10,27,15,多云,西南风,4级,21.0,12
2019-05-11,27,15,多云,东南风,2级,21.0,12
2019-05-12,21,11,阴,西北风,3级,16.0,10
2019-05-13,25,12,浮尘,东南风,3级,18.5,13
2019-05-14,23,14,多云,西南风,1级,18.5,9
2019-05-15,29,13,多云,西南风,3级,21.0,16
2019-05-16,29,17,多云,西南风,3级,23.0,12
2019-05-17,30,16,晴,东风,2级,23.0,14
2019-05-18,26,16,小雨,东北风,3级,21.0,10
2019-05-19,24,11,阴,东北风,1级,17.5,13
2019-05-20,25,12,多云,东北风,2级,18.5,13
2019-05-21,30,13,晴,西南风,3级,21.5,17
