日期,最高气温,最低气温,天气,风向,风力,平均气温,温差
2019-03-05,4,-2,多云,东南风,2级,1.0,6
2019-03-12,2,-3,多云,东北风,2级,-0.5,5
2019-03-13,-2,-4,雾,东北风,2级,-3.0,2
2019-03-14,-3,-5,雾,西北风,1级,-4.0,2
2019-03-29,15,6,晴,东北风,2级,10.5,9
2019-02-01,-8,-14,小雪,东南风,2级,-11.0,6
2019-02-05,-6,-13,雾,东北风,1级,-9.5,7
2019-02-22,-4,-6,阴,西北风,3级,-5.0,2
2019-02-27,-8,-13,雾,东南风,1级,-10.5,5
2019-01-28,-8,-17,雾,东北风,1级,-12.5,9
2018-12-01,3,-16,大雪,东南风,3级,-6.5,19
2018-12-19,-2,-9,多云,西北风,1级,-5.5,7
2018-12-20,-6,-11,多云,西北风,1级,-8.5,5
2018-12-21,-8,-17,小雪,东北风,2级,-12.5,9
2018-12-29,-15,-19,晴,东南风,1级,-17.0,4
2018-11-01,4,-6,雨夹雪,西北风,3级,-1.0,10
2018-11-02,-2,-7,多云,西北风,3级,-4.5,5
2018-11-10,7,0,晴,东北风,1级,3.5,7
2018-10-15,12,4,晴,南风,2级,8.0,8
2018-10-19,2,-4,晴,西北风,4级,-1.0,6
2018-10-25,13,1,晴,东南风,微风,7.0,12
2018-10-30,13,0,晴,西南风,2级,6.5,13
2018-09-03,16,9,小雨,东北风,2级,12.5,7
2018-09-06,25,12,晴,南风,1级,18.5,13
2018-09-12,17,6,小雨,东北风,2级,11.5,11
2018-09-18,17,8,多云,西南风,3级,12.5,9
2018-09-24,19,10,阵雨,西北风,3级,14.5,9
2018-09-26,16,8,晴,东北风,2级,12.0,8
2018-09-27,18,7,晴,南风,微风,12.5,11
2018-09-29,21,11,晴,西北风,微风,16.0,10
2018-08-08,31,24,多云,东南风,2级,27.5,7
2018-08-15,28,16,晴,东南风,2级,22.0,12
2018-08-20,32,21,晴,西南风,2级,26.5,11
2018-08-22,23,17,小雨,南风,1级,20.0,6
2018-07-22,35,22,晴,北风,2级,28.5,13
2018-06-19,29,18,阵雨,北风,2级,23.5,11
2018-05-04,17,9,晴,东南风,2级,13.0,8
2018-05-08,14,3,晴,北风,2级,8.5,11
2018-05-14,16,9,小雨,西北风,1级,12.5,7
2018-05-15,18,8,多云,北风,1级,13.0,10
2018-05-17,22,10,晴,西北风,2级,16.0,12
2018-05-21,20,8,晴,西南风,1级,14.0,12
2018-05-23,25,8,多云,北风,2级,16.5,17
2018-05-24,10,2,大雨,西北风,4级,6.0,8
2018-05-25,18,5,晴,东北风,2级,11.5,13
2018-05-29,19,10,多云,北风,2级,14.5,9
2018-04-02,6,0,多云,北风,2级,3.0,6
2018-04-03,8,-2,多云,西北风,3级,3.0,10
2018-04-04,5,-1,多云,北风,2级,2.0,6
2018-04-05,11,-1,晴,东南风,3级,5.0,12
2018-04-08,15,5,小雨,西北风,2级,10.0,10
2018-04-09,14,3,晴,北风,2级,8.5,11
2018-04-16,24,10,晴,西北风,2级,17.0,14
2018-04-17,19,9,晴,北风,2级,14.0,10
2018-04-24,27,14,晴,东北风,2级,20.5,13
2018-04-28,19,8,晴,北风,3级,13.5,11
2018-04-30,23,11,晴,北风,2级,17.0,12
2018-03-01,8,-2,晴,东风,1级,3.0,10
2018-03-03,1,-6,小雪,北风,1级,-2.5,7
2018-03-06,8,-1,晴,北风,1级,3.5,9
2018-03-15,6,3,多云,北风,2级,4.5,3
2018-03-19,8,-1,晴,东北风,1级,3.5,9
2018-03-23,19,6,晴,东北风,1级,12.5,13
2018-03-26,24,10,晴,北风,2级,17.0,14
2018-03-30,20,6,多云,东北风,2级,13.0,14
2018-02-01,-10,-21,晴,东北风,1级,-15.5,11
2018-02-02,-11,-20,晴,东风,1级,-15.5,9
2018-02-03,-11,-20,多云,东风,1级,-15.5,9
2018-02-06,-9,-17,晴,东南风,1级,-13.0,8
2018-02-08,-3,-13,晴,东北风,2级,-8.0,10
2018-02-09,-6,-13,晴,东风,1级,-9.5,7
2018-02-15,-3,-9,晴,东风,1级,-6.0,6
2018-02-16,-3,-11,多云,东风,2级,-7.0,8
2018-02-20,-4,-13,晴,东北风,2级,-8.5,9
2018-02-26,4,-5,晴,东南风,1级,-0.5,9
2018-01-19,-11,-19,晴,西南风,微风,-15.0,8
2018-01-22,-11,-18,多云,东风,2级,-14.5,7
2017-12-01,-1,-5,晴,东北风,2级,-3.0,4
2017-12-02,-2,-6,多云,东风,2级,-4.0,4
2017-12-03,-2,-7,晴,东风,1级,-4.5,5
2017-12-05,-3,-7,多云,东北风,2级,-5.0,4
2017-12-06,-2,-7,晴,东北风,2级,-4.5,5
