日期,最高气温,最低气温,天气,风向,风力,平均气温,温差
2019-09-01,33,23,阴,东南风,2级,28.0,10
2019-09-02,32,23,阴,西北风,2级,27.5,9
2019-09-03,33,23,小雨,东南风,2级,28.0,10
2019-09-04,31,23,多云,东南风,2级,27.0,8
2019-09-05,31,23,阴,东北风,1级,27.0,8
2019-09-06,34,23,多云,西南风,2级,28.5,11
2019-09-07,35,23,多云,南风,微风,29.0,12
2019-09-08,34,23,多云,东北风,1级,28.5,11
2019-09-09,33,23,多云,东南风,2级,28.0,10
2019-09-10,34,23,多云,东北风,1级,28.5,11
2019-09-11,34,24,多云,东北风,2级,29.0,10
2019-09-12,34,24,多云,东南风,2级,29.0,10
2019-09-13,35,24,多云,东南风,2级,29.5,11
2019-09-14,35,24,阴,东南风,1级,29.5,11
2019-09-15,33,23,多云,东南风,2级,28.0,10
2019-09-16,33,23,多云,东南风,2级,28.0,10
2019-09-17,33,22,多云,东南风,3级,27.5,11
2019-09-18,34,20,多云,东北风,3级,27.0,14
2019-09-19,31,18,晴,东南风,2级,24.5,13
2019-09-20,32,17,晴,东南风,2级,24.5,15
2019-09-21,32,18,晴,东南风,1级,25.0,14
2019-09-22,29,18,多云,东北风,3级,23.5,11
2019-09-23,30,17,晴,东南风,1级,23.5,13
2019-09-24,30,17,多云,东南风,2级,23.5,13
2019-09-25,30,17,晴,东南风,2级,23.5,13
2019-09-26,31,18,晴,东南风,1级,24.5,13
2019-09-27,31,19,晴,东南风,2级,25.0,12
2019-09-28,33,21,多云,西南风,1级,27.0,12
2019-09-29,33,22,多云,东南风,2级,27.5,11
2019-09-30,31,21,多云,东北风,2级,26.0,10
2019-08-01,29,23,小雨,东南风,1级,26.0,6
2019-08-02,31,23,小雨,东南风,1级,27.0,8
2019-08-03,30,23,阴,东南风,2级,26.5,7
2019-08-04,35,24,阴,东北风,2级,29.5,11
2019-08-05,35,24,阴,东北风,2级,29.5,11
2019-08-06,35,23,阴,东南风,3级,29.0,12
2019-08-07,34,24,多云,东南风,1级,29.0,10
2019-08-08,33,25,阴,东南风,1级,29.0,8
2019-08-09,36,26,阴,西北风,3级,31.0,10
2019-08-10,35,25,阴,西南风,2级,30.0,10
2019-08-11,32,24,大雨,东南风,1级,28.0,8
2019-08-12,35,25,阴,东南风,2级,30.0,10
2019-08-13,34,24,小雨,东南风,1级,29.0,10
2019-08-14,33,24,阴,南风,微风,28.5,9
2019-08-15,34,24,阴,西南风,1级,29.0,10
2019-08-16,33,24,阴,东北风,2级,28.5,9
2019-08-17,32,24,阴,东北风,1级,28.0,8
2019-08-18,33,23,多云,东北风,2级,28.0,10
