日期,最高气温,最低气温,天气,风向,风力,平均气温,温差
2019-09-01,25,20,多云,北风,微风,22.5,5
2019-09-02,23,19,阴,东北风,2级,21.0,4
2019-09-03,23,19,阴,东北风,1级,21.0,4
2019-09-04,21,20,阴,东北风,1级,20.5,1
2019-09-05,25,22,阴,东北风,2级,23.5,3
2019-09-06,26,21,阴,东北风,1级,23.5,5
2019-09-07,25,21,阴,东北风,1级,23.0,4
2019-09-08,27,22,阴,东北风,2级,24.5,5
2019-09-09,27,21,阴,东南风,1级,24.0,6
2019-09-10,24,21,阴,西北风,2级,22.5,3
2019-09-11,26,22,阴,西北风,1级,24.0,4
2019-09-12,27,19,阴,东南风,1级,23.0,8
2019-09-13,19,16,阴,西北风,1级,17.5,3
2019-09-14,22,17,阴,东北风,1级,19.5,5
2019-09-15,21,17,阴,东南风,1级,19.0,4
2019-09-16,25,18,多云,东北风,1级,21.5,7
2019-09-17,22,18,阴,东南风,1级,20.0,4
2019-09-18,25,17,多云,东南风,1级,21.0,8
2019-09-19,19,18,阴,东北风,1级,18.5,1
2019-09-20,25,18,阴,东南风,2级,21.5,7
2019-09-21,28,17,阴,东南风,1级,22.5,11
2019-09-22,28,18,多云,东北风,1级,23.0,10
2019-09-23,20,17,阴,西北风,1级,18.5,3
2019-09-24,21,15,阴,西南风,3级,18.0,6
2019-09-25,26,15,多云,东南风,2级,20.5,11
2019-09-26,24,17,阴,西南风,1级,20.5,7
2019-09-27,26,18,多云,西南风,1级,22.0,8
2019-09-28,26,19,多云,东北风,1级,22.5,7
2019-09-29,26,19,阴,西北风,1级,22.5,7
2019-09-30,27,19,阴,西北风,1级,23.0,8
2019-08-01,31,22,阴,东南风,2级,26.5,9
2019-08-02,27,22,暴雨,西北风,1级,24.5,5
2019-08-03,30,22,阴,东南风,1级,26.0,8
2019-08-04,29,22,小雨,东南风,2级,25.5,7
2019-08-05,25,21,小雨,东北风,3级,23.0,4
2019-08-06,28,20,小雨,东北风,1级,24.0,8
2019-08-07,32,23,晴,东南风,1级,27.5,9
2019-08-08,31,23,阴,东风,1级,27.0,8
2019-08-09,32,22,阴,西北风,2级,27.0,10
2019-08-10,35,23,晴,西南风,1级,29.0,12
2019-08-11,35,23,晴,东南风,1级,29.0,12
2019-08-12,36,24,晴,东南风,2级,30.0,12
2019-08-13,32,24,多云,西北风,2级,28.0,8
2019-08-14,34,23,多云,西南风,1级,28.5,11
2019-08-15,36,22,晴,东南风,2级,29.0,14
2019-08-16,36,23,晴,东南风,1级,29.5,13
2019-08-17,36,25,多云,东南风,1级,30.5,11
2019-08-18,31,23,多云,北风,2级,27.0,8
2019-08-19,27,23,小雨,西北风,1级,25.0,4
2019-08-20,29,23,阴,西北风,1级,26.0,6
2019-08-21,30,22,阴,西北风,1级,26.0,8
2019-08-22,33,23,阴,西北风,1级,28.0,10
2019-08-23,34,23,多云,东南风,1级,28.5,11
2019-08-24,34,24,多云,东北风,2级,29.0,10
2019-08-25,32,25,多云,东北风,1级,28.5,7
2019-08-26,34,23,阴,东南风,1级,28.5,11
2019-08-27,30,22,多云,西北风,2级,26.0,8
2019-08-28,32,21,多云,东北风,1级,26.5,11
2019-08-29,31,21,多云,西南风,2级,26.0,10
2019-08-30,27,20,阴,东北风,2级,23.5,7
2019-08-31,22,19,阴,西北风,1级,20.5,3
2019-07-01,34,22,晴,东南风,1级,28.0,12
2019-07-02,31,22,阴,西北风,3级,26.5,9
2019-07-03,25,21,阵雨,西北风,2级,23.0,4
2019-07-04,25,22,多云,东南风,1级,23.5,3
2019-07-05,30,22,晴,东南风,3级,26.0,8
2019-07-06,26,21,小雨,东南风,1级,23.5,5
2019-07-07,27,20,阵雨,东南风,2级,23.5,7
2019-07-08,25,20,阴,东南风,2级,22.5,5
2019-07-09,28,21,多云,西北风,3级,24.5,7
2019-07-10,29,21,小雨,东南风,1级,25.0,8
2019-07-11,23,21,中雨,东北风,2级,22.0,2
2019-07-12,28,21,阴,西南风,3级,24.5,7
2019-07-13,31,21,阴,东南风,2级,26.0,10
2019-07-14,30,21,阴,东北风,1级,25.5,9
2019-07-15,25,22,中雨,东南风,1级,23.5,3
2019-07-16,25,22,中雨,东北风,3级,23.5,3
2019-07-17,29,23,阴,东北风,2级,26.0,6
2019-07-18,31,23,阴,东北风,1级,27.0,8
2019-07-19,30,23,阴,东北风,3级,26.5,7
2019-07-20,30,24,大雨,西南风,1级,27.0,6
2019-07-21,31,24,多云,西北风,1级,27.5,7
2019-07-22,27,23,中雨,西南风,2级,25.0,4
2019-07-23,27,22,多云,西南风,1级,24.5,5
2019-07-24,29,23,中雨,西北风,1级,26.0,6
2019-07-25,30,23,阴,东南风,1级,26.5,7
2019-07-26,31,25,多云,东南风,2级,28.0,6
2019-07-27,33,24,小雨,东南风,1级,28.5,9
2019-07-28,34,25,阴,西北风,1级,29.5,9
2019-07-29,24,22,大暴雨,西南风,3级,23.0,2
2019-07-30,27,22,阴,东南风,2级,24.5,5
2019-07-31,32,23,多云,东南风,2级,27.5,9
2019-06-01,31,18,阴,东南风,1级,24.5,13
2019-06-02,32,19,晴,西南风,1级,25.5,13
2019-06-03,33,22,晴,东南风,1级,27.5,11
2019-06-04,33,20,多云,东北风,1级,26.5,13
2019-06-05,31,22,多云,西北风,2级,26.5,9
2019-06-06,33,21,阴,东南风,2级,27.0,12
2019-06-07,33,21,阴,西北风,2级,27.0,12
2019-06-08,26,21,阴,西北风,微风,23.5,5
2019-06-09,32,21,阴,东南风,2级,26.5,11
2019-06-10,29,21,多云,东南风,1级,25.0,8
2019-06-11,25,20,阴,东南风,2级,22.5,5
2019-06-12,31,22,晴,东南风,3级,26.5,9
2019-06-13,31,22,多云,东南风,3级,26.5,9
2019-06-14,24,21,小雨,东北风,2级,22.5,3
2019-06-15,25,20,小雨,东南风,2级,22.5,5
2019-06-16,27,20,阴,东南风,1级,23.5,7
2019-06-17,26,20,阵雨,东南风,1级,23.0,6
2019-06-18,26,21,多云,东北风,1级,23.5,5
2019-06-19,25,22,阴,东北风,1级,23.5,3
2019-06-20,29,24,多云,东南风,2级,26.5,5
2019-06-21,29,23,阴,东北风,1级,26.0,6
2019-06-22,31,22,阴,东南风,3级,26.5,9
2019-06-23,27,21,阴,东北风,3级,24.0,6
2019-06-24,23,21,小雨,东北风,1级,22.0,2
2019-06-25,23,22,小雨,东南风,1级,22.5,1
2019-06-26,26,21,阵雨,西北风,2级,23.5,5
2019-06-27,28,22,小雨,东北风,3级,25.0,6
2019-06-28,29,21,阴,东南风,2级,25.0,8
2019-06-29,31,22,阴,东北风,1级,26.5,9
2019-06-30,31,23,多云,东北风,2级,27.0,8
2019-05-01,25,18,阴,西北风,3级,21.5,7
2019-05-02,24,16,阴,东南风,1级,20.0,8
2019-05-03,21,16,阴,东北风,2级,18.5,5
2019-05-04,23,17,阴,东北风,2级,20.0,6
2019-05-05,20,18,阴,东北风,2级,19.0,2
2019-05-06,17,13,阴,东北风,2级,15.0,4
2019-05-07,16,13,阴,东北风,2级,14.5,3
2019-05-08,22,15,阴,西北风,1级,18.5,7
2019-05-09,24,15,阴,东南风,2级,19.5,9
2019-05-10,26,17,阴,东北风,2级,21.5,9
2019-05-11,27,18,阴,西北风,2级,22.5,9
2019-05-12,26,15,阴,西北风,3级,20.5,11
2019-05-13,26,17,阴,东南风,2级,21.5,9
2019-05-14,25,18,阴,东南风,1级,21.5,7
2019-05-15,27,18,阴,西北风,2级,22.5,9
2019-05-16,29,19,多云,东北风,2级,24.0,10
2019-05-17,27,20,阴,东北风,1级,23.5,7
2019-05-18,26,20,阴,东北风,1级,23.0,6
2019-05-19,22,15,阴,东南风,1级,18.5,7
2019-05-20,21,15,阴,东南风,2级,18.0,6
2019-05-21,26,18,多云,东南风,2级,22.0,8
2019-05-22,27,18,多云,东南风,2级,22.5,9
2019-05-23,29,19,多云,东南风,2级,24.0,10
2019-05-24,27,19,阴,西南风,微风,23.0,8
2019-05-25,29,22,阴,东南风,1级,25.5,7
2019-05-26,31,21,多云,西北风,2级,26.0,10
2019-05-27,25,16,阴,东北风,2级,20.5,9
2019-05-28,16,15,阴,东北风,2级,15.5,1
2019-05-29,17,16,阴,东南风,1级,16.5,1
2019-05-30,25,18,阴,西南风,1级,21.5,7
2019-05-31,28,17,晴,东北风,2级,22.5,11
2019-04-01,16,12,阴,东北风,2级,14.0,4
2019-04-02,18,12,阴,西北风,1级,15.0,6
2019-04-03,17,12,多云,西北风,1级,14.5,5
2019-04-04,21,13,多云,西南风,2级,17.0,8
2019-04-05,26,13,晴,东南风,2级,19.5,13
2019-04-06,28,14,晴,东南风,2级,21.0,14
2019-04-07,30,15,晴,东北风,1级,22.5,15
2019-04-08,29,17,阴,西北风,1级,23.0,12
2019-04-09,29,18,多云,东南风,2级,23.5,11
2019-04-10,18,15,阴,西北风,2级,16.5,3
2019-04-11,20,16,阴,东南风,2级,18.0,4
2019-04-12,20,15,阴,西南风,1级,17.5,5
2019-04-13,22,13,阴,西北风,2级,17.5,9
2019-04-14,23,14,阴,东南风,1级,18.5,9
2019-04-15,19,14,阴,东北风,2级,16.5,5
2019-04-16,24,16,阴,东北风,2级,20.0,8
2019-04-17,19,16,阴,西北风,2级,17.5,3
2019-04-18,26,21,阴,东北风,1级,23.5,5
2019-04-19,28,19,阴,东南风,2级,23.5,9
2019-04-20,20,18,阴,西南风,2级,19.0,2
2019-04-21,29,16,多云,西北风,1级,22.5,13
2019-04-22,30,18,多云,东南风,1级,24.0,12
2019-04-23,30,18,阴,东北风,2级,24.0,12
2019-04-24,31,19,阴,东北风,2级,25.0,12
2019-04-25,34,21,晴,西北风,1级,27.5,13
2019-04-26,34,21,阴,东风,2级,27.5,13
2019-04-27,31,20,阴,东北风,5级,25.5,11
2019-04-28,24,16,阴,东北风,3级,20.0,8
2019-04-29,28,17,阴,东北风,2级,22.5,11
2019-04-30,25,16,阴,东南风,1级,20.5,9
2019-03-01,8,7,阴,东南风,1级,7.5,1
2019-03-02,16,5,多云,东南风,2级,10.5,11
2019-03-03,16,7,多云,东北风,1级,11.5,9
2019-03-04,14,7,阴,东北风,1级,10.5,7
2019-03-05,19,9,阴,西风,2级,14.0,10
2019-03-06,16,10,阴,西南风,1级,13.0,6
2019-03-07,10,8,阴,东北风,2级,9.0,2
2019-03-08,10,7,阴,东北风,1级,8.5,3
2019-03-09,16,8,雾,东南风,2级,12.0,8
2019-03-10,18,9,多云,东北风,1级,13.5,9
2019-03-11,22,12,多云,东北风,2级,17.0,10
2019-03-12,18,12,阴,东北风,1级,15.0,6
2019-03-13,16,10,多云,东北风,4级,13.0,6
