日期,最高气温,最低气温,天气,风向,风力,平均气温,温差
2019-09-01,25,20,多云,西北风,1级,22.5,5
2019-09-01,26,19,多云,东北风,2级,22.5,7
2019-09-02,21,20,阴,西北风,2级,20.5,1
2019-09-02,24,20,小雨,东北风,3级,22.0,4
2019-09-03,22,19,小雨,东北风,1级,20.5,3
2019-09-04,23,19,小雨,东北风,3级,21.0,4
2019-09-05,27,20,多云,东北风,2级,23.5,7
2019-09-06,26,21,阴,西风,1级,23.5,5
2019-09-06,27,21,多云,东南风,2级,24.0,6
2019-09-07,26,21,中雨,东北风,2级,23.5,5
2019-09-08,25,21,阵雨,东北风,3级,23.0,4
2019-09-09,29,21,阵雨,东北风,3级,25.0,8
2019-09-10,25,21,中雨,东北风,3级,23.0,4
2019-09-11,27,21,阵雨,东南风,1级,24.0,6
2019-09-12,28,20,中雨,东北风,1级,24.0,8
2019-09-13,18,17,阴,东北风,2级,17.5,1
2019-09-13,20,17,大雨,西北风,3级,18.5,3
2019-09-14,21,16,阴,东南风,1级,18.5,5
2019-09-15,20,17,阵雨,西南风,1级,18.5,3
2019-09-16,23,17,多云,东北风,2级,20.0,6
2019-09-17,27,18,阴,西南风,1级,22.5,9
2019-09-17,22,17,晴,东南风,2级,19.5,5
2019-09-18,26,17,多云,东南风,2级,21.5,9
2019-09-19,21,18,阴,西北风,1级,19.5,3
2019-09-19,19,16,阵雨,东北风,2级,17.5,3
2019-09-20,27,18,阴,西南风,2级,22.5,9
2019-09-20,25,17,多云,西南风,2级,21.0,8
2019-09-21,30,18,多云,西南风,1级,24.0,12
2019-09-21,28,18,晴,东北风,2级,23.0,10
2019-09-22,28,17,多云,东南风,2级,22.5,11
2019-09-23,24,17,小雨,东北风,2级,20.5,7
2019-09-24,21,15,小雨,西南风,2级,18.0,6
2019-09-25,26,16,雾,东南风,1级,21.0,10
2019-09-25,25,15,多云,东北风,1级,20.0,10
2019-09-26,26,15,多云,西北风,2级,20.5,11
2019-09-27,27,18,多云,西北风,1级,22.5,9
2019-09-27,24,17,晴,东南风,2级,20.5,7
2019-09-28,27,19,多云,西北风,1级,23.0,8
2019-09-28,27,17,多云,东南风,2级,22.0,10
2019-09-29,28,18,多云,西北风,1级,23.0,10
2019-09-30,27,19,阴,西北风,1级,23.0,8
2019-09-30,27,18,小雨,东北风,2级,22.5,9
2019-08-01,34,22,阴,东南风,1级,28.0,12
