日期,最高气温,最低气温,天气,风向,风力,平均气温,温差
2019-09-01,31,18,晴,南风,微风,24.5,13
2019-09-02,31,18,晴,西南风,1级,24.5,13
2019-09-03,32,18,晴,东南风,2级,25.0,14
2019-09-04,30,18,多云,东南风,3级,24.0,12
2019-09-05,31,17,晴,东南风,1级,24.0,14
2019-09-06,31,19,晴,东南风,微风,25.0,12
2019-09-07,34,19,晴,西南风,2级,26.5,15
2019-09-08,35,20,晴,西南风,1级,27.5,15
2019-09-09,33,21,多云,东北风,1级,27.0,12
2019-09-10,22,18,阴,西北风,1级,20.0,4
2019-09-11,21,17,阴,西南风,1级,19.0,4
2019-09-12,20,16,阴,西南风,1级,18.0,4
2019-09-13,25,17,阴,西南风,2级,21.0,8
2019-09-14,28,17,多云,东南风,1级,22.5,11
2019-09-15,28,16,阴,西南风,3级,22.0,12
2019-09-16,26,17,阴,西北风,微风,21.5,9
2019-09-17,27,16,阴,东南风,1级,21.5,11
2019-09-18,25,15,晴,东南风,2级,20.0,10
2019-09-19,22,16,阴,西南风,3级,19.0,6
2019-09-20,23,16,阴,西南风,2级,19.5,7
2019-09-21,28,15,晴,西北风,微风,21.5,13
2019-09-22,28,16,晴,西南风,1级,22.0,12
2019-09-23,31,17,晴,西北风,微风,24.0,14
2019-09-24,33,15,晴,东北风,1级,24.0,18
2019-09-25,31,16,晴,东南风,1级,23.5,15
2019-09-26,31,15,晴,东南风,微风,23.0,16
2019-09-27,30,16,晴,西北风,1级,23.0,14
2019-09-28,30,15,晴,东南风,2级,22.5,15
2019-09-29,32,16,晴,东南风,2级,24.0,16
2019-09-30,31,17,晴,东南风,3级,24.0,14
2019-08-01,32,24,多云,东北风,2级,28.0,8
2019-08-02,29,23,阴,西北风,1级,26.0,6
2019-08-03,29,22,多云,北风,微风,25.5,7
2019-08-04,26,22,中雨,东北风,2级,24.0,4
2019-08-05,29,23,小雨,西北风,微风,26.0,6
2019-08-06,32,22,阴,东北风,1级,27.0,10
2019-08-07,31,24,小雨,东北风,2级,27.5,7
2019-08-08,32,24,多云,东北风,1级,28.0,8
2019-08-09,32,23,阴,西风,1级,27.5,9
2019-08-10,28,22,阴,西北风,微风,25.0,6
2019-08-11,28,22,小雨,西北风,1级,25.0,6
2019-08-12,31,22,多云,东北风,4级,26.5,9
2019-08-13,32,22,多云,西北风,微风,27.0,10
2019-08-14,33,23,多云,东北风,1级,28.0,10
2019-08-15,33,22,多云,东北风,4级,27.5,11
2019-08-16,31,20,晴,西北风,微风,25.5,11
2019-08-17,32,19,晴,西南风,2级,25.5,13
2019-08-18,32,21,晴,东南风,2级,26.5,11
2019-08-19,32,22,多云,东南风,2级,27.0,10
2019-08-20,27,21,小雨,西北风,1级,24.0,6
2019-08-21,31,20,晴,东南风,1级,25.5,11
2019-08-22,29,20,多云,东北风,3级,24.5,9
