日期,最高气温,最低气温,天气,风向,风力,平均气温,温差
2019-09-01,38,21,阴,东北风,1级,29.5,17
2019-09-02,38,19,晴,东北风,1级,28.5,19
2019-09-03,34,19,晴,东南风,1级,26.5,15
2019-09-04,34,18,阴,东北风,1级,26.0,16
2019-09-05,36,19,晴,西北风,1级,27.5,17
2019-09-06,31,19,晴,东北风,1级,25.0,12
2019-09-07,32,19,多云,西北风,1级,25.5,13
2019-09-08,27,16,阴,东南风,1级,21.5,11
2019-09-09,30,16,晴,东北风,1级,23.0,14
2019-09-10,32,18,晴,东北风,1级,25.0,14
2019-09-11,23,10,扬沙,东风,3级,16.5,13
2019-09-12,22,7,晴,西南风,3级,14.5,15
2019-09-13,24,10,晴,西南风,微风,17.0,14
2019-09-14,26,11,晴,西南风,2级,18.5,15
2019-09-15,27,11,晴,南风,微风,19.0,16
2019-09-17,31,14,晴,西北风,1级,22.5,17
2019-09-18,29,11,多云,东北风,1级,20.0,18
2019-09-19,29,12,晴,东北风,微风,20.5,17
2019-09-20,30,13,晴,东北风,1级,21.5,17
2019-09-21,32,12,阴,东北风,1级,22.0,20
2019-09-22,32,13,晴,东北风,1级,22.5,19
2019-09-23,33,16,晴,东北风,1级,24.5,17
2019-09-24,32,12,晴,东北风,1级,22.0,20
2019-09-25,32,13,晴,西南风,1级,22.5,19
2019-09-26,33,14,晴,西北风,1级,23.5,19
2019-09-27,33,14,多云,东北风,1级,23.5,19
2019-09-28,32,15,多云,东北风,1级,23.5,17
2019-09-29,33,14,多云,西北风,微风,23.5,19
2019-09-30,34,13,晴,东北风,2级,23.5,21
2019-08-01,39,21,晴,东北风,3级,30.0,18
2019-08-02,39,20,阴,西南风,3级,29.5,19
2019-08-03,38,22,晴,西北风,1级,30.0,16
2019-08-04,39,21,多云,西北风,微风,30.0,18
2019-08-05,38,22,多云,东北风,2级,30.0,16
2019-08-06,33,21,阴,东南风,1级,27.0,12
2019-08-09,38,18,多云,东南风,1级,28.0,20
2019-08-10,40,20,晴,东北风,6级,30.0,20
2019-08-11,28,18,阴,东南风,微风,23.0,10
2019-08-12,34,16,晴,西南风,1级,25.0,18
2019-08-13,36,16,晴,西南风,1级,26.0,20
