日期,最高气温,最低气温,天气,风向,风力,平均气温,温差
2019-09-01,26,15,晴,西南风,3级,20.5,11
2019-09-02,27,17,多云,西南风,2级,22.0,10
2019-09-03,28,17,晴,东南风,微风,22.5,11
2019-09-04,29,18,多云,南风,微风,23.5,11
2019-09-05,29,19,多云,北风,微风,24.0,10
2019-09-06,27,20,阴,南风,微风,23.5,7
2019-09-07,23,19,阴,东北风,4级,21.0,4
2019-09-08,26,15,阴,西南风,1级,20.5,11
2019-09-09,24,12,多云,东南风,1级,18.0,12
2019-09-10,20,8,阴,西南风,1级,14.0,12
2019-09-11,21,10,晴,东南风,1级,15.5,11
2019-09-12,22,15,多云,东南风,1级,18.5,7
2019-09-13,21,13,阴,西南风,2级,17.0,8
2019-09-14,21,12,晴,东南风,1级,16.5,9
2019-09-15,23,10,多云,西南风,2级,16.5,13
2019-09-16,17,5,晴,南风,微风,11.0,12
2019-09-17,21,6,晴,西南风,4级,13.5,15
2019-09-18,16,6,晴,西南风,2级,11.0,10
2019-09-19,16,9,晴,东南风,微风,12.5,7
2019-09-20,22,9,晴,西南风,1级,15.5,13
2019-09-21,19,7,晴,东北风,1级,13.0,12
2019-09-22,21,8,晴,东北风,1级,14.5,13
2019-09-23,22,9,晴,东南风,1级,15.5,13
2019-09-24,20,8,晴,南风,微风,14.0,12
2019-09-25,25,12,晴,东南风,1级,18.5,13
2019-09-26,27,13,晴,西南风,2级,20.0,14
2019-09-27,28,14,多云,东南风,1级,21.0,14
2019-09-28,25,13,晴,东北风,1级,19.0,12
2019-09-29,22,11,多云,东北风,1级,16.5,11
2019-09-30,26,17,晴,西南风,1级,21.5,9
2019-08-01,29,20,多云,西南风,2级,24.5,9
2019-08-02,29,21,多云,东南风,1级,25.0,8
2019-08-03,23,20,暴雨,西北风,微风,21.5,3
2019-08-04,28,20,阴,东南风,1级,24.0,8
2019-08-05,29,22,阴,东南风,1级,25.5,7
2019-08-06,29,22,小雨,西北风,1级,25.5,7
2019-08-07,30,22,阴,东南风,2级,26.0,8
2019-08-08,28,20,小雨,西南风,2级,24.0,8
2019-08-09,27,19,阴,东南风,1级,23.0,8
2019-08-10,29,21,阴,西南风,1级,25.0,8
2019-08-11,22,20,小雨,西南风,1级,21.0,2
2019-08-12,26,20,小雨,东北风,1级,23.0,6
2019-08-13,27,21,阴,西南风,1级,24.0,6
2019-08-14,22,20,大雨,西北风,1级,21.0,2
2019-08-15,22,20,中雨,东北风,1级,21.0,2
2019-08-16,22,19,阴,北风,微风,20.5,3
2019-08-17,20,16,中雨,西南风,2级,18.0,4
2019-08-18,23,16,阴,东南风,1级,19.5,7
2019-08-19,24,15,阴,东南风,1级,19.5,9
2019-08-20,25,19,阴,东南风,1级,22.0,6
2019-08-21,24,16,阴,西南风,2级,20.0,8
2019-08-22,23,16,阴,西南风,2级,19.5,7
2019-08-23,22,15,阴,东南风,1级,18.5,7
2019-08-24,23,13,阴,东北风,微风,18.0,10
2019-08-25,25,17,阴,东南风,微风,21.0,8
2019-08-26,24,18,阴,西南风,1级,21.0,6
2019-08-27,24,16,阴,西南风,1级,20.0,8
2019-08-28,24,15,阴,西南风,1级,19.5,9
2019-08-29,21,15,阴,西北风,微风,18.0,6
2019-08-30,20,15,阴,西南风,2级,17.5,5
2019-08-31,24,15,多云,东南风,1级,19.5,9
2019-07-01,19,15,小雨,西南风,1级,17.0,4
2019-07-02,27,18,阴,西南风,3级,22.5,9
2019-07-03,25,17,中雨,西北风,3级,21.0,8
2019-07-04,29,20,多云,东南风,1级,24.5,9
2019-07-05,31,21,多云,西南风,1级,26.0,10
2019-07-06,30,20,多云,东南风,2级,25.0,10
2019-07-07,30,18,晴,西北风,1级,24.0,12
2019-07-08,30,20,多云,东北风,1级,25.0,10
2019-07-09,31,18,晴,东北风,1级,24.5,13
2019-07-10,28,19,多云,东北风,1级,23.5,9
2019-07-11,26,20,阴,西南风,1级,23.0,6
2019-07-12,24,19,暴雨,西南风,1级,21.5,5
2019-07-13,28,18,阴,东南风,1级,23.0,10
2019-07-14,27,19,阴,西南风,2级,23.0,8
2019-07-15,27,19,阴,东南风,2级,23.0,8
2019-07-16,27,21,阴,东北风,1级,24.0,6
2019-07-17,26,20,阴,东南风,1级,23.0,6
2019-07-18,28,21,阴,东北风,1级,24.5,7
2019-07-19,30,23,阴,东南风,1级,26.5,7
2019-07-20,32,23,阴,东南风,1级,27.5,9
2019-07-21,25,19,大雨,东南风,1级,22.0,6
2019-07-22,29,22,阴,东南风,微风,25.5,7
2019-07-23,26,22,阴,西南风,1级,24.0,4
2019-07-24,30,22,阴,南风,微风,26.0,8
2019-07-25,26,20,阴,西南风,2级,23.0,6
2019-07-26,29,21,阴,东南风,1级,25.0,8
2019-07-27,31,24,阴,西南风,1级,27.5,7
2019-07-28,32,24,多云,西南风,2级,28.0,8
2019-07-29,29,24,多云,东南风,2级,26.5,5
2019-07-30,28,22,中雨,东南风,1级,25.0,6
2019-07-31,31,24,多云,西南风,3级,27.5,7
2019-06-01,17,15,晴,南风,微风,16.0,2
2019-06-02,22,15,阴,东北风,3级,18.5,7
2019-06-03,22,15,阴,西北风,1级,18.5,7
2019-06-04,22,14,阴,东南风,微风,18.0,8
2019-06-05,24,13,阴,西南风,1级,18.5,11
2019-06-06,28,15,晴,东南风,1级,21.5,13
2019-06-07,30,18,多云,东南风,3级,24.0,12
2019-06-08,25,15,阴,东南风,1级,20.0,10
2019-06-09,23,14,阴,东南风,1级,18.5,9
2019-06-10,23,14,阴,东南风,1级,18.5,9
2019-06-11,24,15,阴,东北风,1级,19.5,9
2019-06-12,27,17,多云,东南风,1级,22.0,10
2019-06-13,21,16,小雨,西南风,3级,18.5,5
2019-06-14,22,14,小雨,东南风,1级,18.0,8
2019-06-15,18,9,小雨,东北风,4级,13.5,9
