日期,最高气温,最低气温,天气,风向,风力,平均气温,温差
2019-09-01,19,9,阴,西南风,5级,14.0,10
2019-09-02,20,8,阴,东北风,4级,14.0,12
2019-09-03,20,10,小雨,东南风,3级,15.0,10
2019-09-04,22,9,阴,东南风,4级,15.5,13
2019-09-05,20,9,阴,东南风,3级,14.5,11
2019-09-06,21,10,阴,东南风,4级,15.5,11
2019-09-07,21,9,阴,东南风,3级,15.0,12
2019-09-08,20,8,阴,东北风,4级,14.0,12
2019-09-09,21,8,阴,东南风,4级,14.5,13
2019-09-10,21,7,阴,东北风,5级,14.0,14
2019-09-11,23,8,阴,东南风,3级,15.5,15
2019-09-12,18,8,阴,东南风,3级,13.0,10
2019-09-13,19,8,阴,东南风,4级,13.5,11
2019-09-14,20,8,阴,东南风,3级,14.0,12
2019-09-15,19,7,阴,东南风,3级,13.0,12
2019-09-16,19,5,阴,东南风,4级,12.0,14
2019-09-17,16,5,多云,东南风,2级,10.5,11
2019-09-18,14,3,阴,东南风,3级,8.5,11
2019-09-19,17,4,多云,东南风,5级,10.5,13
2019-09-20,17,5,多云,东南风,3级,11.0,12
2019-09-21,16,5,阴,东南风,3级,10.5,11
2019-09-22,14,4,多云,东南风,2级,9.0,10
2019-09-23,18,5,阴,东北风,5级,11.5,13
2019-09-24,18,3,晴,东南风,4级,10.5,15
2019-09-25,19,4,多云,东南风,4级,11.5,15
2019-09-26,16,5,多云,东北风,3级,10.5,11
2019-09-27,17,5,多云,东南风,3级,11.0,12
2019-09-28,17,5,多云,东南风,4级,11.0,12
2019-09-29,16,4,多云,东南风,2级,10.0,12
2019-09-30,15,4,多云,东南风,2级,9.5,11
2019-08-01,18,10,小雨,西南风,3级,14.0,8
2019-08-02,20,10,阴,东南风,3级,15.0,10
2019-08-03,19,10,阴,西南风,4级,14.5,9
2019-08-04,23,11,多云,东南风,4级,17.0,12
2019-08-05,22,11,阴,东南风,3级,16.5,11
2019-08-06,13,10,小雨,东南风,3级,11.5,3
2019-08-07,19,11,阴,西南风,4级,15.0,8
2019-08-08,20,9,阴,东南风,2级,14.5,11
2019-08-09,19,11,小雨,东南风,3级,15.0,8
2019-08-10,22,11,阴,东南风,3级,16.5,11
2019-08-11,22,10,阴,东北风,2级,16.0,12
2019-08-12,20,11,阴,东南风,3级,15.5,9
2019-08-13,19,9,小雨,东南风,4级,14.0,10
2019-08-14,21,10,阴,东南风,4级,15.5,11
2019-08-15,21,10,阴,东南风,3级,15.5,11
2019-08-16,20,7,阴,东南风,4级,13.5,13
2019-08-17,19,8,阴,东北风,4级,13.5,11
2019-08-18,19,8,阴,东北风,3级,13.5,11
2019-08-19,18,7,阴,东南风,3级,12.5,11
2019-08-20,20,7,阴,东南风,4级,13.5,13
2019-08-21,17,6,阴,东南风,4级,11.5,11
2019-08-22,18,8,阴,东南风,4级,13.0,10
2019-08-23,21,8,阴,东南风,4级,14.5,13
2019-08-24,20,9,阴,东北风,5级,14.5,11
2019-08-25,20,8,阴,东南风,5级,14.0,12
2019-08-26,16,6,中雨,西南风,4级,11.0,10
2019-08-27,19,7,多云,东南风,3级,13.0,12
2019-08-28,21,6,阴,西南风,5级,13.5,15
2019-08-29,22,8,阴,西南风,3级,15.0,14
2019-08-30,20,10,阴,东南风,4级,15.0,10
2019-08-31,20,10,阴,东南风,4级,15.0,10
2019-07-01,18,8,阴,东北风,4级,13.0,10
2019-07-02,20,7,多云,东南风,3级,13.5,13
2019-07-03,23,10,阴,西南风,3级,16.5,13
2019-07-04,23,9,阴,西南风,3级,16.0,14
2019-07-05,21,8,小雨,西南风,2级,14.5,13
2019-07-06,16,10,阴,东南风,4级,13.0,6
2019-07-07,22,11,小雨,东北风,3级,16.5,11
2019-07-08,20,9,多云,西南风,3级,14.5,11
2019-07-09,18,12,阴,东南风,3级,15.0,6
2019-07-10,21,12,阴,东南风,3级,16.5,9
2019-07-11,23,12,多云,东南风,4级,17.5,11
2019-07-12,22,11,阴,东南风,3级,16.5,11
2019-07-13,19,10,阴,东南风,3级,14.5,9
2019-07-14,20,9,阴,东南风,5级,14.5,11
2019-07-15,17,9,小雨,东南风,4级,13.0,8
2019-07-16,18,9,多云,东南风,3级,13.5,9
2019-07-17,14,8,阴,东南风,3级,11.0,6
2019-07-18,16,5,阴,东南风,4级,10.5,11
2019-07-19,18,9,多云,东南风,5级,13.5,9
2019-07-20,20,9,多云,东南风,3级,14.5,11
2019-07-21,22,10,阴,东南风,4级,16.0,12
2019-07-22,22,9,阴,东南风,5级,15.5,13
2019-07-23,23,10,阴,东南风,3级,16.5,13
2019-07-24,24,10,阴,东南风,4级,17.0,14
2019-07-25,21,11,阴,东北风,4级,16.0,10
2019-07-26,22,11,阴,东南风,5级,16.5,11
2019-07-27,21,7,阴,东北风,4级,14.0,14
2019-07-28,23,7,阴,东南风,5级,15.0,16
2019-07-29,21,10,小雨,东南风,5级,15.5,11
2019-07-30,20,12,小雨,东南风,4级,16.0,8
2019-07-31,19,11,阴,东南风,4级,15.0,8
2019-06-01,18,4,多云,东北风,5级,11.0,14
2019-06-02,17,4,阴,东南风,4级,10.5,13
2019-06-03,18,4,阴,东南风,3级,11.0,14
2019-06-04,19,5,阴,西南风,5级,12.0,14
2019-06-05,19,4,多云,西南风,3级,11.5,15
2019-06-06,17,5,阴,西南风,4级,11.0,12
2019-06-07,15,4,多云,西南风,4级,9.5,11
2019-06-08,17,4,阴,东南风,3级,10.5,13
2019-06-09,18,4,阴,东南风,4级,11.0,14
2019-06-10,18,4,多云,东南风,5级,11.0,14
2019-06-11,19,5,阴,东南风,4级,12.0,14
2019-06-12,18,5,阴,东南风,3级,11.5,13
2019-06-13,17,5,阴,东南风,3级,11.0,12
2019-06-14,19,4,阴,东南风,3级,11.5,15
2019-06-15,18,4,阴,东南风,5级,11.0,14
2019-06-16,16,4,阴,东南风,4级,10.0,12
2019-06-17,17,5,多云,东南风,4级,11.0,12
2019-06-18,13,4,阴,东北风,5级,8.5,9
2019-06-19,16,5,多云,东南风,4级,10.5,11
2019-06-20,18,8,阴,西南风,4级,13.0,10
2019-06-21,13,7,阴,东南风,3级,10.0,6
2019-06-22,16,7,阴,西南风,4级,11.5,9
2019-06-23,16,4,阴,东北风,5级,10.0,12
2019-06-24,17,8,阴,东北风,6级,12.5,9
2019-06-25,18,7,阴,西南风,4级,12.5,11
2019-06-26,17,9,小雨,西南风,3级,13.0,8
2019-06-27,19,6,多云,东南风,4级,12.5,13
