日期,最高气温,最低气温,天气,风向,风力,平均气温,温差
2019-09-01,20,16,阴,东北风,2级,18.0,4
2019-09-02,20,16,阴,东北风,1级,18.0,4
2019-09-03,22,16,阴,南风,微风,19.0,6
2019-09-04,24,16,雾,南风,微风,20.0,8
2019-09-05,24,17,多云,北风,微风,20.5,7
2019-09-06,25,18,阴,东南风,3级,21.5,7
2019-09-07,25,17,阴,东北风,2级,21.0,8
2019-09-08,23,18,阴,西南风,1级,20.5,5
2019-09-09,21,18,阴,东北风,1级,19.5,3
2019-09-10,20,18,阴,东北风,2级,19.0,2
2019-09-11,25,18,阴,东南风,4级,21.5,7
2019-09-12,25,17,多云,东北风,1级,21.0,8
2019-09-13,28,18,多云,东北风,1级,23.0,10
2019-09-14,28,17,晴,东南风,2级,22.5,11
2019-09-15,27,18,多云,西南风,2级,22.5,9
2019-09-16,22,17,阴,东南风,2级,19.5,5
2019-09-17,26,17,多云,东北风,1级,21.5,9
2019-09-18,23,15,多云,东北风,2级,19.0,8
2019-09-19,21,15,阴,东北风,1级,18.0,6
2019-09-20,15,11,阴,东北风,2级,13.0,4
2019-09-21,20,11,多云,东北风,1级,15.5,9
2019-09-22,20,11,多云,东北风,1级,15.5,9
2019-09-23,20,11,多云,西南风,1级,15.5,9
2019-09-24,20,10,阴,西南风,1级,15.0,10
2019-09-25,16,10,阴,西南风,1级,13.0,6
2019-09-26,20,10,雾,南风,微风,15.0,10
2019-09-27,21,11,雾,西南风,3级,16.0,10
2019-09-28,22,11,多云,东北风,2级,16.5,11
2019-09-29,24,13,多云,东北风,2级,18.5,11
2019-09-30,22,14,多云,东南风,3级,18.0,8
2019-08-01,26,18,雾,东北风,2级,22.0,8
2019-08-02,26,18,多云,东北风,3级,22.0,8
2019-08-03,23,18,小雨,东北风,2级,20.5,5
2019-08-04,23,18,小雨,东北风,1级,20.5,5
2019-08-05,24,17,雾,东南风,1级,20.5,7
2019-08-06,26,18,小雨,东北风,1级,22.0,8
2019-08-07,27,18,阴,东北风,1级,22.5,9
2019-08-08,27,19,雾,东北风,2级,23.0,8
2019-08-09,26,18,阴,东南风,2级,22.0,8
2019-08-10,27,18,多云,南风,微风,22.5,9
2019-08-11,29,17,阴,西南风,2级,23.0,12
2019-08-12,29,17,晴,西南风,2级,23.0,12
2019-08-13,29,18,晴,东北风,1级,23.5,11
2019-08-14,27,18,阴,西南风,微风,22.5,9
2019-08-15,28,17,雾,西南风,1级,22.5,11
2019-08-16,29,17,晴,东南风,2级,23.0,12
2019-08-17,28,17,晴,东北风,3级,22.5,11
2019-08-18,27,19,多云,东北风,3级,23.0,8
2019-08-19,27,19,阴,东北风,3级,23.0,8
2019-08-20,28,18,多云,西南风,1级,23.0,10
2019-08-21,27,18,阴,东南风,2级,22.5,9
2019-08-22,26,17,阴,东北风,1级,21.5,9
2019-08-23,25,15,雾,西南风,1级,20.0,10
2019-08-24,28,16,雾,东南风,2级,22.0,12
2019-08-25,28,17,晴,西南风,1级,22.5,11
2019-08-26,29,17,晴,东北风,2级,23.0,12
2019-08-27,21,18,中雨,东北风,2级,19.5,3
2019-08-28,25,18,阴,东北风,2级,21.5,7
2019-08-29,26,18,阴,东北风,3级,22.0,8
2019-08-30,17,16,阴,东南风,1级,16.5,1
2019-08-31,17,15,阴,东北风,2级,16.0,2
2019-07-01,26,18,多云,东北风,3级,22.0,8
2019-07-02,27,18,多云,东北风,3级,22.5,9
2019-07-03,26,18,多云,东北风,2级,22.0,8
2019-07-04,22,18,阴,东北风,2级,20.0,4
2019-07-05,20,17,小雨,东北风,2级,18.5,3
2019-07-06,24,18,小雨,东北风,2级,21.0,6
2019-07-07,25,18,雷阵雨,东北风,2级,21.5,7
2019-07-08,26,18,雾,东北风,3级,22.0,8
2019-07-09,23,17,阴,西南风,2级,20.0,6
2019-07-10,21,17,小雨,东北风,1级,19.0,4
2019-07-11,20,17,小雨,东北风,1级,18.5,3
2019-07-12,24,18,小雨,东北风,1级,21.0,6
2019-07-13,20,17,小雨,东北风,1级,18.5,3
2019-07-14,20,17,阴,东北风,2级,18.5,3
2019-07-15,24,19,阴,东北风,1级,21.5,5
2019-07-16,27,19,阴,东南风,2级,23.0,8
2019-07-17,27,19,阴,东南风,1级,23.0,8
2019-07-18,28,20,阴,东北风,2级,24.0,8
2019-07-19,23,18,大雨,东北风,2级,20.5,5
2019-07-20,24,19,大雨,东北风,1级,21.5,5
2019-07-21,27,18,雾,东南风,2级,22.5,9
2019-07-22,26,19,阴,东北风,1级,22.5,7
2019-07-23,24,18,小雨,北风,微风,21.0,6
2019-07-24,24,19,中雨,东北风,2级,21.5,5
2019-07-25,24,19,小雨,东南风,1级,21.5,5
2019-07-26,27,19,阴,西南风,1级,23.0,8
2019-07-27,28,19,阴,西北风,1级,23.5,9
2019-07-28,28,20,阴,东南风,2级,24.0,8
2019-07-29,28,19,阴,东北风,2级,23.5,9
2019-07-30,25,18,阴,东北风,2级,21.5,7
2019-07-31,25,18,阴,东北风,1级,21.5,7
2019-06-01,20,14,阴,北风,微风,17.0,6
2019-06-02,25,14,多云,西南风,1级,19.5,11
2019-06-03,29,16,多云,东南风,3级,22.5,13
2019-06-04,28,18,多云,东南风,3级,23.0,10
2019-06-05,29,18,阴,东北风,1级,23.5,11
2019-06-06,21,16,阴,东北风,3级,18.5,5
2019-06-07,29,19,阴,东北风,2级,24.0,10
2019-06-08,27,19,阴,西南风,2级,23.0,8
2019-06-09,27,19,雾,东北风,3级,23.0,8
2019-06-10,23,17,阴,东北风,3级,20.0,6
2019-06-11,25,17,阴,东北风,2级,21.0,8
2019-06-12,22,18,雷阵雨,东北风,3级,20.0,4
2019-06-13,26,18,阴,东北风,4级,22.0,8
2019-06-14,24,19,阴,东北风,3级,21.5,5
2019-06-15,28,19,阴,东北风,2级,23.5,9
2019-06-16,19,18,小雨,东北风,2级,18.5,1
2019-06-17,23,17,阵雨,东南风,2级,20.0,6
2019-06-18,22,18,小雨,东北风,2级,20.0,4
2019-06-19,27,19,小雨,西南风,1级,23.0,8
2019-06-20,31,20,多云,西南风,3级,25.5,11
2019-06-21,28,21,阴,东北风,2级,24.5,7
2019-06-22,28,19,阴,东北风,3级,23.5,9
2019-06-23,21,18,小雨,东北风,1级,19.5,3
2019-06-24,20,18,小雨,东北风,2级,19.0,2
2019-06-25,21,18,小雨,东北风,2级,19.5,3
2019-06-26,24,18,阵雨,东南风,2级,21.0,6
2019-06-27,27,20,多云,东南风,1级,23.5,7
2019-06-28,28,18,阴,东北风,3级,23.0,10
