日期,最高气温,最低气温,天气,风向,风力,平均气温,温差
2019-09-01,29,20,阴,东南风,1级,24.5,9
2019-09-02,29,19,多云,西北风,2级,24.0,10
2019-09-03,28,20,小雨,东北风,1级,24.0,8
2019-09-04,31,20,阴,东南风,2级,25.5,11
2019-09-05,28,21,阴,东南风,2级,24.5,7
2019-09-06,30,21,阴,东南风,2级,25.5,9
2019-09-07,30,21,阴,东北风,1级,25.5,9
2019-09-08,30,21,阴,东南风,1级,25.5,9
2019-09-09,28,21,阴,东南风,1级,24.5,7
2019-09-10,26,21,阴,东南风,1级,23.5,5
2019-09-11,25,20,阴,西南风,2级,22.5,5
2019-09-12,26,21,阴,东南风,1级,23.5,5
2019-09-13,28,21,阴,西南风,1级,24.5,7
2019-09-14,30,19,阴,东南风,1级,24.5,11
2019-09-15,28,17,多云,西北风,1级,22.5,11
2019-09-16,31,16,阴,东南风,1级,23.5,15
2019-09-17,32,19,多云,东南风,1级,25.5,13
2019-09-18,29,20,多云,西北风,1级,24.5,9
2019-09-19,27,19,阴,东南风,1级,23.0,8
2019-09-20,29,20,阴,东南风,1级,24.5,9
2019-09-21,22,15,阴,西北风,2级,18.5,7
2019-09-22,26,13,阴,西北风,3级,19.5,13
2019-09-23,27,15,阴,东北风,1级,21.0,12
2019-09-24,27,16,多云,西北风,1级,21.5,11
2019-09-25,20,17,阴,西北风,2级,18.5,3
2019-09-26,24,16,阴,东南风,1级,20.0,8
2019-09-27,26,15,多云,西北风,1级,20.5,11
2019-09-28,28,15,多云,东北风,1级,21.5,13
2019-09-29,29,15,多云,东南风,1级,22.0,14
2019-09-30,29,16,阴,东北风,1级,22.5,13
2019-08-01,32,20,阴,西南风,1级,26.0,12
2019-08-02,34,20,多云,东南风,2级,27.0,14
2019-08-03,34,21,阴,西北风,3级,27.5,13
2019-08-04,29,20,阴,西北风,2级,24.5,9
2019-08-05,28,20,小雨,东南风,1级,24.0,8
2019-08-06,31,21,小雨,西南风,2级,26.0,10
2019-08-07,30,20,阴,东南风,1级,25.0,10
2019-08-08,31,21,雾,东南风,1级,26.0,10
2019-08-09,30,21,小雨,西北风,2级,25.5,9
2019-08-10,30,20,小雨,东南风,1级,25.0,10
2019-08-11,34,20,多云,西南风,1级,27.0,14
2019-08-12,34,21,阴,西南风,2级,27.5,13
2019-08-13,33,21,多云,东南风,2级,27.0,12
2019-08-14,33,21,阴,东北风,1级,27.0,12
2019-08-15,31,21,阴,东南风,1级,26.0,10
2019-08-16,34,20,多云,东南风,1级,27.0,14
2019-08-17,34,21,多云,东南风,4级,27.5,13
