日期,最高气温,最低气温,天气,风向,风力,平均气温,温差
2019-09-01,31,20,阴,东南风,2级,25.5,11
2019-09-02,28,21,阴,东南风,2级,24.5,7
2019-09-03,30,19,小雨,东南风,1级,24.5,11
2019-09-04,32,22,阴,北风,2级,27.0,10
2019-09-05,31,21,阴,西北风,2级,26.0,10
2019-09-06,31,21,阴,东北风,2级,26.0,10
2019-09-07,31,22,阴,东北风,1级,26.5,9
2019-09-08,28,23,阴,东北风,2级,25.5,5
2019-09-09,30,23,阴,东北风,1级,26.5,7
2019-09-10,24,22,阴,北风,微风,23.0,2
2019-09-11,28,21,阴,西北风,3级,24.5,7
2019-09-12,30,21,阴,东北风,3级,25.5,9
2019-09-13,32,22,阴,西南风,3级,27.0,10
2019-09-14,31,21,阴,西南风,1级,26.0,10
2019-09-15,30,19,多云,东南风,1级,24.5,11
2019-09-16,31,18,晴,东北风,2级,24.5,13
2019-09-17,31,20,多云,东北风,微风,25.5,11
2019-09-18,32,22,多云,西北风,2级,27.0,10
2019-09-19,28,21,阴,西南风,1级,24.5,7
2019-09-20,27,21,阴,西北风,2级,24.0,6
2019-09-21,22,15,阴,东南风,2级,18.5,7
2019-09-22,28,14,阴,东南风,2级,21.0,14
2019-09-23,28,17,多云,西北风,3级,22.5,11
2019-09-24,27,17,阴,东南风,2级,22.0,10
2019-09-25,25,18,阴,东北风,1级,21.5,7
2019-09-26,24,18,阴,东北风,2级,21.0,6
2019-09-27,28,17,多云,东南风,2级,22.5,11
2019-09-28,28,16,多云,东南风,2级,22.0,12
2019-09-29,30,17,多云,东南风,1级,23.5,13
2019-09-30,30,18,阴,东北风,1级,24.0,12
2019-08-01,32,21,阴,东北风,1级,26.5,11
2019-08-02,32,21,多云,东南风,2级,26.5,11
2019-08-03,33,22,阴,东南风,2级,27.5,11
2019-08-04,28,22,小雨,东北风,1级,25.0,6
2019-08-05,26,22,大雨,东南风,1级,24.0,4
2019-08-06,31,22,小雨,东北风,2级,26.5,9
2019-08-07,32,22,阴,东南风,2级,27.0,10
2019-08-08,29,22,小雨,东南风,1级,25.5,7
2019-08-09,30,22,小雨,东北风,2级,26.0,8
2019-08-10,29,22,多云,东北风,2级,25.5,7
2019-08-11,30,22,小雨,西南风,2级,26.0,8
2019-08-12,31,22,小雨,西南风,2级,26.5,9
2019-08-13,30,21,中雨,西南风,2级,25.5,9
2019-08-14,32,22,阴,东北风,7级,27.0,10
2019-08-15,30,22,阴,东南风,2级,26.0,8
2019-08-16,31,22,阴,东南风,2级,26.5,9
2019-08-17,32,22,阴,西北风,2级,27.0,10
2019-08-18,31,22,小雨,东南风,1级,26.5,9
2019-08-19,32,22,阴,东南风,2级,27.0,10
2019-08-20,32,22,阴,西北风,2级,27.0,10
2019-08-21,31,21,中雨,东南风,1级,26.0,10
2019-08-22,30,21,阴,西南风,1级,25.5,9
2019-08-23,26,20,小雨,东南风,2级,23.0,6
2019-08-24,30,21,多云,西南风,1级,25.5,9
2019-08-25,32,20,多云,东南风,2级,26.0,12
2019-08-26,33,22,多云,东北风,1级,27.5,11
2019-08-27,27,22,大雨,西南风,2级,24.5,5
2019-08-28,28,21,阴,东南风,1级,24.5,7
2019-08-29,33,22,多云,东南风,2级,27.5,11
2019-08-30,31,21,阴,东北风,2级,26.0,10
2019-08-31,29,21,阴,北风,1级,25.0,8
2019-07-01,27,22,小雨,东南风,4级,24.5,5
2019-07-02,31,21,阴,东南风,2级,26.0,10
2019-07-03,33,22,小雨,东北风,2级,27.5,11
2019-07-04,34,23,阴,西南风,2级,28.5,11
2019-07-05,28,22,中雨,西北风,2级,25.0,6
2019-07-06,28,22,中雨,东北风,2级,25.0,6
2019-07-07,31,23,阵雨,东南风,2级,27.0,8
2019-07-08,30,22,阴,西南风,1级,26.0,8
2019-07-09,29,22,阴,东北风,1级,25.5,7
2019-07-10,28,22,小雨,西北风,2级,25.0,6
2019-07-11,30,22,阴,西南风,2级,26.0,8
2019-07-12,30,22,阴,西南风,3级,26.0,8
2019-07-13,29,22,阴,东北风,2级,25.5,7
2019-07-14,30,22,小雨,东北风,2级,26.0,8
2019-07-15,30,21,阴,东南风,2级,25.5,9
2019-07-16,31,22,阴,东南风,1级,26.5,9
2019-07-17,32,22,小雨,西北风,2级,27.0,10
2019-07-18,34,22,阴,西南风,4级,28.0,12
2019-07-19,34,23,阴,西北风,2级,28.5,11
2019-07-20,30,22,阴,东北风,1级,26.0,8
2019-07-21,31,22,中雨,东南风,2级,26.5,9
2019-07-22,27,22,小雨,东南风,3级,24.5,5
2019-07-23,26,22,小雨,东北风,1级,24.0,4
2019-07-24,27,22,阴,东南风,1级,24.5,5
2019-07-25,26,22,大雨,东北风,1级,24.0,4
2019-07-26,28,21,小雨,西南风,2级,24.5,7
2019-07-27,28,21,阴,西北风,1级,24.5,7
2019-07-28,32,22,阴,东南风,2级,27.0,10
2019-07-29,29,22,阴,东南风,1级,25.5,7
2019-07-30,29,22,阴,东南风,1级,25.5,7
2019-07-31,31,20,阴,西南风,2级,25.5,11
2019-06-01,33,20,阴,东南风,1级,26.5,13
2019-06-02,31,19,阴,东南风,2级,25.0,12
2019-06-03,32,20,阴,西北风,2级,26.0,12
2019-06-04,31,20,阴,西南风,2级,25.5,11
2019-06-05,33,21,多云,西南风,2级,27.0,12
2019-06-06,33,21,阴,东南风,3级,27.0,12
2019-06-07,34,21,阴,西北风,3级,27.5,13
2019-06-08,32,21,阴,东南风,2级,26.5,11
2019-06-09,34,22,多云,东北风,4级,28.0,12
2019-06-10,34,22,阴,东北风,2级,28.0,12
2019-06-11,30,22,阴,东南风,2级,26.0,8
2019-06-12,32,22,小雨,东南风,2级,27.0,10
2019-06-13,32,22,小雨,东南风,3级,27.0,10
2019-06-14,32,22,阴,东南风,2级,27.0,10
2019-06-15,30,23,阴,东南风,2级,26.5,7
