日期,最高气温,最低气温,天气,风向,风力,平均气温,温差
2019-09-01,28,15,晴,西南风,2级,21.5,13
2019-09-02,29,15,晴,东北风,2级,22.0,14
2019-09-03,30,16,晴,东北风,2级,23.0,14
2019-09-04,30,18,阴,东北风,1级,24.0,12
2019-09-05,27,18,阴,东北风,2级,22.5,9
2019-09-06,26,19,阴,东北风,2级,22.5,7
2019-09-07,22,19,阴,西北风,2级,20.5,3
2019-09-08,27,15,阴,东北风,2级,21.0,12
2019-09-09,28,15,多云,东北风,2级,21.5,13
2019-09-10,21,10,阴,东北风,2级,15.5,11
2019-09-11,24,11,晴,东北风,2级,17.5,13
2019-09-12,23,15,阴,东南风,1级,19.0,8
2019-09-13,20,13,阴,西南风,2级,16.5,7
2019-09-14,24,9,多云,东北风,2级,16.5,15
2019-09-15,25,11,多云,东北风,1级,18.0,14
2019-09-16,21,5,晴,东北风,2级,13.0,16
2019-09-17,23,5,雾,东北风,4级,14.0,18
2019-09-18,17,4,晴,东北风,2级,10.5,13
2019-09-19,23,9,晴,东北风,2级,16.0,14
2019-09-20,25,9,多云,东北风,1级,17.0,16
2019-09-21,24,8,晴,东北风,2级,16.0,16
2019-09-22,23,7,晴,东北风,2级,15.0,16
2019-09-23,24,6,晴,东北风,2级,15.0,18
2019-09-24,23,6,晴,东北风,2级,14.5,17
2019-09-25,28,9,晴,东北风,2级,18.5,19
2019-09-26,29,10,晴,东北风,2级,19.5,19
2019-09-27,28,9,晴,东北风,2级,18.5,19
2019-09-28,26,11,晴,西南风,2级,18.5,15
2019-09-29,23,12,阴,东北风,2级,17.5,11
2019-09-30,28,13,晴,东南风,1级,20.5,15
2019-08-01,31,21,小雨,东北风,3级,26.0,10
2019-08-02,30,21,大雨,东北风,2级,25.5,9
2019-08-03,27,22,中雨,西南风,3级,24.5,5
2019-08-04,28,20,阴,东北风,1级,24.0,8
2019-08-05,30,22,阴,东北风,2级,26.0,8
2019-08-06,31,23,阴,东北风,2级,27.0,8
2019-08-07,31,22,阴,东南风,2级,26.5,9
2019-08-08,26,21,小雨,东北风,1级,23.5,5
2019-08-09,31,22,小雨,东北风,1级,26.5,9
2019-08-10,30,22,阴,西南风,2级,26.0,8
2019-08-11,22,21,大雨,东北风,2级,21.5,1
2019-08-12,28,21,小雨,东北风,3级,24.5,7
2019-08-13,30,22,阴,东北风,1级,26.0,8
2019-08-14,24,21,小雨,西南风,3级,22.5,3
2019-08-15,25,21,中雨,东北风,1级,23.0,4
2019-08-16,27,19,小雨,西北风,5级,23.0,8
2019-08-17,23,16,小雨,西南风,1级,19.5,7
2019-08-18,26,17,阴,东北风,2级,21.5,9
2019-08-19,29,16,多云,东北风,2级,22.5,13
2019-08-20,26,20,阴,东南风,1级,23.0,6
