日期,最高气温,最低气温,天气,风向,风力,平均气温,温差
2019-09-01,26,13,多云,西北风,4级,19.5,13
2019-09-02,24,11,多云,西北风,1级,17.5,13
2019-09-03,27,15,晴,西南风,1级,21.0,12
2019-09-04,29,15,多云,西北风,1级,22.0,14
2019-09-05,28,19,阴,东南风,1级,23.5,9
2019-09-06,25,16,阴,西北风,2级,20.5,9
2019-09-07,24,20,阴,东北风,4级,22.0,4
2019-09-08,27,12,阴,西北风,3级,19.5,15
2019-09-09,22,9,多云,西北风,1级,15.5,13
2019-09-10,18,7,阴,西北风,1级,12.5,11
2019-09-11,22,6,晴,东南风,1级,14.0,16
2019-09-12,23,12,阴,东南风,2级,17.5,11
2019-09-13,21,8,阴,西北风,4级,14.5,13
2019-09-14,21,9,晴,东南风,1级,15.0,12
2019-09-15,23,6,多云,西北风,3级,14.5,17
2019-09-16,16,4,晴,西北风,1级,10.0,12
2019-09-17,21,6,多云,西北风,5级,13.5,15
2019-09-18,13,4,多云,西北风,2级,8.5,9
2019-09-19,15,2,晴,西南风,2级,8.5,13
2019-09-20,19,5,多云,东北风,1级,12.0,14
2019-09-21,17,2,阴,东北风,1级,9.5,15
2019-09-22,22,5,晴,东北风,1级,13.5,17
2019-09-23,23,4,晴,西北风,3级,13.5,19
2019-09-24,20,3,晴,西南风,2级,11.5,17
2019-09-25,23,9,晴,东北风,1级,16.0,14
2019-09-26,23,9,晴,东南风,1级,16.0,14
2019-09-27,29,12,晴,西北风,1级,20.5,17
2019-09-28,27,12,晴,南风,微风,19.5,15
2019-09-29,19,4,晴,西北风,2级,11.5,15
2019-09-30,21,13,多云,东北风,2级,17.0,8
2019-08-01,28,19,小雨,西北风,2级,23.5,9
2019-08-02,28,19,多云,北风,1级,23.5,9
2019-08-03,28,19,多云,西南风,2级,23.5,9
2019-08-04,30,20,晴,西南风,1级,25.0,10
2019-08-05,31,20,多云,北风,微风,25.5,11
2019-08-06,26,21,小雨,东南风,4级,23.5,5
2019-08-07,24,19,中雨,东南风,4级,21.5,5
2019-08-08,20,18,小雨,东南风,5级,19.0,2
2019-08-09,20,17,小雨,东南风,2级,18.5,3
2019-08-10,19,18,小雨,东南风,3级,18.5,1
2019-08-11,19,17,小雨,东北风,1级,18.0,2
2019-08-12,24,18,小雨,东北风,3级,21.0,6
2019-08-13,25,20,阴,东南风,3级,22.5,5
2019-08-14,23,20,中雨,东南风,1级,21.5,3
2019-08-15,22,19,中雨,东南风,2级,20.5,3
2019-08-16,21,18,中雨,东南风,1级,19.5,3
2019-08-17,20,16,小雨,西南风,3级,18.0,4
2019-08-18,22,15,小雨,西南风,1级,18.5,7
2019-08-19,23,13,阴,西北风,1级,18.0,10
2019-08-20,23,17,多云,东南风,2级,20.0,6
2019-08-21,23,16,中雨,东南风,2级,19.5,7
2019-08-22,22,15,小雨,东南风,2级,18.5,7
2019-08-23,23,14,小雨,东南风,1级,18.5,9
2019-08-24,22,14,中雨,东北风,1级,18.0,8
2019-08-25,26,15,阴,东北风,1级,20.5,11
2019-08-26,25,19,阴,东南风,2级,22.0,6
2019-08-27,26,15,阴,东北风,1级,20.5,11
2019-08-28,21,15,小雨,西北风,1级,18.0,6
2019-08-29,22,16,小雨,西北风,2级,19.0,6
2019-08-30,22,13,阴,西北风,1级,17.5,9
2019-08-31,25,14,晴,西北风,微风,19.5,11
2019-07-01,23,14,小雨,西南风,1级,18.5,9
2019-07-02,26,16,阴,西南风,2级,21.0,10
2019-07-03,23,14,雷阵雨,东南风,1级,18.5,9
2019-07-04,26,18,阴,东北风,3级,22.0,8
2019-07-05,23,19,阴,东南风,3级,21.0,4
2019-07-06,27,19,小雨,东南风,3级,23.0,8
2019-07-07,30,20,多云,东北风,2级,25.0,10
2019-07-08,30,20,多云,东北风,2级,25.0,10
2019-07-09,30,21,多云,东南风,3级,25.5,9
2019-07-10,28,17,阴,东北风,2级,22.5,11
2019-07-11,27,17,多云,东北风,2级,22.0,10
2019-07-12,25,15,阴,东北风,1级,20.0,10
2019-07-13,27,17,多云,东北风,3级,22.0,10
2019-07-14,24,17,阴,东北风,3级,20.5,7
2019-07-15,27,18,小雨,东南风,2级,22.5,9
2019-07-16,27,20,阴,东北风,3级,23.5,7
2019-07-17,27,19,中雨,西南风,2级,23.0,8
2019-07-18,28,20,小雨,西南风,2级,24.0,8
2019-07-19,30,20,阴,东南风,2级,25.0,10
2019-07-20,29,22,阴,东南风,1级,25.5,7
2019-07-21,27,20,中雨,东北风,2级,23.5,7
2019-07-22,28,19,小雨,西北风,2级,23.5,9
2019-07-23,27,20,大雨,西北风,1级,23.5,7
2019-07-24,28,19,中雨,东南风,1级,23.5,9
2019-07-25,25,16,多云,东北风,1级,20.5,9
2019-07-26,26,20,小雨,西北风,1级,23.0,6
2019-07-27,28,23,阴,东北风,2级,25.5,5
2019-07-28,32,24,阴,东南风,1级,28.0,8
2019-07-29,28,21,阴,东南风,1级,24.5,7
2019-07-30,23,19,暴雨,西南风,2级,21.0,4
2019-07-31,30,20,多云,西北风,1级,25.0,10
2019-06-01,23,12,多云,东南风,3级,17.5,11
2019-06-02,23,8,多云,东北风,1级,15.5,15
2019-06-03,23,13,阴,东北风,2级,18.0,10
2019-06-04,24,13,多云,东北风,2级,18.5,11
2019-06-05,25,13,阴,东南风,2级,19.0,12
2019-06-06,26,13,晴,西北风,2级,19.5,13
2019-06-07,19,15,阴,东南风,1级,17.0,4
2019-06-08,25,15,阴,东北风,2级,20.0,10
2019-06-09,21,15,阴,东南风,2级,18.0,6
2019-06-10,26,14,多云,西南风,2级,20.0,12
2019-06-11,24,16,阴,东南风,3级,20.0,8
2019-06-12,25,18,多云,东南风,3级,21.5,7
2019-06-13,23,14,中雨,西南风,2级,18.5,9
2019-06-14,19,10,小雨,东南风,4级,14.5,9
2019-06-15,18,8,阴,东南风,2级,13.0,10
2019-06-16,21,8,晴,东南风,1级,14.5,13
2019-06-17,24,13,晴,西南风,3级,18.5,11
2019-06-18,22,12,多云,西北风,2级,17.0,10
2019-06-19,24,9,小雨,西北风,4级,16.5,15
2019-06-20,19,12,多云,西北风,1级,15.5,7
2019-06-21,23,14,多云,东北风,2级,18.5,9
2019-06-22,25,16,多云,西北风,1级,20.5,9
2019-06-23,29,16,多云,西北风,1级,22.5,13
2019-06-24,31,21,多云,东南风,2级,26.0,10
2019-06-25,31,20,阴,东南风,2级,25.5,11
2019-06-26,31,18,多云,东南风,2级,24.5,13
2019-06-27,29,14,雷阵雨,东南风,5级,21.5,15
2019-06-28,16,14,小雨,东南风,5级,15.0,2
2019-06-29,19,16,阴,东北风,2级,17.5,3
2019-06-30,18,15,小雨,西北风,2级,16.5,3
2019-05-01,15,2,阴,西北风,2级,8.5,13
2019-05-02,17,0,晴,西北风,2级,8.5,17
2019-05-03,26,9,晴,东北风,1级,17.5,17
2019-05-04,29,6,阴,东南风,3级,17.5,23
2019-05-05,7,2,阴,西北风,4级,4.5,5
2019-05-06,16,3,多云,西风,3级,9.5,13
2019-05-07,21,6,多云,西南风,2级,13.5,15
2019-05-08,21,2,阴,西北风,2级,11.5,19
2019-05-09,21,6,多云,东北风,2级,13.5,15
2019-05-10,20,10,晴,东南风,5级,15.0,10
2019-05-11,21,11,阴,东南风,5级,16.0,10
2019-05-12,26,12,多云,东南风,2级,19.0,14
2019-05-13,23,10,阴,东南风,2级,16.5,13
2019-05-14,19,4,阴,西南风,2级,11.5,15
2019-05-15,28,13,多云,东南风,3级,20.5,15
2019-05-16,23,9,阴,东南风,2级,16.0,14
2019-05-17,22,11,阴,东南风,3级,16.5,11
2019-05-18,19,7,阴,西北风,1级,13.0,12
2019-05-19,15,9,阴,东南风,5级,12.0,6
2019-05-20,14,8,阴,西南风,6级,11.0,6
2019-05-21,14,6,阴,西南风,4级,10.0,8
2019-05-22,12,3,阴,北风,微风,7.5,9
2019-05-23,20,9,晴,西南风,1级,14.5,11
2019-05-24,32,19,多云,西南风,1级,25.5,13
2019-05-25,34,18,多云,西北风,3级,26.0,16
2019-05-26,20,10,阴,东北风,2级,15.0,10
2019-05-27,12,8,阴,西北风,4级,10.0,4
2019-05-28,17,8,阴,西北风,6级,12.5,9
2019-05-29,21,10,阴,东南风,1级,15.5,11
2019-05-30,22,10,阴,西南风,4级,16.0,12
2019-05-31,20,10,阴,北风,1级,15.0,10
2019-04-01,4,-8,阴,西南风,2级,-2.0,12
2019-04-02,7,-8,多云,西南风,3级,-0.5,15
2019-04-03,13,-7,阴,西北风,4级,3.0,20
2019-04-04,7,-2,雨夹雪,西北风,3级,2.5,9
2019-04-05,5,-5,雨夹雪,西南风,4级,0.0,10
2019-04-06,8,-5,多云,西南风,1级,1.5,13
2019-04-07,7,-2,雨夹雪,西北风,1级,2.5,9
2019-04-08,9,-5,阴,南风,微风,2.0,14
2019-04-09,10,-3,晴,西南风,2级,3.5,13
2019-04-10,12,-5,多云,西北风,3级,3.5,17
2019-04-11,13,0,多云,西南风,1级,6.5,13
2019-04-12,17,3,阴,东南风,2级,10.0,14
2019-04-13,12,-2,阴,西北风,1级,5.0,14
2019-04-14,13,2,阴,西南风,2级,7.5,11
2019-04-15,19,4,晴,东南风,2级,11.5,15
2019-04-16,24,6,阴,西南风,6级,15.0,18
2019-04-17,21,1,扬沙,东南风,3级,11.0,20
2019-04-18,6,-4,阴,西北风,4级,1.0,10
2019-04-19,10,-2,晴,西南风,2级,4.0,12
2019-04-20,18,-3,阴,西风,3级,7.5,21
2019-04-21,13,-1,多云,西北风,1级,6.0,14
2019-04-22,21,7,多云,东北风,4级,14.0,14
2019-04-23,20,5,阴,西北风,2级,12.5,15
2019-04-24,13,-1,阴,西北风,3级,6.0,14
2019-04-25,14,-4,阴,东北风,3级,5.0,18
2019-04-26,15,1,晴,西北风,1级,8.0,14
2019-04-27,19,7,多云,东南风,1级,13.0,12
2019-04-28,21,4,阴,西南风,2级,12.5,17
2019-04-29,20,5,晴,东北风,1级,12.5,15
2019-04-30,20,5,阴,西南风,4级,12.5,15
2019-03-01,5,-13,阴,西南风,1级,-4.0,18
2019-03-02,12,-7,阴,西南风,2级,2.5,19
2019-03-03,9,-6,阴,西北风,2级,1.5,15
2019-03-04,11,-5,多云,北风,微风,3.0,16
2019-03-05,9,-7,阴,西北风,2级,1.0,16
2019-03-06,3,-10,阴,西南风,2级,-3.5,13
2019-03-07,7,-12,多云,西南风,1级,-2.5,19
2019-03-08,13,-4,多云,西南风,2级,4.5,17
2019-03-09,5,-12,阴,西北风,2级,-3.5,17
2019-03-10,7,-8,晴,西北风,1级,-0.5,15
2019-03-11,7,-4,阴,东北风,2级,1.5,11
2019-03-12,-1,-9,阴,西南风,4级,-5.0,8
2019-03-13,1,-12,多云,西北风,4级,-5.5,13
2019-03-14,5,-9,多云,西南风,3级,-2.0,14
2019-03-15,4,-9,晴,西北风,3级,-2.5,13
2019-03-16,6,-11,多云,东北风,1级,-2.5,17
2019-03-17,10,-3,阴,东南风,3级,3.5,13
2019-03-18,15,1,多云,南风,微风,8.0,14
2019-03-19,17,-6,阴,东北风,2级,5.5,23
2019-03-20,7,-3,阴,东北风,4级,2.0,10
2019-03-21,-1,-11,阴,西北风,4级,-6.0,10
2019-03-22,0,-15,多云,东南风,1级,-7.5,15
2019-03-23,-1,-11,多云,西南风,3级,-6.0,10
2019-03-24,7,-8,多云,西南风,2级,-0.5,15
2019-03-25,9,-6,阴,西南风,4级,1.5,15
2019-03-26,2,-9,晴,西风,3级,-3.5,11
2019-03-27,3,-11,多云,西南风,4级,-4.0,14
2019-03-28,3,-10,晴,北风,微风,-3.5,13
2019-03-29,6,-10,多云,东北风,2级,-2.0,16
2019-03-30,6,-4,多云,西北风,4级,1.0,10
2019-03-31,4,-10,多云,西北风,1级,-3.0,14
2019-02-01,-7,-23,多云,西北风,1级,-15.0,16
2019-02-02,-7,-17,多云,东南风,5级,-12.0,10
2019-02-03,-5,-24,多云,西北风,4级,-14.5,19
2019-02-04,-14,-24,阴,北风,微风,-19.0,10
2019-02-05,-14,-29,小雪,东北风,微风,-21.5,15
2019-02-06,-17,-32,阴,西北风,3级,-24.5,15
2019-02-07,-18,-28,多云,西南风,3级,-23.0,10
2019-02-08,-12,-27,多云,西南风,3级,-19.5,15
2019-02-09,-8,-28,阴,西南风,3级,-18.0,20
