日期,最高气温,最低气温,天气,风向,风力,平均气温,温差
2019-09-01,22,11,阴,西南风,2级,16.5,11
2019-09-02,22,11,多云,西南风,2级,16.5,11
2019-09-03,24,11,多云,西北风,1级,17.5,13
2019-09-04,23,11,多云,东北风,2级,17.0,12
2019-09-05,23,11,阴,东北风,4级,17.0,12
2019-09-06,23,10,阴,东南风,1级,16.5,13
2019-09-07,23,11,晴,西南风,3级,17.0,12
2019-09-08,21,8,阴,东北风,1级,14.5,13
2019-09-09,22,7,阴,西南风,1级,14.5,15
2019-09-10,22,8,多云,西南风,1级,15.0,14
2019-09-11,23,6,多云,西北风,1级,14.5,17
2019-09-12,21,8,阴,西南风,1级,14.5,13
2019-09-13,22,8,阴,西南风,1级,15.0,14
2019-09-14,21,8,阴,西北风,4级,14.5,13
2019-09-15,21,7,多云,西北风,5级,14.0,14
2019-09-16,21,7,多云,西北风,3级,14.0,14
2019-09-17,18,4,晴,西北风,3级,11.0,14
2019-09-18,19,6,晴,西北风,3级,12.5,13
2019-09-19,18,5,多云,西北风,2级,11.5,13
2019-09-20,9,6,晴,西南风,1级,7.5,3
2019-09-21,18,5,多云,西北风,5级,11.5,13
2019-09-22,16,5,多云,西南风,2级,10.5,11
2019-09-23,18,7,多云,西南风,2级,12.5,11
2019-09-24,18,4,晴,西南风,2级,11.0,14
2019-09-25,19,5,晴,西北风,1级,12.0,14
2019-09-26,19,7,多云,西南风,2级,13.0,12
2019-09-27,20,7,晴,东北风,2级,13.5,13
2019-09-28,19,6,多云,东南风,2级,12.5,13
2019-09-29,18,5,多云,西北风,3级,11.5,13
2019-09-30,16,4,多云,东北风,2级,10.0,12
2019-08-01,23,13,阴,西南风,4级,18.0,10
2019-08-02,21,12,阴,东北风,2级,16.5,9
2019-08-03,19,13,阴,西南风,2级,16.0,6
2019-08-04,24,13,多云,西南风,3级,18.5,11
2019-08-05,25,12,多云,西北风,2级,18.5,13
2019-08-06,25,13,阴,东南风,4级,19.0,12
2019-08-07,19,12,阴,西北风,1级,15.5,7
2019-08-08,20,11,多云,东北风,2级,15.5,9
2019-08-09,20,12,阴,西南风,3级,16.0,8
2019-08-10,21,12,阴,西北风,2级,16.5,9
2019-08-11,24,13,阴,东南风,1级,18.5,11
2019-08-12,24,14,阴,东南风,2级,19.0,10
2019-08-13,23,12,阴,西南风,3级,17.5,11
2019-08-14,23,12,阴,西北风,2级,17.5,11
2019-08-15,23,13,阴,西南风,1级,18.0,10
2019-08-16,23,14,阴,西北风,2级,18.5,9
2019-08-17,24,12,阴,东南风,3级,18.0,12
2019-08-18,21,10,阴,东南风,2级,15.5,11
2019-08-19,19,8,阴,东北风,1级,13.5,11
2019-08-20,20,9,阴,西南风,3级,14.5,11
2019-08-21,20,9,阴,西北风,2级,14.5,11
2019-08-22,19,10,阴,西北风,3级,14.5,9
2019-08-23,21,11,阴,西北风,3级,16.0,10
2019-08-24,22,11,阴,东南风,2级,16.5,11
2019-08-25,23,12,阴,西南风,3级,17.5,11
2019-08-26,18,12,阴,东北风,2级,15.0,6
2019-08-27,19,11,阴,西南风,2级,15.0,8
2019-08-28,20,10,阴,西北风,1级,15.0,10
2019-08-29,22,11,阴,西南风,1级,16.5,11
2019-08-30,23,12,阴,东南风,3级,17.5,11
2019-08-31,22,12,多云,西北风,1级,17.0,10
2019-07-01,22,8,多云,西北风,5级,15.0,14
2019-07-02,21,8,阴,西北风,3级,14.5,13
2019-07-03,26,9,多云,东南风,3级,17.5,17
2019-07-04,20,10,阴,东北风,2级,15.0,10
2019-07-05,22,11,阴,西南风,4级,16.5,11
2019-07-06,23,12,多云,西北风,1级,17.5,11
2019-07-07,24,15,小雨,西北风,4级,19.5,9
2019-07-08,25,13,多云,西南风,4级,19.0,12
2019-07-09,23,13,多云,西南风,4级,18.0,10
2019-07-10,24,11,多云,西南风,3级,17.5,13
2019-07-11,25,12,晴,西北风,3级,18.5,13
2019-07-12,24,12,多云,西北风,3级,18.0,12
2019-07-13,24,12,阴,西北风,2级,18.0,12
2019-07-14,23,11,多云,西北风,3级,17.0,12
2019-07-15,24,8,多云,西北风,4级,16.0,16
2019-07-16,15,9,阴,东北风,2级,12.0,6
2019-07-17,15,7,阴,西北风,2级,11.0,8
2019-07-18,21,7,阴,西南风,1级,14.0,14
2019-07-19,20,11,多云,西北风,3级,15.5,9
2019-07-20,20,11,阴,西南风,1级,15.5,9
2019-07-21,23,12,阴,西北风,4级,17.5,11
2019-07-22,24,13,阴,西南风,3级,18.5,11
2019-07-23,24,13,多云,西北风,2级,18.5,11
2019-07-24,25,14,晴,西北风,1级,19.5,11
2019-07-25,26,14,阴,东南风,2级,20.0,12
2019-07-26,23,13,阴,西北风,2级,18.0,10
2019-07-27,22,10,阴,西北风,1级,16.0,12
2019-07-28,24,7,阴,西北风,3级,15.5,17
2019-07-29,26,14,阴,东南风,3级,20.0,12
2019-07-30,27,15,阴,西北风,1级,21.0,12
2019-07-31,19,11,阴,西北风,3级,15.0,8
2019-06-01,19,4,晴,西北风,4级,11.5,15
2019-06-02,19,3,多云,西南风,3级,11.0,16
2019-06-03,20,5,多云,西南风,3级,12.5,15
2019-06-04,19,6,多云,西北风,6级,12.5,13
2019-06-05,19,4,晴,西北风,4级,11.5,15
2019-06-06,17,5,多云,东南风,微风,11.0,12
2019-06-07,18,5,多云,西北风,5级,11.5,13
2019-06-08,19,5,晴,西风,3级,12.0,14
2019-06-09,18,4,晴,西北风,5级,11.0,14
2019-06-10,19,4,晴,西北风,3级,11.5,15
2019-06-11,19,6,多云,西北风,3级,12.5,13
2019-06-12,20,6,多云,西北风,4级,13.0,14
2019-06-13,19,6,晴,西北风,4级,12.5,13
2019-06-14,19,4,晴,西北风,4级,11.5,15
2019-06-15,19,4,晴,西北风,4级,11.5,15
2019-06-16,15,6,阴,西南风,4级,10.5,9
2019-06-17,23,6,多云,西北风,4级,14.5,17
2019-06-18,15,6,多云,西北风,4级,10.5,9
2019-06-19,18,6,阴,西北风,3级,12.0,12
2019-06-20,20,6,阴,西北风,3级,13.0,14
2019-06-21,16,8,多云,西北风,4级,12.0,8
2019-06-22,19,8,阴,西北风,2级,13.5,11
2019-06-23,22,10,阴,西南风,5级,16.0,12
2019-06-24,22,10,阴,东南风,3级,16.0,12
2019-06-25,22,11,阴,西北风,4级,16.5,11
2019-06-26,20,8,小雨,西南风,5级,14.0,12
2019-06-27,20,6,多云,西北风,5级,13.0,14
2019-06-28,20,7,阴,西北风,5级,13.5,13
2019-06-29,21,7,多云,西北风,4级,14.0,14
2019-06-30,22,10,阴,西北风,3级,16.0,12
2019-05-01,11,2,阴,东南风,3级,6.5,9
2019-05-02,11,2,多云,西南风,6级,6.5,9
2019-05-03,11,2,阴,西北风,3级,6.5,9
2019-05-04,12,3,晴,西北风,5级,7.5,9
2019-05-05,12,-1,晴,西北风,3级,5.5,13
2019-05-06,13,2,晴,西北风,3级,7.5,11
2019-05-07,14,-1,晴,西北风,4级,6.5,15
2019-05-08,13,0,晴,西北风,4级,6.5,13
2019-05-09,14,2,晴,西北风,4级,8.0,12
2019-05-10,16,-1,晴,西南风,4级,7.5,17
2019-05-11,14,2,多云,西北风,1级,8.0,12
2019-05-12,12,3,阴,西南风,3级,7.5,9
2019-05-13,14,2,阴,西北风,4级,8.0,12
2019-05-14,15,3,阴,东南风,2级,9.0,12
2019-05-15,15,2,阴,西北风,4级,8.5,13
2019-05-16,15,2,多云,西北风,3级,8.5,13
2019-05-17,16,3,多云,西北风,1级,9.5,13
2019-05-18,15,3,阴,西北风,2级,9.0,12
2019-05-19,16,3,多云,西南风,4级,9.5,13
2019-05-20,16,2,晴,西北风,3级,9.0,14
2019-05-21,16,2,晴,西北风,5级,9.0,14
2019-05-22,16,3,多云,西北风,4级,9.5,13
2019-05-23,17,1,多云,东北风,3级,9.0,16
2019-05-24,17,3,阴,西北风,3级,10.0,14
2019-05-25,15,3,阴,西南风,4级,9.0,12
2019-05-26,21,3,多云,西北风,4级,12.0,18
2019-05-27,16,2,多云,西北风,4级,9.0,14
2019-05-28,16,2,多云,西南风,5级,9.0,14
2019-05-29,17,2,晴,西北风,4级,9.5,15
2019-05-30,17,4,多云,西北风,5级,10.5,13
2019-05-31,19,4,晴,西北风,4级,11.5,15
2019-04-01,7,-7,多云,西北风,4级,0.0,14
2019-04-02,6,-7,晴,东北风,4级,-0.5,13
2019-04-03,8,-5,晴,西北风,3级,1.5,13
2019-04-04,11,-4,阴,西北风,2级,3.5,15
2019-04-05,12,-4,晴,西北风,2级,4.0,16
2019-04-06,11,0,多云,西北风,3级,5.5,11
2019-04-07,10,-3,多云,西南风,3级,3.5,13
2019-04-08,10,-7,多云,西北风,3级,1.5,17
2019-04-09,11,-6,晴,西北风,3级,2.5,17
2019-04-10,12,-2,多云,西北风,3级,5.0,14
2019-04-11,13,0,晴,西北风,3级,6.5,13
2019-04-12,13,-1,多云,西北风,1级,6.0,14
