日期,最高气温,最低气温,天气,风向,风力,平均气温,温差
2019-09-01,20,14,阴,西南风,1级,17.0,6
2019-09-02,25,14,阴,西南风,1级,19.5,11
2019-09-03,26,14,多云,西南风,2级,20.0,12
2019-09-04,18,15,阴,南风,微风,16.5,3
2019-09-05,25,16,阴,西南风,1级,20.5,9
2019-09-06,28,17,多云,西南风,1级,22.5,11
2019-09-07,28,16,多云,西南风,2级,22.0,12
2019-09-08,26,18,多云,西南风,1级,22.0,8
2019-09-09,24,18,阴,西北风,1级,21.0,6
2019-09-10,19,17,阴,南风,微风,18.0,2
2019-09-11,20,16,阴,东南风,1级,18.0,4
2019-09-12,26,13,阴,西南风,1级,19.5,13
2019-09-13,21,13,阴,西南风,1级,17.0,8
2019-09-14,14,13,阴,东南风,1级,13.5,1
2019-09-15,15,12,阴,西南风,微风,13.5,3
2019-09-16,18,14,阴,南风,微风,16.0,4
2019-09-17,17,11,阴,南风,微风,14.0,6
2019-09-18,17,11,小雨,西南风,1级,14.0,6
2019-09-19,16,7,阴,南风,微风,11.5,9
2019-09-20,23,10,阴,西南风,2级,16.5,13
2019-09-21,25,9,晴,西南风,2级,17.0,16
2019-09-22,25,9,晴,西南风,2级,17.0,16
2019-09-23,22,11,多云,西南风,2级,16.5,11
2019-09-24,20,10,阴,西南风,2级,15.0,10
2019-09-25,25,10,晴,西南风,1级,17.5,15
2019-09-26,26,11,雾,西南风,2级,18.5,15
2019-09-27,25,11,多云,西南风,1级,18.0,14
2019-09-28,24,11,多云,西南风,2级,17.5,13
2019-09-29,26,12,多云,西南风,2级,19.0,14
2019-09-30,27,14,多云,西南风,2级,20.5,13
2019-08-01,28,18,阴,东南风,1级,23.0,10
2019-08-02,28,20,阴,西南风,2级,24.0,8
2019-08-03,23,20,中雨,西南风,1级,21.5,3
2019-08-04,31,20,阴,西南风,2级,25.5,11
2019-08-05,30,21,阴,东南风,2级,25.5,9
2019-08-06,21,19,大雨,西南风,1级,20.0,2
2019-08-07,31,21,阴,西南风,2级,26.0,10
2019-08-08,30,19,阴,西北风,2级,24.5,11
2019-08-09,26,16,小雨,西南风,2级,21.0,10
2019-08-10,34,16,晴,西南风,2级,25.0,18
2019-08-11,32,16,晴,西南风,2级,24.0,16
2019-08-12,32,16,晴,西南风,3级,24.0,16
2019-08-13,34,16,晴,西南风,2级,25.0,18
2019-08-14,33,16,晴,西南风,2级,24.5,17
2019-08-15,34,15,晴,西南风,2级,24.5,19
2019-08-16,35,17,晴,西南风,3级,26.0,18
2019-08-17,31,19,阴,西南风,2级,25.0,12
2019-08-18,31,20,阴,西南风,2级,25.5,11
2019-08-19,31,21,阴,西南风,2级,26.0,10
2019-08-20,31,21,阴,西南风,1级,26.0,10
2019-08-21,26,19,阴,东南风,1级,22.5,7
2019-08-22,28,20,多云,东南风,2级,24.0,8
2019-08-23,28,20,多云,西南风,2级,24.0,8
2019-08-24,31,20,多云,西南风,2级,25.5,11
2019-08-25,29,20,阴,西南风,2级,24.5,9
2019-08-26,26,19,阴,西南风,2级,22.5,7
2019-08-27,22,16,小雨,西南风,1级,19.0,6
2019-08-28,31,14,多云,西南风,2级,22.5,17
2019-08-29,31,14,晴,西南风,3级,22.5,17
2019-08-30,29,17,多云,西南风,2级,23.0,12
2019-08-31,24,16,阴,西南风,1级,20.0,8
2019-07-01,32,15,多云,西南风,2级,23.5,17
2019-07-02,28,16,阴,西南风,1级,22.0,12
2019-07-03,31,17,多云,西南风,2级,24.0,14
2019-07-04,26,14,阴,西南风,2级,20.0,12
2019-07-05,30,16,晴,西南风,3级,23.0,14
2019-07-06,31,15,阴,西南风,2级,23.0,16
2019-07-07,29,17,多云,西南风,3级,23.0,12
2019-07-08,19,16,中雨,东南风,微风,17.5,3
2019-07-09,26,15,阴,西南风,1级,20.5,11
2019-07-10,28,18,阴,西南风,2级,23.0,10
2019-07-11,27,17,阴,西南风,2级,22.0,10
2019-07-12,25,14,阴,西南风,2级,19.5,11
2019-07-13,32,16,多云,西南风,4级,24.0,16
2019-07-14,32,17,多云,西南风,2级,24.5,15
2019-07-15,29,19,阴,西南风,2级,24.0,10
2019-07-16,22,19,小雨,西南风,1级,20.5,3
2019-07-17,22,19,中雨,南风,微风,20.5,3
2019-07-18,24,19,小雨,西南风,1级,21.5,5
2019-07-19,30,21,阴,西北风,1级,25.5,9
2019-07-20,30,20,小雨,东南风,1级,25.0,10
2019-07-21,29,22,阴,西南风,1级,25.5,7
2019-07-22,27,18,小雨,西北风,1级,22.5,9
2019-07-23,25,18,阴,西南风,2级,21.5,7
2019-07-24,25,18,小雨,西南风,2级,21.5,7
2019-07-25,31,20,阴,西北风,1级,25.5,11
2019-07-26,31,18,阴,西南风,2级,24.5,13
2019-07-27,33,23,阴,西北风,2级,28.0,10
2019-07-28,34,23,多云,西南风,1级,28.5,11
2019-07-29,31,21,小雨,北风,微风,26.0,10
2019-07-30,29,19,多云,西北风,3级,24.0,10
2019-07-31,33,18,晴,西南风,2级,25.5,15
2019-06-01,31,13,阴,西南风,2级,22.0,18
2019-06-02,33,12,晴,西北风,4级,22.5,21
2019-06-03,34,12,晴,西南风,2级,23.0,22
2019-06-04,33,18,多云,西南风,2级,25.5,15
2019-06-05,20,13,阴,西南风,1级,16.5,7
2019-06-06,26,13,多云,西南风,2级,19.5,13
2019-06-07,30,17,多云,西南风,2级,23.5,13
2019-06-08,31,17,阴,西南风,3级,24.0,14
2019-06-09,31,16,多云,西南风,3级,23.5,15
2019-06-10,32,15,多云,西北风,2级,23.5,17
2019-06-11,23,17,阴,西南风,1级,20.0,6
2019-06-12,25,15,多云,西南风,1级,20.0,10
2019-06-13,29,14,晴,西南风,2级,21.5,15
2019-06-14,30,18,阴,西北风,2级,24.0,12
2019-06-15,27,16,阴,西南风,3级,21.5,11
2019-06-16,28,18,多云,西南风,1级,23.0,10
2019-06-17,26,16,小雨,西南风,1级,21.0,10
2019-06-18,26,19,阴,西南风,1级,22.5,7
2019-06-19,21,17,中雨,西南风,1级,19.0,4
2019-06-20,20,18,大雨,南风,微风,19.0,2
2019-06-21,20,17,小雨,西北风,1级,18.5,3
2019-06-22,24,16,阴,西北风,3级,20.0,8
2019-06-23,27,17,多云,西南风,2级,22.0,10
2019-06-24,21,16,小雨,西南风,1级,18.5,5
2019-06-25,29,18,多云,西南风,2级,23.5,11
2019-06-26,29,19,多云,东北风,微风,24.0,10
2019-06-27,22,18,中雨,东北风,1级,20.0,4
2019-06-28,22,14,小雨,西南风,2级,18.0,8
2019-06-29,24,15,多云,西南风,2级,19.5,9
2019-06-30,31,15,多云,西南风,2级,23.0,16
2019-05-01,21,11,多云,西北风,2级,16.0,10
2019-05-02,22,10,多云,西南风,2级,16.0,12
2019-05-03,18,12,阴,西北风,2级,15.0,6
2019-05-04,27,14,阴,西南风,3级,20.5,13
2019-05-05,23,10,阴,西风,2级,16.5,13
2019-05-06,14,8,阴,北风,微风,11.0,6
2019-05-07,9,7,阴,南风,微风,8.0,2
2019-05-08,18,8,多云,西南风,微风,13.0,10
