日期,最高气温,最低气温,天气,风向,风力,平均气温,温差
2019-09-01,24,22,阴,东北风,4级,23.0,2
2019-09-02,23,21,阴,东北风,3级,22.0,2
2019-09-03,27,22,小雨,东北风,2级,24.5,5
2019-09-04,30,23,阴,东北风,3级,26.5,7
2019-09-05,31,24,阴,东北风,4级,27.5,7
2019-09-06,33,23,多云,西南风,微风,28.0,10
2019-09-07,33,21,多云,东北风,2级,27.0,12
2019-09-08,33,21,晴,东北风,2级,27.0,12
2019-09-09,33,22,晴,东北风,1级,27.5,11
2019-09-10,35,23,晴,东北风,1级,29.0,12
2019-09-11,35,24,晴,东北风,2级,29.5,11
2019-09-12,35,25,阴,东北风,3级,30.0,10
2019-09-13,34,24,多云,东北风,3级,29.0,10
2019-09-14,33,24,晴,东北风,3级,28.5,9
2019-09-15,32,24,多云,东北风,3级,28.0,8
2019-09-16,31,22,多云,东北风,3级,26.5,9
2019-09-17,30,21,多云,东北风,4级,25.5,9
2019-09-18,31,20,晴,东北风,3级,25.5,11
2019-09-19,28,18,阴,东北风,3级,23.0,10
2019-09-20,29,18,多云,东北风,3级,23.5,11
2019-09-21,28,19,多云,西北风,3级,23.5,9
2019-09-22,27,17,多云,西北风,2级,22.0,10
2019-09-23,30,16,晴,东北风,2级,23.0,14
2019-09-24,29,16,多云,东北风,3级,22.5,13
2019-09-25,29,16,多云,东北风,1级,22.5,13
2019-09-26,30,18,晴,东北风,2级,24.0,12
2019-09-27,30,19,晴,东北风,2级,24.5,11
2019-09-28,31,19,晴,东北风,2级,25.0,12
2019-09-29,32,20,晴,东北风,3级,26.0,12
2019-09-30,31,22,多云,东北风,3级,26.5,9
2019-08-01,36,27,阴,东北风,2级,31.5,9
2019-08-02,35,26,晴,东北风,3级,30.5,9
2019-08-03,35,26,晴,东北风,3级,30.5,9
2019-08-04,34,25,多云,东北风,4级,29.5,9
2019-08-05,36,26,多云,东北风,2级,31.0,10
2019-08-06,37,26,多云,东北风,3级,31.5,11
2019-08-07,36,26,多云,东北风,2级,31.0,10
2019-08-08,36,26,阴,东北风,5级,31.0,10
2019-08-09,32,26,小雨,东北风,1级,29.0,6
2019-08-10,28,26,大雨,西南风,5级,27.0,2
2019-08-11,33,25,阴,西南风,2级,29.0,8
2019-08-12,35,25,多云,西北风,2级,30.0,10
2019-08-13,36,25,晴,东北风,1级,30.5,11
2019-08-14,35,26,多云,西北风,2级,30.5,9
2019-08-15,35,25,多云,西北风,1级,30.0,10
2019-08-16,36,25,多云,东北风,2级,30.5,11
2019-08-17,36,24,晴,西北风,1级,30.0,12
2019-08-18,35,25,多云,东北风,2级,30.0,10
2019-08-19,34,23,晴,东北风,2级,28.5,11
2019-08-20,34,24,多云,东北风,2级,29.0,10
2019-08-21,35,25,晴,东北风,2级,30.0,10
2019-08-22,35,25,晴,东北风,2级,30.0,10
2019-08-23,36,26,阴,东北风,2级,31.0,10
2019-08-24,36,26,阴,东北风,3级,31.0,10
2019-08-25,33,26,阴,东北风,3级,29.5,7
2019-08-26,36,27,晴,东北风,1级,31.5,9
2019-08-27,38,27,多云,西南风,2级,32.5,11
2019-08-28,39,25,阴,西北风,2级,32.0,14
2019-08-29,29,21,中雨,东北风,3级,25.0,8
2019-08-30,26,22,阴,东北风,3级,24.0,4
2019-08-31,27,22,阴,东北风,4级,24.5,5
2019-07-01,31,23,阴,东北风,3级,27.0,8
2019-07-02,31,25,阴,东北风,3级,28.0,6
2019-07-03,29,25,暴雨,东北风,2级,27.0,4
2019-07-04,25,21,暴雨,东北风,3级,23.0,4
2019-07-05,28,23,小雨,西南风,2级,25.5,5
2019-07-06,29,25,中雨,西南风,2级,27.0,4
2019-07-07,31,23,小雨,西北风,1级,27.0,8
2019-07-08,24,20,中雨,东北风,2级,22.0,4
2019-07-09,23,21,暴雨,东南风,1级,22.0,2
2019-07-10,26,20,小雨,东北风,1级,23.0,6
2019-07-11,30,24,多云,西北风,2级,27.0,6
2019-07-12,29,24,小雨,西南风,2级,26.5,5
2019-07-13,25,23,暴雨,东南风,3级,24.0,2
2019-07-14,23,22,大雨,东北风,1级,22.5,1
2019-07-15,26,23,小雨,东北风,2级,24.5,3
2019-07-16,32,24,阴,东北风,3级,28.0,8
2019-07-17,34,24,多云,东南风,1级,29.0,10
2019-07-18,34,23,多云,东北风,2级,28.5,11
2019-07-19,35,25,多云,西南风,2级,30.0,10
