日期,最高气温,最低气温,天气,风向,风力,平均气温,温差
2019-09-01,22,9,局部多云,西北偏西风,3级,15.5,13
2019-09-02,22,9,局部多云,西北偏西风,3级,15.5,13
2019-09-03,13,0,局部多云,,,6.5,13
2019-09-04,13,0,少云,西北风,3级,6.5,13
2019-09-05,14,0,局部多云,西北偏北风,2级,7.0,14
2019-09-06,12,0,局部多云,西北偏西风,3级,6.0,12
2019-09-07,12,0,局部多云,北风,3级,6.0,12
2019-09-08,11,0,局部多云,西北偏西风,3级,5.5,11
2019-09-09,16,4,阴,东南风,3级,10.0,12
2019-09-10,14,7,阴,东北风,2级,10.5,7
2019-09-11,10,0,少云,西北风,3级,5.0,10
2019-09-12,7,0,局部多云,西北风,3级,3.5,7
2019-09-13,12,2,阴,东南风,4级,7.0,10
2019-09-14,18,6,局部多云,西北偏西风,3级,12.0,12
2019-09-15,18,9,局部多云,西北风,2级,13.5,9
2019-09-16,15,7,局部多云,西北偏西风,3级,11.0,8
2019-09-17,15,8,阴天,西北偏西风,2级,11.5,7
2019-09-18,14,4,多云,西风,4级,9.0,10
2019-09-19,17,3,局部多云,西北偏西风,2级,10.0,14
2019-09-20,18,4,晴,东北偏北风,2级,11.0,14
2019-09-21,17,4,局部多云,西北风,2级,10.5,13
2019-09-22,17,6,局部多云,西北风,3级,11.5,11
2019-09-23,5,0,少云,西北偏西风,3级,2.5,5
2019-09-24,5,0,晴,西北风,2级,2.5,5
2019-09-25,5,0,晴,西北偏西风,3级,2.5,5
2019-09-26,12,0,晴,东北风,1级,6.0,12
2019-09-27,5,0,晴,西北偏西风,2级,2.5,5
2019-09-28,6,0,晴,西北风,2级,3.0,6
2019-09-29,6,0,局部多云,西北偏北风,2级,3.0,6
2019-09-30,7,0,局部多云,西北风,2级,3.5,7
2019-08-01,27,15,局部多云,西北风,3级,21.0,12
2019-08-02,27,14,局部多云,西北偏西风,3级,20.5,13
2019-08-03,26,14,局部多云,西北偏西风,3级,20.0,12
2019-08-04,24,13,阴天,西风,3级,18.5,11
2019-08-05,25,13,阴天,西北偏西风,3级,19.0,12
2019-08-06,24,13,局部多云,西北偏西风,3级,18.5,11
2019-08-07,25,13,局部多云,西北偏西风,3级,19.0,12
2019-08-08,24,13,局部多云,西北偏西风,3级,18.5,11
2019-08-09,24,13,局部多云,西北偏西风,3级,18.5,11
2019-08-10,24,13,局部多云,西北偏西风,3级,18.5,11
2019-08-11,30,15,晴,西北偏西风,3级,22.5,15
2019-08-12,22,12,局部多云,西北偏西风,4级,17.0,10
2019-08-13,26,11,晴,西北偏西风,3级,18.5,15
2019-08-14,28,13,晴,东北偏东风,3级,20.5,15
2019-08-15,32,15,局部多云,东北偏东风,3级,23.5,17
2019-08-16,27,14,局部多云,西北偏西风,3级,20.5,13
2019-08-17,32,18,局部多云,东北偏东风,3级,25.0,14
2019-08-18,29,14,局部多云,西北偏西风,4级,21.5,15
