日期,最高气温,最低气温,天气,风向,风力,平均气温,温差
2019-09-01,23,16,阴,西南风,2级,19.5,7
2019-09-02,30,16,阴,东南风,1级,23.0,14
2019-09-03,27,15,晴,东北风,1级,21.0,12
2019-09-04,28,16,阴,东北风,1级,22.0,12
2019-09-05,31,16,阴,西南风,2级,23.5,15
2019-09-06,32,17,多云,西北风,1级,24.5,15
2019-09-07,33,17,晴,西南风,1级,25.0,16
2019-09-08,35,18,晴,西北风,1级,26.5,17
2019-09-09,33,19,多云,东南风,1级,26.0,14
2019-09-10,24,17,阴,东南风,3级,20.5,7
2019-09-11,28,17,阴,东南风,3级,22.5,11
2019-09-12,25,17,阴,东南风,3级,21.0,8
2019-09-13,30,15,阴,西北风,3级,22.5,15
2019-09-14,23,12,阴,东南风,2级,17.5,11
2019-09-15,19,12,阴,东南风,1级,15.5,7
2019-09-16,21,15,阴,西北风,1级,18.0,6
2019-09-17,18,13,阴,西南风,2级,15.5,5
2019-09-18,23,13,阴,东南风,2级,18.0,10
2019-09-19,19,13,阴,东南风,1级,16.0,6
2019-09-20,25,12,阴,西南风,2级,18.5,13
2019-09-21,27,11,多云,西南风,2级,19.0,16
2019-09-22,29,11,晴,西南风,2级,20.0,18
2019-09-23,29,13,晴,西南风,2级,21.0,16
2019-09-24,28,13,阴,西南风,1级,20.5,15
2019-09-25,30,13,阴,西南风,2级,21.5,17
2019-09-26,30,12,多云,西南风,3级,21.0,18
2019-09-27,30,12,多云,东北风,1级,21.0,18
2019-09-28,30,13,晴,西南风,1级,21.5,17
2019-09-29,32,12,晴,西南风,1级,22.0,20
2019-09-30,32,14,多云,北风,微风,23.0,18
2019-08-01,26,21,小雨,东南风,1级,23.5,5
2019-08-02,27,19,小雨,东南风,3级,23.0,8
2019-08-03,25,21,中雨,东南风,1级,23.0,4
2019-08-04,24,19,晴,西南风,2级,21.5,5
2019-08-05,31,20,多云,西北风,2级,25.5,11
2019-08-06,25,21,中雨,东南风,2级,23.0,4
2019-08-07,29,21,阴,西北风,1级,25.0,8
2019-08-08,29,20,多云,东北风,1级,24.5,9
2019-08-09,28,19,暴雨,西北风,1级,23.5,9
2019-08-10,29,19,多云,东北风,1级,24.0,10
2019-08-11,23,19,多云,西北风,1级,21.0,4
2019-08-12,29,20,多云,东北风,1级,24.5,9
2019-08-13,33,20,多云,东南风,1级,26.5,13
2019-08-14,32,19,多云,东南风,1级,25.5,13
2019-08-15,34,19,晴,西南风,1级,26.5,15
2019-08-16,37,20,晴,东南风,2级,28.5,17
2019-08-17,29,21,阴,东北风,1级,25.0,8
2019-08-18,31,20,阴,东北风,2级,25.5,11
2019-08-19,32,20,多云,东南风,2级,26.0,12
2019-08-20,34,19,阴,西北风,2级,26.5,15
2019-08-21,21,20,大暴雨,东南风,2级,20.5,1
2019-08-22,26,20,阴,东南风,2级,23.0,6
2019-08-23,30,19,多云,东南风,2级,24.5,11
2019-08-24,29,18,多云,东南风,2级,23.5,11
2019-08-25,29,17,多云,东南风,3级,23.0,12
2019-08-26,29,20,多云,东南风,3级,24.5,9
2019-08-27,21,19,中雨,西南风,1级,20.0,2
2019-08-28,31,17,阴,西南风,2级,24.0,14
2019-08-29,35,15,晴,西北风,1级,25.0,20
2019-08-30,32,15,多云,东北风,1级,23.5,17
2019-08-31,28,18,多云,东南风,2级,23.0,10
2019-07-01,33,17,晴,西南风,1级,25.0,16
2019-07-02,33,18,多云,西北风,1级,25.5,15
2019-07-03,33,20,多云,东北风,2级,26.5,13
2019-07-04,28,19,小雨,东南风,1级,23.5,9
2019-07-05,34,18,晴,东北风,1级,26.0,16
2019-07-06,31,19,晴,东北风,1级,25.0,12
2019-07-07,28,16,多云,东北风,3级,22.0,12
2019-07-08,19,19,小雨,西北风,1级,19.0,0
2019-07-09,25,17,多云,西南风,2级,21.0,8
2019-07-10,25,18,小雨,西南风,1级,21.5,7
2019-07-11,26,17,阴,东北风,2级,21.5,9
2019-07-12,25,17,小雨,东南风,1级,21.0,8
2019-07-13,32,19,晴,西北风,1级,25.5,13
2019-07-14,34,20,晴,东南风,2级,27.0,14
2019-07-15,31,19,阴,东南风,2级,25.0,12
2019-07-16,30,20,阴,东南风,2级,25.0,10
2019-07-17,20,19,中雨,西北风,1级,19.5,1
2019-07-18,24,20,阴,东北风,1级,22.0,4
2019-07-19,30,22,多云,西北风,2级,26.0,8
2019-07-20,32,20,多云,西北风,3级,26.0,12
2019-07-21,33,23,多云,东南风,1级,28.0,10
2019-07-22,33,23,阴,东南风,3级,28.0,10
2019-07-23,32,23,多云,西北风,1级,27.5,9
2019-07-24,32,23,小雨,西南风,2级,27.5,9
