日期,最高气温,最低气温,天气,风向,风力,平均气温,温差
2019-09-01,31,19,晴,东南风,1级,25.0,12
2019-09-02,31,19,晴,东南风,1级,25.0,12
2019-09-03,32,19,晴,东南风,1级,25.5,13
2019-09-04,30,18,多云,东南风,1级,24.0,12
2019-09-05,32,19,晴,东南风,1级,25.5,13
2019-09-06,32,19,晴,东南风,1级,25.5,13
2019-09-07,33,21,晴,西南风,2级,27.0,12
2019-09-08,34,20,多云,东南风,2级,27.0,14
2019-09-09,33,21,多云,东北风,1级,27.0,12
2019-09-10,25,18,阴,东北风,2级,21.5,7
2019-09-11,21,17,阴,东南风,微风,19.0,4
2019-09-12,19,19,阴,东南风,1级,19.0,0
2019-09-13,23,19,阴,西南风,微风,21.0,4
2019-09-14,28,19,多云,东北风,1级,23.5,9
2019-09-15,26,16,多云,西南风,3级,21.0,10
2019-09-16,26,16,雾,东南风,1级,21.0,10
2019-09-17,26,17,多云,西南风,1级,21.5,9
2019-09-18,25,16,晴,东南风,1级,20.5,9
2019-09-19,22,17,多云,西南风,2级,19.5,5
2019-09-20,23,16,阴,东南风,1级,19.5,7
2019-09-21,28,15,多云,东南风,1级,21.5,13
2019-09-22,27,16,晴,东北风,1级,21.5,11
2019-09-23,30,16,晴,南风,微风,23.0,14
2019-09-24,32,16,晴,东北风,2级,24.0,16
2019-09-25,30,15,晴,东南风,微风,22.5,15
2019-09-26,30,15,多云,东北风,微风,22.5,15
2019-09-27,30,17,晴,东南风,1级,23.5,13
2019-09-28,30,18,晴,西南风,1级,24.0,12
2019-09-29,31,19,晴,东南风,2级,25.0,12
2019-09-30,31,18,晴,东南风,1级,24.5,13
2019-08-01,34,23,多云,东南风,3级,28.5,11
2019-08-02,26,22,中雨,东北风,1级,24.0,4
2019-08-03,30,24,多云,东北风,1级,27.0,6
2019-08-04,29,23,中雨,东北风,1级,26.0,6
2019-08-05,31,25,多云,东北风,2级,28.0,6
2019-08-06,31,24,阴,东南风,1级,27.5,7
2019-08-07,30,24,暴雨,东南风,1级,27.0,6
2019-08-08,32,24,多云,东南风,1级,28.0,8
2019-08-09,33,24,阴,北风,3级,28.5,9
2019-08-10,25,23,小雨,东北风,1级,24.0,2
2019-08-11,25,22,小雨,西北风,4级,23.5,3
2019-08-12,29,21,小雨,东北风,2级,25.0,8
2019-08-13,30,22,多云,东南风,2级,26.0,8
2019-08-14,32,22,多云,东北风,1级,27.0,10
2019-08-15,33,22,晴,东北风,3级,27.5,11
2019-08-16,29,20,多云,东北风,1级,24.5,9
2019-08-17,30,20,晴,西南风,2级,25.0,10
2019-08-18,32,21,晴,东南风,1级,26.5,11
2019-08-19,32,21,多云,东南风,2级,26.5,11
2019-08-20,29,21,阴,东北风,1级,25.0,8
2019-08-21,30,20,晴,东南风,1级,25.0,10
2019-08-22,30,21,多云,东北风,1级,25.5,9
2019-08-23,32,21,多云,东南风,1级,26.5,11
2019-08-24,25,21,阴,西北风,1级,23.0,4
2019-08-25,23,20,阴,西南风,1级,21.5,3
2019-08-26,27,20,阴,东北风,微风,23.5,7
2019-08-27,32,21,多云,东南风,1级,26.5,11
2019-08-28,33,19,晴,东南风,微风,26.0,14
2019-08-29,30,18,晴,东南风,2级,24.0,12
2019-08-30,31,18,晴,东北风,1级,24.5,13
2019-08-31,31,17,晴,东南风,1级,24.0,14
2019-07-01,36,24,晴,东南风,2级,30.0,12
2019-07-02,39,25,晴,东南风,2级,32.0,14
2019-07-03,38,25,晴,东南风,微风,31.5,13
2019-07-04,37,27,阴,西南风,2级,32.0,10
2019-07-05,39,22,多云,东北风,4级,30.5,17
2019-07-06,24,19,小雨,东北风,2级,21.5,5
2019-07-07,28,21,多云,东北风,2级,24.5,7
2019-07-08,28,21,阴,东南风,2级,24.5,7
2019-07-09,30,20,阴,东北风,4级,25.0,10
2019-07-10,28,20,阴,西北风,1级,24.0,8
2019-07-11,30,21,晴,东北风,微风,25.5,9
2019-07-12,33,22,多云,西南风,2级,27.5,11
2019-07-13,35,24,晴,东南风,2级,29.5,11
2019-07-14,34,24,多云,东南风,2级,29.0,10
2019-07-15,35,25,多云,东南风,1级,30.0,10
2019-07-16,34,25,阴,西南风,4级,29.5,9
2019-07-17,31,24,阴,西南风,2级,27.5,7
2019-07-18,33,24,多云,东北风,微风,28.5,9
2019-07-19,34,25,多云,东南风,1级,29.5,9
2019-07-20,32,24,小雨,西南风,1级,28.0,8
2019-07-21,36,26,小雨,东南风,1级,31.0,10
2019-07-22,34,26,阴,西北风,4级,30.0,8
2019-07-23,35,26,小雨,东南风,1级,30.5,9
2019-07-24,38,27,晴,东南风,1级,32.5,11
2019-07-25,36,26,小雨,东南风,2级,31.0,10
2019-07-26,37,27,晴,东南风,2级,32.0,10
2019-07-27,35,25,多云,东南风,1级,30.0,10
2019-07-28,36,29,阴,东南风,2级,32.5,7
2019-07-29,31,25,小雨,西北风,2级,28.0,6
2019-07-30,33,25,晴,西南风,2级,29.0,8
2019-07-31,35,26,晴,东南风,2级,30.5,9
2019-06-01,31,20,阴,东南风,2级,25.5,11
2019-06-02,36,21,晴,东南风,2级,28.5,15
2019-06-03,35,22,晴,东北风,1级,28.5,13
2019-06-04,31,22,阴,东北风,2级,26.5,9
2019-06-05,26,19,阴,东北风,3级,22.5,7
2019-06-06,26,18,阴,东北风,2级,22.0,8
