日期,最高气温,最低气温,天气,风向,风力,平均气温,温差
2019-09-01,27,15,多云,西北风,1级,21.0,12
2019-09-02,22,11,多云,北风,微风,16.5,11
2019-09-03,25,13,晴,西北风,1级,19.0,12
2019-09-04,29,16,晴,西南风,1级,22.5,13
2019-09-05,27,15,多云,东南风,微风,21.0,12
2019-09-06,27,17,多云,西北风,1级,22.0,10
2019-09-07,25,20,阴,东北风,3级,22.5,5
2019-09-08,25,14,阴,西南风,5级,19.5,11
2019-09-09,22,11,晴,西北风,4级,16.5,11
2019-09-10,20,7,多云,西北风,3级,13.5,13
2019-09-11,19,7,晴,西北风,3级,13.0,12
2019-09-12,21,10,晴,西北风,1级,15.5,11
2019-09-13,24,12,阴,西南风,3级,18.0,12
2019-09-14,21,8,晴,东北风,微风,14.5,13
2019-09-15,23,12,晴,东北风,2级,17.5,11
2019-09-16,16,3,多云,西北风,3级,9.5,13
2019-09-17,19,6,晴,西北风,微风,12.5,13
2019-09-18,12,5,多云,西北风,4级,8.5,7
2019-09-19,13,4,晴,西南风,4级,8.5,9
2019-09-20,18,8,晴,西北风,1级,13.0,10
2019-09-21,16,5,多云,西北风,2级,10.5,11
2019-09-22,19,5,晴,西北风,1级,12.0,14
2019-09-23,22,8,晴,西南风,5级,15.0,14
2019-09-24,17,5,晴,西北风,4级,11.0,12
2019-09-25,21,5,晴,西北风,1级,13.0,16
2019-09-26,22,7,晴,西北风,1级,14.5,15
2019-09-27,27,10,晴,东北风,1级,18.5,17
2019-09-28,27,14,多云,西北风,2级,20.5,13
2019-09-29,21,4,多云,西北风,2级,12.5,17
2019-09-30,22,11,多云,西北风,3级,16.5,11
2019-08-01,30,19,多云,西北风,3级,24.5,11
2019-08-02,28,19,多云,西北风,3级,23.5,9
2019-08-03,28,19,多云,东南风,2级,23.5,9
2019-08-04,28,19,阴,西南风,2级,23.5,9
2019-08-05,32,20,多云,东南风,1级,26.0,12
2019-08-06,28,20,大雨,西北风,1级,24.0,8
2019-08-07,24,18,阴,东北风,2级,21.0,6
2019-08-08,24,18,阴,东北风,1级,21.0,6
2019-08-09,23,17,中雨,西北风,3级,20.0,6
2019-08-10,18,18,小雨,东北风,3级,18.0,0
2019-08-11,20,18,中雨,南风,微风,19.0,2
2019-08-12,22,17,小雨,东北风,1级,19.5,5
2019-08-13,22,20,阴,东南风,2级,21.0,2
2019-08-14,22,19,中雨,东南风,1级,20.5,3
2019-08-15,21,19,大雨,东南风,2级,20.0,2
2019-08-16,20,18,大雨,西北风,1级,19.0,2
2019-08-17,25,17,中雨,西北风,1级,21.0,8
2019-08-18,24,15,阴,西北风,1级,19.5,9
2019-08-19,24,14,中雨,西北风,1级,19.0,10
2019-08-20,24,17,阴,西北风,1级,20.5,7
2019-08-21,19,16,中雨,东北风,5级,17.5,3
2019-08-22,25,15,阴,东北风,1级,20.0,10
2019-08-23,21,15,小雨,东北风,3级,18.0,6
2019-08-24,21,13,小雨,东南风,1级,17.0,8
2019-08-25,23,13,小雨,东北风,1级,18.0,10
2019-08-26,25,16,多云,东南风,1级,20.5,9
2019-08-27,21,15,小雨,东南风,1级,18.0,6
2019-08-28,23,15,阴,西北风,1级,19.0,8
2019-08-29,24,15,阴,西南风,2级,19.5,9
2019-08-30,18,15,阴,西北风,2级,16.5,3
2019-08-31,23,13,多云,西北风,2级,18.0,10
2019-07-01,19,14,小雨,西南风,1级,16.5,5
2019-07-02,25,15,阴,西北风,3级,20.0,10
2019-07-03,24,15,雷阵雨,西南风,1级,19.5,9
2019-07-04,23,14,小雨,西北风,1级,18.5,9
2019-07-05,24,16,阴,东南风,3级,20.0,8
2019-07-06,26,18,阴,东北风,1级,22.0,8
2019-07-07,30,17,晴,西北风,1级,23.5,13
2019-07-08,30,19,多云,东南风,1级,24.5,11
2019-07-09,30,18,阴,东南风,2级,24.0,12
2019-07-10,28,15,多云,东南风,2级,21.5,13
2019-07-11,26,16,多云,东南风,1级,21.0,10
2019-07-12,26,16,阴,西南风,1级,21.0,10
2019-07-13,24,17,阴,东北风,2级,20.5,7
2019-07-14,25,17,阴,西北风,1级,21.0,8
2019-07-15,25,17,小雨,东南风,2级,21.0,8
2019-07-16,26,18,阴,东南风,1级,22.0,8
2019-07-17,25,18,大雨,西南风,3级,21.5,7
2019-07-18,27,19,多云,西北风,2级,23.0,8
2019-07-19,28,19,多云,西南风,1级,23.5,9
2019-07-20,29,21,多云,东南风,3级,25.0,8
2019-07-21,29,20,阴,东南风,3级,24.5,9
2019-07-22,23,20,小雨,东南风,1级,21.5,3
2019-07-23,30,20,阴,西北风,3级,25.0,10
2019-07-24,28,20,阴,西北风,1级,24.0,8
2019-07-25,27,19,阴,西北风,1级,23.0,8
2019-07-26,26,19,中雨,西北风,1级,22.5,7
2019-07-27,27,19,多云,南风,微风,23.0,8
2019-07-28,29,21,阴,西北风,1级,25.0,8
2019-07-29,31,22,阴,西北风,7级,26.5,9
2019-07-30,26,21,小雨,西南风,3级,23.5,5
2019-07-31,32,21,晴,东南风,微风,26.5,11
2019-06-01,20,11,阴,西北风,3级,15.5,9
2019-06-02,26,11,多云,西北风,2级,18.5,15
2019-06-03,21,10,多云,西北风,1级,15.5,11
2019-06-04,22,9,阴,西南风,1级,15.5,13
2019-06-05,25,13,多云,东南风,2级,19.0,12
2019-06-06,22,12,阴,西北风,3级,17.0,10
2019-06-07,24,11,多云,西南风,1级,17.5,13
2019-06-08,26,13,晴,西北风,1级,19.5,13
2019-06-09,24,12,阴,西北风,1级,18.0,12
2019-06-10,26,14,多云,西南风,2级,20.0,12
2019-06-11,27,14,多云,东南风,2级,20.5,13
2019-06-12,24,15,阵雨,东北风,2级,19.5,9
2019-06-13,25,15,小雨,西南风,2级,20.0,10
2019-06-14,22,10,小雨,东北风,4级,16.0,12
2019-06-15,14,8,阴,东北风,4级,11.0,6
2019-06-16,19,8,阴,东南风,1级,13.5,11
2019-06-17,20,12,多云,东南风,2级,16.0,8
2019-06-18,16,12,阴,西北风,1级,14.0,4
2019-06-19,22,11,小雨,西北风,3级,16.5,11
2019-06-20,16,12,小雨,西北风,2级,14.0,4
2019-06-21,20,13,多云,西南风,1级,16.5,7
2019-06-22,25,13,多云,西北风,1级,19.0,12
2019-06-23,27,13,多云,西北风,1级,20.0,14
2019-06-24,30,17,阴,东南风,2级,23.5,13
2019-06-25,30,20,多云,西南风,3级,25.0,10
2019-06-26,31,18,多云,西北风,1级,24.5,13
2019-06-27,26,15,阵雨,东北风,3级,20.5,11
2019-06-28,17,14,小雨,东北风,1级,15.5,3
2019-06-29,20,14,阴,东南风,3级,17.0,6
2019-06-30,16,14,小雨,东北风,1级,15.0,2
2019-05-01,17,1,阴,西北风,3级,9.0,16
2019-05-02,21,3,多云,西北风,3级,12.0,18
2019-05-03,30,6,晴,西南风,1级,18.0,24
2019-05-04,29,16,多云,东南风,1级,22.5,13
2019-05-05,18,3,阴,西北风,5级,10.5,15
2019-05-06,15,4,阴,西北风,4级,9.5,11
2019-05-07,18,3,多云,东北风,2级,10.5,15
2019-05-08,23,7,阴,西北风,3级,15.0,16
2019-05-09,23,4,多云,东北风,1级,13.5,19
2019-05-10,24,4,多云,东南风,3级,14.0,20
2019-05-11,27,4,阴,东南风,2级,15.5,23
2019-05-12,30,11,多云,东北风,1级,20.5,19
2019-05-13,26,10,多云,东南风,4级,18.0,16
2019-05-14,22,8,多云,西南风,3级,15.0,14
2019-05-15,28,13,阴,西南风,2级,20.5,15
2019-05-16,25,14,阴,西北风,3级,19.5,11
2019-05-17,25,14,阴,东南风,4级,19.5,11
2019-05-18,27,11,阴,西北风,3级,19.0,16
2019-05-19,17,13,阴,东南风,5级,15.0,4
2019-05-20,15,8,阴,西南风,5级,11.5,7
2019-05-21,15,7,阴,西南风,4级,11.0,8
2019-05-22,14,7,阴,西北风,4级,10.5,7
2019-05-23,19,9,多云,西北风,1级,14.0,10
2019-05-24,29,17,多云,西南风,4级,23.0,12
2019-05-25,33,18,多云,西南风,3级,25.5,15
2019-05-26,27,13,多云,东北风,2级,20.0,14
2019-05-27,15,8,阴,西北风,5级,11.5,7
2019-05-28,17,7,阴,西南风,4级,12.0,10
2019-05-29,13,7,阴,西北风,3级,10.0,6
2019-05-30,24,9,阴,西北风,3级,16.5,15
2019-05-31,17,8,阴,西北风,2级,12.5,9
2019-04-01,2,-6,多云,西南风,3级,-2.0,8
2019-04-02,5,-3,多云,西北风,4级,1.0,8
2019-04-03,10,-4,多云,西南风,3级,3.0,14
2019-04-04,10,0,阴,东南风,4级,5.0,10
2019-04-05,5,-2,雨夹雪,西北风,5级,1.5,7
2019-04-06,7,-3,阴,西北风,3级,2.0,10
2019-04-07,6,-2,雨夹雪,西北风,1级,2.0,8
2019-04-08,8,-2,阴,西北风,2级,3.0,10
2019-04-09,12,-3,多云,东北风,1级,4.5,15
2019-04-10,9,-2,晴,西北风,2级,3.5,11
2019-04-11,11,-2,多云,西北风,1级,4.5,13
2019-04-12,17,2,晴,东北风,1级,9.5,15
2019-04-13,14,-2,阴,西南风,1级,6.0,16
2019-04-14,10,-3,阴,西南风,1级,3.5,13
2019-04-15,17,1,多云,西南风,4级,9.0,16
2019-04-16,26,7,晴,西南风,5级,16.5,19
2019-04-17,23,3,多云,西南风,2级,13.0,20
2019-04-18,4,-1,阴,西北风,5级,1.5,5
2019-04-19,9,-2,晴,西北风,2级,3.5,11
2019-04-20,15,1,晴,西北风,1级,8.0,14
2019-04-21,13,-1,多云,西北风,3级,6.0,14
2019-04-22,18,7,多云,东南风,3级,12.5,11
2019-04-23,23,6,阴,西北风,5级,14.5,17
2019-04-24,12,0,扬沙,西北风,3级,6.0,12
2019-04-25,11,-1,多云,东北风,1级,5.0,12
2019-04-26,12,-2,多云,东南风,1级,5.0,14
2019-04-27,14,2,多云,西北风,1级,8.0,12
2019-04-28,21,5,多云,西北风,1级,13.0,16
2019-04-29,18,4,阴,西北风,1级,11.0,14
2019-04-30,21,7,阴,西南风,3级,14.0,14
2019-03-01,3,-10,扬沙,西北风,3级,-3.5,13
2019-03-02,7,-3,多云,西北风,1级,2.0,10
2019-03-03,6,-3,阴,西北风,2级,1.5,9
2019-03-04,6,-3,多云,西南风,1级,1.5,9
2019-03-05,5,-6,阴,西南风,2级,-0.5,11
2019-03-06,2,-6,多云,西北风,2级,-2.0,8
2019-03-07,4,-11,多云,东北风,微风,-3.5,15
2019-03-08,10,-1,晴,西南风,3级,4.5,11
2019-03-09,7,-9,扬沙,西北风,3级,-1.0,16
2019-03-10,8,-8,多云,西北风,1级,0.0,16
2019-03-11,6,-4,阴,西北风,1级,1.0,10
2019-03-12,2,-7,阴,西北风,5级,-2.5,9
2019-03-13,2,-5,阴,西北风,3级,-1.5,7
2019-03-14,4,-5,阴,东北风,1级,-0.5,9
2019-03-15,2,-8,阴,西南风,1级,-3.0,10
2019-03-16,4,-11,多云,东南风,1级,-3.5,15
2019-03-17,9,-1,晴,西南风,3级,4.0,10
2019-03-18,19,-5,阴,西北风,4级,7.0,24
2019-03-19,14,2,阴,北风,2级,8.0,12
2019-03-20,6,-4,扬沙,东北风,3级,1.0,10
2019-03-21,-4,-8,阴,西北风,5级,-6.0,4
2019-03-22,-2,-11,多云,西北风,1级,-6.5,9
2019-03-23,-3,-15,阴,西南风,4级,-9.0,12
2019-03-24,6,-7,阴,北风,2级,-0.5,13
2019-03-25,10,-3,多云,西南风,5级,3.5,13
