日期,最高气温,最低气温,天气,风向,风力,平均气温,温差
2019-09-01,29,18,多云,东南风,2级,23.5,11
2019-09-02,28,20,阴,西南风,1级,24.0,8
2019-09-03,28,17,小雨,东南风,1级,22.5,11
2019-09-04,28,16,多云,南风,微风,22.0,12
2019-09-05,29,16,晴,东南风,1级,22.5,13
2019-09-06,30,17,多云,北风,微风,23.5,13
2019-09-07,31,17,晴,东南风,1级,24.0,14
2019-09-08,32,19,晴,东南风,1级,25.5,13
2019-09-09,31,18,多云,北风,微风,24.5,13
2019-09-10,30,23,阴,北风,1级,26.5,7
2019-09-11,25,20,阴,东北风,2级,22.5,5
2019-09-12,26,22,阴,东北风,1级,24.0,4
2019-09-13,28,19,阴,东北风,2级,23.5,9
2019-09-14,27,18,多云,东北风,2级,22.5,9
2019-09-15,21,16,阴,东北风,2级,18.5,5
2019-09-16,25,17,阴,西南风,1级,21.0,8
2019-09-17,20,14,阴,西南风,1级,17.0,6
2019-09-18,28,16,多云,西北风,2级,22.0,12
2019-09-19,22,17,阴,东南风,1级,19.5,5
2019-09-20,25,16,阴,北风,1级,20.5,9
2019-09-21,28,15,多云,北风,1级,21.5,13
2019-09-22,29,10,晴,北风,2级,19.5,19
2019-09-23,30,16,晴,东南风,微风,23.0,14
2019-09-24,31,15,多云,东南风,1级,23.0,16
2019-09-25,31,15,多云,东南风,1级,23.0,16
2019-09-26,31,13,多云,东南风,2级,22.0,18
2019-09-27,29,13,多云,东南风,2级,21.0,16
2019-09-28,30,13,晴,东南风,1级,21.5,17
2019-09-29,31,14,晴,东南风,2级,22.5,17
2019-09-30,31,17,晴,东南风,2级,24.0,14
2019-08-01,32,23,暴雨,东南风,3级,27.5,9
2019-08-02,29,23,小雨,西北风,2级,26.0,6
2019-08-03,32,24,阴,西北风,1级,28.0,8
2019-08-04,31,24,阴,东北风,1级,27.5,7
2019-08-05,33,24,小雨,东北风,1级,28.5,9
2019-08-06,31,24,大雨,东南风,2级,27.5,7
2019-08-07,28,24,小雨,西南风,2级,26.0,4
2019-08-08,31,24,阴,西南风,微风,27.5,7
2019-08-09,32,25,多云,北风,1级,28.5,7
2019-08-10,30,23,阴,东北风,3级,26.5,7
2019-08-11,24,22,阴,西北风,4级,23.0,2
2019-08-12,27,22,中雨,西南风,1级,24.5,5
2019-08-13,30,23,阴,北风,1级,26.5,7
2019-08-14,31,21,多云,东北风,4级,26.0,10
2019-08-15,32,23,晴,东南风,1级,27.5,9
2019-08-16,32,21,晴,西北风,3级,26.5,11
2019-08-17,31,19,多云,北风,微风,25.0,12
2019-08-18,31,20,晴,南风,微风,25.5,11
2019-08-19,30,19,晴,东南风,2级,24.5,11
2019-08-20,30,23,阴,东南风,1级,26.5,7
2019-08-21,25,21,小雨,东北风,1级,23.0,4
2019-08-22,30,21,多云,东北风,1级,25.5,9
2019-08-23,31,20,多云,北风,微风,25.5,11
2019-08-24,32,21,多云,东北风,1级,26.5,11
2019-08-25,31,21,多云,东北风,1级,26.0,10
2019-08-26,30,23,阴,东北风,1级,26.5,7
2019-08-27,26,21,小雨,东南风,1级,23.5,5
2019-08-28,32,19,多云,西南风,1级,25.5,13
2019-08-29,30,15,晴,东北风,1级,22.5,15
2019-08-30,31,15,晴,西北风,1级,23.0,16
2019-08-31,31,17,多云,北风,微风,24.0,14
2019-07-01,34,21,晴,西南风,1级,27.5,13
2019-07-02,34,21,多云,西南风,2级,27.5,13
2019-07-03,36,22,多云,南风,微风,29.0,14
2019-07-04,31,22,阴,西南风,3级,26.5,9
2019-07-05,34,25,晴,东南风,2级,29.5,9
2019-07-06,31,22,多云,北风,2级,26.5,9
2019-07-07,33,20,多云,西北风,1级,26.5,13
2019-07-08,28,21,阴,东南风,2级,24.5,7
2019-07-09,30,20,多云,东北风,2级,25.0,10
2019-07-10,28,21,小雨,西北风,1级,24.5,7
2019-07-11,33,23,多云,东南风,1级,28.0,10
2019-07-12,31,22,阴,东北风,1级,26.5,9
2019-07-13,33,21,多云,西南风,2级,27.0,12
2019-07-14,34,24,晴,西南风,2级,29.0,10
2019-07-15,34,25,多云,东南风,1级,29.5,9
2019-07-16,34,26,阴,东北风,2级,30.0,8
2019-07-17,30,22,小雨,东北风,3级,26.0,8
