日期,最高气温,最低气温,天气,风向,风力,平均气温,温差
2019-09-01,34,25,阴,东北风,2级,29.5,9
2019-09-02,33,24,阴,东北风,5级,28.5,9
2019-09-03,32,24,小雨,东北风,3级,28.0,8
2019-09-04,31,23,阴,东北风,1级,27.0,8
2019-09-05,34,24,多云,东北风,2级,29.0,10
2019-09-06,34,24,阴,西南风,1级,29.0,10
2019-09-07,35,23,晴,东北风,1级,29.0,12
2019-09-08,35,23,晴,东北风,2级,29.0,12
2019-09-09,35,23,多云,东北风,1级,29.0,12
2019-09-10,35,24,多云,东南风,1级,29.5,11
2019-09-11,35,24,多云,东北风,3级,29.5,11
2019-09-12,35,24,晴,东南风,1级,29.5,11
2019-09-13,36,25,多云,东南风,2级,30.5,11
2019-09-14,36,24,多云,东北风,1级,30.0,12
2019-09-15,35,24,多云,东北风,2级,29.5,11
2019-09-16,34,23,多云,东北风,2级,28.5,11
2019-09-17,34,22,多云,东北风,2级,28.0,12
2019-09-18,35,21,多云,东北风,2级,28.0,14
2019-09-19,32,18,晴,东北风,2级,25.0,14
2019-09-20,32,18,晴,东南风,2级,25.0,14
2019-09-21,33,19,晴,东北风,1级,26.0,14
2019-09-22,29,19,多云,东北风,2级,24.0,10
2019-09-23,30,17,晴,东南风,1级,23.5,13
2019-09-24,31,17,多云,东南风,1级,24.0,14
2019-09-25,31,17,晴,东北风,2级,24.0,14
2019-09-26,31,18,晴,东北风,2级,24.5,13
2019-09-27,31,19,晴,东北风,2级,25.0,12
2019-09-28,33,21,阴,东北风,2级,27.0,12
2019-09-29,33,22,晴,东北风,1级,27.5,11
2019-09-30,31,22,多云,东北风,2级,26.5,9
2019-08-01,33,25,多云,东南风,1级,29.0,8
2019-08-02,31,24,阴,东北风,2级,27.5,7
2019-08-03,34,24,多云,东南风,1级,29.0,10
2019-08-04,35,25,多云,东北风,1级,30.0,10
2019-08-05,35,25,多云,东北风,2级,30.0,10
2019-08-06,36,25,阴,东北风,2级,30.5,11
2019-08-07,35,25,晴,东北风,1级,30.0,10
2019-08-08,35,26,多云,东南风,1级,30.5,9
2019-08-09,37,27,阴,西南风,2级,32.0,10
2019-08-10,35,26,阴,东南风,4级,30.5,9
2019-08-11,35,26,阴,东南风,2级,30.5,9
2019-08-12,35,25,多云,西南风,1级,30.0,10
2019-08-13,38,26,多云,西北风,1级,32.0,12
2019-08-14,35,25,阴,西南风,2级,30.0,10
2019-08-15,35,25,阴,西北风,1级,30.0,10
2019-08-16,34,25,多云,东北风,1级,29.5,9
2019-08-17,34,24,中雨,东北风,2级,29.0,10
