日期,最高气温,最低气温,天气,风向,风力,平均气温,温差
2019-09-01,25,17,多云,东南风,2级,21.0,8
2019-09-02,23,16,阴,东北风,2级,19.5,7
2019-09-03,23,17,阵雨,西南风,2级,20.0,6
2019-09-04,26,18,阴,西南风,微风,22.0,8
2019-09-05,25,18,多云,东南风,微风,21.5,7
2019-09-06,23,18,阴,东南风,1级,20.5,5
2019-09-07,28,18,阴,西南风,2级,23.0,10
2019-09-08,26,19,阴,东南风,2级,22.5,7
2019-09-09,27,19,阴,西南风,3级,23.0,8
2019-09-10,26,19,阴,东北风,1级,22.5,7
2019-09-11,21,18,阴,东南风,2级,19.5,3
2019-09-12,26,18,阴,西南风,2级,22.0,8
2019-09-13,27,18,阴,东南风,2级,22.5,9
2019-09-14,25,17,多云,东南风,2级,21.0,8
2019-09-15,25,16,多云,西南风,2级,20.5,9
2019-09-16,27,16,多云,东南风,2级,21.5,11
2019-09-17,28,17,多云,西南风,1级,22.5,11
2019-09-18,25,17,多云,东南风,3级,21.0,8
2019-09-19,24,17,阴,西南风,2级,20.5,7
2019-09-20,25,15,阴,东北风,3级,20.0,10
2019-09-21,16,14,阴,西北风,微风,15.0,2
2019-09-22,22,12,多云,南风,微风,17.0,10
2019-09-23,21,14,晴,东南风,2级,17.5,7
2019-09-24,20,13,多云,东南风,微风,16.5,7
2019-09-25,16,13,阴,东北风,2级,14.5,3
2019-09-26,20,14,阴,东南风,1级,17.0,6
2019-09-27,22,13,多云,东南风,1级,17.5,9
2019-09-28,24,14,雾,东南风,1级,19.0,10
2019-09-29,26,14,雾,西南风,2级,20.0,12
2019-09-30,26,15,多云,西南风,1级,20.5,11
2019-08-01,27,17,小雨,东南风,1级,22.0,10
2019-08-02,28,19,阴,东南风,1级,23.5,9
2019-08-03,28,17,阴,西北风,1级,22.5,11
2019-08-04,26,16,阴,东北风,1级,21.0,10
2019-08-05,26,17,阴,西南风,2级,21.5,9
2019-08-06,27,18,阴,东南风,2级,22.5,9
2019-08-07,24,18,小雨,东北风,1级,21.0,6
2019-08-08,28,18,阴,西南风,1级,23.0,10
2019-08-09,22,18,小雨,西北风,2级,20.0,4
2019-08-10,25,18,阴,东北风,1级,21.5,7
2019-08-11,29,18,多云,西南风,2级,23.5,11
2019-08-12,29,18,多云,西南风,2级,23.5,11
2019-08-13,29,18,多云,西南风,2级,23.5,11
2019-08-14,26,18,阴,西南风,1级,22.0,8
2019-08-15,27,18,小雨,西南风,2级,22.5,9
2019-08-16,29,18,阴,东南风,2级,23.5,11
2019-08-17,30,18,多云,东南风,3级,24.0,12
2019-08-18,29,19,阴,南风,3级,24.0,10
2019-08-19,29,19,阴,东南风,3级,24.0,10
2019-08-20,27,18,阴,东南风,1级,22.5,9
2019-08-21,28,19,小雨,东南风,2级,23.5,9
2019-08-22,25,18,阴,东北风,1级,21.5,7
2019-08-23,23,17,中雨,西南风,2级,20.0,6
2019-08-24,27,18,多云,西南风,1级,22.5,9
2019-08-25,28,18,多云,东南风,2级,23.0,10
2019-08-26,30,18,多云,东南风,2级,24.0,12
2019-08-27,27,17,小雨,西南风,微风,22.0,10
2019-08-28,26,17,大雨,东南风,2级,21.5,9
2019-08-29,28,18,中雨,西南风,2级,23.0,10
2019-08-30,26,17,阴,东北风,3级,21.5,9
2019-08-31,23,17,阴,东北风,2级,20.0,6
2019-07-01,25,18,多云,西南风,2级,21.5,7
2019-07-02,27,18,多云,东南风,2级,22.5,9
2019-07-03,28,19,阵雨,西北风,1级,23.5,9
2019-07-04,29,18,阴,东北风,1级,23.5,11
2019-07-05,24,18,阴,东北风,1级,21.0,6
2019-07-06,26,18,阴,西南风,2级,22.0,8
2019-07-07,28,20,阵雨,西南风,3级,24.0,8
2019-07-08,27,19,阴,西南风,2级,23.0,8
2019-07-09,26,17,大雨,东北风,2级,21.5,9
2019-07-10,20,18,小雨,东南风,2级,19.0,2
2019-07-11,23,18,阴,西南风,3级,20.5,5
2019-07-12,24,18,阴,西南风,2级,21.0,6
2019-07-13,24,17,阴,西南风,3级,20.5,7
2019-07-14,26,18,阴,西南风,3级,22.0,8
2019-07-15,27,18,阴,西南风,3级,22.5,9
2019-07-16,27,19,阴,西南风,3级,23.0,8
2019-07-17,28,19,阴,东南风,2级,23.5,9
2019-07-18,29,18,阴,西南风,2级,23.5,11
2019-07-19,29,19,阴,东南风,1级,24.0,10
2019-07-20,19,19,中雨,南风,微风,19.0,0
2019-07-21,24,19,中雨,东南风,3级,21.5,5
2019-07-22,23,19,阴,西南风,2级,21.0,4
2019-07-23,21,18,小雨,西南风,1级,19.5,3
2019-07-24,27,18,阴,东北风,1级,22.5,9
2019-07-25,22,17,中雨,东北风,微风,19.5,5
2019-07-26,23,17,小雨,西南风,1级,20.0,6
2019-07-27,26,18,阴,东南风,2级,22.0,8
2019-07-28,28,19,阴,东南风,2级,23.5,9
2019-07-29,25,18,阴,东南风,1级,21.5,7
2019-07-30,26,18,小雨,东南风,1级,22.0,8
2019-07-31,26,18,阴,西南风,2级,22.0,8
2019-06-01,28,14,多云,东北风,3级,21.0,14
2019-06-02,28,15,多云,东南风,3级,21.5,13
2019-06-03,29,18,阴,西南风,3级,23.5,11
2019-06-04,29,18,晴,西南风,3级,23.5,11
2019-06-05,29,18,晴,西南风,2级,23.5,11
2019-06-06,30,19,多云,西南风,4级,24.5,11
