日期,最高气温,最低气温,天气,风向,风力,平均气温,温差
2019-09-01,26,15,多云,东南风,2级,20.5,11
2019-09-02,26,12,晴,东南风,2级,19.0,14
2019-09-03,24,13,多云,东南风,2级,18.5,11
2019-09-04,26,13,晴,东南风,2级,19.5,13
2019-09-05,26,14,晴,东南风,2级,20.0,12
2019-09-06,28,15,晴,东南风,2级,21.5,13
2019-09-07,29,17,晴,北风,2级,23.0,12
2019-09-08,30,18,晴,东北风,1级,24.0,12
2019-09-09,23,16,阴,东北风,3级,19.5,7
2019-09-10,17,15,阴,东南风,3级,16.0,2
2019-09-11,15,14,阴,东南风,4级,14.5,1
2019-09-12,17,11,阴,西北风,4级,14.0,6
2019-09-13,19,5,阴,西南风,1级,12.0,14
2019-09-14,20,11,多云,东南风,3级,15.5,9
2019-09-15,22,10,阴,东南风,2级,16.0,12
2019-09-16,23,12,阴,东北风,2级,17.5,11
2019-09-17,24,10,阴,东南风,2级,17.0,14
2019-09-18,22,13,阴,东南风,2级,17.5,9
2019-09-19,14,10,阴,东南风,2级,12.0,4
2019-09-20,20,8,多云,东北风,2级,14.0,12
2019-09-21,23,9,晴,西南风,2级,16.0,14
2019-09-22,24,10,多云,东北风,3级,17.0,14
2019-09-23,23,9,晴,东南风,2级,16.0,14
2019-09-24,24,9,晴,东北风,2级,16.5,15
2019-09-25,24,10,晴,东南风,1级,17.0,14
2019-09-26,23,11,晴,东南风,3级,17.0,12
2019-09-27,23,11,晴,东南风,2级,17.0,12
2019-09-28,24,12,晴,东南风,3级,18.0,12
2019-09-29,24,13,阴,东南风,2级,18.5,11
2019-09-30,24,14,多云,东南风,3级,19.0,10
2019-08-01,30,18,阴,东南风,5级,24.0,12
2019-08-02,28,20,阴,东北风,2级,24.0,8
2019-08-03,19,17,中雨,东南风,4级,18.0,2
2019-08-04,24,18,阴,东南风,2级,21.0,6
2019-08-05,27,19,阴,西北风,2级,23.0,8
2019-08-06,28,18,多云,西北风,4级,23.0,10
2019-08-07,27,18,晴,东南风,2级,22.5,9
2019-08-08,28,18,阴,西北风,3级,23.0,10
2019-08-09,27,17,晴,东南风,3级,22.0,10
2019-08-10,27,16,多云,东北风,2级,21.5,11
2019-08-11,26,16,多云,东北风,2级,21.0,10
2019-08-12,29,16,晴,东北风,3级,22.5,13
2019-08-13,27,16,多云,西北风,2级,21.5,11
2019-08-14,29,16,晴,东北风,2级,22.5,13
2019-08-15,33,14,晴,西南风,2级,23.5,19
2019-08-16,24,12,阴,东北风,2级,18.0,12
2019-08-17,25,14,晴,东南风,2级,19.5,11
2019-08-18,28,19,多云,东南风,3级,23.5,9
2019-08-19,27,20,阴,东南风,4级,23.5,7
2019-08-20,23,16,多云,西南风,3级,19.5,7
2019-08-21,27,14,晴,东北风,3级,20.5,13
2019-08-22,25,16,多云,东南风,2级,20.5,9
2019-08-23,19,17,阴,东北风,2级,18.0,2
2019-08-24,19,14,小雨,东南风,3级,16.5,5
2019-08-25,24,17,多云,西南风,2级,20.5,7
2019-08-26,21,16,阴,西南风,2级,18.5,5
2019-08-27,27,11,多云,西北风,2级,19.0,16
2019-08-28,28,11,晴,西北风,3级,19.5,17
2019-08-29,25,11,晴,东北风,2级,18.0,14
2019-08-30,26,12,晴,东北风,2级,19.0,14
2019-08-31,26,13,晴,东南风,2级,19.5,13
2019-07-01,31,18,多云,东南风,2级,24.5,13
2019-07-02,34,19,多云,东南风,4级,26.5,15
2019-07-03,33,20,多云,西北风,2级,26.5,13
2019-07-04,33,22,晴,西南风,4级,27.5,11
2019-07-05,28,15,晴,西北风,3级,21.5,13
2019-07-06,26,16,晴,东北风,3级,21.0,10
2019-07-07,29,16,多云,东北风,2级,22.5,13
2019-07-08,25,15,阴,西南风,2级,20.0,10
2019-07-09,20,15,中雨,西南风,2级,17.5,5
2019-07-10,25,17,多云,东南风,2级,21.0,8
2019-07-11,27,16,多云,东南风,3级,21.5,11
2019-07-12,29,18,多云,东南风,2级,23.5,11
2019-07-13,31,19,阴,西南风,3级,25.0,12
2019-07-14,33,21,多云,西南风,3级,27.0,12
2019-07-15,29,20,阴,东北风,3级,24.5,9
2019-07-16,23,17,中雨,东南风,2级,20.0,6
2019-07-17,25,18,多云,东南风,2级,21.5,7
2019-07-18,25,19,多云,西南风,2级,22.0,6
2019-07-19,26,19,小雨,西北风,1级,22.5,7
2019-07-20,31,20,多云,东南风,1级,25.5,11
2019-07-21,28,20,阴,东北风,2级,24.0,8
2019-07-22,26,17,小雨,东南风,2级,21.5,9
2019-07-23,31,18,晴,东南风,3级,24.5,13
2019-07-24,25,15,阴,东南风,2级,20.0,10
2019-07-25,31,19,晴,东南风,3级,25.0,12
2019-07-26,32,22,晴,东南风,3级,27.0,10
2019-07-27,32,21,多云,东南风,2级,26.5,11
2019-07-28,33,18,多云,东北风,3级,25.5,15
2019-07-29,28,15,阴,东南风,2级,21.5,13
2019-07-30,31,16,晴,东南风,3级,23.5,15
2019-07-31,30,18,晴,东南风,2级,24.0,12
2019-06-01,27,14,晴,东南风,2级,20.5,13
2019-06-02,31,14,晴,西北风,3级,22.5,17
2019-06-03,31,18,晴,东南风,2级,24.5,13
2019-06-04,30,15,阴,西南风,3级,22.5,15
2019-06-05,25,13,阴,东南风,3级,19.0,12
2019-06-06,28,17,晴,西南风,2级,22.5,11
2019-06-07,26,12,阴,东南风,3级,19.0,14
2019-06-08,30,16,晴,西北风,1级,23.0,14
2019-06-09,29,16,晴,东北风,2级,22.5,13
2019-06-10,31,19,阴,东南风,2级,25.0,12
2019-06-11,31,19,阴,东南风,4级,25.0,12
2019-06-12,26,15,小雨,东北风,1级,20.5,11
2019-06-13,26,17,阴,东北风,1级,21.5,9
2019-06-14,29,18,多云,东南风,2级,23.5,11
2019-06-15,25,15,阴,北风,2级,20.0,10
2019-06-16,27,16,阴,东南风,2级,21.5,11
2019-06-17,30,18,阴,东南风,3级,24.0,12
2019-06-18,32,21,阴,东南风,2级,26.5,11
2019-06-19,29,18,阴,东北风,2级,23.5,11
2019-06-20,28,17,阴,西南风,2级,22.5,11
2019-06-21,23,19,阴,东南风,2级,21.0,4
2019-06-22,25,17,阴,西南风,2级,21.0,8
2019-06-23,28,17,多云,东南风,3级,22.5,11
2019-06-24,25,14,阴,东南风,3级,19.5,11
2019-06-25,28,20,多云,东南风,2级,24.0,8
2019-06-26,25,15,小雨,西北风,3级,20.0,10
2019-06-27,20,13,小雨,西北风,2级,16.5,7
2019-06-28,29,13,多云,西北风,2级,21.0,16
2019-06-29,26,12,多云,西北风,3级,19.0,14
2019-06-30,28,14,多云,东北风,1级,21.0,14
2019-05-01,19,6,多云,东南风,3级,12.5,13
2019-05-02,20,11,多云,东南风,3级,15.5,9
2019-05-03,21,11,阴,东北风,2级,16.0,10
2019-05-04,23,12,多云,东北风,4级,17.5,11
2019-05-05,20,12,阴,东北风,3级,16.0,8
2019-05-06,17,9,阴,东南风,3级,13.0,8
2019-05-07,17,7,阴,西南风,4级,12.0,10
2019-05-08,13,7,阴,西北风,3级,10.0,6
2019-05-09,20,8,多云,西北风,2级,14.0,12
2019-05-10,19,9,多云,西北风,2级,14.0,10
2019-05-11,24,7,多云,西南风,5级,15.5,17
2019-05-12,11,2,扬沙,西北风,2级,6.5,9
2019-05-13,20,8,晴,东南风,3级,14.0,12
2019-05-14,22,10,阴,东南风,2级,16.0,12
2019-05-15,23,12,阴,西南风,2级,17.5,11
2019-05-16,26,11,阴,西南风,5级,18.5,15
2019-05-17,26,15,晴,东南风,2级,20.5,11
2019-05-18,25,10,阴,北风,6级,17.5,15
2019-05-19,14,3,扬沙,东北风,3级,8.5,11
2019-05-20,20,7,多云,西南风,2级,13.5,13
2019-05-21,26,10,多云,西北风,2级,18.0,16
2019-05-22,29,13,晴,西南风,2级,21.0,16
2019-05-23,30,16,阴,东南风,3级,23.0,14
2019-05-24,30,16,阴,东北风,2级,23.0,14
2019-05-25,32,16,多云,西北风,4级,24.0,16
2019-05-26,20,11,多云,西北风,4级,15.5,9
2019-05-27,20,10,阴,东北风,2级,15.0,10
2019-05-28,24,12,晴,西南风,3级,18.0,12
2019-05-29,26,18,阴,西北风,2级,22.0,8
2019-05-30,25,11,多云,西北风,3级,18.0,14
2019-05-31,26,13,晴,西北风,4级,19.5,13
2019-04-01,18,4,晴,东北风,3级,11.0,14
2019-04-02,18,2,阴,东北风,3级,10.0,16
2019-04-03,18,6,阴,东北风,2级,12.0,12
2019-04-04,21,5,阴,西北风,3级,13.0,16
2019-04-05,24,10,浮尘,西北风,2级,17.0,14
2019-04-06,21,6,阴,西北风,2级,13.5,15
2019-04-07,24,11,阴,西北风,1级,17.5,13
2019-04-08,24,7,阴,东北风,2级,15.5,17
2019-04-09,13,4,阴,北风,2级,8.5,9
2019-04-10,12,0,阴,西北风,3级,6.0,12
2019-04-11,13,2,晴,东南风,2级,7.5,11
2019-04-12,17,4,阴,东南风,4级,10.5,13
2019-04-13,16,-1,多云,北风,3级,7.5,17
2019-04-14,16,4,多云,东南风,3级,10.0,12
2019-04-15,19,3,阴,西北风,5级,11.0,16
2019-04-16,23,9,多云,东南风,3级,16.0,14
2019-04-17,26,14,晴,东北风,2级,20.0,12
2019-04-18,30,15,多云,东南风,5级,22.5,15
2019-04-19,26,14,多云,东南风,5级,20.0,12
2019-04-20,19,10,阴,西南风,2级,14.5,9
2019-04-21,23,12,多云,东南风,3级,17.5,11
2019-04-22,21,11,阴,东南风,2级,16.0,10
2019-04-23,26,15,晴,东南风,2级,20.5,11
2019-04-24,23,8,阴,西北风,3级,15.5,15
2019-04-25,23,10,多云,西北风,2级,16.5,13
2019-04-26,21,9,阴,东南风,4级,15.0,12
2019-04-27,11,6,阴,东南风,3级,8.5,5
2019-04-28,16,7,雾,东南风,3级,11.5,9
2019-04-29,22,6,多云,西北风,4级,14.0,16
2019-04-30,17,6,多云,东北风,2级,11.5,11
2019-03-01,9,-1,阴,东南风,2级,4.0,10
2019-03-02,8,-2,阴,西南风,2级,3.0,10
2019-03-03,10,-2,晴,东南风,3级,4.0,12
2019-03-04,12,-2,阴,西南风,1级,5.0,14
2019-03-05,10,-3,晴,东北风,3级,3.5,13
2019-03-06,9,-4,多云,东北风,3级,2.5,13
2019-03-07,10,-1,阴,东南风,3级,4.5,11
2019-03-08,9,0,阴,西南风,1级,4.5,9
2019-03-09,12,-1,雾,东北风,2级,5.5,13
2019-03-10,7,-5,扬沙,西北风,4级,1.0,12
2019-03-11,11,-6,浮尘,西北风,3级,2.5,17
2019-03-12,7,-6,晴,北风,3级,0.5,13
2019-03-13,11,-3,多云,西北风,3级,4.0,14
2019-03-14,10,-3,晴,西北风,4级,3.5,13
2019-03-15,14,-3,晴,西南风,2级,5.5,17
2019-03-16,16,-2,晴,西北风,2级,7.0,18
2019-03-17,14,3,阴,西南风,5级,8.5,11
2019-03-18,18,2,晴,东南风,2级,10.0,16
2019-03-19,17,3,阴,西北风,2级,10.0,14
2019-03-20,9,-5,扬沙,西北风,3级,2.0,14
2019-03-21,5,-6,阴,西北风,1级,-0.5,11
2019-03-22,8,-5,多云,西北风,4级,1.5,13
2019-03-23,10,-2,晴,东北风,1级,4.0,12
2019-03-24,13,-4,阴,西南风,2级,4.5,17
2019-03-25,16,1,晴,西北风,2级,8.5,15
2019-03-26,16,2,多云,西南风,2级,9.0,14
2019-03-27,16,3,浮尘,西南风,1级,9.5,13
2019-03-28,12,-1,扬沙,西北风,2级,5.5,13
2019-03-29,8,-6,晴,东北风,3级,1.0,14
2019-03-30,7,-4,晴,西北风,2级,1.5,11
2019-03-31,12,-1,晴,东北风,2级,5.5,13
2019-02-01,2,-9,晴,东南风,4级,-3.5,11
2019-02-02,2,-8,多云,西北风,3级,-3.0,10
2019-02-03,0,-10,多云,东南风,2级,-5.0,10
2019-02-04,10,-6,晴,西北风,3级,2.0,16
2019-02-05,8,-7,多云,西北风,2级,0.5,15
2019-02-06,7,-14,多云,西北风,5级,-3.5,21
2019-02-07,-5,-12,多云,东南风,2级,-8.5,7
2019-02-08,-1,-14,阴,西北风,4级,-7.5,13
2019-02-09,-5,-11,阴,西北风,1级,-8.0,6
2019-02-10,0,-13,阴,东南风,3级,-6.5,13
2019-02-11,4,-8,晴,东南风,3级,-2.0,12
2019-02-12,3,-7,晴,东北风,2级,-2.0,10
2019-02-13,3,-4,阴,东南风,5级,-0.5,7
2019-02-14,1,-15,阴,北风,4级,-7.0,16
2019-02-15,-3,-16,晴,西北风,2级,-9.5,13
2019-02-16,-1,-12,晴,东北风,2级,-6.5,11
2019-02-17,1,-7,阴,东北风,1级,-3.0,8
2019-02-18,-1,-11,阴,西南风,2级,-6.0,10
2019-02-19,2,-11,雾,东北风,2级,-4.5,13
2019-02-20,7,-5,多云,东南风,2级,1.0,12
