日期,最高气温,最低气温,天气,风向,风力,平均气温,温差
2019-09-01,19,16,阴,东北风,2级,17.5,3
2019-09-02,26,18,雾,东北风,2级,22.0,8
2019-09-03,26,17,多云,东南风,2级,21.5,9
2019-09-04,28,18,多云,东南风,1级,23.0,10
2019-09-05,27,19,雾,西北风,2级,23.0,8
2019-09-06,29,21,阴,东北风,2级,25.0,8
2019-09-07,31,21,多云,东北风,2级,26.0,10
2019-09-08,25,21,阴,东北风,2级,23.0,4
2019-09-09,26,21,阴,东南风,2级,23.5,5
2019-09-10,27,21,阴,西南风,2级,24.0,6
2019-09-11,29,20,多云,东南风,3级,24.5,9
2019-09-12,31,20,多云,东南风,3级,25.5,11
2019-09-13,31,20,多云,东北风,1级,25.5,11
2019-09-14,32,20,多云,东北风,2级,26.0,12
2019-09-15,27,20,阴,西北风,3级,23.5,7
2019-09-16,26,19,阴,东北风,2级,22.5,7
2019-09-17,26,19,阴,西北风,1级,22.5,7
2019-09-18,18,16,阵雨,东南风,2级,17.0,2
2019-09-19,19,17,阴,东北风,1级,18.0,2
2019-09-20,19,15,阴,西北风,2级,17.0,4
2019-09-21,25,13,阴,东北风,1级,19.0,12
2019-09-22,25,14,雾,东北风,2级,19.5,11
2019-09-23,26,14,雾,东北风,1级,20.0,12
2019-09-24,24,15,多云,西北风,2级,19.5,9
2019-09-25,20,15,阴,东北风,1级,17.5,5
2019-09-26,26,15,雾,东北风,1级,20.5,11
2019-09-27,27,15,雾,西北风,1级,21.0,12
2019-09-28,28,15,雾,东北风,1级,21.5,13
2019-09-29,29,15,雾,东南风,1级,22.0,14
2019-09-30,29,18,晴,东北风,2级,23.5,11
2019-08-01,32,21,多云,东南风,1级,26.5,11
2019-08-02,32,21,多云,东南风,2级,26.5,11
2019-08-03,29,22,小雨,西北风,1级,25.5,7
2019-08-04,26,21,小雨,东北风,1级,23.5,5
2019-08-05,28,22,多云,北风,微风,25.0,6
2019-08-06,31,22,雾,东南风,1级,26.5,9
2019-08-07,29,22,小雨,东北风,1级,25.5,7
2019-08-08,29,22,小雨,东北风,1级,25.5,7
2019-08-09,30,22,雾,西北风,2级,26.0,8
2019-08-10,33,21,阴,东北风,1级,27.0,12
2019-08-11,34,22,雾,西北风,1级,28.0,12
2019-08-12,35,20,晴,东北风,1级,27.5,15
2019-08-13,35,20,晴,西北风,3级,27.5,15
2019-08-14,33,20,多云,东北风,2级,26.5,13
2019-08-15,34,21,晴,西北风,2级,27.5,13
2019-08-16,35,21,晴,东南风,2级,28.0,14
2019-08-17,34,21,多云,东南风,2级,27.5,13
2019-08-18,33,22,阴,东南风,2级,27.5,11
2019-08-19,33,23,阴,东南风,2级,28.0,10
2019-08-20,34,22,阴,东北风,2级,28.0,12
2019-08-21,33,22,阴,东南风,2级,27.5,11
2019-08-22,34,21,阴,东南风,2级,27.5,13
2019-08-23,32,21,多云,西南风,2级,26.5,11
2019-08-24,33,21,多云,东北风,1级,27.0,12
2019-08-25,32,22,多云,东南风,2级,27.0,10
2019-08-26,34,23,多云,东北风,2级,28.5,11
2019-08-27,30,22,阴,西北风,2级,26.0,8
2019-08-28,29,19,小雨,西北风,1级,24.0,10
2019-08-29,20,19,小雨,北风,微风,19.5,1
2019-08-30,22,19,阴,西北风,1级,20.5,3
2019-08-31,19,18,阴,东北风,2级,18.5,1
2019-07-01,27,20,小雨,东南风,2级,23.5,7
2019-07-02,30,19,雾,东北风,3级,24.5,11
2019-07-03,31,20,多云,东北风,1级,25.5,11
2019-07-04,30,21,阴,西北风,3级,25.5,9
2019-07-05,27,19,阴,西南风,2级,23.0,8
2019-07-06,28,21,阴,西北风,2级,24.5,7
2019-07-07,23,19,阵雨,东北风,2级,21.0,4
2019-07-08,19,18,大雨,东北风,1级,18.5,1
2019-07-09,24,18,阴,东南风,1级,21.0,6
2019-07-10,29,21,多云,东南风,1级,25.0,8
2019-07-11,25,20,阴,东北风,2级,22.5,5
2019-07-12,24,20,小雨,西北风,1级,22.0,4
2019-07-13,25,19,小雨,东南风,微风,22.0,6
2019-07-14,30,22,阴,西南风,2级,26.0,8
2019-07-15,27,21,阴,东南风,1级,24.0,6
2019-07-16,29,22,阴,东北风,3级,25.5,7
2019-07-17,30,23,阴,东北风,2级,26.5,7
2019-07-18,32,22,阴,东南风,1级,27.0,10
2019-07-19,28,22,小雨,西南风,微风,25.0,6
2019-07-20,29,23,小雨,东北风,2级,26.0,6
2019-07-21,29,23,雾,东南风,3级,26.0,6
2019-07-22,32,22,阴,东北风,2级,27.0,10
2019-07-23,29,22,阴,西南风,2级,25.5,7
2019-07-24,31,22,阴,南风,微风,26.5,9
2019-07-25,32,22,多云,东南风,1级,27.0,10
2019-07-26,32,22,晴,东北风,1级,27.0,10
