日期,最高气温,最低气温,天气,风向,风力,平均气温,温差
2019-09-01,30,19,晴,东南风,2级,24.5,11
2019-09-02,30,20,多云,西南风,1级,25.0,10
2019-09-03,31,19,晴,东北风,2级,25.0,12
2019-09-04,30,18,晴,东南风,3级,24.0,12
2019-09-05,32,18,晴,东南风,3级,25.0,14
2019-09-06,31,20,晴,东南风,2级,25.5,11
2019-09-07,33,19,晴,东南风,3级,26.0,14
2019-09-08,34,20,晴,东南风,2级,27.0,14
2019-09-09,32,22,多云,东北风,2级,27.0,10
2019-09-10,25,19,阴,东北风,5级,22.0,6
2019-09-11,17,16,阴,西北风,3级,16.5,1
2019-09-12,19,18,阴,东北风,微风,18.5,1
2019-09-13,25,18,多云,西南风,2级,21.5,7
2019-09-14,25,17,阴,西北风,2级,21.0,8
2019-09-15,21,14,阴,东南风,2级,17.5,7
2019-09-16,25,18,阴,东北风,2级,21.5,7
2019-09-17,23,14,阴,西南风,3级,18.5,9
2019-09-18,25,15,小雨,东北风,1级,20.0,10
2019-09-19,22,16,阴,东南风,2级,19.0,6
2019-09-20,24,15,阴,西北风,2级,19.5,9
2019-09-21,27,16,晴,西北风,2级,21.5,11
2019-09-22,26,14,晴,西南风,2级,20.0,12
2019-09-23,29,15,晴,西南风,2级,22.0,14
2019-09-24,31,16,晴,西南风,2级,23.5,15
2019-09-25,30,16,晴,西南风,1级,23.0,14
2019-09-26,29,16,晴,西南风,2级,22.5,13
2019-09-27,28,17,多云,西南风,3级,22.5,11
2019-09-28,30,17,多云,西南风,2级,23.5,13
2019-09-29,30,19,晴,东南风,2级,24.5,11
2019-09-30,30,18,晴,东南风,3级,24.0,12
2019-08-01,33,23,阴,西北风,3级,28.0,10
2019-08-02,29,23,阴,东北风,2级,26.0,6
2019-08-03,28,23,阴,东北风,2级,25.5,5
2019-08-04,28,23,大雨,东北风,2级,25.5,5
2019-08-05,31,24,阴,南风,微风,27.5,7
2019-08-06,29,24,阴,东南风,2级,26.5,5
2019-08-07,30,24,中雨,东南风,2级,27.0,6
2019-08-08,31,24,多云,东南风,1级,27.5,7
2019-08-09,32,23,阴,东南风,3级,27.5,9
2019-08-10,27,23,小雨,东北风,2级,25.0,4
2019-08-11,24,22,阴,东北风,3级,23.0,2
2019-08-12,29,22,阴,东南风,2级,25.5,7
2019-08-13,30,21,多云,东南风,2级,25.5,9
2019-08-14,32,21,小雨,西南风,3级,26.5,11
2019-08-15,33,23,晴,东南风,3级,28.0,10
2019-08-16,29,20,多云,东北风,2级,24.5,9
2019-08-17,31,19,晴,东南风,3级,25.0,12
2019-08-18,31,21,晴,东南风,3级,26.0,10
2019-08-19,31,22,多云,东南风,4级,26.5,9
2019-08-20,30,22,多云,西北风,2级,26.0,8
2019-08-21,27,21,阴,西南风,1级,24.0,6
2019-08-22,29,22,阴,西南风,1级,25.5,7
2019-08-23,29,22,多云,西南风,1级,25.5,7
2019-08-24,25,20,阴,东北风,2级,22.5,5
2019-08-25,20,20,小雨,西北风,1级,20.0,0
2019-08-26,27,21,阴,东北风,2级,24.0,6
2019-08-27,27,21,阴,东南风,1级,24.0,6
2019-08-28,34,20,晴,西北风,2级,27.0,14
2019-08-29,30,18,晴,东南风,2级,24.0,12
2019-08-30,30,18,多云,东南风,2级,24.0,12
2019-08-31,30,18,晴,西南风,2级,24.0,12
2019-07-01,36,23,晴,东南风,3级,29.5,13
2019-07-02,39,26,多云,东南风,3级,32.5,13
2019-07-03,38,26,多云,东南风,2级,32.0,12
2019-07-04,37,27,阴,西南风,4级,32.0,10
2019-07-05,39,23,多云,西南风,4级,31.0,16
2019-07-06,31,21,多云,东南风,3级,26.0,10
2019-07-07,32,20,多云,东北风,4级,26.0,12
2019-07-08,27,21,阴,东南风,1级,24.0,6
2019-07-09,31,20,阴,西南风,1级,25.5,11
2019-07-10,27,20,小雨,南风,微风,23.5,7
2019-07-11,29,21,多云,西北风,1级,25.0,8
2019-07-12,31,21,阴,东南风,3级,26.0,10
2019-07-13,35,23,晴,东南风,3级,29.0,12
2019-07-14,35,24,阴,西南风,2级,29.5,11
2019-07-15,35,25,阴,东南风,3级,30.0,10
2019-07-16,34,24,阴,东南风,3级,29.0,10
2019-07-17,30,23,阴,东南风,2级,26.5,7
2019-07-18,33,24,多云,东南风,2级,28.5,9
2019-07-19,34,25,阴,东南风,2级,29.5,9
2019-07-20,34,24,多云,东南风,1级,29.0,10
2019-07-21,36,26,多云,东南风,2级,31.0,10
2019-07-22,36,27,阴,东南风,3级,31.5,9
2019-07-23,35,25,多云,东南风,2级,30.0,10
2019-07-24,38,27,晴,东南风,3级,32.5,11
2019-07-25,36,25,阴,东南风,3级,30.5,11
2019-07-26,37,26,多云,东南风,3级,31.5,11
2019-07-27,34,25,阴,西北风,2级,29.5,9
2019-07-28,36,27,阴,西南风,3级,31.5,9
2019-07-29,37,24,小雨,东北风,2级,30.5,13
2019-07-30,35,24,多云,西南风,3级,29.5,11
2019-07-31,35,25,多云,西南风,4级,30.0,10
2019-06-01,35,22,多云,西北风,2级,28.5,13
2019-06-02,38,23,多云,西南风,4级,30.5,15
2019-06-03,33,22,多云,西南风,3级,27.5,11
2019-06-04,36,22,多云,东北风,2级,29.0,14
2019-06-05,27,18,阴,东北风,2级,22.5,9
2019-06-06,24,17,阴,东北风,2级,20.5,7
2019-06-07,32,22,多云,东北风,5级,27.0,10
2019-06-08,34,22,多云,东南风,3级,28.0,12
2019-06-09,31,18,多云,东南风,3级,24.5,13
2019-06-10,32,21,多云,东南风,3级,26.5,11
2019-06-11,35,23,阴,西南风,3级,29.0,12
2019-06-12,35,24,多云,西南风,3级,29.5,11
2019-06-13,35,22,多云,东南风,3级,28.5,13
2019-06-14,35,24,晴,西南风,2级,29.5,11
2019-06-15,36,25,阴,西南风,4级,30.5,11
2019-06-16,29,21,多云,东北风,3级,25.0,8
2019-06-17,35,24,多云,东南风,3级,29.5,11
2019-06-18,36,25,晴,东南风,3级,30.5,11
2019-06-19,34,26,多云,西南风,4级,30.0,8
