日期,最高气温,最低气温,天气,风向,风力,平均气温,温差
2019-09-01,31,19,阴,东南风,1级,25.0,12
2019-09-02,30,18,多云,西南风,2级,24.0,12
2019-09-03,31,19,晴,东南风,2级,25.0,12
2019-09-04,31,18,晴,西南风,2级,24.5,13
2019-09-05,32,18,晴,西南风,2级,25.0,14
2019-09-06,32,19,多云,东南风,1级,25.5,13
2019-09-07,34,19,晴,东南风,2级,26.5,15
2019-09-08,34,20,晴,西南风,1级,27.0,14
2019-09-09,33,22,多云,东北风,1级,27.5,11
2019-09-10,27,19,阴,东北风,3级,23.0,8
2019-09-11,18,17,阴,西北风,3级,17.5,1
2019-09-12,18,18,阴,西北风,2级,18.0,0
2019-09-13,26,18,多云,西北风,2级,22.0,8
2019-09-14,26,17,阴,西北风,2级,21.5,9
2019-09-15,19,15,阴,西南风,3级,17.0,4
2019-09-16,26,18,阴,东南风,2级,22.0,8
2019-09-17,23,14,阴,西南风,2级,18.5,9
2019-09-18,25,15,小雨,西北风,2级,20.0,10
2019-09-19,22,16,阴,东南风,1级,19.0,6
2019-09-20,24,15,阴,东北风,2级,19.5,9
2019-09-21,28,15,多云,西北风,2级,21.5,13
2019-09-22,27,15,晴,西北风,2级,21.0,12
2019-09-23,29,16,晴,西南风,2级,22.5,13
2019-09-24,32,16,晴,西北风,2级,24.0,16
2019-09-25,31,16,多云,东南风,微风,23.5,15
2019-09-26,31,16,多云,西北风,1级,23.5,15
2019-09-27,30,17,多云,西北风,1级,23.5,13
2019-09-28,31,17,多云,西南风,1级,24.0,14
2019-09-29,31,18,多云,东南风,2级,24.5,13
2019-09-30,31,19,晴,东南风,2级,25.0,12
2019-08-01,33,24,阴,西北风,3级,28.5,9
2019-08-02,30,23,阴,东北风,2级,26.5,7
2019-08-03,30,23,阴,东北风,2级,26.5,7
2019-08-04,30,23,小雨,东北风,2级,26.5,7
2019-08-05,31,24,阴,西北风,1级,27.5,7
2019-08-06,31,24,雾,东南风,1级,27.5,7
2019-08-07,30,24,小雨,东北风,1级,27.0,6
2019-08-08,32,25,多云,东北风,2级,28.5,7
2019-08-09,33,22,阴,西南风,2级,27.5,11
2019-08-10,26,23,中雨,西北风,2级,24.5,3
2019-08-11,25,22,阴,东北风,4级,23.5,3
2019-08-12,30,22,阴,西北风,1级,26.0,8
2019-08-13,31,22,阴,东南风,2级,26.5,9
2019-08-14,32,21,小雨,西北风,2级,26.5,11
2019-08-15,33,23,晴,西南风,3级,28.0,10
2019-08-16,30,20,多云,东北风,2级,25.0,10
2019-08-17,32,19,晴,东南风,1级,25.5,13
2019-08-18,31,21,晴,东南风,2级,26.0,10
2019-08-19,31,22,多云,东南风,3级,26.5,9
2019-08-20,30,22,阴,南风,微风,26.0,8
2019-08-21,29,22,小雨,西北风,1级,25.5,7
2019-08-22,30,22,阴,西南风,1级,26.0,8
2019-08-23,30,22,多云,东南风,1级,26.0,8
2019-08-24,28,21,阴,西北风,2级,24.5,7
2019-08-25,22,20,小雨,西北风,2级,21.0,2
2019-08-26,30,21,阴,西北风,2级,25.5,9
2019-08-27,28,21,小雨,东南风,2级,24.5,7
2019-08-28,35,19,晴,西南风,2级,27.0,16
2019-08-29,31,19,晴,西南风,1级,25.0,12
2019-08-30,31,18,多云,东北风,2级,24.5,13
2019-08-31,31,17,多云,西南风,1级,24.0,14
2019-07-01,38,24,晴,西南风,2级,31.0,14
2019-07-02,39,26,多云,西南风,4级,32.5,13
2019-07-03,37,26,多云,西南风,1级,31.5,11
2019-07-04,38,27,阴,西南风,4级,32.5,11
2019-07-05,38,23,多云,西南风,4级,30.5,15
2019-07-06,32,21,多云,东北风,3级,26.5,11
2019-07-07,32,20,多云,东北风,3级,26.0,12
2019-07-08,28,22,阴,东南风,2级,25.0,6
2019-07-09,32,20,阴,西北风,2级,26.0,12
2019-07-10,28,20,中雨,东北风,3级,24.0,8
2019-07-11,30,21,多云,东南风,2级,25.5,9
2019-07-12,32,22,阴,东南风,3级,27.0,10
2019-07-13,36,23,晴,西南风,3级,29.5,13
2019-07-14,36,24,多云,西南风,1级,30.0,12
2019-07-15,36,24,阴,西南风,2级,30.0,12
2019-07-16,35,25,阴,东南风,3级,30.0,10
2019-07-17,30,23,阴,西北风,2级,26.5,7
2019-07-18,34,24,多云,西南风,1级,29.0,10
2019-07-19,35,25,多云,东南风,2级,30.0,10
2019-07-20,35,23,中雨,东北风,1级,29.0,12
2019-07-21,36,26,多云,东北风,1级,31.0,10
2019-07-22,36,27,阴,西南风,2级,31.5,9
2019-07-23,36,24,阴,西北风,1级,30.0,12
2019-07-24,39,28,晴,西南风,2级,33.5,11
2019-07-25,36,25,小雨,东南风,3级,30.5,11
2019-07-26,38,26,多云,东南风,4级,32.0,12
2019-07-27,36,26,阴,东北风,3级,31.0,10
2019-07-28,36,27,阴,东南风,2级,31.5,9
2019-07-29,37,23,阴,东北风,2级,30.0,14
2019-07-30,35,24,多云,东南风,3级,29.5,11
2019-07-31,37,25,多云,东南风,4级,31.0,12
2019-06-01,34,19,多云,东南风,3级,26.5,15
2019-06-02,38,23,多云,西南风,4级,30.5,15
2019-06-03,35,21,多云,西北风,2级,28.0,14
2019-06-04,38,23,多云,东北风,3级,30.5,15
2019-06-05,28,18,阴,东北风,3级,23.0,10
2019-06-06,25,17,阴,西北风,1级,21.0,8
2019-06-07,33,23,多云,东北风,5级,28.0,10
2019-06-08,36,22,阴,西南风,2级,29.0,14
2019-06-09,33,17,多云,东北风,2级,25.0,16
2019-06-10,34,21,多云,东南风,2级,27.5,13
2019-06-11,36,23,阴,西南风,3级,29.5,13
2019-06-12,35,23,多云,西南风,2级,29.0,12
2019-06-13,36,22,多云,东南风,3级,29.0,14
2019-06-14,37,24,晴,西南风,2级,30.5,13
2019-06-15,38,25,阴,西南风,3级,31.5,13
2019-06-16,31,21,多云,东北风,3级,26.0,10
2019-06-17,34,23,多云,西南风,3级,28.5,11
2019-06-18,37,24,晴,西南风,3级,30.5,13
2019-06-19,35,25,多云,西南风,3级,30.0,10
2019-06-20,31,23,多云,西南风,4级,27.0,8
2019-06-21,33,24,阴,东北风,2级,28.5,9
2019-06-22,34,23,多云,东北风,2级,28.5,11
2019-06-23,37,24,阴,东南风,3级,30.5,13
2019-06-24,35,25,阴,西南风,3级,30.0,10
2019-06-25,34,21,阴,东南风,3级,27.5,13
2019-06-26,35,24,多云,东南风,2级,29.5,11
2019-06-27,36,23,多云,西南风,4级,29.5,13
2019-06-28,23,20,小雨,东南风,2级,21.5,3
2019-06-29,40,24,多云,东南风,3级,32.0,16
2019-06-30,34,20,多云,东北风,1级,27.0,14
2019-05-01,27,9,多云,西南风,1级,18.0,18
2019-05-02,27,13,晴,西南风,2级,20.0,14
2019-05-03,26,16,多云,东南风,3级,21.0,10
2019-05-04,24,13,阴,东南风,2级,18.5,11
2019-05-05,24,12,阴,东北风,3级,18.0,12
2019-05-06,22,10,阴,西南风,2级,16.0,12
2019-05-07,23,12,阴,西南风,4级,17.5,11
2019-05-08,22,13,阴,东南风,3级,17.5,9
2019-05-09,27,14,多云,东南风,2级,20.5,13
2019-05-10,29,14,阴,西北风,微风,21.5,15
2019-05-11,29,16,阴,东南风,2级,22.5,13
2019-05-12,29,11,阴,西北风,4级,20.0,18
2019-05-13,21,13,阴,东南风,4级,17.0,8
2019-05-14,26,17,阴,西南风,3级,21.5,9
2019-05-15,27,16,多云,西南风,4级,21.5,11
2019-05-16,30,20,多云,东南风,2级,25.0,10
2019-05-17,31,18,晴,东南风,2级,24.5,13
2019-05-18,26,18,阴,东南风,2级,22.0,8
2019-05-19,30,13,多云,东北风,3级,21.5,17
2019-05-20,27,15,晴,东南风,2级,21.0,12
2019-05-21,32,16,阴,东南风,2级,24.0,16
2019-05-22,36,20,晴,东南风,2级,28.0,16
2019-05-23,39,24,多云,西南风,3级,31.5,15
2019-05-24,30,22,阴,西南风,2级,26.0,8
2019-05-25,33,23,多云,西南风,3级,28.0,10
2019-05-26,32,19,多云,西南风,2级,25.5,13
2019-05-27,26,19,多云,西南风,1级,22.5,7
2019-05-28,29,17,阴,西南风,3级,23.0,12
2019-05-29,29,18,晴,西南风,4级,23.5,11
2019-05-30,31,18,多云,东南风,2级,24.5,13
2019-05-31,30,22,多云,东南风,2级,26.0,8
2019-04-01,18,6,多云,西南风,1级,12.0,12
2019-04-02,18,6,多云,东北风,2级,12.0,12
2019-04-03,20,10,多云,东南风,3级,15.0,10
2019-04-04,23,12,多云,东南风,4级,17.5,11
2019-04-05,25,10,多云,西南风,4级,17.5,15
2019-04-06,19,8,多云,西北风,3级,13.5,11
2019-04-07,22,13,多云,西南风,2级,17.5,9
2019-04-08,13,3,阴,西北风,5级,8.0,10
2019-04-09,5,2,阴,西北风,3级,3.5,3
2019-04-10,14,6,阴,东南风,3级,10.0,8
2019-04-11,17,4,多云,西北风,1级,10.5,13
2019-04-12,17,10,阴,西南风,4级,13.5,7
2019-04-13,21,10,阴,西北风,2级,15.5,11
2019-04-14,20,8,多云,东南风,2级,14.0,12
2019-04-15,22,9,多云,西南风,4级,15.5,13
2019-04-16,25,12,多云,西南风,1级,18.5,13
2019-04-17,27,14,晴,西南风,5级,20.5,13
2019-04-18,24,14,多云,东北风,5级,19.0,10
2019-04-19,14,8,阴,东北风,1级,11.0,6
2019-04-20,21,12,阴,东北风,1级,16.5,9
2019-04-21,18,12,阴,北风,微风,15.0,6
2019-04-22,20,14,阴,东南风,1级,17.0,6
2019-04-23,25,13,雾,东南风,2级,19.0,12
2019-04-24,25,9,多云,西南风,2级,17.0,16
2019-04-25,13,8,阴,北风,2级,10.5,5
2019-04-26,14,8,多云,西北风,1级,11.0,6
2019-04-27,12,6,阴,东北风,2级,9.0,6
