日期,最高气温,最低气温,天气,风向,风力,平均气温,温差
2019-09-01,30,19,多云,东南风,1级,24.5,11
2019-09-02,28,19,多云,西北风,1级,23.5,9
2019-09-03,29,17,多云,南风,微风,23.0,12
2019-09-04,29,17,晴,西南风,1级,23.0,12
2019-09-05,30,17,晴,西南风,1级,23.5,13
2019-09-06,31,17,晴,西北风,1级,24.0,14
2019-09-07,31,18,晴,西南风,微风,24.5,13
2019-09-08,32,20,晴,东南风,微风,26.0,12
2019-09-09,32,20,晴,东北风,1级,26.0,12
2019-09-10,29,23,阴,东北风,2级,26.0,6
2019-09-11,24,18,阴,东北风,3级,21.0,6
2019-09-12,23,22,阴,东北风,1级,22.5,1
2019-09-13,23,18,阴,东北风,2级,20.5,5
2019-09-14,28,20,多云,西北风,2级,24.0,8
2019-09-15,22,16,阴,东南风,1级,19.0,6
2019-09-16,26,16,多云,西北风,2级,21.0,10
2019-09-17,25,15,阴,西北风,2级,20.0,10
2019-09-18,28,12,晴,东北风,3级,20.0,16
2019-09-19,20,16,阴,东北风,1级,18.0,4
2019-09-20,23,15,阴,西南风,1级,19.0,8
2019-09-21,29,14,多云,东北风,2级,21.5,15
2019-09-22,28,13,晴,东北风,2级,20.5,15
2019-09-23,30,15,晴,西北风,微风,22.5,15
2019-09-24,31,13,晴,西北风,1级,22.0,18
2019-09-25,31,15,阴,西北风,1级,23.0,16
2019-09-26,30,15,多云,东南风,1级,22.5,15
2019-09-27,29,14,晴,西南风,1级,21.5,15
2019-09-28,30,16,晴,东南风,1级,23.0,14
2019-09-29,30,18,晴,东南风,1级,24.0,12
2019-09-30,30,17,晴,东南风,1级,23.5,13
2019-08-01,31,24,阴,东南风,2级,27.5,7
2019-08-02,28,23,小雨,西北风,1级,25.5,5
2019-08-03,33,23,阴,东南风,2级,28.0,10
2019-08-04,32,24,多云,东南风,3级,28.0,8
2019-08-05,32,24,多云,东南风,2级,28.0,8
2019-08-06,33,23,阴,东南风,2级,28.0,10
2019-08-07,25,22,中雨,东南风,1级,23.5,3
2019-08-08,33,24,多云,西北风,1级,28.5,9
2019-08-09,33,24,多云,东南风,1级,28.5,9
2019-08-10,29,23,小雨,东北风,3级,26.0,6
2019-08-11,23,22,中雨,西北风,5级,22.5,1
2019-08-12,25,22,小雨,西北风,3级,23.5,3
2019-08-13,28,22,阴,东北风,微风,25.0,6
2019-08-14,31,21,多云,西北风,2级,26.0,10
2019-08-15,32,21,晴,东南风,1级,26.5,11
2019-08-16,30,19,晴,东北风,2级,24.5,11
2019-08-17,31,17,晴,西北风,微风,24.0,14
2019-08-18,32,20,晴,东南风,1级,26.0,12
2019-08-19,31,17,多云,东南风,1级,24.0,14
2019-08-20,30,21,多云,东南风,1级,25.5,9
2019-08-21,28,20,阴,西南风,1级,24.0,8
2019-08-22,31,19,晴,西南风,1级,25.0,12
2019-08-23,31,20,晴,南风,微风,25.5,11
2019-08-24,30,22,阴,东北风,1级,26.0,8
2019-08-25,28,21,阴,东北风,2级,24.5,7
2019-08-26,30,23,阴,东北风,1级,26.5,7
2019-08-27,27,20,多云,西南风,1级,23.5,7
2019-08-28,32,17,雾,西南风,1级,24.5,15
2019-08-29,30,16,晴,东北风,1级,23.0,14
2019-08-30,31,17,晴,东北风,2级,24.0,14
2019-08-31,31,19,晴,东南风,1级,25.0,12
2019-07-01,36,22,晴,东南风,1级,29.0,14
2019-07-02,36,22,晴,西南风,2级,29.0,14
2019-07-03,37,26,晴,西南风,1级,31.5,11
2019-07-04,34,24,阴,东南风,3级,29.0,10
2019-07-05,36,25,晴,西南风,2级,30.5,11
2019-07-06,28,19,小雨,东北风,1级,23.5,9
2019-07-07,30,22,多云,东北风,2级,26.0,8
2019-07-08,31,21,多云,东南风,2级,26.0,10
2019-07-09,30,20,阴,东北风,3级,25.0,10
2019-07-10,29,19,小雨,东南风,1级,24.0,10
2019-07-11,30,20,阴,东南风,1级,25.0,10
2019-07-12,32,22,小雨,西南风,2级,27.0,10
2019-07-13,33,22,多云,西南风,1级,27.5,11
2019-07-14,35,24,多云,东南风,1级,29.5,11
2019-07-15,35,25,多云,东南风,2级,30.0,10
2019-07-16,33,24,阴,东南风,1级,28.5,9
2019-07-17,32,21,阴,东南风,2级,26.5,11
2019-07-18,35,22,多云,东南风,2级,28.5,13
2019-07-19,34,24,多云,西南风,1级,29.0,10
2019-07-20,35,28,晴,西北风,2级,31.5,7
2019-07-21,37,27,多云,东北风,1级,32.0,10
2019-07-22,37,26,阴,东南风,1级,31.5,11
2019-07-23,35,26,阴,东北风,2级,30.5,9
2019-07-24,36,28,多云,西北风,1级,32.0,8
2019-07-25,34,28,多云,东南风,1级,31.0,6
2019-07-26,36,25,晴,东南风,2级,30.5,11
2019-07-27,35,26,阴,西南风,2级,30.5,9
2019-07-28,35,27,阴,东南风,2级,31.0,8
2019-07-29,37,26,多云,东南风,3级,31.5,11
2019-07-30,31,25,中雨,东南风,1级,28.0,6
2019-07-31,31,25,阴,东南风,1级,28.0,6
2019-06-01,31,21,阴,东南风,3级,26.0,10
2019-06-02,35,24,晴,西南风,2级,29.5,11
2019-06-03,36,21,多云,东南风,1级,28.5,15
2019-06-04,37,26,多云,东南风,1级,31.5,11
2019-06-05,34,21,阴,东北风,3级,27.5,13
2019-06-06,28,17,阴,西北风,2级,22.5,11
2019-06-07,32,21,晴,东南风,2级,26.5,11
2019-06-08,34,19,阴,东南风,1级,26.5,15
2019-06-09,32,16,多云,北风,2级,24.0,16
2019-06-10,33,15,晴,南风,微风,24.0,18
2019-06-11,35,18,晴,西南风,2级,26.5,17
2019-06-12,35,20,晴,东南风,1级,27.5,15
2019-06-13,34,21,多云,西南风,3级,27.5,13
2019-06-14,34,21,晴,西北风,1级,27.5,13
2019-06-15,37,23,阴,东南风,1级,30.0,14
2019-06-16,35,22,阴,东北风,1级,28.5,13
2019-06-17,34,21,晴,西南风,3级,27.5,13
2019-06-18,36,24,多云,西南风,1级,30.0,12
2019-06-19,34,26,多云,西南风,2级,30.0,8
2019-06-20,33,20,阴,西北风,2级,26.5,13
2019-06-21,32,24,多云,东北风,3级,28.0,8
2019-06-22,34,17,多云,北风,2级,25.5,17
2019-06-23,35,23,晴,西北风,1级,29.0,12
2019-06-24,35,23,阴,东南风,2级,29.0,12
2019-06-25,32,21,阴,东南风,2级,26.5,11
2019-06-26,32,22,多云,东南风,2级,27.0,10
2019-06-27,35,25,多云,东南风,1级,30.0,10
2019-06-28,25,22,小雨,西北风,1级,23.5,3
2019-06-29,34,23,多云,东南风,1级,28.5,11
2019-06-30,34,20,晴,西北风,1级,27.0,14
2019-05-01,26,9,晴,西北风,1级,17.5,17
2019-05-02,26,10,晴,东南风,1级,18.0,16
2019-05-03,26,15,晴,东南风,1级,20.5,11
2019-05-04,19,13,阴,东南风,1级,16.0,6
2019-05-05,26,10,阴,东北风,4级,18.0,16
2019-05-06,21,8,多云,西北风,2级,14.5,13
2019-05-07,23,13,多云,西南风,3级,18.0,10
2019-05-08,20,10,多云,西南风,3级,15.0,10
2019-05-09,26,14,多云,东南风,1级,20.0,12
2019-05-10,27,14,多云,东南风,3级,20.5,13
2019-05-11,27,14,阴,东南风,2级,20.5,13
2019-05-12,30,14,多云,西北风,2级,22.0,16
2019-05-13,22,10,阴,西南风,1级,16.0,12
2019-05-14,25,18,多云,东南风,1级,21.5,7
2019-05-15,28,16,多云,西南风,2级,22.0,12
2019-05-16,28,19,晴,西南风,2级,23.5,9
2019-05-17,29,14,多云,东南风,3级,21.5,15
2019-05-18,25,15,阴,西南风,1级,20.0,10
2019-05-19,28,12,晴,东北风,3级,20.0,16
2019-05-20,25,12,晴,东南风,1级,18.5,13
2019-05-21,30,15,多云,南风,微风,22.5,15
2019-05-22,34,20,晴,东南风,1级,27.0,14
2019-05-23,37,20,晴,西南风,2级,28.5,17
2019-05-24,31,22,阴,东南风,1级,26.5,9
2019-05-25,33,20,晴,东南风,4级,26.5,13
2019-05-26,29,17,阴,东南风,1级,23.0,12
2019-05-27,25,16,阴,西南风,1级,20.5,9
2019-05-28,27,15,阴,西南风,1级,21.0,12
2019-05-29,29,18,晴,西南风,2级,23.5,11
2019-05-30,24,14,阴,东南风,3级,19.0,10
2019-05-31,29,18,晴,东北风,1级,23.5,11
2019-04-01,19,3,晴,东南风,微风,11.0,16
2019-04-02,19,5,多云,东北风,2级,12.0,14
2019-04-03,20,8,晴,西南风,2级,14.0,12
2019-04-04,22,8,晴,东南风,2级,15.0,14
2019-04-05,25,11,晴,东南风,2级,18.0,14
2019-04-06,20,8,多云,西北风,2级,14.0,12
2019-04-07,23,13,多云,东南风,2级,18.0,10
2019-04-08,18,6,阴,东南风,3级,12.0,12
2019-04-09,7,3,阴,西北风,4级,5.0,4
2019-04-10,14,4,多云,东北风,1级,9.0,10
2019-04-11,16,4,阴,西北风,1级,10.0,12
2019-04-12,16,10,多云,东南风,1级,13.0,6
2019-04-13,21,12,阴,东北风,1级,16.5,9
2019-04-14,21,6,多云,西南风,1级,13.5,15
2019-04-15,21,10,多云,东南风,2级,15.5,11
2019-04-16,22,11,阴,东南风,3级,16.5,11
2019-04-17,25,14,晴,东南风,3级,19.5,11
2019-04-18,28,12,多云,东北风,4级,20.0,16
2019-04-19,16,13,多云,西北风,1级,14.5,3
2019-04-20,21,13,阴,西北风,1级,17.0,8
2019-04-21,21,14,阴,东北风,1级,17.5,7
2019-04-22,21,12,阴,东南风,2级,16.5,9
2019-04-23,20,15,阴,东北风,1级,17.5,5
2019-04-24,26,7,多云,东南风,2级,16.5,19
2019-04-25,14,9,阴,东北风,2级,11.5,5
2019-04-26,17,6,多云,西南风,1级,11.5,11
2019-04-27,14,9,阴,东北风,3级,11.5,5
2019-04-28,17,8,多云,西南风,1级,12.5,9
2019-04-29,20,9,多云,西南风,1级,14.5,11
2019-04-30,23,9,多云,西北风,3级,16.0,14
2019-03-01,14,4,多云,西南风,2级,9.0,10
2019-03-02,13,3,阴,西南风,1级,8.0,10
2019-03-03,13,0,阴,西南风,1级,6.5,13
2019-03-04,16,0,晴,东南风,2级,8.0,16
2019-03-05,17,2,阴,西北风,1级,9.5,15
2019-03-06,15,-2,晴,东北风,3级,6.5,17
2019-03-07,12,-4,晴,西南风,1级,4.0,16
2019-03-08,14,2,阴,东南风,2级,8.0,12
2019-03-09,15,1,多云,西南风,微风,8.0,14
2019-03-10,17,4,多云,西南风,2级,10.5,13
2019-03-11,17,3,晴,西南风,2级,10.0,14
2019-03-12,12,-3,晴,东北风,2级,4.5,15
2019-03-13,16,-2,晴,西南风,1级,7.0,18
2019-03-14,19,2,晴,东北风,2级,10.5,17
2019-03-15,19,1,晴,东北风,1级,10.0,18
2019-03-16,23,5,晴,东南风,2级,14.0,18
2019-03-17,21,9,晴,东南风,2级,15.0,12
2019-03-18,22,10,阴,西南风,3级,16.0,12
2019-03-19,23,11,晴,东南风,3级,17.0,12
